"node","type"
"220340.MVP_BGYMJ",0
"AHCY",2
"HDAC5",2
"MCM2",2
"EFTUD2",2
"FUS",2
"MYC",2
"SIRT1",2
"NTRK1",2
"AGR2",2
"DNMT1",2
"ITFG1",2
"CUL7",2
"CUL1",2
"GNMT",2
"EWSR1",2
"BRCA1",2
"ATG16L1",2
"PXN",2
"CFTR",2
"HECW2",2
"EEF1A2",2
"COPS5",2
"RECQL4",2
"CDK2",2
"AHCYL1",2
"DYRK1A",2
"CUL3",2
"NME2",2
"CAND1",2
"NEDD8",2
"MSN",2
"CTNNB1",2
"AAR2",2
"ATXN3",2
"FOXK1",2
"CEP290",2
"HUWE1",2
"HEXIM1",2
"APPBP2",2
"PIH1D1",2
"ALDH4A1",2
"LGALS3",2
"CTH",2
"DERL1",2
"DAB2",2
"HDGF",2
"FBXO6",2
"NSFL1C",2
"POT1",2
"SHMT2",2
"ATP6V1A",2
"FH",2
"NHLRC2",2
"ATIC",2
"ATF2",2
"DNM1L",2
"HSPB1",2
"MAT2A",2
"CAPZB",2
"DHX15",2
"CUL4B",2
"LDHB",2
"HEXA",2
"DNMT3B",2
"NIN",2
"FOS",2
"EVC2",2
"ADA",2
"PYGL",2
"H2AFV",2
"MYO6",2
"SHMT1",2
"HK1",2
"UBA3",2
"DNMT3A",2
"ACAT2",2
"GMPS",2
"GPC1",2
"TERF1",2
"ANKRD40",2
"JUP",2
"AHCYL2",2
"CEP104",2
"UBE2M",2
"MTR",2
"TLE3",2
"OGFOD1",2
"NME1-NME2",2
"HLA-B",2
"TRAF3IP1",2
"BHMT",2
"TP73",2
"PINX1",2
"ADK",2
"TPI1",2
"MTHFR",2
"MAT1A",2
"ASB16",2
"PAPSS1",2
"YWHAQ",2
"SERPINB6",2
"SDC1",2
"C1orf50",2
"GPT2",2
"BHMT2",2
"MC1R",2
"TBCE",2
"XIAP",2
"SDSL",2
"ENSG00000160200",2
"CBSL",2
"SDS",2
"ZNF217",2
"sulfur amino acid metabolic process",6
"response to hypoxia",6
"chronic inflammatory response to antigenic stimulus",6
"adenosylhomocysteinase activity",6
"protein binding",6
"nucleus",6
"cytosol",6
"one-carbon metabolic process",6
"response to nutrient",6
"S-adenosylhomocysteine catabolic process",6
"adenyl nucleotide binding",6
"methylation",6
"S-adenosylmethionine cycle",6
"melanosome",6
"circadian sleep/wake cycle",6
"identical protein binding",6
"neuron projection",6
"NAD binding",6
"extracellular exosome",6
