source,target
RPA2,HRAS
RPA2,ECH1
RPA2,SYNCRIP
RPA2,ABL1
RPA2,UBE2B
RPA2,ESR2
RPA2,RBM14
RPA2,UBE2V2
RPA2,TP53
RPA2,WDR36
RPA2,CDC5L
RPA2,KRT16
GRB2,TNRC6B
GRB2,RPA2
GRB2,PNOC
GRB2,RAC1
GRB2,PLK1
GRB2,CUL1
GRB2,SHC1
GRB2,CDC5L
EEF1A1,KRT16
EEF1A1,SNCA
EEF1A1,SYNCRIP
EEF1A1,TP53
EEF1A1,HNRNPL
EEF1A1,HIST1H4A
FGA,FGA
FGA,CUL1
FGA,LMNA
FGA,TSC2
FGA,G6PD
FGA,SIRT7
FGA,ATP6V1D
SSR3,TSC2
SSR3,NELFA
SOCS1,TCTN2
SOCS1,TP53
SOCS1,PHB
SOCS1,EIF4E
SOCS1,DHX9
SOCS1,SF3B3
SOCS1,TSC2
SOCS1,RPLP0
LMNA,PRDX1
LMNA,NGDN
LMNA,CSNK1E
LMNA,REEP1
LMNA,FBXW7
LMNA,PHB
LMNA,SF3B3
LMNA,CEP97
LMNA,PRPF8
LMNA,RRP1B
LMNA,TSC2
LMNA,RPLP0
LMNA,MAPK3
LMNA,CFTR
LMNA,HNRNPU
LMNA,CCNB3
LMNA,RPL35
LMNA,UBE3A
LMNA,SOCS1
XRCC6,TSC2
XRCC6,FBXW7
XRCC6,KLHL25
XRCC6,KIF22
XRCC6,PSMC1
SNCA,SNCA
SNCA,SIRT7
SNCA,RRP8
SNCA,TSC2
AKT2,PLK1
AKT2,VHL
AKT2,TSC2
AKT2,PIK3R3
AKT2,TP53
AKT2,SIRT7
SHC1,TSC2
SHC1,SH3KBP1
SHC1,UBE2B
SHC1,ESR2
SHC1,SIRT7
SHC1,CFTR
SHC1,FGA
PIK3R3,CHEK2
PIK3R3,SNIP1
PIK3R3,SF3B3
RAB5A,TSC2
RAB5A,RAB5A
RAB5A,UBE2B
RAB5A,XRCC6
RAB5A,P2RY14
RAB5A,TLR2
RAB5A,CFTR
RAB5A,TNRC6B
ABL1,FBXW9
ABL1,PIK3R3
ABL1,RAC1
ABL1,TSC2
ABL1,SMDT1
ABL1,TCTN2
ABL1,HIST1H2BN
HRAS,SOCS1
HRAS,DCP1A
HRAS,HSPH1
HRAS,HNRNPL
HRAS,CHEK2
HRAS,CUL1
HRAS,UBE2V2
HRAS,RPSAP58
HRAS,TP53
HRAS,EEF1A1
HRAS,HNRNPU
HRAS,P2RY14
HRAS,RAN
HRAS,EPN1
HRAS,NUP214
HRAS,SERPIND1
HRAS,HDAC3
HRAS,RAC1
TP53,TP53
TP53,CEP97
TP53,KRT16
TP53,TSC2
TP53,MTNR1A
TP53,HIST1H4A
TP53,LMNA
TP53,NUF2
TP53,PIK3R3
TP53,RPS3
TP53,ARIH2
TP53,XRCC6
TP53,CDRT15
TP53,ECH1
VHL,WDR36
VHL,CDKN2A
VHL,HRAS
VHL,SNCA
VHL,PRPF8
VHL,IGLL5
VHL,TCTN2
VHL,RPL35
VHL,ESR2
VHL,UGP2
NONO,CFTR
NONO,TSC2
NONO,SIRT7
UBE3A,HRAS
UBE3A,PLK1
UBE3A,GNB2
UBE3A,FUS
UBE3A,CHEK2
SH3KBP1,RAC1
SH3KBP1,TP53
DMD,TSC2
RAN,SSR3
RAN,SMDT1
RAN,ESR2
RAN,UBE3A
RAN,RPA2
RAN,RPS3
RAN,TSC2
RAN,KRT19
CDKN2A,LMNA
CDKN2A,MAPK3
CDKN2A,TSC2
CDKN2A,RPS9
CDKN2A,HRAS
CDKN2A,EIF4E
CDKN2A,CD14
CDKN2A,CDC5L
CDKN2A,UBE3A
HNRNPL,RPS9
HNRNPL,PPP2CA
HNRNPL,HNRNPA3
HNRNPL,MAPK3
HNRNPL,HIST1H2BN
HNRNPL,RPS3
HNRNPL,HTR1D
HNRNPL,FOXB1
HNRNPL,RPLP0
HNRNPL,RAPSN
HNRNPL,TLR2
HNRNPL,UBE3A
HNRNPL,NAGK
HNRNPL,VHL
HNRNPL,ITGA5
HNRNPL,CHEK2
HNRNPL,TSC2
HNRNPL,XRCC6
HNRNPL,NELFA
HNRNPL,PIK3R3
HNRNPL,TP53
HNRNPL,MID2
HNRNPL,P2RY14
HNRNPL,HDAC3
HNRNPL,SQSTM1
HNRNPL,PRPF8
HNRNPL,GRM8
HNRNPL,WDR36
DCP1A,PRPF8
DCP1A,CSNK1E
DCP1A,KLHL25
DCP1A,RAC1
DCP1A,TSC2
ESR2,HNRNPA3
ESR2,SYNCRIP
ESR2,NUF2
ESR2,ESR2
ESR2,GRB2
ESR2,UBE3A
ESR2,RPL35
ESR2,HLA-C
ESR2,PIK3R3
ESR2,RPS3
ESR2,SH3KBP1
ESR2,HIST1H4A
ESR2,CDC25B
ESR2,PHB
ESR2,SIRT7
ESR2,HNRNPU
ESR2,HNRNPL
ESR2,KRT19
ESR2,ATP5O
ESR2,LMNA
ESR2,CSDE1
ESR2,PARP1
ESR2,TSC2
ESR2,RPLP0
ESR2,CDC5L
ESR2,SF3B3
ESR2,CSNK1E
ESR2,SOCS1
ESR2,RPSAP58
ESR2,RIPK1
ESR2,RBM42
ESR2,TP53
ESR2,CFTR
ESR2,GNB2
ESR2,SRRM1
ESR2,PLK1
RAPSN,SYVN1
RAC1,P2RY14
RAC1,WDR36
RAC1,CDKN2A
RAC1,HNRNPL
RAC1,RAB5A
RAC1,SOCS1
RAC1,LMNA
RAC1,CD3G
CUL1,TSC2
CUL1,XRCC6
CUL1,CDKN2A
CUL1,RAC1
CUL1,YWHAH
CUL1,FBXW7
CUL1,DDX51
CUL1,PLK1
CUL1,DHX9
CUL1,SQSTM1
CUL1,HIST1H4A
CUL1,TP53
CUL1,HNRNPL
CUL1,SHC1
CUL1,HDAC3
CUL1,CEP97
CUL1,PPP2CA
CUL1,UBE2V2
CUL1,PSMC1
CUL1,RPS9
CUL1,DNAJC5
KIF22,TSC2
KIF22,CSNK1E
KIF22,RPS9
COPS5,HAUS5
COPS5,RAN
COPS5,NONO
COPS5,PLK1
COPS5,LMNA
COPS5,TP53
COPS5,ESR2
COPS5,SNCA
COPS5,EEF1A1
COPS5,RPL35
COPS5,YWHAH
COPS5,RPSAP58
COPS5,MAPK3
COPS5,RPA2
COPS5,HNRNPL
COPS5,SQSTM1
COPS5,CUL1
COPS5,REEP1
COPS5,XRCC6
CFTR,CDC25B
CFTR,TP53
CFTR,RPLP0
CFTR,DDX51
CFTR,RPS9
CFTR,KIF22
CFTR,TCTN2
CFTR,UBE2B
CFTR,HRAS
CFTR,SRRM1
CFTR,PRPF8
CFTR,CFTR
CFTR,PSMD5
CFTR,VHL
CFTR,HIST1H4A
CFTR,AKT2
CFTR,TSC2
CFTR,HNRNPU
CFTR,RAC1
CFTR,SNIP1
CDC5L,PHB
CDC5L,GNB2
CDC5L,MIR25
CDC5L,TSC2
CDC5L,FBXW7
CDC5L,ECH1
CDC5L,HNRNPU
CDC5L,HSPH1
CDC5L,PRPF8
CDC5L,PSMD5
CDC5L,NMUR2
CDC5L,RRP8
CDC5L,SF3B3
CDC5L,CHEK2
CDC5L,FBXW9
CDC5L,SCO1
CDC5L,CDC5L
CDC5L,HNRNPL
CDC5L,DMD
CDC5L,CUL1
CDC5L,TCTN2
CDC5L,TP53
CDC5L,SQSTM1
CDC5L,SSR1
CDC5L,PLCZ1
CDC5L,MAPK3
HDAC3,FBXW7
HDAC3,COPS5
HDAC3,SNCA
HDAC3,TCTN2
HDAC3,CLTA
HDAC3,ZNF579
ABI1,SIRT7
ABI1,TSC2
ABI1,HIST1H4A
RIPK1,XRCC6
RIPK1,TP53
RIPK1,TSC2
RIPK1,CDC5L
NAGK,GRB2
NAGK,HIST1H2BN
NAGK,NAGK
SYNCRIP,DNAJC5
SYNCRIP,ADCY4
SYNCRIP,ATP5O
SYNCRIP,HNRNPL
SYNCRIP,TSC2
SYNCRIP,SH3KBP1
SYNCRIP,HNRNPU
SYNCRIP,PRDX1
CLIC1,TSC2
CLIC1,GNB2
CLIC1,HIST1H2BN
TADA2A,SYNCRIP
SQSTM1,TSC2
SQSTM1,SQSTM1
SQSTM1,GNB2
KRT19,CLTA
KRT19,TSC2
KRT19,RAC1
KRT19,PHB
KRT19,ITGA5
BEND7,BEND7
BEND7,TSC2
PPP2CA,GRB2
PPP2CA,RPA2
PPP2CA,NR1D2
PPP2CA,NUP214
PPP2CA,RPSAP58
PPP2CA,DHX9
PPP2CA,ESR2
PPP2CA,FGA
PPP2CA,RPS3
PPP2CA,KIF22
PPP2CA,TSC2
PPP2CA,GNB2
PPP2CA,HIST1H4A
PPP2CA,COPS5
PPP2CA,FBXW9
ARIH2,LMNA
ARIH2,MTNR1A
ARIH2,EEF1A1
ARIH2,COPS5
ARIH2,HNRNPU
ARIH2,TSC2
ARIH2,CUL1
ARIH2,PPP2CA
ARIH2,PLK1
HIST1H2BN,VHL
HIST1H2BN,FBXW7
HIST1H2BN,UBE3A
HIST1H2BN,NONO
HIST1H2BN,TSC2
HIST1H2BN,CDC5L
HIST1H2BN,PARP1
HIST1H2BN,SH3KBP1
HIST1H2BN,HNRNPA3
PRDX1,CFTR
PRDX1,RPS9
PRDX1,HDAC3
SCAND1,TSC2
NASP,PLK1
NASP,RBM34
NASP,PRPF8
NASP,TSC2
NASP,CDC14B
RBM42,SH3KBP1
CSNK1E,CSNK1E
CSNK1E,SYVN1
CSNK1E,SIRT7
CSNK1E,TP53
CSNK1E,G6PD
CSNK1E,PSMC1
CSNK1E,HNRNPL
CSNK1E,HNRNPA3
CSNK1E,SH3KBP1
PSMC1,HIST1H4A
PSMC1,SNCA
PSMC1,SCFD1
PSMC1,TSC2
PSMC1,HIST1H2BN
PSMC1,UBE3A
PSMC1,SOCS1
PSMC1,UBE2B
MAF1,TSC2
MID2,PPP2CA
MID2,TSC2
PSMD5,GRK5
PSMD5,NPRL2
PSMD5,TCTN2
PSMD5,FBXW7
PSMD5,HNRNPL
EIF4E,TSC2
EIF4E,RPL35
EIF4E,RPSAP58
EIF4E,YWHAH
EIF4E,SQSTM1
PARP1,TSC2
PARP1,RRP8
PARP1,SF3B3
PARP1,NMUR2
PARP1,TP53
PARP1,HDAC3
PARP1,YWHAH
PARP1,SSR1
PARP1,RPS3
PARP1,LMNA
PARP1,DDX51
NUF2,LMNA
NUF2,SRRM1
PRPF8,MIR25
PRPF8,CSDE1
PRPF8,GNB2
PRPF8,FBXW7
PRPF8,SHC1
PRPF8,SYNCRIP
PRPF8,DOT1L
PRPF8,ATG14
PRPF8,BCAS3
PRPF8,TP53
PRPF8,TSC2
PRPF8,SSR3
SF3B3,TLR2
SF3B3,SCO1
SF3B3,HRAS
SF3B3,SRRM1
SF3B3,NDUFA8
NPRL2,XRCC6
NPRL2,TSC2
CDC25B,PLK1
CDC25B,VHL
CDC25B,TSC2
CDC25B,MTNR1A
DHX9,PHB
