"V1","V2"
"TCERG1L","WDR25"
"U2AF35","U2AFBP"
"U2AF1L4","U2AFBP"
"U2AF1L4","U2AF35"
"C10orf11","ZMAT2"
"C10orf11","WDR25"
"C10orf11","TCERG1L"
"MT-ND4L","MT-CYB"
"ENSG00000267740","ENSG00000258674"
"ENSG00000267740","MT-ND4L"
"MT-ND3","TMEM126B"
"MT-ND3","MT-CYB"
"MT-ND3","MT-ND4L"
"MT-ND3","ENSG00000267740"
"MT-ND6","TMEM126B"
"MT-ND6","MT-CYB"
"MT-ND6","MT-ND4L"
"MT-ND6","ENSG00000267740"
"MT-ND6","MT-ND3"
"NDUFAF6","TMEM126B"
"NDUFAF6","MT-ND3"
"NDUFAF6","MT-ND6"
"MT-ND5","TMEM126B"
"MT-ND5","MT-CYB"
"MT-ND5","MT-ND4L"
"MT-ND5","MT-ND3"
"MT-ND5","MT-ND6"
"MT-ND5","NDUFAF6"
"MT-ND2","TMEM126B"
"MT-ND2","MT-CYB"
"MT-ND2","MT-ND4L"
"MT-ND2","MT-ND3"
"MT-ND2","MT-ND6"
"MT-ND2","NDUFAF6"
"MT-ND2","MT-ND5"
"MT-ND4","TMEM126B"
"MT-ND4","MT-CYB"
"MT-ND4","MT-ND4L"
"MT-ND4","MT-ND3"
"MT-ND4","MT-ND6"
"MT-ND4","NDUFAF6"
"MT-ND4","MT-ND5"
"MT-ND4","MT-ND2"
"MT-ND1","TMEM126B"
"MT-ND1","MT-CYB"
"MT-ND1","MT-ND4L"
"MT-ND1","ENSG00000267740"
"MT-ND1","MT-ND3"
"MT-ND1","MT-ND6"
"MT-ND1","NDUFAF6"
"MT-ND1","MT-ND5"
"MT-ND1","MT-ND2"
"MT-ND1","MT-ND4"
"NDUFC1","TMEM126B"
"NDUFC1","MT-CYB"
"NDUFC1","MT-ND4L"
"NDUFC1","ENSG00000267740"
"NDUFC1","MT-ND3"
"NDUFC1","MT-ND6"
"NDUFC1","NDUFAF6"
"NDUFC1","MT-ND5"
"NDUFC1","MT-ND2"
"NDUFC1","MT-ND4"
"NDUFC1","MT-ND1"
"UQCR10","ENSG00000258674"
"UQCR10","MT-CYB"
"UQCR10","MT-ND4L"
"UQCR10","ENSG00000267740"
"UQCR10","MT-ND3"
"UQCR10","MT-ND6"
"UQCR10","MT-ND5"
"UQCR10","MT-ND2"
"UQCR10","MT-ND4"
"UQCR10","MT-ND1"
"UQCR10","NDUFC1"
"WDR60","ZRANB2"
"UQCR11","ENSG00000258674"
"UQCR11","MT-CYB"
"UQCR11","MT-ND4L"
"UQCR11","ENSG00000267740"
"UQCR11","MT-ND3"
"UQCR11","MT-ND6"
"UQCR11","MT-ND5"
"UQCR11","MT-ND2"
"UQCR11","MT-ND4"
"UQCR11","MT-ND1"
"UQCR11","NDUFC1"
"UQCR11","UQCR10"
"TMOD4","TMOD2"
"TIMMDC1","YME1L1"
"TIMMDC1","TMEM126B"
"TIMMDC1","MT-ND3"
"TIMMDC1","MT-ND6"
"TIMMDC1","NDUFAF6"
"TIMMDC1","MT-ND5"
"TIMMDC1","MT-ND2"
"TIMMDC1","MT-ND4"
"TIMMDC1","MT-ND1"
"TIMMDC1","NDUFC1"
"TIMMDC1","UQCR10"
"ROMO1","UQCR10"
"ROMO1","UQCR11"
"WBP11","U2AF1L4"
"NAA38","ZMAT2"
"NAA38","WDR25"
"NAA38","C10orf11"
"NAA38","UQCR11"
"POM121C","U2AF1L4"
"SRRM3","WDR25"
"SRRM3","C10orf11"
"VARS","TMOD2"
"ZMAT5","ZRSR2"
"ZMAT5","NAA38"
"UQCRH","MT-CYB"
"UQCRH","MT-ND4L"
"UQCRH","ENSG00000267740"
"UQCRH","MT-ND3"
"UQCRH","MT-ND6"
"UQCRH","MT-ND5"
"UQCRH","MT-ND2"
"UQCRH","MT-ND4"
"UQCRH","MT-ND1"
"UQCRH","NDUFC1"
"UQCRH","UQCR10"
"UQCRH","UQCR11"
"TROAP","TPX2"
"TBC1D30","SYTL4"
"RBMX2","TCERG1L"
"RBMX2","SLC2A13"
"RBMX2","SRRM3"
"RAB27B","RAB25"
"RAB27B","MYRIP"
"RAB27B","SYTL4"
"PLK3","VRK1"
"PPIL1","WDR25"
"PPIL1","U2AF1L4"
"PPIL1","C10orf11"
"PPIL1","WBP11"
"PPIL1","NAA38"
"UQCRFS1","MT-CYB"
"UQCRFS1","MT-ND4L"
"UQCRFS1","ENSG00000267740"
"UQCRFS1","MT-ND3"
"UQCRFS1","MT-ND6"
"UQCRFS1","MT-ND5"
"UQCRFS1","MT-ND2"
"UQCRFS1","MT-ND4"
"UQCRFS1","MT-ND1"
"UQCRFS1","NDUFC1"
"UQCRFS1","TIMM23B"
"UQCRFS1","UQCR10"
"UQCRFS1","UQCR11"
"UQCRFS1","TIMM23"
"UQCRFS1","UQCRH"
"THOC5","U2AF1L4"
"THOC5","POM121C"
"THOC5","PPIL1"
"UQCRQ","ENSG00000258674"
"UQCRQ","MT-CYB"
"UQCRQ","MT-ND4L"
"UQCRQ","ENSG00000267740"
"UQCRQ","MT-ND3"
"UQCRQ","MT-ND6"
"UQCRQ","MT-ND5"
"UQCRQ","MT-ND2"
"UQCRQ","MT-ND4"
"UQCRQ","MT-ND1"
"UQCRQ","NDUFC1"
"UQCRQ","UQCR10"
"UQCRQ","UQCR11"
"UQCRQ","ROMO1"
"UQCRQ","UQCRH"
"UQCRQ","UQCRFS1"
"PPIL6","U2AF1L4"
"PPIL6","WBP11"
"PPIL6","PPIL1"
"RNU12","ZMAT5"
"YBX1","ZRSR2"
"YBX1","U2AF1L4"
"YBX1","WBP11"
"YBX1","ZMAT5"
"YBX1","PPIL1"
"YBX1","PPIL6"
"YBX1","RNU12"
"SYMPK","U2AF1L4"
"SYMPK","WBP11"
"SYMPK","POM121C"
"SYMPK","PPIL1"
"SYMPK","THOC5"
"SYMPK","PPIL6"
"SYMPK","YBX1"
"SNRNP25","ZRSR2"
"SNRNP25","ZMAT5"
"SNRNP25","RNU12"
"SNRNP25","YBX1"
"SLC2A4","VAMP2"
"TBCCD1","PPP2R3B"
"SNRPN","ZMAT2"
"SNRPN","ZRSR2"
"SNRPN","WDR25"
"SNRPN","U2AF1L4"
"SNRPN","C10orf11"
"SNRPN","WBP11"
"SNRPN","ZMAT5"
"SNRPN","RBMX2"
"SNRPN","PPIL1"
"SNRPN","PPIL6"
"SNRPN","YBX1"
"SNRPN","SYMPK"
"NDUFB4","TMEM126B"
"NDUFB4","MT-CYB"
"NDUFB4","MT-ND4L"
"NDUFB4","ENSG00000267740"
"NDUFB4","MT-ND3"
"NDUFB4","MT-ND6"
"NDUFB4","NDUFAF6"
"NDUFB4","MT-ND5"
"NDUFB4","MT-ND2"
"NDUFB4","MT-ND4"
"NDUFB4","MT-ND1"
"NDUFB4","NDUFC1"
"NDUFB4","UQCR10"
"NDUFB4","UQCR11"
"NDUFB4","TIMMDC1"
"NDUFB4","UQCRH"
"NDUFB4","UQCRFS1"
"NDUFB4","UQCRQ"
"YWHAQ","VARS"
"YWHAQ","VAMP2"
"YWHAQ","SLC2A4"
"NUP37","U2AF1L4"
"NUP37","POM121C"
"NUP37","THOC5"
"NUP37","SYMPK"
"INS","MYRIP"
"INS","TMED9"
"INS","VAMP2"
"INS","SLC2A4"
"SLU7","ZCCHC10"
"SLU7","WDR25"
"SLU7","U2AF1L4"
"SLU7","SLC2A13"
"SLU7","WBP11"
"SLU7","POM121C"
"SLU7","PPIL1"
"SLU7","THOC5"
"SLU7","PPIL6"
"SLU7","YBX1"
"SLU7","SYMPK"
"SLU7","SNRPN"
"SLU7","NUP37"
"NDUFV3","TMEM126B"
