source,target
ACTN2,GNB2L1
ACTN2,DLG1
ACTN2,KAT2B
ACTN2,HSPB1
ACTN2,PSMB5
ACTN2,SNAI1
ACTN2,GRIN2B
ACTN2,TOLLIP
ACTN2,SRP9
ACTN2,MYH8
ACTN2,QARS
ACTN2,PSMA3
ACTN2,YWHAQ
ACTN2,GRIN1
ACTN2,DLG4
ACTN2,IGSF8
ACTN2,SNW1
ACTN2,PPP1CB
ACTN2,ACTN2
ACTN2,ERBB2IP
ACTN2,CFTR
ACTN2,VCL
ACTN2,CSK
ACTN2,HGF
ACTN2,KRAS
ACTN2,VWF
ACTN2,GRIN2D
ACTN2,PIK3CA
ACTN2,RASGRF2
ACTN2,EGF
ACTN2,SERPING1
ACTN2,OLA1
ACTN2,APP
ACTN2,GRIN2C
ACTN2,FGB
ACTN2,FGA
ACTN2,TMOD3
ACTN2,TLN1
ACTN2,CAMK2G
ACTN2,PDGFB
ACTN2,FGG
ACTN2,CAMK2D
ACTN2,PTK2
ACTN2,FN1
ACTN2,RAC1
ACTN2,AKAP9
ACTN2,KIRREL
ACTN2,EZR
ACTN2,NHLRC2
ACTN2,NRAS
ACTN2,SPTAN1
ACTN2,SRC
ACTN2,PROS1
ACTN2,ALDOA
ACTN2,CAMK2B
ACTN2,ITGB1
ACTN2,GRIN2A
ACTN2,CAMK2A
ACTN2,RHOA
ACTN2,RASGRF1
ACTN2,HRAS
ACTN2,PIK3R1
ACTN2,TTN
ACTN2,NEFL
ACTN2,VTI1B
ACTN2,VEGFA
PML,TRIM24
PML,RNF4
PML,TULP3
PML,RBX1
PML,SPTA1
PML,RAD51
PML,UBE2I
PML,TP53
PML,WRN
PML,PSME3
PML,RPL11
PML,RUNX3
PML,SENP1
PML,SNRNP40
PML,ZMYM2
PML,POLR2E
PML,TERT
PML,TRIM25
PML,TP53BP1
PML,SF1
PML,SUZ12
PML,YAP1
PML,STAT1
PML,SAP25
PML,STAT3
PML,SMARCA4
PML,RELA
PML,PML
PML,PSMA3
PML,SQSTM1
PML,RPL5
PML,RNF123
PML,STAT2
PML,TOMM20
PML,RPTOR
PML,SMURF1
PML,TPR
PML,UBC
PML,VCAM1
PML,UBA52
PML,PTEN
PML,UBB
PML,RPS27A
PML,TRIM3
RPA2,RPL15
RPA2,SEC22B
RPA2,SYMPK
RPA2,SFPQ
RPA2,SNRPB
RPA2,SPTA1
RPA2,THOC6
RPA2,STAT3
RPA2,RPL6
RPA2,THOC1
RPA2,WRN
RPA2,UBE2A
RPA2,UBC
RPA2,RPL7
RPA2,SPTBN1
RPA2,SMC1A
RPA2,SNAI1
RPA2,TAF15
RPA2,SPTAN1
RPA2,WDR33
RPA2,SMC3
RPA2,SMARCC2
RPA2,SKIV2L2
RPA2,TP53BP1
RPA2,TRIM28
RPA2,RPA3
RPA2,SNRNP40
RPA2,SF3B3
RPA2,TIAL1
RPA2,RPL18
RPA2,RPS9
RPA2,TRIP12
RPA2,TMPO
RPA2,YAP1
RPA2,SCAMP3
RPA2,SF3B1
RPA2,TPD52L2
RPA2,TP53
RPA2,XRCC6
RPA2,YWHAE
RPA2,SYNCRIP
RPA2,SNRNP200
RPA2,UBQLN2
RPA2,RPS7
RPA2,XRCC5
RPA2,SEH1L
RPA2,U2SURP
RPA2,SUPT16H
RPA2,SF3A1
RPA2,RPL18A
RPA2,TEX10
RPA2,TFRC
RPA2,UBE2M
RPA2,TARDBP
RPA2,WDR76
RPA2,SF3B2
RPA2,RPS27A
RPA2,UBE2L6
RPA2,UBB
RPA2,TYMS
RPA2,UBE2N
RPA2,TRIM25
RPA2,XAB2
RPA2,YWHAZ
RPA2,UBA52
RPA2,TCEA1
RPA2,XRCC3
STAT3,TRAF6
STAT3,TRIM24
STAT3,TRIM28
STAT3,TRIM25
STAT3,TBCD
STAT3,STAT3
STAT3,SYK
STAT3,VEGFA
STAT3,TWIST1
STAT3,TLR2
STAT3,TNF
STAT3,TLR9
STAT3,TYK2
STAT3,SUZ12
STAT3,VCAM1
STAT3,STAT4
STAT3,TP53
STAT3,ZMYM2
STAT3,TLR4
STAT3,YES1
ARF1,USP39
ARF1,NPRL2
ARF1,RICTOR
ARF1,COX15
ARF1,DNM1L
ARF1,CUL7
ARF1,COPB1
ARF1,TSC1
ARF1,RALA
ARF1,ITGA4
ARF1,HSP90AB1
ARF1,UBC
ARF1,TUFM
ARF1,RAB1A
ARF1,WBP11
ARF1,NRAS
ARF1,VPS51
ARF1,FBXO6
ARF1,KHSRP
ARF1,DLD
ARF1,CAND1
ARF1,CTNNB1
ARF1,IGF1R
ARF1,RAB6A
ARF1,SLC33A1
ARF1,HUWE1
ARF1,SOAT1
