source,target
MSH6,MYC
MSH6,NTRK1
MSH6,SIRT7
CAPN1,HNRNPL
CAPN1,MYC
CAPN1,ESR2
CAPN1,NTRK1
CAPN1,SIRT7
CAPN1,ITGA4
CDKN1A,MDM2
CDKN1A,TRMT2A
CDKN1A,HDAC2
CDKN1A,MYC
CDKN1A,CREB1
FOS,FOS
FOS,FOSL2
FOS,IRF9
FOS,MYC
NTRK1,NTRK1
NTRK1,ZC3H7A
NTRK1,RPL10
ITGA4,RPL10
ITGA4,ITGA4
HNRNPL,NTRK1
HNRNPL,RC3H2
HNRNPL,HNRNPL
HNRNPL,MAP2K3
HNRNPL,MYC
HNRNPL,PYHIN1
HNRNPL,ITGA4
HNRNPL,HOXC4
HNRNPL,KIAA0368
ESR2,ESR2
ESR2,SIRT7
ESR2,ITSN2
ESR2,MDM2
ESR2,ZC3H3
ESR2,RBM23
ESR2,RPL10
ESR2,HDAC2
ESR2,ZC3H7A
ESR2,KIAA1429
ESR2,FOS
AURKB,EGLN3
AURKB,RPL10
AURKB,MYC
AURKB,AURKB
AURKB,RC3H2
HDAC2,SIRT7
HDAC2,RPL10
HDAC2,HDAC2
HDAC2,MYC
HDAC2,NTRK1
HDAC2,MDM2
HDAC2,KIAA1429
HDAC2,PYHIN1
HDAC2,HIF1AN
MAGEA1,TRIM41
MAGEA1,MYC
AKAP17A,ESR2
AKAP17A,ANKRD17
STX11,STX11
KIAA0368,SIRT7
KIAA0368,KIAA1429
KIAA0368,NTRK1
HIF1AN,HIF1AN
TRIM41,TRIM41
TRIM41,ZNF263
MYC,NTRK1
MYC,ZC3H7A
MYC,MYC
GBF1,KIAA1429
GBF1,KIAA0368
GBF1,NTRK1
APC,CSNK1A1
APC,EGLN3
APC,APC
APC,KIAA1429
CREB1,HDAC2
CREB1,CREB1
CREB1,ESR2
CREB1,FOS
MDM2,MYC
MDM2,MDM2
MDM2,PYHIN1
MDM2,SIRT7
MAP2K3,MYC
MAP2K3,MAP2K3
RPL10,RPL10
RPL10,SIRT7
ITSN2,ITSN2
ITSN2,KIAA1429
FOSL2,HNRNPL
FOSL2,KIAA1429
CSNK1A1,EGLN3
CSNK1A1,HDAC2
CSNK1A1,MDM2
CSNK1A1,NTRK1
CSNK1A1,ITGA4
CSNK1A1,HNRNPL
CSNK1A1,ESR2
HOXC4,HOXD4
FGFR1OP,HNRNPL
FGFR1OP,FGFR1OP
DUSP5,DUSP5
BAP1,HDAC2
ANKRD17,HNRNPL
ANKRD17,IRF9
ANKRD17,KIAA0368
ANKRD17,ZC3H3
ANKRD17,ESR2
ANKRD17,STX11
ANKRD17,FGFR1OP
ANKRD17,CAPN1
ANKRD17,TRIM41
ANKRD17,MAGEA1
ANKRD17,TRMT2A
ANKRD17,DUSP5
ANKRD17,CDKN1A
ANKRD17,GBF1
ANKRD17,ZNF414
ANKRD17,FGF3
ANKRD17,TCEANC2
ANKRD17,AURKB
ANKRD17,KIAA1429
ANKRD17,ZNF263
ANKRD17,SIX2
ANKRD17,MAP2K3
ANKRD17,CDX1
ANKRD17,HOXD4
ANKRD17,ITSN2
ANKRD17,CREB1
ANKRD17,SIRT7
ANKRD17,BAP1
ANKRD17,HIF1AN
ANKRD17,FGF8
ANKRD17,MDM2
ANKRD17,HDAC2
ANKRD17,ITGA4
ANKRD17,EGLN3
ANKRD17,RC3H2
ANKRD17,LHX9
ANKRD17,APC
ANKRD17,SFRP4
ANKRD17,PYHIN1
ANKRD17,CSNK1A1
ANKRD17,ZC3H7A
ANKRD17,NTRK1
ANKRD17,FOS
ANKRD17,HOXC4
ANKRD17,TGIF2LY
ANKRD17,RBM23
ANKRD17,MSH6
ANKRD17,FOSL2
ANKRD17,MYC
ANKRD17,RPL10
RC3H2,RPL10
RC3H2,RC3H2
PYHIN1,PYHIN1
PYHIN1,RPL10
ZC3H7A,ZC3H7A
EGLN3,RPL10
EGLN3,GBF1
EGLN3,EGLN3
EGLN3,KIAA0368
EGLN3,MSH6
EGLN3,HIF1AN
KIAA1429,MSH6
KIAA1429,MYC
KIAA1429,NTRK1
KIAA1429,RC3H2
KIAA1429,KIAA1429
KIAA1429,SIRT7
KIAA1429,RPL10
CDX1,RBM23
ADH6,ANKRD17
