"node","type"
"10298.GD_HHV11",0
"10298.NP04_HHV11",0
"10298.ICP22_HHV11",0
"10298.VP16_HHV11",0
"10298.TEG5_HHV11",0
"10298.VP22_HHV11",0
"10298.GE_HHV11",0
"10298.US03_HHV11",0
"10298.ICP4_HHV11",0
"10298.UL16_HHV11",0
"10298.ICP27_HHV11",0
"10298.GC_HHV11",0
"10298.UL13_HHV11",0
"10298.GM_HHV11",0
"10298.SHUT_HHV11",0
"10298.US9_HHV11",0
"10298.RIR1_HHV11",0
"10298.GB_HHV11",0
"10298.OBP_HHV11",0
"10298.RNB_HHV11",0
"10298.GK_HHV11",0
"10298.GG_HHV11",0
"10298.GL_HHV11",0
"10298.GJ_HHV11",0
"10298.TEG3_HHV11",0
"10298.ICP0_HHV11",0
"10298.GH_HHV11",0
"10298.ICP34_HHV11",0
"10298.GN_HHV11",0
"10298.UL31_HHV11",0
"10298.VP26_HHV11",0
"10298.UL07_HHV11",0
"10298.PAP_HHV11",0
"10298.GI_HHV11",0
"M6PR",1
"HS3ST1",1
"KRT14",1
"CDK13",1
"CDC34",1
"HAP1",1
"CSNK2A3",1
"TSC2",1
"BRF2",1
"CRX",1
"CCND1",1
"CDKN1B",1
"HCFC2",1
"ULBP1",1
"TBPL1",1
"DUSP1",1
"ZNF225",1
"DUSP4",1
"DDX39A",1
"EFNB2",1
"C3",1
"CDC25B",1
"TBPL2",1
"MICB",1
"PVRL2",1
"BST2",1
"JUND",1
"AP3B1",1
"KRAS",1
"RIPK1",1
"IER3",1
"TLR2",1
"POU2F3",1
"CCND2",1
"UBE2K",1
"MYO5C",1
"DNAJA3",1
"SELP",1
"PVRL1",1
"GPC1",1
"UBE2S",1
"STAT3",1
"IDE",1
"CDK2",1
"ERBB3",1
"TP53",1
"ERBB2",1
"CALM2",1
"EGFR",1
"MED21",1
"MYO5B",1
"STAT5B",1
"HPGDS",1
"T",1
"FIGF",1
"HSP90B1",1
"STAT6",1
"RRM1",1
"JUNB",1
"CDC25A",1
"HIPK3",1
"IRS1",1
"CXCL8",1
"ISG20",1
"KIF5B",1
"CLOCK",1
"HCFC1",1
"PABPC1",1
"PRKDC",1
"CD46",1
"STAT2",1
"SF3B2",1
"CDC25C",1
"SRSF7",1
"PPM1A",1
"POU3F2",1
"SP1",1
"YBEY",1
"TBK1",1
"PRKD1",1
"TRIM24",1
"STAT5A",1
"MPP2",1
"POU1F1",1
"USP7",1
"DUSP9",1
"TAP1",1
"FBXO2",1
"TNFRSF14",1
"STAT1",1
"BECN1",1
"ABCB10",1
"POU2F1",1
"IFI16",1
"LMNA",1
"GOPC",1
"CDK19",1
"NRAS",1
"HIPK1",1
"GTF2B",1
"JUN",1
"PFDN4",1
"SLC25A5",1
"IRS4",1
"SET",1
"PABPC4",1
"CDK9",1
"RBBP4",1
"SRSF3",1
"SRSF4",1
"SRPK1",1
"UBE2D1",1
"TAP2",1
"CDSN",1
"PHKA2",1
"CDK8",1
"POU2AF1",1
"CDK1",1
"DDX39B",1
"DDX17",1
"MYO5A",1
"XPO1",1
"IFI30",1
"HIPK2",1
"GDI1",1
"CD44",1
"CDK12",1
"TEN1-CDK3",1
"LMLN",1
"IL10",1
"ANP32A",1
"TAF1L",1
"ALYREF",1
"EIF4E",1
"POU2F2",1
"CREBZF",1
"BRF1",1
"regulation of DNA recombination",6
"autophagosome assembly",6
"ribosomal subunit export from nucleus",6
"ribosomal large subunit export from nucleus",6
"ribosomal small subunit export from nucleus",6
"DNA damage checkpoint",6
"regulation of cyclin-dependent protein serine/threonine kinase activity",6
"G1/S transition of mitotic cell cycle",6
"G2/M transition of mitotic cell cycle",6
"negative regulation of transcription by RNA polymerase II",6
"histone acetyltransferase complex",6
"transcription factor TFIIIB complex",6
"Golgi membrane",6
"microfilament motor activity",6
"ubiquitin ligase complex",6
"MAPK cascade",6
"3'-5'-exoribonuclease activity",6
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",6
"activation of MAPKK activity",6
"activation of MAPK activity",6
"inactivation of MAPK activity",6
"protein polyubiquitination",6
"microtubule cytoskeleton organization",6
"nuclear chromosome",6
"spliceosomal complex assembly",6
"mitotic cell cycle",6
"magnesium ion binding",6
"adenine nucleotide transmembrane transporter activity",6
"cyclin-dependent protein kinase holoenzyme complex",6
"re-entry into mitotic cell cycle",6
"RNA cap binding",6
"RNA 7-methylguanosine cap binding",6
"transcription export complex",6
"RNA splicing, via transesterification reactions",6
"alternative mRNA splicing, via spliceosome",6
"regulation of alternative mRNA splicing, via spliceosome",6
"mRNA splicing, via spliceosome",6
"phagophore assembly site",6
"autophagosome membrane",6
"autophagy of mitochondrion",6
"mitophagy",6
"telomere maintenance",6
"DNA strand renaturation",6
"DNA catabolic process, exonucleolytic",6
"kinetochore",6
"chromosome, telomeric region",6
"nuclear chromosome, telomeric region",6
"chromatin",6
"nuclear chromatin",6
"condensed chromosome",6
"X chromosome",6
"Y chromosome",6
"cell morphogenesis",6
"spindle pole",6
"P-body",6
"transcription regulatory region sequence-specific DNA binding",6
"RNA polymerase II regulatory region sequence-specific DNA binding",6
"RNA polymerase II cis-regulatory region sequence-specific DNA binding",6
"RNA polymerase II core promoter sequence-specific DNA binding",6
"DNA-binding transcription factor activity, RNA polymerase II-specific",6
"cis-regulatory region sequence-specific DNA binding",6
"RNA polymerase II complex binding",6
"RNA polymerase III type 3 promoter sequence-specific DNA binding",6
"RNA polymerase III regulatory region DNA binding",6
"RNA polymerase III type 3 promoter DNA binding",6
"RNA polymerase I core binding",6
"core promoter sequence-specific DNA binding",6
"core promoter binding",6
"RNA polymerase II transcription factor binding",6
"TFIID-class transcription factor complex binding",6
"RNA polymerase II activating transcription factor binding",6
"RNA polymerase II repressing transcription factor binding",6
"RNA polymerase II complex recruiting activity",6
"transcriptional start site selection at RNA polymerase II promoter",6
"transcription coactivator binding",6
"DNA-binding transcription repressor activity, RNA polymerase II-specific",6
"DNA-binding transcription activator activity, RNA polymerase II-specific",6
"ossification",6
"retinoid metabolic process",6
"angiogenesis",6
"lipopolysaccharide binding",6
"cornified envelope",6
"amyloid-beta binding",6
"luteinization",6
"oocyte maturation",6
"vasculogenesis",6
"virus receptor activity",6
"osteoblast differentiation",6
"eye development",6
"temperature homeostasis",6
"behavioral fear response",6
"response to hypoxia",6
"acrosome assembly",6
"in utero embryonic development",6
"endoderm formation",6
"cell fate specification",6
"ruffle",6
"photoreceptor outer segment",6
"eye photoreceptor cell differentiation",6
"somitogenesis",6
"microglial cell activation",6
"cell activation",6
"natural killer cell differentiation",6
"phosphotyrosine residue binding",6
"positive regulation of type IIa hypersensitivity",6
"negative regulation of cytokine production",6
"positive regulation of cytokine production",6
"blastocyst development",6
"trophectodermal cell differentiation",6
"blastocyst hatching",6
"release of cytochrome c from mitochondria",6
"epithelial to mesenchymal transition",6
"neural tube closure",6
"lipopolysaccharide immune receptor activity",6
"liver development",6
"placenta development",6
"embryonic placenta development",6
"positive regulation of T cell mediated cytotoxicity",6
"regulation of protein phosphorylation",6
"negative regulation of protein phosphorylation",6
"positive regulation of protein phosphorylation",6
"negative regulation of endothelial cell proliferation",6
