"node","type"
"11137.PRO_0000037295",0
"11137.PRO_0000037299",0
"11137.NCAP_CVH22",0
"TGFB1",2
"CD79A",2
"FGL2",2
"SMAD7",2
"SMAD2",2
"SMAD6",2
"SMAD3",2
"SMAD4",2
"SMAD9",2
"SMAD5",2
"ELAVL1",2
"EPHA2",2
"HDAC5",2
"EGFR",2
"AKAP8L",2
"PDCD4",2
"KRT18",2
"ITGB1",2
"FN1",2
"HRAS",2
"ALDOA",2
"KPNA2",2
"MYC",2
"SIRT1",2
"GSK3B",2
"MAPK1",2
"FLI1",2
"CUL4A",2
"ACTN4",2
"ISG15",2
"BAG2",2
"NCBP1",2
"ADSL",2
"CEP135",2
"EP300",2
"SUMO1",2
"ESR1",2
"CSNK2B",2
"C1orf116",2
"DDX1",2
"CCNT1",2
"BGN",2
"KRAS",2
"NCOR2",2
"DDB1",2
"EZH2",2
"EIF5B",2
"HGS",2
"SF1",2
"CUL1",2
"CITED2",2
"APP",2
"HSPA5",2
"SRRM2",2
"EPN1",2
"DHX8",2
"EIF3E",2
"BRCA2",2
"NR0B2",2
"EWSR1",2
"DACH1",2
"BRCA1",2
"BDH1",2
"MTMR4",2
"CHUK",2
"HIST1H4A",2
"LIN28A",2
"HIF1A",2
"CDC37",2
"ATG16L1",2
"RPL27A",2
"CANX",2
"CAV1",2
"RPL23A",2
"CEBPB",2
"RNF123",2
"PPARG",2
"HDAC1",2
"ALDH18A1",2
"CDK9",2
"ITCH",2
"APOOL",2
"HSPH1",2
"DCAF7",2
"HNRNPU",2
"EMD",2
"DYNLRB1",2
"MCM7",2
"NR4A1",2
"GIT2",2
"USP15",2
"PPP2R2A",2
"GNB2L1",2
"HSPD1",2
"CDH1",2
"BAG3",2
"DAXX",2
"HECW2",2
"APOB",2
"RNF31",2
"PARP1",2
"JUN",2
"AP2A1",2
"MAP3K7",2
"HDLBP",2
"UBC",2
"BECN1",2
"HSPA4",2
"ASH2L",2
"HDAC3",2
"CCNC",2
"SNW1",2
"POU5F1",2
"MTOR",2
"TP53",2
"ATP5A1",2
"CUL5",2
"FOXH1",2
"PEX19",2
"COPS5",2
"DDX5",2
"POLR2A",2
"A2M",2
"ACTB",2
"HSPA9",2
"PSMD8",2
"CUL2",2
"SUZ12",2
"GRB2",2
"SAR1A",2
"CDK2",2
"LCK",2
"APEX1",2
"PCBP1",2
"NDUFS3",2
"DDX39B",2
"AHR",2
"HSPA8",2
"PRKDC",2
"EPRS",2
"CDC16",2
"RPL7",2
"PCNA",2
"BTRC",2
"RUVBL1",2
"RPS13",2
"E2F4",2
"DYRK1A",2
"HMG20A",2
"SNIP1",2
"CBL",2
"NMT1",2
"RXRA",2
"EID2",2
"PRMT6",2
"ARNT",2
"CHD8",2
"EEF2",2
"CCND1",2
"SHC1",2
"PSMD11",2
"RPS27",2
"DYNC1H1",2
"RPS8",2
"NEDD4L",2
"ERBB2IP",2
"MTA3",2
"NR2C2",2
"MED15",2
"ATP6V1E1",2
"AKT1",2
"FOXO1",2
"PPP1CC",2
"HDAC2",2
"HDAC6",2
"ACTR1B",2
"AHSG",2
"GATA2",2
"CTNNB1",2
"CREBBP",2
"DDX3X",2
"FOXP3",2
"CTBP1",2
"CDC25A",2
"LSR",2
"KDM1A",2
"ACTN2",2
"CNKSR1",2
"ATM",2
"RPL11",2
"CSK",2
"IGF1",2
"MCM4",2
"RPL24",2
"ARID1A",2
"ACTA2",2
"ITPR2",2
"RPL10",2
"RPL9",2
"DIRAS3",2
"FOXG1",2
"CAD",2
"BMPR1A",2
"GFPT1",2
"RBPMS",2
"NR3C1",2
"GNPDA1",2
"HUWE1",2
"RPL4",2
"CHMP3",2
"THOC2",2
"CLU",2
"OTUD1",2
"PIK3CA",2
"GGA1",2
"KANSL1",2
"KPNB1",2
"EEF1A1",2
"DKK3",2
"METAP1",2
"RPS10",2
"TUFM",2
"CLNS1A",2
"TCP1",2
"ISL1",2
"FBLN1",2
"DSTN",2
"TSC22D1",2
"FGB",2
"MYOD1",2
"HERC5",2
"STRAP",2
"NCK1",2
"CDK8",2
"FXR2",2
"LEF1",2
"STAT3",2
"PIN1",2
"PRPF40A",2
"ARID1B",2
"HIPK2",2
"FHL3",2
"MTF2",2
"ACTN1",2
"ANGPTL4",2
"CCT6A",2
"MAX",2
"LDLRAD4",2
"PPP2R1A",2
"CDC20",2
"FTSJ3",2
"SLC9A3R2",2
"PPP1CA",2
"PTEN",2
"TSC22D4",2
"MAPK6",2
"RELA",2
"CTBP2",2
"CDK4",2
"KDM5C",2
"NLK",2
"RPL13",2
"IRS1",2
"PELP1",2
"RMND5A",2
"PPIE",2
"DAB2",2
"THRAP3",2
"FBXO6",2
"AR",2
"NUDCD2",2
"EIF1AX",2
"PTPN11",2
"RALA",2
"ANP32B",2
"DHPS",2
"ANP32E",2
"APMAP",2
"ADSS",2
"OTUB1",2
"RPS4X",2
"CTDSP2",2
"PML",2
"KEAP1",2
"BMP7",2
"OS9",2
"PRKAR1A",2
"RPS11",2
"ITPR3",2
"NSF",2
"METTL14",2
"IBTK",2
"ELAC2",2
"CCT2",2
"PSG8",2
"LATS2",2
"PIAS4",2
"FOXM1",2
"RPL3",2
"KLF5",2
"TRIM25",2
"MCM3AP",2
"RPS18",2
"CDKN2A",2
"GANAB",2
"NCOA3",2
"KNG1",2
"PDIA3",2
"SRGN",2
"DCUN1D1",2
"NUP153",2
"RUNX2",2
"RPL23",2
"NHLRC2",2
"ANKRD13A",2
"UBE2D1",2
"RBBP7",2
"MAGI1",2
"ACVR1B",2
"RPL12",2
"IMMT",2
"CRYAB",2
"CFLAR",2
"KDM6A",2
"CBLB",2
"UBA1",2
"HARS2",2
"FNTA",2
"GLI1",2
"USP11",2
"EIF3C",2
"LYN",2
"CAMK2G",2
"TFDP1",2
"SUV39H2",2
"NEK4",2
"SF3B3",2
"SPTBN1",2
"STUB1",2
"ACVR1",2
"ATF2",2
"JUNB",2
"EIF6",2
"RUVBL2",2
"SCCPDH",2
"TNIP2",2
"CDK5RAP2",2
"EPS15",2
"NCOA2",2
"CDKN1A",2
"TLE1",2
"RMND5B",2
"ALB",2
"CORO1A",2
"LRP5",2
"RBM4",2
"SLC25A5",2
"SNRNP70",2
"EIF4A3",2
"HSPB1",2
"MAPK14",2
"RPS14",2
"RPL28",2
"ATP1B4",2
"NEDD4",2
"HLA-A",2
"MAP3K1",2
"BCR",2
"BCL6",2
"HSPA1A",2
"SAP130",2
"INSR",2
"MEOX2",2
"GSK3A",2
"CTCF",2
"DNAJC7",2
"DNAJA1",2
"BLNK",2
"TDG",2
"TNFAIP3",2
"CAPN1",2
"HCLS1",2
"PTPN5",2
"CTDSPL",2
"PABPC1",2
"RANBP9",2
"BLZF1",2
"RPS6",2
"WDR77",2
"CAMK2A",2
"CUL4B",2
"SAP18",2
"NCOR1",2
"GMEB1",2
"MAPT",2
"PPP2R5E",2
"BAZ1A",2
"KHDRBS1",2
"KAT2B",2
"BUB3",2
"DNAJA2",2
"FHL1",2
"PPP2R5D",2
"AGR3",2
"RAD51",2
"RBX1",2
"METTL3",2
"SRPK1",2
"HNRNPK",2
"GREB1",2
"PPP1CB",2
"SMARCC1",2
"GRN",2
"SKP2",2
"TUBB",2
"FYN",2
"SPARC",2
"ACVR2B",2
"SOX2",2
"VSIG8",2
"CRX",2
"HEY1",2
"PJA1",2
"SETD2",2
"LEMD3",2
"RPS27A",2
"NANOG",2
"NUP214",2
"SFPQ",2
"DES",2
"DOT1L",2
"PTPN4",2
"IRF4",2
"ACTG1",2
"INPP5D",2
"CEBPA",2
"TAB2",2
"AES",2
"COL1A1",2
"HDAC4",2
"CCNK",2
"EEF1B2",2
"PLCG1",2
"MAPK8",2
"CD72",2
"SERPINB5",2
"CD19",2
"RLIM",2
"ETS1",2
"PABPC4",2
"PTPN6",2
"TCF7L2",2
"EPAS1",2
"SAP30",2
"RPA1",2
"CTNND1",2
"CPSF7",2
"SLC25A6",2
"CASP1",2
"FHL2",2
"MED6",2
"NFKB1",2
"TCF3",2
"HECTD1",2
"SUMO2",2
"ITGAV",2
"RPN1",2
"PCDH1",2
"DNAJA3",2
"ATP1A3",2
"RRBP1",2
"TMEM57",2
"ACACA",2
"NOTCH1",2
"ABCF2",2
"RNF11",2
"CDC27",2
"PKP2",2
"MAPK3",2
"HIVEP1",2
"LRRC32",2
"DEFA1",2
"FOXO3",2
"NUP107",2
"ALDOC",2
"DCAF4",2
"PLEKHO1",2
"ATF3",2
"AMHR2",2
"FERMT3",2
"ITGB4",2
"C4orf29",2
"FGA",2
"SF3B1",2
"GATAD2B",2
"FOS",2
"EVC2",2
"UBR1",2
"AATF",2
"GTF2I",2
"S100A8",2
"NFYC",2
"PSAP",2
"HP",2
"SMARCA4",2
"PRDM14",2
"CSNK1D",2
"RPL38",2
"ITGB5",2
"DAPP1",2
"EIF4B",2
"CTGF",2
"PLEC",2
"RBL1",2
"FANCA",2
"IMPDH2",2
"FLNA",2
"PROX1",2
"BPTF",2
"COPB1",2
"USP7",2
"DNMT3L",2
"UBR5",2
"IGLL5",2
"MECOM",2
"SHMT1",2
"CTR9",2
"KLK7",2
"DDX3Y",2
"CCT8",2
"TGFBR2",2
"IPPK",2
"RPS12",2
"MAP2K3",2
"FEM1B",2
"SUV39H1",2
"BTBD2",2
"MAGED2",2
"ALYREF",2
"NME4",2
"RAB11FIP5",2
"GTF2IRD1",2
"CCDC33",2
"SMURF1",2
"ETV4",2
"PRDM16",2
"PRKCZ",2
"VIM",2
"CSNK1G2",2
"CDKN2B",2
"CDKN1B",2
"TAB1",2
"SKI",2
"SRRM1",2
"BCL2L11",2
"MYD88",2
"LACRT",2
"TRIP12",2
"CBWD1",2
"PTPN12",2
"SDC4",2
"MDM4",2
"DDX19B",2
"SMC1A",2
"ANK3",2
"EIF2A",2
"SYK",2
"PIK3R1",2
"SMAD1",2
"COL1A2",2
"MAPK10",2
"MED24",2
"KCMF1",2
"RAN",2
"GMPS",2
"AXIN1",2
"ITGA8",2
"ANAPC2",2
"PITX2",2
"NF2",2
"PSMA1",2
"SKP1",2
"KAT2A",2
"CCL5",2
"RFX1",2
"DOK1",2
"CHRD",2
"RPS6KA5",2
"MTPAP",2
"PHC2",2
"DOCK8",2
"UBQLN4",2
"FTL",2
"U2AF2",2
"ACVR2A",2
"SIK3",2
"PTPN7",2
"PIAS3",2
"PSG1",2
"GPC1",2
"TERF1",2
"TOLLIP",2
"LYZ",2
"CD79B",2
"RANBP6",2
"STK11",2
"MME",2
"AFF1",2
"CDK11A",2
"PPP6R3",2
"BACH1",2
"BLK",2
