source,target
APP,HAGH
APP,ATG12
APP,CRYAB
APP,TAB2
APP,IFIT3
APP,TRIM63
APP,HSPA4
APP,CAT
APP,ATXN3
APP,TANK
APP,HSP90AA1
APP,BRMS1
APP,STUB1
APP,CUL3
APP,MYC
APP,VCP
APP,LRP1
APP,RPAP3
APP,ZFP36
APP,LIMK1
APP,GAK
APP,CASP3
APP,PPP1CC
APP,NFKBIB
APP,RAB3D
APP,COPS5
APP,DHX58
APP,MORF4L1
APP,PARK2
APP,PHLDA1
APP,PSMD4
APP,HSPA8
APP,UBL4A
APP,DNAJB6
APP,CANX
APP,APPBP2
APP,IFI16
APP,UBE2M
APP,G3BP1
APP,BCL2L11
APP,OAS2
APP,PRSS23
APP,SAMHD1
APP,RAB5C
APP,TUBG1
APP,LARP7
APP,TMEM30A
APP,MAP3K5
APP,XAF1
APP,RAP1B
APP,VAPA
APP,TUBB
APP,STK40
APP,TOM1
APP,MDM2
APP,APP
APP,HSPD1
APP,TAGLN2
APP,H2AFY
APP,CEACAM6
APP,PRKCD
APP,SIK2
APP,HGS
APP,IFI6
APP,C11orf73
APP,DNAJB9
APP,SNCA
APP,PSEN1
APP,CCT8
APP,MAP3K11
APP,ERG
APP,IFIH1
APP,USP39
APP,PLK1
APP,ESR2
APP,GSK3B
APP,ZW10
APP,TNIP2
APP,MAPK7
APP,PPIA
APP,HSPA2
APP,VHL
APP,CDC25A
APP,PYCR2
APP,GAPDH
APP,DNAJC19
APP,DNAAF2
APP,UBE3A
APP,TRAP1
APP,HSPBP1
APP,SMAD3
APP,MKKS
APP,PSMA7
APP,NUP50
APP,TRIM25
APP,SHMT2
APP,VDAC2
APP,MX1
APP,PACRG
APP,HSPA9
APP,TXNDC5
APP,CALR
APP,CARS
APP,TBK1
APP,EGFR
APP,KIAA1429
APP,PPP5C
APP,SIRT7
APP,CCT7
APP,PIM1
APP,BRF1
APP,TRAF6
APP,NPM1
APP,RBX1
APP,PTGS2
APP,YY1
APP,FKBP5
APP,NCSTN
APP,TARDBP
APP,TSSK6
APP,ATG16L1
APP,PPID
APP,IRF2
APP,FOS
APP,CDK3
APP,PRKCG
APP,MAPK8
APP,DNAJB1
APP,ZAP70
APP,CSNK2A1
APP,TRIM40
APP,MAPT
APP,FES
APP,PPP1R10
APP,KCNJ10
APP,STIP1
APP,NFKB1
APP,OPRD1
APP,GPC1
APP,IDE
APP,TP53
APP,SOD1
APP,OLA1
APP,CASP8
APP,S100B
APP,DNAJC3
APP,PRNP
APP,CXCL10
APP,CAPZA2
APP,CKAP4
APP,FPR1
APP,GRK5
APP,HSP90B1
APP,HSPA5
APP,C3AR1
APP,NTRK1
APP,NFKB2
APP,HTT
APP,SSTR3
APP,VIMP
APP,RELA
APP,MEN1
APP,MME
APP,VEGFA
APP,GPR37
APP,PSAP
APPBP2,HSPA4
APPBP2,RNF123
APPBP2,MB21D1
APPBP2,IKBKE
APPBP2,AR
BCL3,HDAC3
BCL3,HDAC1
BCL3,CYLD
BCL3,FOS
BCL3,NFKB2
BCL3,NFKB1
BCL3,FBXW8
BCL3,HSPA4
BCL3,HDAC6
BCL3,RNF123
BCL3,RCOR1
BCL3,GSK3B
BCL3,CHUK
BCL3,RUVBL1
BCL3,HSPH1
BCL3,TRAF6
BCL3,ESR1
BCL3,STAT1
BCL3,COPS5
BCL3,HSPA6
BCL3,NFKBIA
BCL3,REL
BCL3,RELA
BARD1,TP53
BARD1,UIMC1
BARD1,NBN
BARD1,FAM175A
BARD1,HSPA4
BARD1,RELA
BARD1,UBE2D3
BARD1,OLA1
BARD1,PPP1CC
BARD1,SAMHD1
BARD1,UBE2D2
BARD1,PCBP2
BARD1,VCP
BARD1,COMMD1
BARD1,H2AFY
BARD1,TERF2
BARD1,ESR1
BARD1,NFKBIA
BARD1,MOV10
BARD1,PSMA7
BARD1,NPM1
BARD1,XRCC5
BARD1,UBE2K
BARD1,UBE3A
BARD1,GNB2L1
BARD1,UBE2D1
BARD1,BRCA1
BARD1,BARD1
BARD1,LARP7
BARD1,CDK2
BARD1,PPM1G
BARD1,TERF1
BARD1,CDK1
BARD1,HAP1
BARD1,BCL3
BARD1,HSPA14
BARD1,MEPCE
BARD1,FANCC
BARD1,RAD52
BRCA1,RNF216
BRCA1,RICTOR
BRCA1,RPTOR
BRCA1,RAD52
BRCA1,KARS
BRCA1,PSMA7
BRCA1,TP53
BRCA1,PSAP
BRCA1,RPAP3
BRCA1,PPP1CA
BRCA1,TARDBP
BRCA1,MOV10
BRCA1,NUP160
BRCA1,NUP214
BRCA1,MORF4L1
BRCA1,HIF1A
BRCA1,CDC25C
BRCA1,UBE2D1
BRCA1,XIAP
BRCA1,NUP93
BRCA1,WWOX
BRCA1,CDKN2A
BRCA1,JUP
BRCA1,STAT1
BRCA1,ENO1
BRCA1,UIMC1
BRCA1,IFI16
BRCA1,NBN
BRCA1,SMAD3
BRCA1,MTOR
BRCA1,HNRNPD
BRCA1,FKBP4
BRCA1,TERF2
BRCA1,H2AFY
BRCA1,UBE2D3
BRCA1,PA2G4
BRCA1,NUP153
BRCA1,OLA1
BRCA1,STIP1
BRCA1,CDK2
BRCA1,HSPA8
BRCA1,MB21D1
BRCA1,HSPD1
BRCA1,HSP90AA1
BRCA1,PPP1CC
BRCA1,DNAJC10
BRCA1,HSPA4L
BRCA1,CSNK2A1
BRCA1,MAP3K3
BRCA1,HDAC1
BRCA1,PSMC2
BRCA1,HDAC2
BRCA1,RDX
BRCA1,HSP90AB1
BRCA1,HUWE1
BRCA1,RPS3
BRCA1,FANCC
BRCA1,VCP
BRCA1,XRCC5
BRCA1,TPR
BRCA1,MYC
BRCA1,EZR
BRCA1,UBE2L3
BRCA1,PPP1CB
BRCA1,BRCA1
BRCA1,TUBG1
BRCA1,HSPA5
BRCA1,GART
BRCA1,RELA
BRCA1,PLK1
BRCA1,DNAJA2
BRCA1,CDK1
BRCA1,PPP6R1
BRCA1,EEF2
BRCA1,UBE2K
BRCA1,RUVBL1
BRCA1,DNAJA4
BRCA1,MORF4L2
BRCA1,ESR2
BRCA1,PSMD4
BRCA1,TCP1
BRCA1,CCT8
BRCA1,GNB2L1
BRCA1,TRIM25
BRCA1,KRT18
BRCA1,VEGFA
BRCA1,CCT4
BRCA1,CCT6A
BRCA1,EFTUD2
BRCA1,POM121
BRCA1,HSPA14
BRCA1,TP73
BRCA1,EGR1
BRCA1,TFRC
BRCA1,MAP3K1
BRCA1,TUBB
BRCA1,HNRNPK
BRCA1,DNMT1
BRCA1,TERF1
BRCA1,HSPA4
BRCA1,HSPH1
BRCA1,FAM175A
BRCA1,HSPA9
BRCA1,ESR1
BRCA1,UBE3A
BRCA1,HCFC1
BRCA1,CCT7
BRCA1,DNAJA3
BRCA1,SEC23IP
BRCA1,PREP
BRCA1,CCT3
BRCA1,HSPA1L
BRCA1,MSN
BRCA1,NUP155
BRCA1,COMMD1
BRCA1,CAND1
BRCA1,DNAJA1
BRCA1,GRPEL1
BRCA1,PCBP2
BRCA1,RPSA
BRCA1,CLTC
BRCA1,NPM1
BRCA1,NUP107
BRCA1,NUP133
BRCA1,HSPB1
BRCA1,CCT5
BRCA1,UBE2D2
BRCA1,TERF2IP
BRCA1,RECQL4
BRCA1,EGLN3
BRCA1,DNAJB1
BRCA1,PAICS
BRCA1,SQSTM1
BRCA1,SEC23A
BRCA1,NDC1
BRCA1,CCT2
BRCA1,GAPDH
BRCA1,HSP90B1
BRCA1,MARK4
BRCA1,ERBB2
BRCA1,CASP3
BRCA1,WDTC1
BRCA1,PTEN
CDC25A,NFKBIB
CDC25A,VAMP8
CDC25A,CDK2
CDC25A,CDC25A
CDC25A,PIM1
CDC25A,VCP
CDC25A,STIP1
CDC25A,ERBB2
CDC25A,PPM1G
CDC25A,CUL1
CDC25A,RAF1
CDC25A,CSNK1A1
CDC25A,DNAJC10
CDC25A,SMAD3
CDC25A,EGFR
CDC25A,CUL3
CDC25A,CDK3
CDC25A,PRKCD
CDC25A,FGFR3
CDC25A,NUP188
CDC25A,MAP3K5
CDC25A,HLA-C
CDC25A,NXF1
CDC25A,EEF1A1
CDC25A,RELA
CDC25A,PRKAA1
CDC25A,NAA10
CDC25A,EGLN3
CDC25A,FTH1
CDC25A,CDK1
CDC25A,PSMA3
CDC25A,PSMD10
CDC25A,IFIH1
CDC25A,PLK1
CDC25A,LIN37
CDC25A,PSMC2
CDC25A,USP17L1P
CDC25A,USP17L11
CDC25A,PSMD4
CDC25A,DTL
CDC25A,USP17L22
CDC25A,RCE1
CDC25A,USP17L21
CDC25A,MYC
CDC25A,USP17L18
CDC25A,USP17L3
CDC25A,USP17L19
CDC25A,USP17L8
CDC25A,DDX58
CDC25A,USP17L20
CDC25A,USP17L13
CDC25A,USP17L17
CDC25A,USP17L15
CDC25A,USP17L2
CDC25A,USP17L10
CDC25A,USP17L5
CDC25A,PSMB8
CDC25A,PSMA7
CDC25A,USP17L12
CDC25A,CDC25C
CDC25A,USP17L4
CDK2,NR2C2
CDK2,MSN
CDK2,LIN37
CDK2,SNRPE
CDK2,PHB
CDK2,HSPA8
CDK2,ST13
CDK2,CDK3
CDK2,TP53
CDK2,UBE2M
CDK2,JUP
CDK2,NBN
CDK2,SEC23A
CDK2,FKBP4
CDK2,SMAD2
CDK2,CYB5R3
CDK2,IFITM2
CDK2,GNB2L1
CDK2,XRCC5
CDK2,NPM1
CDK2,HIF1A
CDK2,NTRK1
CDK2,HSPD1
CDK2,PPP1CA
CDK2,PIH1D1
CDK2,NEDD8
CDK2,HSPA5
CDK2,DNMT1
CDK2,VDAC1
CDK2,HSPA9
CDK2,EEF1A1
CDK2,VDAC2
CDK2,PPP1CC
CDK2,TCP1
CDK2,HSPE1
CDK2,EEF2
CDK2,SMAD3
CDK2,CLTC
CDK2,EGLN3
CDK2,ESR1
CDK2,PCBP2
CDK2,COPS5
CDK2,VCP
CDK2,HSP90B1
CDK2,MAPT
CDK2,PPIA
CDK2,TAGLN2
CDK2,RPS3
CDK2,LARP7
CDK2,IKBKG
CDK2,OFD1
CDK2,HNRNPK
CDK2,HNRNPD
CDK2,HSP90AB1
CDK2,TP73
CDK2,PRDX3
CDK2,MYC
CDK2,TXN
CDK2,RAB5C
CDK2,ENO1
CDK2,KAT2B
CDK2,DTL
CDK2,CYCS
CDK2,CDK2
CDK2,HCFC1
CDK2,PPP1CB
CDK2,TUBG1
CDK2,HADHA
CDK2,REL
CDK2,PAICS
CDK2,HSPA4
CDK2,CUL1
CDK2,GAPDH
CDK2,RECQL4
CDK2,MAP3K5
CDK2,EFTUD2
CDK2,HSP90AA1
CDK2,VHL
CDK2,PA2G4
CDK2,SAMHD1
CDK2,HEXIM1
CDK2,SIRT1
CDK2,RBX1
CDK2,PSMA3
CDK2,PSMD10
CDK2,MDM2
CDK2,CDKN2A
CDK2,PSMC2
CDK2,IFNAR1
CDK2,PSMD4
CDK2,MCL1
CDK2,HDAC1
CDK2,FAM175A
CDK2,PSMB8
CDK2,PSMA7
CDK2,UBE2D1
CDK2,UIMC1
CLTC,COPS5
CLTC,TOM1
CLTC,NTRK1
CLTC,NXF1
CLTC,CUL1
CLTC,VDAC2
CLTC,SIRT7
CLTC,HGS
CLTC,TNIP2
CLTC,TCF7L2
CLTC,HEXIM1
CLTC,SNCA
CLTC,GRWD1
CLTC,ERG
CLTC,OFD1
CLTC,GAK
CLTC,UBE3A
CLTC,MEPCE
CLTC,LARP7
CLTC,CYLD
CLTC,NPM1
CLTC,HDAC5
CLTC,HSPA4
CLTC,NDRG1
CLTC,SEC23A
CLTC,MAP3K7
CLTC,IKBKE
CLTC,CUL5
CLTC,IKBKB
CLTC,TMPO
CLTC,VDAC1
CLTC,DDOST
CLTC,PHB
CLTC,PTPN23
CLTC,RANBP2
CLTC,PPP1CC
CLTC,TP53
CLTC,KIAA1429
CLTC,ISG15
CLTC,UNK
CLTC,EFTUD2
CLTC,ESR1
CLTC,PPP1CA
CLTC,NR2C2
CLTC,RECQL4
CLTC,HSPA1A
CLTC,PRPF8
CLTC,DNAJA3
CLTC,CUL3
CLTC,HSPA8
CLTC,RICTOR
CLTC,HSP90B1
CLTC,CSNK1A1
CLTC,RPSA
CLTC,STOM
CLTC,UBL4A
CLTC,DNAJC7
CLTC,LRRK2
CLTC,RNF123
CLTC,RANBP6
CLTC,JUP
CLTC,HUWE1
CLTC,NEDD8
CLTC,DNAJC6
CLTC,UBE2M
CLTC,ERBB2
CLTC,RC3H2
CLTC,PIH1D1
CLTC,VDAC3
CLTC,MYC
CLTC,VAMP8
CLTC,SCARB2
CLTC,EGFR
CLTC,SCLT1
CLTC,FADD
CLTC,UBQLN2
CLTC,HTT
CLTC,TFRC
CLTC,MSN
CLTC,EZR
CLTC,RDX
CLTC,RAB5C
HGS,MAPT
HGS,NXF1
HGS,MOV10
HGS,KRT18
HGS,MARK4
HGS,ITCH
HGS,SEC23A
HGS,TUBB
HGS,TLR4
HGS,MET
HGS,NEDD8
HGS,NTRK1
HGS,NF2
HGS,TRAP1
HGS,SMAD2
HGS,MAP3K7
HGS,HSPBP1
HGS,SMAD3
HGS,VMP1
HGS,SHMT2
HGS,HNRNPK
HGS,NUP62
HGS,NUP54
HGS,PTPN23
HGS,HSPA8
HGS,VEGFA
HGS,TFRC
HGS,MAP3K1
HGS,LAMP1
HGS,VAMP8
HGS,SCARB2
HGS,RAB5C
HGS,UBQLN2
TXN,VHL
TXN,VDAC1
TXN,UNK
TXN,UBQLN2
TXN,UBL4A
TXN,UBE2K
TXN,UBE2M
TXN,UBE2D2
SMAD3,SQSTM1
SMAD3,STUB1
SMAD3,YY1
SMAD3,TANK
SMAD3,TGFBR1
SMAD3,TRIM25
SMAD3,TP53
SMAD3,WWOX
SMAD3,TLR4
SMAD3,SMAD3
SMAD3,YAP1
SMAD3,TCP1
SMAD3,SNAI1
SMAD3,UBE2D3
SMAD3,VEGFA
SMAD3,UBE2D1
CAMLG,EGFR
CAMLG,CANX
CAMLG,CAMLG
EGFR,RNF125
EGFR,NR3C1
EGFR,TRAF2
EGFR,MUC1
EGFR,HUWE1
EGFR,LRP1
EGFR,MET
EGFR,IRS4
EGFR,TUBB
EGFR,STUB1
EGFR,STAT1
EGFR,TXN
EGFR,HGS
EGFR,ERBB2
EGFR,KCNQ1
EGFR,TAB1
EGFR,TBK1
EGFR,PTEN
EGFR,JUP
EGFR,MTOR
EGFR,HSPA2
EGFR,PRKAA1
EGFR,HSPA9
EGFR,ESR2
EGFR,HCFC1
EGFR,PTGES3
EGFR,HSPA8
EGFR,VRK1
EGFR,HSP90B1
EGFR,PLVAP
EGFR,EZR
EGFR,SAMHD1
EGFR,HLA-A
EGFR,PSMA3
EGFR,PTPN23
EGFR,RIPK1
EGFR,HTT
EGFR,NTRK1
EGFR,PPP6R1
EGFR,FKBP4
EGFR,RAF1
EGFR,HSP90AA1
EGFR,PTPRR
EGFR,IKBKG
EGFR,HSPA5
EGFR,NUP85
EGFR,ESR1
EGFR,TCP1
EGFR,PLK1
EGFR,RPS3
EGFR,PSMD4
EGFR,SSH1
EGFR,G3BP1
EGFR,IFI16
EGFR,KRT18
EGFR,NPM1
EGFR,PARK2
EGFR,EGFR
EGFR,TUBG1
EGFR,VAPA
EGFR,NUP93
EGFR,TP53
EGFR,TTI2
EGFR,SMG1
EGFR,IFIT5
EGFR,MAPK8
EGFR,ITCH
EGFR,PIM1
EGFR,ZAP70
EGFR,KIAA1429
EGFR,LAMP1
EGFR,HEXIM1
EGFR,MAP3K3
EGFR,XRCC5
EGFR,PYCR2
EGFR,PRKCB
EGFR,HSPB1
EGFR,STIP1
EGFR,NAA10
EGFR,HSPA1B
EGFR,IRAK1
EGFR,MAPT
EGFR,VDAC1
EGFR,NUP153
EGFR,NF2
EGFR,FOS
EGFR,EIF2AK2
EGFR,SNCA
EGFR,HDAC6
EGFR,HDAC1
EGFR,HSPA1A
EGFR,HSPA4
EGFR,PHLDA1
EGFR,HSP90AB1
EGFR,XIAP
EGFR,PSMA7
EGFR,TFRC
EGFR,HNRNPK
EGFR,PPP5C
EGFR,GAPDH
EGFR,ZW10
EGFR,TLR2
EGFR,TTI1
EGFR,STOM
EGFR,STAT2
EGFR,YAP1
EGFR,TELO2
EGFR,MGST1
EGFR,HLA-B
EGFR,FES
EGFR,IFNG
EGFR,EGR1
EGFR,MDM2
EGFR,VAMP8
EGFR,SLC9A1
EGFR,SCARB2
EGFR,TRAF6
EGFR,LRRK2
EGFR,IL10
EGFR,RAB5C
EGFR,PTGS2
EGFR,MYC
EGFR,UBQLN2
EGFR,UBE2D3
EGFR,GAK
EGFR,UBE2D2
EGFR,TLR4
EGFR,VEGFA
EGFR,HIF1A
EGFR,UBE2D1
EGFR,IFNA2
SNRPE,SNRPE
SNRPE,UBL4A
SNRPE,VRK1
SNRPE,UNK
SNRPE,UBE2M
SNRPE,TARDBP
SNRPE,TERT
SNRPE,USP39
SNRPE,TPR
EGR1,PSMA3
EGR1,MDM2
EGR1,WT1
EGR1,TP53
EGR1,SNAI1
EGR1,PTEN
EGR1,RELA
EGR1,HDAC5
EGR1,OAS3
EGR1,STAT2
EGR1,OAS1
EGR1,RCOR1
EGR1,IRF9
EGR1,HDAC3
EGR1,HDAC2
EGR1,IRF1
EGR1,GBP2
EGR1,MX2
EGR1,IRF4
EGR1,RSAD2
EGR1,IRF3
EGR1,HLA-F
EGR1,OAS2
EGR1,HLA-A
EGR1,IFITM2
EGR1,IFI6
EGR1,IFITM3
EGR1,RNASEL
EGR1,HDAC1
