"V1","V2"
"TSC2","negative regulation of mitophagy"
"TSC2","negative regulation of protein kinase B signaling"
"TSC2","Hsp90 protein binding"
"TSC2","regulation of cell cycle"
"TSC2","regulation of small GTPase mediated signal transduction"
"TSC2","positive chemotaxis"
"TSC2","perinuclear region of cytoplasm"
"TSC2","insulin-like growth factor receptor signaling pathway"
"TSC2","negative regulation of insulin receptor signaling pathway"
"TSC2","regulation of insulin receptor signaling pathway"
"TSC2","positive regulation of GTPase activity"
"TSC2","protein kinase B signaling"
"TSC2","anoikis"
"TSC2","protein homodimerization activity"
"TSC2","TSC1-TSC2 complex"
"TSC2","negative regulation of TOR signaling"
"TSC2","small GTPase binding"
"TSC2","negative regulation of Wnt signaling pathway"
"TSC2","regulation of endocytosis"
"TSC2","phosphatase binding"
"TSC2","positive regulation of macroautophagy"
"TSC2","vesicle-mediated transport"
"TSC2","viral process"
"TSC2","membrane"
"TSC2","postsynaptic density"
"TSC2","negative regulation of phosphatidylinositol 3-kinase signaling"
"TSC2","negative regulation of cell population proliferation"
"TSC2","protein localization"
"TSC2","heart development"
"TSC2","endocytosis"
"TSC2","protein import into nucleus"
"TSC2","negative regulation of protein kinase activity"
"TSC2","cytosol"
"TSC2","Golgi apparatus"
"TSC2","lysosome"
"TSC2","cytoplasm"
"TSC2","nucleus"
"TSC2","protein binding"
"TSC2","GTPase activator activity"
"TSC2","neural tube closure"
"11599.NCAP_HANTV","TSC2"
"11599.NCAP_HANTV","TSC2"
