source,target
MAP2K4,TRIM25
MAP2K4,UBC
MAP2K4,MAP3K7
MAP2K4,MAPK14
MAP2K4,MAP2K4
MAP2K4,MAPK1
MAP2K4,MAP3K8
MAP2K4,MAP3K1
MAP2K4,MAPK8
MAP2K4,MAP3K5
MAP2K4,PML
MAP2K4,MAPK13
MAP2K4,MAPK12
MAP2K4,TAB1
MAP2K4,RIPK2
MAP2K4,NOD1
MAP2K4,NFKB1
MAP2K4,MAPK8IP1
MAP2K4,RIPK1
MAP2K4,RPS27A
MAP2K4,NOD2
MAP2K4,UBB
MAP2K4,UBE2N
MAP2K4,MAPK11
MAP2K4,UBE2V1
MAP2K4,MAP4K4
MAP2K4,RAC1
MAP2K4,TAB2
MAP2K4,TXN
MAP2K4,TAB3
MAP2K4,UBA52
MAP2K4,TNF
MAP2K4,TRAF6
MAP2K4,PPP2R5D
PML,RNF4
PML,RBX1
PML,UBE2I
PML,TP53
PML,SIRT1
PML,TRIB3
PML,UBE2U
PML,RUNX1
PML,SFXN3
PML,SPI1
PML,TRIM69
PML,SP1
PML,ZBTB16
PML,SETDB1
PML,ZMYM2
PML,TRIM25
PML,TP53BP1
PML,SKP1
PML,VDAC2
PML,SUZ12
PML,YAP1
PML,STAT1
PML,STAT3
PML,UBE3A
PML,RELA
PML,PML
PML,UQCRQ
PML,SMAD3
PML,RNF123
PML,RNF111
PML,STAT2
PML,PPARG
PML,SIAH2
PML,SMAD2
PML,TOMM20
PML,TES
PML,SKI
PML,RBCK1
PML,SIAH1
PML,TRIM21
PML,SMURF2
PML,RPTOR
PML,TRIM5
PML,SMURF1
PML,UBC
PML,TRIM8
PML,UBA52
PML,PTEN
PML,UBB
PML,RPS27A
PML,TRIM14
STAT3,TRAF6
STAT3,STAT6
STAT3,TIRAP
STAT3,STAT5B
STAT3,TRIM25
STAT3,TRIM11
STAT3,STAT3
STAT3,SYK
STAT3,ZC3H7A
STAT3,VEGFA
STAT3,TES
STAT3,TBX21
STAT3,TLR2
STAT3,TNF
STAT3,TLR9
STAT3,TYK2
STAT3,SUZ12
STAT3,TNFRSF1B
STAT3,VIM
STAT3,STAT4
STAT3,TP53
STAT3,ZMYM2
STAT3,STAT5A
STAT3,TLR4
STAT3,TNFSF11
STAT3,YES1
APP,TCL1B
APP,ITGA2
APP,HAGH
APP,TRIM41
APP,TAB2
APP,COMMD2
APP,ATP6V1E1
APP,INS
APP,TRIM63
APP,HSPA4
APP,CDKN1A
APP,PTK6
APP,UBE3C
APP,ATXN3
APP,TANK
APP,HSP90AA1
APP,LRRC59
APP,GGA1
APP,SRSF3
APP,DCUN1D2
APP,ATP5A1
APP,STUB1
APP,TACO1
APP,CUL3
APP,MYC
APP,MAP2K4
APP,DECR1
APP,UBAC1
APP,IARS2
APP,CUL7
APP,CASP3
APP,ECI2
APP,CDK5
APP,OPA1
APP,GNB5
APP,NDUFA4
APP,ATP5C1
APP,RNF115
APP,UBQLN1
APP,STAT5B
APP,RNF2
APP,COPS5
APP,TMEM126B
APP,SLC22A6
APP,PARK2
APP,FGB
APP,ETV5
APP,LY86
APP,NDUFS1
APP,MTMR14
APP,HSPA8
APP,IFNA8
APP,CD36
APP,PDHB
APP,BTK
APP,PCBP1
APP,SMURF1
APP,FBXW11
APP,UBE2M
APP,BCL2L11
APP,NDUFS3
APP,LNX1
APP,CDC20
APP,TRIM69
APP,DEPTOR
APP,SIGIRR
APP,MICU1
APP,TUBG1
APP,CHCHD6
APP,SOCS5
APP,COX4I1
APP,TRIB3
APP,ETFB
APP,TEK
APP,CUL4B
APP,SYK
APP,MAP3K5
APP,RNF138
APP,NDUFA5
APP,MDM2
APP,XRCC3
APP,APP
APP,HSPD1
APP,HIGD2A
APP,MAPK8IP1
APP,RPS27A
APP,STOML2
APP,RCOR3
APP,EPHA2
APP,ASB6
APP,IDO1
APP,HGS
APP,CTNNB1
APP,PRKAB1
APP,IFNA16
APP,FANCI
APP,ATP5O
APP,TRAIP
APP,MAPK11
APP,CDK18
APP,EIF2S2
APP,PIK3R5
APP,ECSIT
APP,PPARG
APP,CAV1
APP,CDC7
APP,CDC37
APP,RNF41
APP,C2orf47
APP,IRS1
APP,ATAT1
APP,IFIH1
APP,FGA
APP,ECH1
APP,KRAS
APP,TIMMDC1
APP,SMARCB1
APP,ESR2
APP,GSK3B
APP,VIM
APP,FBXL7
APP,PIK3R2
APP,BIK
APP,TBC1D7
APP,PPP2R4
APP,UBE2E2
APP,NME3
APP,VHL
APP,PYCR2
APP,GAPDH
APP,DNAAF2
APP,UBE3A
APP,DYRK1A
APP,ATG7
APP,SMAD3
APP,TARBP2
APP,DNM2
APP,NAE1
APP,LACTB
APP,UQCRC1
APP,BGN
APP,SOCS3
APP,UCHL1
APP,JUN
APP,TRIM25
APP,SHMT2
APP,VDAC2
APP,SCAMP3
APP,NRAS
APP,UBE2I
APP,FLOT2
APP,IKBIP
APP,HSPA9
APP,SNX27
