source,target
GATA2,HDAC3
GATA2,JUN
GATA2,TNIP2
GATA2,MED1
GATA2,HIST1H4A
GATA2,GOLGA2
GATA2,SPI1
GATA2,PML
GATA2,TRAPPC9
GATA2,ZBTB16
GATA2,RBX1
GATA2,SMAD4
GATA2,TRAPPC10
GATA2,POU2AF1
GATA2,SKP1
GATA2,KAT2A
GATA2,HDAC5
GATA2,PSMA3
GATA2,MNAT1
GATA2,TCF3
GATA2,PIAS4
GATA2,KDR
GATA2,NOTCH1
GATA2,KIT
GATA2,RUNX1
GATA2,GATA4
GATA2,MYB
GATA2,GFI1B
GATA2,GATA3
GATA2,TCF12
GATA2,MYC
PML,TRIM24
PML,RANBP2
PML,SP100
PML,USP7
PML,TDG
PML,SUMO1
PML,SUMO3
PML,TOPBP1
PML,SUMO2
PML,RUNX2
PML,RBX1
PML,RAD51
PML,UBE2I
PML,TP53
PML,WRN
PML,PSME3
PML,SIRT1
PML,RPL11
PML,RUNX1
PML,RUNX3
PML,SPI1
PML,SENP1
PML,TRIM69
PML,SKIL
PML,RBL2
PML,SP1
PML,ZBTB16
PML,RB1
PML,SETDB1
PML,UHRF1
PML,TCF7L2
PML,POLR2E
PML,TERT
PML,SIN3A
PML,TOPORS
PML,TRIM25
PML,TP53BP1
PML,SKP1
PML,TP63
PML,SRF
PML,SUZ12
PML,STAT1
PML,STAT3
PML,WDR5
PML,RNF125
PML,RFC4
PML,UBE3A
PML,SMARCA4
PML,RELA
PML,PML
PML,TOP2B
PML,PSMA3
PML,SQSTM1
PML,TRIM27
PML,PPARGC1A
PML,SMAD3
PML,RPL5
PML,USP11
PML,PPARG
PML,SP3
PML,SMAD2
PML,SKI
PML,RBCK1
PML,TGFB1
PML,TGFB3
PML,TRIM45
PML,SMAD7
PML,SMURF2
PML,TNRC6B
PML,RAE1
PML,SMURF1
PML,TGFBR1
PML,UBC
PML,RBBP4
PML,TRIM8
PML,UBA52
PML,TFAP2B
PML,PTEN
PML,UBB
PML,TNRC6C
PML,TP73
PML,PRAM1
PML,RPS27A
PML,TNRC6A
PML,TRIM3
PML,RBBP7
RPA2,RPL15
RPA2,RPLP0
RPA2,TUBA4A
RPA2,VCP
RPA2,TUBB4B
RPA2,STAT3
RPA2,RPL6
RPA2,WRN
RPA2,UBE2A
RPA2,RPL19
RPA2,UBC
RPA2,TUBB
RPA2,RPL7
RPA2,TOP2A
RPA2,SLFN11
RPA2,SMC1A
RPA2,WDR82
RPA2,SNAI1
RPA2,TOP3A
RPA2,TAF15
RPA2,WDR33
RPA2,SMC3
RPA2,RPS8
RPA2,TPX2
RPA2,TCF7L2
RPA2,XPC
RPA2,YTHDF1
RPA2,SMARCC2
RPA2,SSRP1
RPA2,TLE1
RPA2,TP53BP1
RPA2,TRIM28
RPA2,RPL10L
RPA2,RPA3
RPA2,XRCC1
RPA2,TUBB2A
RPA2,RPL18
RPA2,RPS9
RPA2,USP7
RPA2,SF3B1
RPA2,TUBA1C
RPA2,TP53
RPA2,XRCC6
RPA2,YWHAE
RPA2,TOP2B
RPA2,UBQLN2
RPA2,RPS7
RPA2,XRCC5
RPA2,SUPT16H
RPA2,UTP14A
RPA2,SMARCA5
RPA2,RPL18A
RPA2,RPS3A
RPA2,TFRC
RPA2,UBE2M
RPA2,SF3B2
RPA2,RRM2B
RPA2,TOPBP1
RPA2,UFD1L
RPA2,UBE2B
RPA2,RPS27A
RPA2,UBB
RPA2,WDR48
RPA2,UBE2N
RPA2,TRIM25
RPA2,USP1
RPA2,RRM2
RPA2,SUMO3
RPA2,YWHAZ
RPA2,SUMO2
RPA2,SUMO1
RPA2,UBE2V2
RPA2,USP10
RPA2,UBA52
STAT3,TRAF6
STAT3,TRIM24
STAT3,VPS39
STAT3,TRIM28
STAT3,TRIM59
STAT3,STAT6
STAT3,STAT5B
STAT3,TRIM25
STAT3,TDG
STAT3,STMN1
STAT3,TCEAL1
STAT3,STAT3
STAT3,SYK
STAT3,USP28
STAT3,ZC3H7A
STAT3,VEGFA
STAT3,TWIST1
STAT3,TGFB1
STAT3,WNT5A
STAT3,TNF
STAT3,SUZ12
STAT3,VIM
STAT3,TP53
STAT3,STAT5A
STAT3,TNFSF11
STAT3,ZEB1
STAT3,TCP1
GGA3,UBC
GGA3,SORT1
GGA3,MET
GGA3,TSG101
GGA3,VPS11
GGA3,MYO6
GGA3,ITGB1
GGA3,TMEM17
GGA3,KRAS
GGA3,NTRK1
GGA3,MOV10
GGA3,HAUS4
GGA3,LAPTM5
GGA3,NXF1
GGA3,SNX17
GGA3,ITCH
GGA3,RAB5A
GGA3,UBB
GGA3,RAB4A
GGA3,UBA52
APP,ING2
APP,HIST1H2BM
APP,ICK
APP,TRAPPC9
APP,MRPL24
APP,SMG5
APP,WDR5
APP,GTF2E2
APP,CRYAB
APP,RBM39
APP,KAT5
APP,INS
