source,target
PML,VCP
PML,UBE3A
PML,PUF60
PML,SLC25A3
PML,CEP63
PML,RPA1
PML,DNMT1
PML,RPL10A
PML,CCT8
PML,PHB2
PML,SMAD3
PML,GNG12
PML,MED10
PML,ELAVL1
PML,RIOK1
PML,WSB1
PML,HIST1H4I
PML,TXNDC12
PML,FOXA1
PML,MCM2
ARF1,NOP56
ARF1,TNIP2
ARF1,PLAU
ARF1,USP15
ARF1,RAB37
ARF1,GTF2E1
ARF1,CTNNB1
ARF1,ITSN1
ARF1,SIRT7
ARF1,RPL7
ARF1,TAS1R1
ARF1,HEXIM1
ARF1,USP1
ARF1,EIF3A
ARF1,GSK3B
ARF1,LPAR1
ARF1,CEP131
ARF1,KLC4
ARF1,MYC
ARF1,SNRPD2
ARF1,GNB1
ARF1,COPB2
ARF1,U2AF2
ARF1,AURKA
ARF1,BMP4
GGA3,HIST1H4A
GGA3,NTRK1
GGA3,NOP56
GGA3,MRPL11
GGA3,PSMD1
GGA3,RPA3
EP300,ESR2
EP300,HSP90AA1
EP300,ACKR3
EP300,HSPD1
EP300,CCNB2
EP300,MYC
EP300,CD81
EP300,FBXO21
EP300,FZD3
EP300,SERBP1
EP300,E2F4
EP300,UBE2J1
EP300,HIST1H4A
EP300,PPP2CB
EP300,RPL12
EP300,ENSG00000260836
EP300,HDAC5
EP300,RPL32
EP300,UBA52
EP300,NOTCH1
EP300,PSMD11
EP300,POLR2B
EP300,CCNDBP1
EP300,CREBBP
EP300,SREBF1
EP300,ATG16L1
EP300,RRP1
EP300,PPARG
EP300,ELAVL1
EP300,INS
EP300,SOX2
EP300,RBM5
EP300,COPS7A
EP300,GTF2E1
EP300,DDX23
EP300,MCM2
EP300,SKIV2L2
EP300,MED16
EP300,RCN1
EP300,U2AF2
EP300,TAS2R38
EP300,HIST2H2AB
EP300,CCT5
EP300,TPR
EP300,NSA2
EP300,HIST1H4J
EP300,TNIP2
EP300,KRAS
EP300,ACTR2
EP300,RPL3L
EP300,HSPA4
EP300,RPN1
EP300,FBXO6
EP300,PDIA6
EP300,USP37
EP300,GNAI2
EP300,POLR1E
EP300,MDM2
EP300,CPSF1
EP300,UBA5
EP300,CCL4
EP300,MYSM1
BRCA1,PSMD1
BRCA1,STAU1
BRCA1,NOL10
BRCA1,UBA1
BRCA1,WWOX
BRCA1,SIRT7
BRCA1,NELFE
BRCA1,GLI3
BRCA1,COL4A2
BRCA1,CDC27
BRCA1,OPRM1
BRCA1,GNG12
BRCA1,PALB2
BRCA1,DNAJA1
BRCA1,PIN1
BRCA1,HIST2H3C
BRCA1,NEDD4
BRCA1,DZIP3
BRCA1,PDHA1
BRCA1,NIFK
BRCA1,RPS19
BRCA1,HSPD1
BRCA1,GNAI2
BRCA1,HSP90AA1
BRCA1,CCR3
BRCA1,YWHAG
BRCA1,ELAVL1
BRCA1,MCM2
BRCA1,REEP5
BRCA1,RFC5
BRCA1,RPL12
BRCA1,RPL32
BRCA1,RNF2
BRCA1,TBL1X
BRCA1,VCP
BRCA1,CREBBP
BRCA1,EIF4B
BRCA1,CASR
BRCA1,NPSR1
BRCA1,CTNNB1
BRCA1,UBE2J2
BRCA1,UBE2L3
BRCA1,GNL3L
BRCA1,CTR9
BRCA1,TAS2R31
BRCA1,PWP1
BRCA1,NOS2
BRCA1,RPS25
BRCA1,KPNB1
BRCA1,SNAP29
BRCA1,RECQL4
BRCA1,HSP90B1
BRCA1,REC8
BRCA1,ETFA
BRCA1,EP300
BRCA1,XRCC6
BRCA1,EED
BRCA1,AXIN1
BRCA1,LPAR1
BRCA1,RPL31
BRCA1,GUSB
BRCA1,GTF2H3
BRCA1,NTRK1
BRCA1,TAS2R38
BRCA1,SMC1B
BRCA1,ESR2
BRCA1,KMT2D
BRCA1,RPS5
BRCA1,BDKRB2
BRCA1,HSPA4
BRCA1,EWSR1
BRCA1,NAA15
BRCA1,DCUN1D5
BRCA1,ERCC4
