"node","type"
"10376.BZLF1_EBVB9",0
"10376.EBNA1_EBVB9",0
"10376.EAR_EBVB9",0
"10376.EBNA6_EBVB9",0
"10376.LMP1_EBVB9",0
"10376.KR2_EBVB9",0
"10376.RTA_EBVB9",0
"10376.ICP27_EBVB9",0
"10376.DPOL_EBVB9",0
"10376.GB_EBVB9",0
"10376.EBNA2_EBVB9",0
"10376.UL31_EBVB9",0
"10376.LMP2_EBVB9",0
"10376.EBNA5_EBVB9",0
"10376.RIR1_EBVB9",0
"10376.EBNA3_EBVB9",0
"10376.GM_EBVB9",0
"10376.GL_EBVB9",0
"10376.EAD_EBVB9",0
"10376.RPMS1_EBVB9",0
"10376.LTP_EBVB9",0
"10376.AN_EBVB9",0
"10376.BRRF1_EBVB9",0
"10376.PRIM_EBVB9",0
"10376.BLRF2_EBVB9",0
"10376.GP350_EBVB9",0
"10376.BNL2A_EBVB9",0
"KIF22",1
"TNFRSF1A",1
"MAPK1",1
"CSNK2A3",1
"RABAC1",1
"SPI1",1
"CCND1",1
"CD69",1
"CDKN1B",1
"SLC6A7",1
"IL4",1
"ZNF225",1
"DDX39A",1
"UBL5",1
"TSG101",1
"KRT1",1
"TAF4",1
"NOTCH2",1
"PSMB7",1
"TLR2",1
"CCND2",1
"LMNB1",1
"SNW1",1
"CDH1",1
"MYO5C",1
"MCM4",1
"YY1",1
"CREBBP",1
"SMARCB1",1
"CTCF",1
"MCM6",1
"STAT3",1
"JDP2",1
"NCOR1",1
"TAF4B",1
"TP53",1
"CALM2",1
"TERF1",1
"MYO5B",1
"BATF",1
"BUB1B",1
"CTBP1",1
"BAX",1
"MERTK",1
"T",1
"RUNX1",1
"BIRC5",1
"BCL2L1",1
"IL13",1
"FOS",1
"CXCL8",1
"MCM7",1
"WDR48",1
"HCFC1",1
"CTBP2",1
"FUT1",1
"EGR3",1
"MMP1",1
"SRSF7",1
"PSEN1",1
"YBEY",1
"GAST",1
"HSP90AA1",1
"UXT",1
"KAT5",1
"SP100",1
"USP7",1
"KPNA1",1
"H1F0",1
"RBPJ",1
"RBP3",1
"NFYA",1
"PDLIM7",1
"CCL20",1
"DNMT1",1
"RRM2",1
"TLR9",1
"STAT1",1
"FCRL5",1
"SMOC1",1
"PARP1",1
"CR2",1
"CRTC2",1
"SNAPIN",1
"PRDM1",1
"DDX20",1
"SPEN",1
"JUN",1
"CD40",1
"MMP9",1
"SET",1
"SRSF3",1
"SRPK1",1
"TRAF1",1
"CDSN",1
"ISG15",1
"IL2RA",1
"TRIM5",1
"MUM1",1
"E2F6",1
"PARP4",1
"CHEK2",1
"BCL2L11",1
"SRPK2",1
"CDK1",1
"DDX39B",1
"MYO5A",1
"RELA",1
"XPO1",1
"TCL1A",1
"CREB1",1
"GDI1",1
"TNF",1
"SATB1",1
"BRAP",1
"TAPBP",1
"SUMO3",1
"WDR20",1
"EBNA1BP2",1
"HDAC9",1
"IL10",1
"PDE6B",1
"GNB2L1",1
"LYN",1
"regulation of DNA recombination",6
"autophagosome assembly",6
"ribosomal subunit export from nucleus",6
"ribosomal large subunit export from nucleus",6
"ribosomal small subunit export from nucleus",6
"DNA damage checkpoint",6
"regulation of cyclin-dependent protein serine/threonine kinase activity",6
"G1/S transition of mitotic cell cycle",6
"regulation of transcription involved in G1/S transition of mitotic cell cycle",6
"G2/M transition of mitotic cell cycle",6
"histone deacetylase complex",6
"negative regulation of transcription by RNA polymerase II",6
"histone acetyltransferase complex",6
"Golgi membrane",6
"microfilament motor activity",6
"SNARE binding",6
"ubiquitin ligase complex",6
"MAPK cascade",6
"activation of MAPKKK activity",6
"activation of MAPKK activity",6
"activation of MAPK activity",6
"protein polyubiquitination",6
"microtubule cytoskeleton organization",6
"nuclear chromosome",6
"spliceosomal tri-snRNP complex assembly",6
"spliceosomal complex assembly",6
"mitotic cell cycle",6
"magnesium ion binding",6
"cyclin-dependent protein kinase holoenzyme complex",6
"re-entry into mitotic cell cycle",6
"transcription export complex",6
"regulation of alternative mRNA splicing, via spliceosome",6
"spliceosomal snRNP assembly",6
"mRNA splicing, via spliceosome",6
"four-way junction DNA binding",6
"proteasome complex",6
"nucleotide-excision repair, DNA damage recognition",6
"nucleotide-excision repair, DNA duplex unwinding",6
"telomere maintenance",6
"double-strand break repair via homologous recombination",6
"double-strand break repair via break-induced replication",6
"DNA double-strand break processing",6
"DNA strand renaturation",6
"chromosome, centromeric region",6
"kinetochore",6
"condensed chromosome kinetochore",6
"condensed nuclear chromosome kinetochore",6
"chromosome, telomeric region",6
"nuclear telomere cap complex",6
"nuclear chromosome, telomeric region",6
"chromatin",6
"nuclear chromatin",6
"condensed chromosome",6
"Swr1 complex",6
"ESCRT I complex",6
"cell morphogenesis",6
"spindle pole",6
"gamma-tubulin complex",6
"P-body",6
"condensed chromosome outer kinetochore",6
"transcription regulatory region sequence-specific DNA binding",6
"RNA polymerase II regulatory region sequence-specific DNA binding",6
"RNA polymerase II cis-regulatory region sequence-specific DNA binding",6
"RNA polymerase II core promoter sequence-specific DNA binding",6
"DNA-binding transcription factor activity, RNA polymerase II-specific",6
"cis-regulatory region sequence-specific DNA binding",6
"RNA polymerase II regulatory region DNA binding",6
"core promoter sequence-specific DNA binding",6
"RNA polymerase II transcription factor binding",6
"TFIID-class transcription factor complex binding",6
"RNA polymerase II activating transcription factor binding",6
"RNA polymerase II repressing transcription factor binding",6
"RNA polymerase I core promoter sequence-specific DNA binding",6
"RNA polymerase I preinitiation complex assembly",6
"RNA polymerase II transcription coactivator binding",6
"DNA-binding transcription repressor activity, RNA polymerase II-specific",6
"DNA-binding transcription activator activity, RNA polymerase II-specific",6
"replicative cell aging",6
"skeletal system development",6
"ossification",6
"retinoid metabolic process",6
"angiogenesis",6
"lipopolysaccharide binding",6
"cornified envelope",6
"amyloid-beta binding",6
"ovarian follicle development",6
"regulation of cell growth",6
"blood vessel development",6
"virus receptor activity",6
"fibrillar center",6
"eye development",6
"temperature homeostasis",6
"conditioned taste aversion",6
"response to hypoxia",6
"in utero embryonic development",6
"cell fate specification",6
"cell fate determination",6
"stress fiber",6
"ruffle",6
"photoreceptor outer segment",6
"eye photoreceptor cell differentiation",6
"somitogenesis",6
"morphogenesis of a branching structure",6
"neuron migration",6
"microglial cell activation",6
"cell activation",6
"T cell homeostatic proliferation",6
"natural killer cell differentiation",6
"B cell homeostasis",6
"B cell apoptotic process",6
"phosphotyrosine residue binding",6
"cytokine production",6
"regulation of cytokine production",6
"negative regulation of cytokine production",6
"positive regulation of cytokine production",6
"kidney development",6
"blastocyst hatching",6
"release of cytochrome c from mitochondria",6
"epithelial to mesenchymal transition",6
"protein insertion into mitochondrial membrane involved in apoptotic signaling pathway",6
"complement binding",6
"complement activation, lectin pathway",6
"lipopolysaccharide immune receptor activity",6
"liver development",6
"placenta development",6
"phagocytic cup",6
"maternal placenta development",6
"retina homeostasis",6
"positive regulation of receptor recycling",6
"regulation of protein phosphorylation",6
"negative regulation of protein phosphorylation",6
"positive regulation of protein phosphorylation",6
"regulation of endothelial cell proliferation",6
"negative regulation of endothelial cell proliferation",6
"positive regulation of endothelial cell proliferation",6
"hair follicle development",6
"heart looping",6
"positive regulation of cell-matrix adhesion",6
"regulation of cytokine-mediated signaling pathway",6
"blood vessel remodeling",6
"response to amphetamine",6
"morphogenesis of an epithelial sheet",6
"protease binding",6
"regulation of heart rate",6
"positive regulation of L-glutamate import across plasma membrane",6
"p53 binding",6
"cell migration involved in sprouting angiogenesis",6
"positive regulation of mesenchymal cell proliferation",6
"chondrocyte differentiation",6
"MAML1-RBP-Jkappa- ICN1 complex",6
"activation of innate immune response",6
"stimulatory C-type lectin receptor signaling pathway",6
"toll-like receptor signaling pathway",6
"positive regulation of defense response to virus by host",6
"response to molecule of bacterial origin",6
"hematopoietic progenitor cell differentiation",6
"adaptive immune response",6
"myeloid cell homeostasis",6
"astrocyte activation involved in immune response",6
"T cell activation involved in immune response",6
"T cell proliferation involved in immune response",6
"marginal zone B cell differentiation",6
"lymphoid progenitor cell differentiation",6
"B cell lineage commitment",6
"B cell negative selection",6
"B cell homeostatic proliferation",6
"T cell lineage commitment",6
"cytokine secretion involved in immune response",6
"MHC class Ib protein complex assembly",6
"complement receptor mediated signaling pathway",6
"Fc receptor mediated stimulatory signaling pathway",6
"inflammatory response to antigenic stimulus",6
"chronic inflammatory response to antigenic stimulus",6
"antigen processing and presentation of peptide antigen via MHC class I",6
"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",6
"tolerance induction to self antigen",6
"monocyte chemotaxis",6
"histamine secretion by mast cell",6
"platelet degranulation",6
"positive regulation of immunoglobulin production",6
"regulation of T cell tolerance induction",6
"negative regulation of cytokine secretion involved in immune response",6
"MyD88-dependent toll-like receptor signaling pathway",6
"negative regulation of myeloid leukocyte differentiation",6
"immune response-regulating cell surface receptor signaling pathway",6
"Fc receptor mediated inhibitory signaling pathway",6
"negative regulation of chronic inflammatory response to antigenic stimulus",6
"positive regulation of chronic inflammatory response to antigenic stimulus",6
"regulation of B cell apoptotic process",6
"positive regulation of B cell apoptotic process",6
"positive regulation of humoral immune response mediated by circulating immunoglobulin",6
"response to ischemia",6
"tumor necrosis factor receptor superfamily complex",6
"renal water homeostasis",6
"secondary heart field specification",6
"outflow tract morphogenesis",6
"endocardium morphogenesis",6
"heart valve development",6
"aortic valve development",6
