source,target
APP,HSPA8
APP,MED9
APP,NSA2
APP,MRPS15
APP,TRAF6
APP,MCM2
APP,ZNF645
APP,GEMIN2
APP,ARNT
APP,DYNLRB2
APP,EGLN3
APP,TGOLN2
APP,ASB14
APP,LTN1
APP,KIF11
APP,ELAVL1
APP,EPRS
APP,POLR2L
APP,NTRK1
APP,SYT9
APP,FGB
APP,RIOK1
APP,CUL3
APP,KCNAB1
APP,PIK3R1
APP,GTSE1
APP,MRPL50
APP,RPL21
APP,NOL6
APP,SFN
APP,MT-ND2
APP,SNW1
APP,RAD21
APP,SH3KBP1
APP,CRK
APP,AP2M1
APP,H3F3B
APP,KLHL22
APP,FUS
APP,AURKA
APP,PLAUR
APP,DAPK1
APP,GRWD1
APP,RPL9
APP,GNB2L1
APP,FBXW4
APP,VIPR2
APP,TRIM25
APP,NUBP1
APP,ALDOC
APP,YBX1
APP,RPS3
APP,PRKDC
APP,HRH4
APP,FTH1
APP,PLK1
APP,ZNF2
APP,DYRK2
APP,MAP2K3
APP,TCF7L2
APP,BRCA1
APP,APP
APP,UBA5
APP,RPS27A
APP,UPF3B
APP,PPP1R8
APP,CTNNB1
APP,EEF1D
APP,INS
APP,RNF31
APP,COPB2
APP,HES1
APP,CLINT1
APP,NXF1
APP,TAF9
APP,KLF4
APP,RAB7A
APP,CUL4A
APP,DDX10
APP,UBC
APP,FBXO6
APP,CC2D2A
APP,MOV10
APP,DYNC1I2
APP,TNIP2
APP,RABGEF1
APP,TCEAL1
APP,NUP37
APP,RPL26L1
APP,UBB
APP,CIRH1A
APP,EPN1
APP,SCML2
APP,CCT5
APP,PSMA2
APP,ZBTB21
APP,HSPA9
APP,CAPZB
APP,TAS2R9
APP,PTGES3
APP,CENPB
APP,CCNA2
APP,GNGT1
APP,AAR2
APP,KBTBD8
APP,CCT2
APP,NPS
APP,SMURF1
APP,DNM2
APP,RNF4
APP,DEK
APP,UBE2R2
APP,RPS20
APP,MRPS14
APP,RPL14
APP,TRHR
APP,KBTBD7
APP,RPS3A
APP,PSMD14
APP,CHRM3
APP,ASB7
APP,H2AFX
APP,KIAA1429
APP,COMMD1
APP,EIF4A3
APP,BET1
APP,RPS13
APP,MCEMP1
APP,SPSB1
APP,UBA1
APP,ZBTB33
APP,FBXL22
APP,CEP44
APP,POLR2G
APP,HUWE1
APP,ENO1
APP,IKBKB
APP,CCDC8
APP,SUMO2
APP,TUFM
APP,XIAP
APP,RPL32
APP,HP
APP,SIRT1
APP,XRCC6
APP,HIST1H4A
APP,EIF4B
APP,CUL4B
APP,TARDBP
APP,MSH2
APP,METTL14
APP,COPS4
APP,EED
APP,CDCA3
APP,NGFR
APP,MKS1
APP,KRT17
APP,HECTD2
APP,RNF123
APP,MYL1
APP,NF1
APP,UBA52
APP,IKBKG
APP,TAS2R50
APP,POLR1D
APP,CDK2
APOB,KIAA1429
APOB,MCM2
APOB,CDK2
APOB,H2AFY2
APOB,EZH2
APOB,LAMP1
APOB,SNW1
APOB,GNGT1
APOB,UBE2A
APOB,RAD21
APOB,AXIN1
APOB,APP
APOB,EGFR
APOB,TAF15
APOB,UBB
APOB,SH3KBP1
APOB,PRKDC
APOB,POLR2G
APOB,RPS3
APOB,RPS27A
APOB,PIK3CA
APOB,PIK3R1
APOB,SMURF1
APOB,AGTR2
APOB,RC3H1
APOB,RIOK1
APOB,DNM2
APOB,CTBP1
APOB,ZNRF2
APOB,UBA52
APOB,MEOX2
APOB,TRIM9
APOB,BIN1
APOB,YWHAB
APOB,VAMP7
APOB,RHOB
APOB,TRIM25
APOB,TF
APOB,MCM4
BRCA1,PLAUR
BRCA1,CEP250
BRCA1,WIPI1
BRCA1,UBC
BRCA1,LAMP1
BRCA1,RPL32
BRCA1,HIP1R
BRCA1,GSK3A
BRCA1,POLR2G
BRCA1,MRPS10
BRCA1,NCAM1
BRCA1,COPE
BRCA1,UBA1
BRCA1,SNAI1
BRCA1,KRT17
BRCA1,COPA
BRCA1,SMARCB1
BRCA1,MCM3
BRCA1,TGOLN2
BRCA1,POLDIP3
BRCA1,HIST1H4A
BRCA1,SIRT7
BRCA1,PPP6R3
BRCA1,SRC
BRCA1,TCF7L2
BRCA1,TMEM67
BRCA1,KIAA0368
BRCA1,PFKL
BRCA1,POLR1D
BRCA1,DCAF13
BRCA1,FBXL7
BRCA1,NTRK1
BRCA1,FBXO6
BRCA1,CUL4B
BRCA1,TRIM9
BRCA1,CHD3
BRCA1,SYT9
BRCA1,HUWE1
BRCA1,PIK3R1
BRCA1,OASL
BRCA1,ATP9A
BRCA1,EHD1
BRCA1,GTSE1
BRCA1,PRPF31
BRCA1,TRIM24
BRCA1,TRH
BRCA1,CRK
BRCA1,MAP2K3
BRCA1,GNG13
BRCA1,KANSL3
BRCA1,PSMC5
BRCA1,TUFM
BRCA1,CUL4A
BRCA1,ELAVL1
BRCA1,CAPZB
BRCA1,UBE2E1
BRCA1,GNB2L1
BRCA1,TRIM25
BRCA1,CXCR3
BRCA1,HECTD1
BRCA1,PCBP1
BRCA1,GNGT2
BRCA1,EGFR
BRCA1,TAF9
BRCA1,HSPA8
BRCA1,GLDC
BRCA1,UBA52
BRCA1,GANAB
BRCA1,MAPT
BRCA1,MRPS9
BRCA1,RTN4
BRCA1,PEBP1
BRCA1,MSH6
BRCA1,H2AFZ
BRCA1,DET1
BRCA1,SNCA
BRCA1,TNIP2
BRCA1,CENPU
MSH2,PLK1
MSH2,UBB
MSH2,PSMA2
MSH2,MSH2
MSH2,HIST1H4A
MSH2,POT1
MSH2,ELAVL1
MSH2,TRIM25
MSH2,BRCA1
MSH2,UBE2A
MSH6,IKBKG
MSH6,PRKDC
MSH6,RC3H1
MSH6,COPE
MSH6,HSPA8
MSH6,LMNA
MSH6,GNG13
MSH6,CUL3
MSH6,CHD3
MSH6,TRIM25
MSH6,TNIP2
MSH6,MBTPS1
MSH6,CTC1
MSH6,CXCL11
MSH6,SUMO2
PSEN2,IKBKB
PSEN2,LTN1
PSEN2,FBXW11
CTNNB1,USP39
CTNNB1,LMNA
CTNNB1,MIR7-1
CTNNB1,FANCA
CTNNB1,MRPL50
CTNNB1,TMBIM1
CTNNB1,DRD2
CTNNB1,PCBP1
CTNNB1,FYTTD1
CTNNB1,PHB
CTNNB1,TMCC2
CTNNB1,FBXL7
CTNNB1,VIPR2
CTNNB1,RPS2
CTNNB1,EED
CTNNB1,EIF4B
CTNNB1,MCM4
CTNNB1,ZBTB10
CTNNB1,DYNC1I2
CTNNB1,MED14
CTNNB1,TRH
CTNNB1,PIK3CA
CTNNB1,TSHB
CTNNB1,RNF114
CTNNB1,TF
CTNNB1,RAD21
CTNNB1,EGFR
CTNNB1,KLHL5
CTNNB1,PSMC5
CTNNB1,SIRT1
CTNNB1,MCM2
CTNNB1,PQBP1
CTNNB1,PPAN
CTNNB1,UBA52
CTNNB1,ECD
CTNNB1,UBB
CTNNB1,CXCL11
CTNNB1,MSH6
CTNNB1,GSTM3
CTNNB1,CSTF3
CTNNB1,RPL9
CTNNB1,HSPH1
CTNNB1,UBE2V1
CTNNB1,TGOLN2
CTNNB1,RPS20
CTNNB1,CUL3
CTNNB1,XRCC6
CTNNB1,MAPK8
CTNNB1,HSPA8
CTNNB1,TRIM25
CTNNB1,OPRD1
CTNNB1,FBXL4
CTNNB1,CCL27
CTNNB1,RC3H1
CTNNB1,DYNLL1
CTNNB1,XIAP
CTNNB1,ILF3
CTNNB1,POLR2L
CTNNB1,VHL
CTNNB1,CCNA2
CTNNB1,APLN
CTNNB1,CCDC8
CTNNB1,RPS27A
CTNNB1,FBXO11
MCM2,MYC
MCM2,PIK3CA
MCM2,RPL24
MCM2,NOD2
MCM2,NUBP1
MCM2,BRIX1
MCM2,RPL21
MCM2,PLK1
MCM2,QSOX1
MCM2,CPSF2
MCM2,RNF123
MCM2,TNKS1BP1
MCM2,MEPCE
MCM2,GRWD1
MCM2,RAB7A
MCM2,TNIP2
MCM2,SS18
MCM2,BAIAP2L2
MCM2,HP
MCM2,TUBA3E
MCM2,C1orf94
MCM2,CCDC8
MCM2,ATXN1L
MCM2,LTN1
MCM2,NXF1
MCM2,MYL1
MCM2,UBA5
MCM2,CDK2
MCM2,SPTA1
MCM2,POT1
MCM2,MSH6
MCM2,TRIM25
MCM2,CCT2
MCM2,DCTN2
MCM2,RTN4
MCM2,RNF4
MCM2,GRM3
MCM2,BRCA1
MCM2,TUFM
MCM2,ZNRF1
MCM2,EPRS
MCM2,HAUS1
MCM2,RPL35
MCM2,SIAH1
MCM2,FBXO22
MCM2,SLC16A1
MCM2,YTHDF1
MCM2,RNGTT
MCM2,NTRK1
MCM2,KRT17
MCM2,ASB9
MCM2,WDR18
MCM2,MRPS14
MCM2,NPS
MCM2,PSMD14
MCM2,TF
MCM2,UBE2V1
MCM2,TOMM22
MCM2,PRPF8
MCM2,GLTSCR2
MCM3,RPL36
MCM3,GRM3
MCM3,CFTR
MCM3,CCDC8
MCM3,RPS27A
MCM3,MYC
MCM3,RPS23
MCM3,UBA1
MCM3,TRAF6
MCM3,KIF11
MCM3,RIOK1
MCM3,NTRK1
MCM3,MCM4
MCM3,HSPD1
MCM3,AKT1
MCM3,TRIM25
MCM3,RPS14
MCM3,UBC
MCM3,TAF15
MCM3,PIK3R1
MCM3,ZNRF4
MCM3,FBXL15
MCM3,RAB7A
MCM3,PCBP1
CDK2,SYP
CDK2,MSH6
CDK2,RSBN1
CDK2,SNAPC4
CDK2,GRWD1
CDK2,ILF3
CDK2,SPSB1
CDK2,SUMO2
CDK2,H2AFX
CDK2,ASB4
CDK2,PTGES3
CDK2,AR
CDK2,RPS13
CDK2,UBE2D3
CDK2,KLHL25
CDK2,H2AFV
CDK2,UBC
CDK2,RPS27A
CDK2,ELAVL1
CDK2,EIF4B
CDK2,NEDD8
CDK2,UBA52
CDK2,TUBA3E
CDK2,TGOLN2
CDK2,GBP5
CDK2,UBA1
CDK2,DAPK1
CDK2,GPR132
CDK2,PRPF31
CDK2,PAX2
CDK2,RPS2
CDK2,FUS
CDK2,RNF123
CDK2,TRAF6
CDK2,HIST1H4A
CDK2,CAPZB
CDK2,EGLN3
CDK2,UBB
CDK2,NTRK1
CDK2,MKS1
CDK2,BRCA1
CDK2,CHRM3
CDK2,UBE2E1
CDK2,CDA
CDK2,MUC1
CDK2,TP73
CDK2,MYC
CDK2,CPM
CDK2,NXF1
CDK2,YWHAB
CDK2,CCNA2
CDK2,GNGT1
CDK2,H2AFZ
CDK2,ENO1
CDK2,MRPS9
CDK2,RNF111
CDK2,RPS3A
CDK2,MAML1
CDK2,ASB7
CDK2,CDK2
CDK2,UBE2V1
CDK2,FANCA
CDK2,DISC1
CDK2,FBXL4
