source,target
ACTN2,POLR2E
ACTN2,RPF2
ACTN2,USP14
ACTN2,UBE2D1
ACTN2,UBE2N
ACTN2,GNG8
ACTN2,KLHL2
ACTN2,POLE4
ACTN2,ASB8
ACTN2,CDC25C
ACTN2,RAB11A
ACTN2,XPO7
ACTN2,INO80D
ACTN2,RPS6KB1
ACTN2,RELA
ACTN2,PIN1
ACTN2,SRPR
ACTN2,CSF2RA
ACTN2,RBBP4
ACTN2,EPRS
ACTN2,SNAI1
ACTN2,ESR2
ACTN2,NLE1
ACTN2,SH3KBP1
ACTN2,HSPA1L
ACTN2,RBX1
ACTN2,CHRM4
ACTN2,MYC
ACTN2,RNPS1
ACTN2,CCDC88A
ACTN2,LRMP
ACTN2,SRGN
ACTN2,PEBP1
ACTN2,SYT1
ACTN2,KRAS
ACTN2,RRP9
ACTN2,SNAP23
ACTN2,PCF11
ACTN2,TRIM25
ACTN2,NDC80
ACTN2,USP37
ACTN2,CHRM2
ACTN2,OGT
ACTN2,RPL4
ACTN2,YBX1
ACTN2,UPF3B
ACTN2,XRCC6
ACTN2,TCTN3
ACTN2,CYSLTR1
ACTN2,LONRF1
ACTN2,RLN3
ACTN2,RBM8A
ACTN2,RNF4
ACTN2,WDR33
ACTN2,MOV10
ACTN2,RNF2
ACTN2,SH3RF1
ACTN2,HNRNPK
ACTN2,RPL36
ACTN2,SLC25A12
ACTN2,KIF23
ACTN2,PDHB
FNTA,UBE2G2
FNTA,CNTRL
FNTA,UBE3C
FNTA,PRKD2
FNTA,MDC1
FNTA,HSP90AB1
FNTA,EFTUD2
FNTA,TBC1D25
FNTA,NUDC
FNTA,ORM1
PML,U2SURP
PML,VCP
PML,UBE3A
PML,MANBA
PML,ANAPC10
PML,ELAC2
PML,NCOR1
PML,S1PR1
PML,GNA13
PML,NFKB1
PML,NUP133
PML,TRA2B
PML,ENO1
PML,GNG13
PML,TP53
PML,MAPK6
PML,LZTR1
PML,DLD
PML,RPL7L1
PML,CEP63
PML,RPA1
PML,DLST
PML,GNRH1
PML,PPP5C
PML,RPL10A
PML,ARID4B
PML,WDR5
PML,POR
PML,H2AFX
PML,CCT8
PML,TGFBR2
PML,PTEN
PML,PCGF6
PML,GNG8
PML,XCR1
PML,PIK3R3
PML,TMED6
PML,RNF20
PML,SMAD3
PML,KRT31
PML,HEBP1
PML,CUL1
PML,GNG12
PML,CDC34
PML,ELAVL1
PML,CPSF4
PML,ABHD12
PML,TNFRSF1A
PML,MBP
PML,SEC24B
PML,MRPS28
PML,ATP5C1
PML,PSMA5
PML,OXTR
PML,RIOK1
PML,KAT5
PML,GNGT1
PML,FOXB1
PML,SRC
PML,PTPRC
PML,TP73
PML,RPL15
PML,BMP5
PML,FBXO2
PML,HAUS5
PML,TMEM67
PML,IGF1R
PML,RPL13A
PML,SMC1A
PML,FOXA1
PML,MCM2
PML,PTPRB
STAT3,HSD17B10
STAT3,PDIA6
STAT3,GRIA1
STAT3,PARD6A
STAT3,UBA52
STAT3,ILF2
STAT3,ASB5
STAT3,C4A
STAT3,PSMD3
STAT3,PPP2CA
STAT3,TAS2R46
STAT3,TRIM11
STAT3,OXT
STAT3,PRKCQ
STAT3,H2AFJ
STAT3,TNFRSF1A
STAT3,DARS
STAT3,WNT5A
STAT3,HOXA3
STAT3,S1PR4
STAT3,PPP5C
STAT3,RPS15A
STAT3,BRCA1
STAT3,ESR2
STAT3,KIF26B
STAT3,ITPR2
STAT3,CCR10
STAT3,HEBP2
STAT3,UBA5
STAT3,CDC40
STAT3,HNRNPK
STAT3,ERLIN2
STAT3,COPS7A
STAT3,RAB14
STAT3,CYB5D2
STAT3,POLR2L
STAT3,UBE3A
STAT3,AMELX
STAT3,SEC11C
STAT3,PRPF40B
STAT3,POLR2E
STAT3,HIST2H2BE
STAT3,RPS27A
STAT3,FBXO7
STAT3,PSMC5
STAT3,GAL
STAT3,PROSC
STAT3,SMURF1
STAT3,RPS13
STAT3,SMAP2
STAT3,SMARCAD1
STAT3,P4HA2
STAT3,TINF2
STAT3,ALDH3B2
STAT3,ESR1
STAT3,MRPL12
STAT3,PSAP
STAT3,RNF114
STAT3,CTNNB1
STAT3,LUC7L2
STAT3,GNAT3
ALDOA,WDYHV1
ALDOA,CDC20
ALDOA,KAT2B
ALDOA,CBL
ALDOA,ORC5
ALDOA,PTEN
ALDOA,ZDHHC18
ALDOA,MRPL21
ALDOA,TMEM30A
ALDOA,G3BP1
ALDOA,MCOLN3
ALDOA,LGALS3
ALDOA,SCGB2A2
ALDOA,HECW2
ALDOA,ITGAV
ALDOA,UBE2D1
ALDOA,HNRNPA2B1
ALDOA,RTCB
ALDOA,KIF23
ALDOA,ESR1
ALDOA,HIST1H4A
ALDOA,TAS2R40
ALDOA,SHMT2
ALDOA,SCCPDH
ALDOA,INS
ALDOA,ACTC1
ALDOA,ASB1
ALDOA,ATP5H
ALDOA,TFAP4
ALDOA,PDYN
ALDOA,ELAVL1
ALDOA,HSP90AB1
ALDOA,GOLGA2
ALDOA,TRIM25
ALDOA,KNG1
ALDOA,RAD21
ALDOA,KIAA1429
ALDOA,GUCY2D
ALDOA,ZYX
ALDOA,CASR
ALDOA,RPL13A
ALDOA,HIST2H2BE
ALDOA,GNA11
ALDOA,CCNB2
ALDOA,UBC
ALDOA,STX18
ALDOA,NR2F2
ALDOA,DDAH1
ALDOA,ENO1
ALDOA,TCTN3
ALDOA,DUT
ALDOA,ARRB1
ALDOA,ANAPC4
ALDOA,DCPS
ALDOA,PRKAR2B
ALDOA,ALDOA
ALDOA,CEP63
ALDOA,ACTL6A
ALDOA,PTAFR
ALDOA,UBE3A
ALDOA,PSMA2
ALDOA,RYBP
ALDOA,LYPD5
ALDOA,BDKRB1
ALDOA,HIST1H2BO
ALDOA,TOP1
ALDOA,EPB41L3
ALDOA,TMED2
ALDOA,TRAT1
ALDOA,RPS7
APP,S100A7
APP,P2RY4
APP,FBXW2
APP,FNTB
APP,HIST1H2AJ
APP,MRPL3
APP,AGR2
APP,NABP2
APP,HIST1H2AD
APP,MAK16
APP,HIST1H2BJ
APP,SYNJ1
APP,DEDD
APP,KIF1C
APP,PUM2
APP,KCNJ12
APP,SLC2A8
APP,TRIM5
APP,COPS2
APP,NNMT
APP,UBE2W
APP,RNPS1
APP,C5
APP,HELZ2
APP,UBE2E1
APP,HGF
APP,TCEB2
APP,E2F1
APP,HNRNPUL1
APP,RPL23A
APP,E2F2
APP,UHRF1
APP,MLLT4
APP,KIF2C
APP,SNX2
APP,ZDHHC17
APP,UBE3A
APP,UNC119
APP,LATS2
APP,SPTAN1
APP,RPGRIP1L
APP,HSP90AA1
APP,CREBBP
APP,UXT
APP,S1PR4
APP,HSPA5
APP,FURIN
APP,ANAPC11
APP,RPS25
APP,PDLIM1
APP,ATM
APP,MRPS27
APP,RPA3
APP,TSNAX
APP,CUL3
APP,STAG1
APP,EXOC6
APP,CHIT1
APP,DSC2
APP,RHNO1
APP,FUS
APP,MYC
APP,AP3S1
APP,TNFRSF1A
APP,UBE2J1
APP,SMC1A
APP,HMMR
APP,HIST1H4A
APP,INO80E
APP,MRPL32
APP,PSMA1
APP,RPS13
APP,HIST2H2AC
APP,NFU1
APP,KIF20A
APP,HIST1H3E
APP,ELAVL2
APP,NAPA
APP,RPS11
APP,WHSC1
APP,FZR1
APP,SH3RF1
APP,TRIM14
APP,FH
APP,CUL7
APP,RFC2
APP,CEP57
APP,QARS
APP,BGN
APP,HEBP1
APP,ARNT2
APP,DAZAP2
APP,CDK5
APP,ANXA1
APP,NUDT21
APP,PPP2R2A
APP,KRT19
APP,KLB
APP,ATP6V1G1
APP,HK1
APP,RPL19
APP,ARFGAP2
APP,PTPN6
APP,RPL22
APP,NDUFA4
APP,TMEM97
APP,KNG1
APP,PEX7
APP,FBXO5
APP,NOP56
APP,UBQLN1
APP,RPL13A
APP,SRSF6
APP,SSTR5
APP,PLRG1
APP,NDUFS4
APP,IARS
APP,RNF2
APP,RNF4
APP,SNX5
APP,RPS27
APP,UQCRB
APP,CDK2
APP,POLR2L
APP,EPRS
APP,CDC20
APP,SYT1
APP,COPS7A
APP,AURKA
APP,RPL14
APP,ZNRF2
APP,CHD4
APP,CSNK2A2
APP,FN3KRP
APP,GDPD5
APP,NPL
APP,EIF5B
APP,GALNT11
APP,HSPA8
APP,RPL37A
APP,HIST1H4H
APP,ZUFSP
APP,WDR5
APP,USP39
APP,PDHB
APP,BTK
APP,TUBA1B
APP,ITGB5
APP,XRCC6
APP,TTR
APP,RPS20
APP,C15orf48
APP,GPSM1
APP,UBE2M
APP,CNTROB
APP,RBPMS
APP,FFAR1
APP,BLM
APP,NCF1
APP,TOPBP1
APP,TRA2A
APP,SNAPIN
APP,GNB4
APP,PTTG1
APP,ISLR
APP,SF3A2
APP,PKM
APP,FBXL14
APP,PRKACA
APP,EIF4A1
APP,UBE2I
APP,EME1
APP,TNFRSF14
APP,ATP1A3
APP,SH3KBP1
APP,CXCR6
APP,GNL2
APP,ADCY6
APP,FBXO30
APP,DAB2
APP,RNF130
APP,PML
APP,HRAS
APP,FBXO6
APP,SORBS3
APP,UNC93B1
APP,RAD21
APP,UBE2D2
APP,AAR2
APP,FBXO44
APP,POLR2H
APP,ARID4B
APP,SRP72
APP,GPSM3
APP,CUL4B
APP,TRIM28
APP,TMEM30A
APP,RPL9
APP,RTCB
APP,SUCLA2
APP,STAT1
APP,APLNR
APP,GNB3
APP,IPO9
APP,GOLGA2
APP,MAP3K5
APP,TAS2R46
APP,MOV10
APP,LIG3
APP,SMURF2
APP,MAPK8
APP,ASB18
APP,U2SURP
APP,PLEC
APP,MDM2
APP,WDR1
APP,MIRLET7A2
APP,APP
APP,UTP15
APP,XPO1
APP,CCND2
APP,SCARNA22
APP,NANOG
APP,UTS2
APP,PTBP1
APP,PSME4
APP,VSIG4
APP,RCC1
APP,GNAT3
APP,GPSM2
APP,RAB1A
APP,SEC24C
APP,DCUN1D1
APP,SYT2
APP,TOMM7
APP,RELA
APP,COX5B
APP,PDYN
APP,SMC5
APP,IRAK3
APP,RPP30
APP,GPR65
APP,UBE3D
APP,WWP2
APP,RPS16
APP,HSD17B10
APP,DYNC1H1
APP,ALDH1A1
APP,SRSF8
APP,CUL1
APP,THOC3
APP,ILF2
APP,LMNB1
APP,SUPT5H
APP,SDCBP
APP,PDCD11
APP,FGFR3
APP,NMNAT1
APP,HIF1A
APP,TXNDC17
APP,ROPN1L
APP,RPP21
APP,ECSIT
APP,MED1
APP,ATXN1
APP,MRPL38
APP,HDAC6
APP,HECW2
APP,FADD
APP,SMAD4
APP,GBP2
APP,MPP6
APP,HEBP2
APP,SUCNR1
APP,NCF4
APP,TRIM11
APP,HIST1H2BD
APP,SRSF3
APP,CEP290
APP,MAP1LC3A
APP,SRPK2
APP,ASB4
APP,RTP1
APP,C8orf33
APP,SPTLC1
APP,SMAD9
APP,EGLN3
APP,PCK2
APP,GDI2
APP,TINF2
APP,TCEAL1
APP,EIF4E
APP,EGFR
APP,CPSF6
APP,BICD1
APP,PLCG1
APP,CPSF1
APP,CORO1C
APP,PLK1
APP,TARSL2
APP,ESR2
APP,ITGA4
APP,RPS28
APP,TRIM41
APP,PNP
APP,GOLT1B
APP,RPF2
APP,ATP5H
APP,GNB2
APP,CCNT1
APP,ARHGAP21
APP,SUSD4
APP,TAS2R19
APP,NOTCH1
APP,MRPS12
APP,CCR10
APP,BUB1B
APP,PRPF4
APP,RUVBL2
APP,RPL7L1
APP,UQCRC2
APP,HAUS2
APP,PPIA
APP,FOLR3
APP,APRT
APP,VEGFA
