source,target
MAP2K4,MAP2K6
MAP2K4,TRIM25
MAP2K4,MAPK9
MAP2K4,MAPK10
MAP2K4,MAP3K3
MAP2K4,NBR1
MAP2K4,MAP2K7
MAP2K4,UBC
MAP2K4,MAP3K7
MAP2K4,MAPK14
MAP2K4,MAP2K4
MAP2K4,MAPK1
MAP2K4,MAP3K8
MAP2K4,MAP3K1
MAP2K4,VASP
MAP2K4,MAPK8
MAP2K4,MAP3K5
MAP2K4,PML
MAP2K4,TNFRSF1A
MAP2K4,MAPK13
MAP2K4,MAPK12
MAP2K4,TAB1
MAP2K4,NFKB1
MAP2K4,MAPK8IP1
MAP2K4,TRAF2
MAP2K4,RIPK1
MAP2K4,RPS27A
MAP2K4,PAK1
MAP2K4,UBB
MAP2K4,PAK2
MAP2K4,ROCK2
MAP2K4,TNIP2
MAP2K4,PPM1A
MAP2K4,MAPK11
MAP2K4,TRADD
MAP2K4,MAP4K4
MAP2K4,RAC1
MAP2K4,TAB2
MAP2K4,TXN
MAP2K4,TAB3
MAP2K4,PRKCD
MAP2K4,ROCK1
MAP2K4,UBA52
MAP2K4,TNF
MAP2K4,TNIK
MAP2K4,VEGFC
MAP2K4,TRAF6
MAP2K4,PPP2R5D
MYPN,XPO1
MYPN,TRIM25
MYPN,PPP1CC
ACTN2,GNB2L1
ACTN2,KAT2B
ACTN2,HSPB1
ACTN2,ITGB3BP
ACTN2,ACTN4
ACTN2,COIL
ACTN2,CAPN1
ACTN2,SNAI1
ACTN2,GRIN2B
ACTN2,NOS3
ACTN2,TPM3
ACTN2,TOLLIP
ACTN2,GATA3
ACTN2,MYPN
ACTN2,NRIP1
ACTN2,QARS
ACTN2,KCNA5
ACTN2,YWHAQ
ACTN2,GRIN1
ACTN2,SNW1
ACTN2,RPL35
ACTN2,PPP1CB
ACTN2,SSSCA1
ACTN2,ACTN2
ACTN2,ERBB2IP
ACTN2,CFTR
ACTN2,VCL
ACTN2,TIMP1
ACTN2,CSK
ACTN2,TGFB1
ACTN2,HGF
ACTN2,SERPINE1
ACTN2,SPARC
ACTN2,HRG
ACTN2,TGFB3
ACTN2,SRGN
ACTN2,ISLR
ACTN2,KRAS
ACTN2,ORM1
ACTN2,THBS1
ACTN2,VWF
ACTN2,PIK3CA
