source,target
MAP2K4,TRIM25
MAP2K4,XRCC3
MAP2K4,KNTC1
MAP2K4,UBC
MAP2K4,UBQLN4
MAP2K4,PARK2
MAP2K4,EGFR
MAP2K4,SPCS3
MAP2K4,DDX23
MAP2K4,HDAC11
MAP2K4,METTL14
MAP2K4,WDR75
MAP2K4,CCNB1
MAP2K4,KIAA1429
ACTN2,CPSF4
ACTN2,RPL13A
ACTN2,SNRPE
ACTN2,TP53
ACTN2,COIL
ACTN2,TNF
ACTN2,TGOLN2
ACTN2,SHC1
ACTN2,RPS24
ACTN2,CCDC8
ACTN2,CAND1
ACTN2,SHMT2
ACTN2,RPS28
ACTN2,PPP2R1B
ACTN2,UNC93B1
ACTN2,RAB1A
ACTN2,EFTUD2
ACTN2,EIF3B
ACTN2,GNB1
ACTN2,EPHA3
ACTN2,PRKCD
ACTN2,ACTN2
ACTN2,ACTB
ACTN2,PLK1
ACTN2,PAPOLA
ACTN2,MCM2
ACTN2,RPL10
ACTN2,FN1
ACTN2,MARK2
ACTN2,PTAFR
ACTN2,RNF138
ACTN2,KIAA1429
ACTN2,NOP14
ACTN2,ZMYM4
ACTN2,PPP2R1A
ACTN2,NOLC1
ACTN2,SAFB2
ACTN2,PTEN
ACTN2,ZNRF1
ACTN2,EED
ACTN2,MLST8
ACTN2,EMD
ACTN2,PEX19
ACTN2,AGO3
PML,DYNLL1
PML,BDKRB1
PML,IL7R
PML,ZNF217
PML,AAR2
PML,SSTR5
PML,HNRNPA1
PML,FGF20
PML,HIST1H2BJ
PML,HNRNPA2B1
PML,UTP11L
PML,RTP5
PML,CDC5L
PML,SMG1
PML,GAPDH
PML,RPL35A
PML,UBE2N
PML,KRT8
PML,UBE3A
PML,DNAJC19
PML,RELA
PML,PTGER3
PML,TRIP12
PML,RNF14
PML,BCR
PML,MAPK8
PML,DYNC1LI1
PML,RPS27A
PML,PHB
PML,EWSR1
PML,P4HB
PML,KIAA1429
PML,PSMD11
PML,NUP85
PML,SNRPD3
PML,PPP1R18
PML,TPM2
PML,SMURF2
PML,IGF1
PML,HEXIM1
PML,TRIM14
PML,HSPA5
PML,POLR2I
PML,PPA1
PML,TAS2R30
PML,RNPS1
RPA2,ESR2
RPA2,HSP90AA1
RPA2,GSK3B
RPA2,TERF2
RPA2,RPL6
RPA2,NOS1AP
RPA2,BUD31
RPA2,UBE2C
RPA2,RPL36AL
RPA2,TACR1
RPA2,LPAR4
RPA2,TANK
RPA2,XPO1
RPA2,DAP3
RPA2,PYGB
RPA2,RECQL4
RPA2,SEC13
RPA2,ADCY5
RPA2,YTHDF3
RPA2,SPSB1
RPA2,CENPC
RPA2,PRKACA
RPA2,CSNK2A2
RPA2,MCTS1
RPA2,TOP2B
RPA2,ARRB2
RPA2,TP53BP1
RPA2,SOCS3
RPA2,USP9X
RPA2,CUL4B
RPA2,RLN3
RPA2,LEO1
RPA2,RNF114
RPA2,UBC
RPA2,PRPF6
RPA2,DVL2
RPA2,IGHV3-11
RPA2,GNB1
RPA2,PTGER3
RPA2,TNPO2
RPA2,EGFR
RPA2,MMP8
RPA2,UBA7
RPA2,MAPT
RPA2,CERK
RPA2,CDC16
RPA2,CDC27
RPA2,IKBKG
RPA2,M6PR
RPA2,TP53
RPA2,CAND1
RPA2,KIF3A
RPA2,CXCL11
RPA2,EIF4G1
RPA2,SSR3
RPA2,PIK3R2
RPA2,GART
RPA2,CEP76
RPA2,UBA52
RPA2,P2RY11
RPA2,UBB
RPA2,MIR93
RPA2,TRIM28
RPA2,EGF
RPA2,RNF14
RPA2,OBSL1
RPA2,PTGS2
RPA2,RPA3
RPA2,EIF2S3
RPA2,ARRB1
RPA2,STX5
RPA2,RPN1
RPA2,NPHP1
RPA2,WDR75
RPA2,CUL1
RPA2,RBX1
ARF1,DAP3
ARF1,MYO1C
ARF1,LYPLA1
ARF1,EGFR
ARF1,SF3B2
ARF1,GSK3B
ARF1,GFAP
ARF1,RPLP1
ARF1,SQSTM1
ARF1,UBA7
ARF1,VAMP3
ARF1,SLU7
ARF1,RPL11
ARF1,SMARCA4
ARF1,UBE2E1
ARF1,ERCC3
ARF1,RTP1
ARF1,SSTR2
ARF1,EXOSC1
ARF1,ARF1
ARF1,ATP1A1
ARF1,ERLIN2
ARF1,ARF6
ARF1,DVL3
ARF1,CARS
ARF1,MDM2
ARF1,WWP1
ARF1,GAPVD1
ARF1,CDC73
ARF1,GNB1
ARF1,NUDT21
ARF1,PRPF8
ARF1,RECQL4
ARF1,RIOK1
ARF1,DBN1
ARF1,PRKCA
ARF1,HSPA1L
ARF1,COPS6
ARF1,NCOR2
ARF1,KRAS
ARF1,ELAVL1
ARF1,ADCY2
ARF1,TRIM32
ARF1,PSMB6
ARF1,RAP2B
ARF1,SNRPE
ARF1,MAPK1
ARF1,HIST1H2BK
ARF1,UTP15
ARF1,EZH2
ARF1,ASB15
ARF1,DYNC1LI1
ARF1,CUL3
ARF1,HUWE1
ARF1,SYNCRIP
ARF1,HIST2H2AC
ARF1,RELA
ARF1,NXF1
ARF1,TRIP4
ARF1,CAPZA2
ALDOA,HOOK3
ALDOA,GNB1
ALDOA,FN1
ALDOA,GNG12
ALDOA,SDC3
ALDOA,EPHA2
ALDOA,PSMD13
ALDOA,CDK2
ALDOA,CREB1
ALDOA,REEP4
ALDOA,LMNB1
ALDOA,TAS2R7
ALDOA,SEPT2
ALDOA,BPTF
ALDOA,NOP14
ALDOA,RPL36AL
ALDOA,EXOSC1
ALDOA,HEXIM1
ALDOA,PPIL6
ALDOA,ARRB2
ALDOA,MYC
ALDOA,SOAT1
ALDOA,FANCI
ALDOA,MOV10
ALDOA,HNRNPA1
ALDOA,APEX1
ALDOA,RXRA
ALDOA,ILK
ALDOA,POLR3H
ALDOA,XPNPEP1
ALDOA,KIAA1429
ALDOA,HDAC5
ALDOA,HGS
ALDOA,PIK3R2
ALDOA,HIST1H2BJ
ALDOA,RPS27A
ALDOA,UBA52
ALDOA,ALDOA
ALDOA,CHD3
ALDOA,RPS5
ALDOA,GNAI3
ALDOA,HSPA8
