"V1","V2"
"BRF1","RNA polymerase III preinitiation complex assembly"
"BRF1","metal ion binding"
"BRF1","positive regulation of transcription by RNA polymerase III"
"BRF1","TBP-class protein binding"
"BRF1","tRNA transcription"
"BRF1","rRNA transcription"
"BRF1","transcription factor binding"
"BRF1","transcription initiation from RNA polymerase III promoter"
"BRF1","transcription by RNA polymerase III"
"BRF1","DNA-templated transcription, initiation"
"BRF1","nucleoplasm"
"BRF1","nucleus"
"BRF1","protein binding"
"BRF1","RNA polymerase III type 3 promoter sequence-specific DNA binding"
"BRF1","transcription factor TFIIIB complex"
"POU2F2","cell maturation"
"POU2F2","positive regulation of transcription by RNA polymerase II"
"POU2F2","sequence-specific DNA binding"
"POU2F2","intracellular membrane-bounded organelle"
"POU2F2","snRNA transcription by RNA polymerase II"
"POU2F2","cell differentiation"
"POU2F2","protein domain specific binding"
"POU2F2","humoral immune response"
"POU2F2","transcription by RNA polymerase II"
"POU2F2","cytoplasm"
"POU2F2","nucleoplasm"
"POU2F2","nucleus"
"POU2F2","DNA-binding transcription factor activity"
"POU2F2","immunoglobulin secretion involved in immune response"
"POU2F2","mature B cell differentiation"
"POU2F2","DNA-binding transcription activator activity, RNA polymerase II-specific"
"POU2F2","DNA-binding transcription factor activity, RNA polymerase II-specific"
"POU2F2","RNA polymerase II cis-regulatory region sequence-specific DNA binding"
"POU2F2","nuclear chromatin"
"EIF4E","regulation of translation at postsynapse, modulating synaptic transmission"
"EIF4E","postsynaptic cytosol"
"EIF4E","glutamatergic synapse"
"EIF4E","cellular response to dexamethasone stimulus"
"EIF4E","repressing transcription factor binding"
"EIF4E","extracellular exosome"
"EIF4E","perinuclear region of cytoplasm"
"EIF4E","positive regulation of mitotic cell cycle"
"EIF4E","negative regulation of neuron differentiation"
"EIF4E","cytoplasmic ribonucleoprotein granule"
"EIF4E","chromatoid body"
"EIF4E","eukaryotic initiation factor 4G binding"
"EIF4E","lung development"
"EIF4E","enzyme binding"
"EIF4E","stem cell population maintenance"
"EIF4E","negative regulation of translation"
"EIF4E","RISC complex"
"EIF4E","eukaryotic translation initiation factor 4F complex"
"EIF4E","viral process"
"EIF4E","negative regulation of autophagy"
"EIF4E","cytoplasmic stress granule"
"EIF4E","regulation of translation"
"EIF4E","translational initiation"
"EIF4E","mRNA export from nucleus"
"EIF4E","RNA export from nucleus"
"EIF4E","mRNA cap binding complex"
"EIF4E","cytosol"
"EIF4E","cytoplasm"
"EIF4E","protein binding"
"EIF4E","translation initiation factor activity"
"EIF4E","RNA binding"
"EIF4E","behavioral fear response"
"EIF4E","P-body"
"EIF4E","RNA 7-methylguanosine cap binding"
"EIF4E","RNA cap binding"
"EIF4E","G1/S transition of mitotic cell cycle"
"TAF1L","regulation of signal transduction by p53 class mediator"
"TAF1L","lysine-acetylated histone binding"
"TAF1L","positive regulation of transcription by RNA polymerase II"
"TAF1L","positive regulation of transcription, DNA-templated"
"TAF1L","sequence-specific DNA binding"
"TAF1L","TBP-class protein binding"
"TAF1L","histone acetylation"
"TAF1L","male meiotic nuclear division"
"TAF1L","protein phosphorylation"
"TAF1L","transcription initiation from RNA polymerase II promoter"
"TAF1L","transcription by RNA polymerase II"
"TAF1L","regulation of transcription by RNA polymerase II"
"TAF1L","transcription factor TFIID complex"
"TAF1L","nucleoplasm"
"TAF1L","cellular_component"
"TAF1L","protein serine/threonine kinase activity"
"TAF1L","histone acetyltransferase activity"
"CDK12","negative regulation of stem cell differentiation"
"CDK12","phosphorylation of RNA polymerase II C-terminal domain"
"CDK12","regulation of cell cycle"
"CDK12","protein autophosphorylation"
"CDK12","regulation of RNA splicing"
"CDK12","regulation of MAP kinase activity"
"CDK12","positive regulation of transcription elongation from RNA polymerase II promoter"
"CDK12","cyclin binding"
"CDK12","nuclear cyclin-dependent protein kinase holoenzyme complex"
"CDK12","protein kinase binding"
"CDK12","nuclear speck"
"CDK12","RNA splicing"
"CDK12","RNA polymerase II CTD heptapeptide repeat kinase activity"
"CDK12","protein phosphorylation"
"CDK12","mRNA processing"
"CDK12","nucleoplasm"
"CDK12","nucleus"
"CDK12","ATP binding"
"CDK12","protein binding"
"CDK12","cyclin-dependent protein serine/threonine kinase activity"
"CDK12","protein kinase activity"
"CDK12","cyclin K-CDK12 complex"
"CDK12","nuclear chromatin"
"CDK12","cyclin-dependent protein kinase holoenzyme complex"
"HIPK2","negative regulation of ubiquitin-dependent protein catabolic process"
"HIPK2","regulation of signal transduction by p53 class mediator"
"HIPK2","intrinsic apoptotic signaling pathway"
"HIPK2","RNA polymerase II transcription factor complex"
"HIPK2","cellular response to hypoxia"
"HIPK2","iris morphogenesis"
"HIPK2","SMAD protein signal transduction"
"HIPK2","lens induction in camera-type eye"
"HIPK2","embryonic retina morphogenesis in camera-type eye"
"HIPK2","regulation of cell cycle"
"HIPK2","positive regulation of DNA-binding transcription factor activity"
"HIPK2","voluntary musculoskeletal movement"
"HIPK2","embryonic camera-type eye morphogenesis"
"HIPK2","virion binding"
"HIPK2","SMAD binding"
"HIPK2","positive regulation of JNK cascade"
"HIPK2","positive regulation of transcription by RNA polymerase II"
"HIPK2","positive regulation of transcription, DNA-templated"
"HIPK2","positive regulation of angiogenesis"
"HIPK2","negative regulation of neuron apoptotic process"
"HIPK2","positive regulation of DNA binding"
"HIPK2","intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator"
"HIPK2","positive regulation of protein binding"
"HIPK2","PML body organization"
"HIPK2","negative regulation of BMP signaling pathway"
"HIPK2","positive regulation of transforming growth factor beta receptor signaling pathway"
"HIPK2","erythrocyte differentiation"
"HIPK2","neuron differentiation"
"HIPK2","modulation by virus of host process"
"HIPK2","peptidyl-tyrosine phosphorylation"
"HIPK2","peptidyl-threonine phosphorylation"
"HIPK2","peptidyl-serine phosphorylation"
"HIPK2","PML body"
"HIPK2","nuclear body"
"HIPK2","retina layer formation"
"HIPK2","anterior/posterior pattern specification"
"HIPK2","positive regulation of cell population proliferation"
"HIPK2","adult walking behavior"
"HIPK2","smoothened signaling pathway"
"HIPK2","transforming growth factor beta receptor signaling pathway"
"HIPK2","DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator"
"HIPK2","protein phosphorylation"
"HIPK2","cytoplasm"
"HIPK2","nucleoplasm"
"HIPK2","nucleus"
"HIPK2","ATP binding"
"HIPK2","protein binding"
"HIPK2","protein tyrosine kinase activity"
"HIPK2","protein serine/threonine kinase activity"
"HIPK2","protein kinase activity"
"HIPK2","transcription corepressor activity"
"HIPK2","transcription coactivator activity"
"HIPK2","eye development"
"HIPK2","RNA polymerase II activating transcription factor binding"
"HIPK2","negative regulation of transcription by RNA polymerase II"
"MYO5A","regulation of Golgi organization"
"MYO5A","regulation of postsynaptic cytosolic calcium ion concentration"
"MYO5A","establishment of endoplasmic reticulum localization to postsynapse"
"MYO5A","glutamatergic synapse"
"MYO5A","postsynapse"
"MYO5A","disordered domain specific binding"
"MYO5A","protein localization to plasma membrane"
"MYO5A","extracellular exosome"
"MYO5A","recycling endosome"
"MYO5A","actin filament binding"
"MYO5A","synapse organization"
"MYO5A","hair follicle maturation"
"MYO5A","neuronal cell body"
"MYO5A","neuron projection"
