"node","type"
"11723.VIF_SIVM1",0
"APOBEC3G",2
"MOV10",2
"CYC1",2
"APP",2
"APOB",2
"HSPA4",2
"CUL5",2
"SAMHD1",2
"HDAC6",2
"TRIM5",2
"COX5B",2
"CDA",2
"PRKACA",2
"PTN",2
"TCEB2",2
"CYCS",2
"BST2",2
"MB21D1",2
"MAP3K5",2
"TCEB1",2
"COX5A",2
"A1CF",2
"CBFB",2
"ORF1",2
"UQCRFS1",2
"APOBEC3F",2
"APOBEC4",2
"P-body",6
"positive regulation of defense response to virus by host",6
"RNA binding",6
"cytidine deaminase activity",6
"protein binding",6
"nucleus",6
"cytoplasm",6
"cytosol",6
"zinc ion binding",6
"cytidine deamination",6
"negative regulation of transposition",6
"viral process",6
"base conversion or substitution editing",6
"cytidine to uridine editing",6
"apolipoprotein B mRNA editing enzyme complex",6
"identical protein binding",6
"negative regulation of viral genome replication",6
"innate immune response",6
"negative regulation of single stranded viral RNA replication via double stranded DNA intermediate",6
"deoxycytidine deaminase activity",6
"negative regulation of viral process",6
"defense response to virus",6
"DNA cytosine deamination",6
"DNA demethylation",6
"ribonucleoprotein complex",6
