source,target
MAP2K4,MAP2K6
MAP2K4,TRIM25
MAP2K4,MAPK9
MAP2K4,MAPK10
MAP2K4,MAP3K3
MAP2K4,MAP2K7
MAP2K4,UBC
MAP2K4,MAP3K7
MAP2K4,MAPK14
MAP2K4,MAP2K4
MAP2K4,MAPK1
MAP2K4,MAP3K8
MAP2K4,MAP3K1
MAP2K4,RBBP8
MAP2K4,MAPK8
MAP2K4,MAP3K5
MAP2K4,PML
MAP2K4,MAP4K2
MAP2K4,TNFRSF1A
MAP2K4,TAB1
MAP2K4,NFKB1
MAP2K4,TRAF2
MAP2K4,RAC2
MAP2K4,RIPK1
MAP2K4,RPS27A
MAP2K4,PAK1
MAP2K4,NOD2
MAP2K4,RAC3
MAP2K4,UBB
MAP2K4,UBE2N
MAP2K4,ROCK2
MAP2K4,TNIP2
MAP2K4,MAPK11
MAP2K4,UBE2V1
MAP2K4,TRADD
MAP2K4,MAP4K4
MAP2K4,RAC1
MAP2K4,TAB2
MAP2K4,TXN
MAP2K4,TAB3
MAP2K4,PRKCD
MAP2K4,ROCK1
MAP2K4,UBA52
MAP2K4,TNF
MAP2K4,TNIK
MAP2K4,PRKCA
MAP2K4,VEGFC
MAP2K4,TRAF6
MAP2K4,PPP2R5D
GATA2,HDAC3
GATA2,JUN
GATA2,TNIP2
GATA2,HIST1H4A
GATA2,NR2C2
GATA2,LMO2
GATA2,GOLGA2
GATA2,SPI1
GATA2,PML
GATA2,ZBTB16
GATA2,RBX1
GATA2,TRAF1
GATA2,SMAD4
GATA2,SKP1
GATA2,KAT2A
GATA2,HDAC5
GATA2,PSMA3
GATA2,MNAT1
GATA2,KDR
GATA2,NOTCH1
GATA2,RUNX1
GATA2,MYC
PML,RANBP2
PML,USP7
PML,SUMO1
PML,RNF4
PML,SUMO3
PML,RUNX2
PML,RBX1
PML,RAD51
PML,UBE2I
PML,TP53
PML,PSME3
PML,SIRT1
PML,TRIB3
PML,RPL11
PML,RUNX1
PML,SPI1
PML,TCTN3
PML,RBL2
PML,SP1
PML,ZBTB16
PML,RB1
PML,UHRF1
PML,TERT
PML,TRIM25
PML,TP53BP1
PML,SKP1
PML,VDAC2
PML,TP63
PML,SRF
PML,SF1
PML,SUZ12
PML,STAT1
PML,STAT3
