"node","type"
"10497.Q76U48_ASFB7",0
"10497.P17_ASFB7",0
"PTGS2",2
"CDK1",2
"RELA",2
"TNF",2
"CYLD",2
"ELAVL1",2
"EPHA2",2
"HOOK1",2
"HDAC5",2
"MCM2",2
"EGFR",2
"CEP250",2
"EFTUD2",2
"AKAP8L",2
"CDK7",2
"CENPK",2
"GLS",2
"LARP7",2
"KRT18",2
"CDK6",2
"CDK11B",2
"DEPDC1",2
"PSMA6",2
"COX15",2
"FN1",2
"FUS",2
"PSMA5",2
"HRAS",2
"CALM1",2
"HIST1H2BB",2
"KPNA2",2
"MYC",2
"SIRT1",2
"GSK3B",2
"MAPK1",2
"NTRK1",2
"CUL4A",2
"HNRNPA1",2
"ACTN4",2
"ADAM9",2
"CCNA1",2
"CCNA2",2
"GORASP1",2
"CEP135",2
"EP300",2
"SUMO1",2
"ESR1",2
"CSNK2A2",2
"CCNT1",2
"BGN",2
"NUP160",2
"CCT7",2
"KRAS",2
"NCOR2",2
"STAU1",2
"EZH2",2
"AP2B1",2
"SF1",2
"CUL7",2
"CUL1",2
"ANLN",2
"APP",2
"CALM2",2
"HSPA5",2
"RNPS1",2
"COPA",2
"EPN1",2
"FADD",2
"H2AFX",2
"BRCA2",2
"NR0B2",2
"GAN",2
"RAB3IP",2
"HNRNPM",2
"BRCA1",2
"BDH1",2
"CHUK",2
"HIST1H4A",2
"CDC23",2
"RNF2",2
"CRP",2
"HIF1A",2
"CDC37",2
"TPM3",2
"HMOX1",2
"CAV1",2
"DSN1",2
"CEBPB",2
"KIF2C",2
"RPL13A",2
"LMNA",2
"PSMC6",2
"RNF4",2
"RNF123",2
"CDC5L",2
"PPARG",2
"HDAC1",2
"ENSA",2
"CDK9",2
"CENPA",2
"HNRNPU",2
"CDC34",2
"IKBKG",2
"NDC80",2
"MCM7",2
"ORC3",2
"MAP1B",2
"MYBBP1A",2
"AURKA",2
"MVP",2
"PPP2R2A",2
"NPM1",2
"GNB2L1",2
"CDH1",2
"BAG3",2
"PSMA4",2
"CSNK2A1",2
"DAXX",2
"LEO1",2
"FBXW11",2
"CCNY",2
"RNF31",2
"PARP1",2
"JUN",2
"MAP3K7",2
"RC3H1",2
"IL23A",2
"IL12RB1",2
"LINC01587",2
"APOA1",2
"UBC",2
"BECN1",2
"HSPA4",2
"PSMB7",2
"ANAPC5",2
"DSP",2
"HDAC3",2
"CCNC",2
"AP1G1",2
"SNW1",2
"DYNC1I2",2
"MTOR",2
"TP53",2
"BCL2L14",2
"COPS3",2
"CCDC8",2
"KCTD12",2
"COPS5",2
"MDM2",2
"DDX5",2
"POLR2A",2
"LMNB1",2
"NCL",2
"CEP57",2
"CDC42",2
"ACTB",2
"CD83",2
"BCL10",2
"PSMD8",2
"RECQL4",2
"CUL2",2
"SUZ12",2
"TRAF1",2
"BID",2
"PSMA2",2
"MIS18BP1",2
"CDK2",2
"LCK",2
"CAT",2
"RPL27",2
"SNRPD3",2
"VCP",2
"AHCYL1",2
"PCBP1",2
"HSP90AA1",2
"TNFRSF1A",2
"MAPRE1",2
"EGLN3",2
"HSD17B10",2
"AHR",2
"CEP63",2
"HSPA8",2
"ACTA1",2
"OBSL1",2
"CDC14B",2
"BARD1",2
"PRKDC",2
"PSMB5",2
"RPL7A",2
"IKBKB",2
"PSMB1",2
"RFC4",2
"RPLP1",2
"PSMC2",2
"E2F1",2
"CDC16",2
"CLIP1",2
"RPL7",2
"MYL6",2
"PCNA",2
"RPS19",2
"CLTC",2
"BTRC",2
"CASP3",2
"CHEK1",2
"RPS13",2
"CCT5",2
"E2F4",2
"NDUFA4",2
"HIST1H1A",2
"NQO1",2
"SNIP1",2
"RXRA",2
"HNRNPA2B1",2
"NME7",2
"CALM3",2
"MCM6",2
"TIMM13",2
"CAPZA1",2
"GJA1",2
"ARNT",2
"EEF2",2
"CCND1",2
"PSMD11",2
"HIF1AN",2
"RPS27",2
"DYNC1H1",2
"ESCO1",2
"RPS8",2
"SAMHD1",2
"NR2C2",2
"ASCC3",2
"MED15",2
"CEP76",2
"EEF2K",2
"AKT1",2
"FOXO1",2
"GBF1",2
"PSMB2",2
"KRT10",2
"KCTD5",2
"PPP1CC",2
"FAF1",2
"PTOV1",2
"HDAC2",2
"HDAC6",2
"MEPCE",2
"EHMT2",2
"DDX6",2
"AHSG",2
"GATA2",2
"PPM1B",2
"BRMS1",2
"RPL6",2
"CTNNB1",2
"PSMD14",2
"CREBBP",2
"DDX3X",2
"PPP2CA",2
"MYBL2",2
"FOXP3",2
"CDC25A",2
"HIST1H2AB",2
"KIF23",2
"ABL1",2
"KDM1A",2
"AAR2",2
"MAD1L1",2
"H2AFZ",2
"HMGA1",2
"BCCIP",2
"ATM",2
"CDC25B",2
"NOTCH3",2
"FBL",2
"STK3",2
"TBL1X",2
"OFD1",2
"TNIP1",2
"BLM",2
"TGFB1",2
"RPL11",2
"NUFIP2",2
"CASC5",2
"DLST",2
"CDK14",2
"ATXN3",2
"DIS3L2",2
