"node","type"
"12475.SHDAG_HDVD3",0
"CSNK2A3",2
"YY1",2
"PRMT1",2
"CYLD",2
"ELAVL1",2
"GLTSCR2",2
"HDAC5",2
"MCM2",2
"EFTUD2",2
"LARP7",2
"MOV10",2
"FN1",2
"FUS",2
"HIST1H2BB",2
"KPNA2",2
"MYC",2
"SIRT1",2
"NTRK1",2
"CUL4A",2
"AGR2",2
"HNRNPA1",2
"DYNLT1",2
"EP300",2
"GRWD1",2
"ITFG1",2
"ESR1",2
"CSNK2A2",2
"CSNK2B",2
"EP400",2
"CCT7",2
"DDB1",2
"MIR221",2
"EZH2",2
"KIAA1429",2
"CUL7",2
"CUL1",2
"APP",2
"HSPA5",2
"RNPS1",2
"MIR199A1",2
"MECP2",2
"H2AFX",2
"GAN",2
"EWSR1",2
"BRCA1",2
"HIST1H4A",2
"RNF2",2
"CDC37",2
"PPIA",2
"ILF3",2
"RNF4",2
"EYA4",2
"HDAC1",2
"NR1H2",2
"COPS6",2
"HNRNPU",2
"MCM7",2
"AURKA",2
"ARRB1",2
"MIRLET7F2",2
"NPM1",2
"ESR2",2
"FBXO7",2
"HIST4H4",2
"MIRLET7A3",2
"CSNK2A1",2
"DAXX",2
"HNRNPR",2
"PARP1",2
"JUN",2
"HSPA4",2
"MED31",2
"ASH2L",2
"FOXL1",2
"HDAC3",2
"C17orf53",2
"MTOR",2
"TP53",2
"COPS3",2
"NHP2L1",2
"DGCR8",2
"COPS5",2
"BMI1",2
"MDM2",2
"DDX5",2
"POLR2A",2
"NCL",2
"ACTB",2
"RECQL4",2
"CUL2",2
"SUZ12",2
"CDK2",2
"SNRPD2",2
"SNRPD3",2
"HIST1H4F",2
"EGLN3",2
"OBSL1",2
"PRKDC",2
"F9",2
"PCNA",2
"SMAD2",2
"RUVBL1",2
"DDB2",2
"RXRA",2
"ACTL6A",2
"CUL3",2
"HCFC1",2
"PRMT6",2
"HIST1H3A",2
"COPS4",2
"CAND1",2
"MIR138-1",2
"SETD1A",2
"MIR25",2
"NEDD4L",2
"NR2C2",2
"FOXO1",2
"GBF1",2
"HDAC2",2
"EHMT2",2
"POLR2G",2
"CTNNB1",2
"CREBBP",2
"DDX3X",2
"GABPB1",2
"MIRLET7A1",2
"RPTOR",2
"AAR2",2
"H2AFZ",2
"NRIP1",2
"BCCIP",2
"CDC25B",2
"FBL",2
"KHDRBS2",2
"ATXN3",2
"MCM4",2
"NXF1",2
"FOXK1",2
"POLR2E",2
"PPARGC1A",2
"CIRBP",2
"DCAF16",2
"ASXL2",2
"KHDRBS3",2
"BAX",2
"INO80B",2
"MIR141",2
"MIRLET7E",2
"CHTOP",2
"HUWE1",2
"POLR2C",2
"WDR33",2
"HIST1H4J",2
"HIST1H4K",2
"HIST1H4I",2
"HIST1H4D",2
"RARA",2
"PIH1D1",2
"MIR34A",2
"ARRB2",2
"CLNS1A",2
"HIST2H2BE",2
"BCLAF1",2
"GATA1",2
"CARM1",2
"SSSCA1",2
"MAX",2
"MIR9-2",2
"RELA",2
"FOXB1",2
"TRRAP",2
"FBXW7",2
"AR",2
"ANP32E",2
"SH3GL1",2
"PML",2
"PHB",2
"NFKBIA",2
"METTL14",2
"DCAF8",2
"TRIM25",2
"DPF2",2
"CDKN2A",2
"SHMT2",2
"MIR19A",2
"NCOA3",2
"TFAP2A",2
"AGO3",2
"DVL2",2
"G3BP1",2
"ATF7",2
"UBE2D1",2
"RBBP7",2
"MTA2",2
"CFLAR",2
"KDM6A",2
"GABPA",2
"HIST1H2AC",2
"RAF1",2
"TFDP1",2
"AGO1",2
"STUB1",2
"ATF2",2
"JUNB",2
"DNM1L",2
"RUVBL2",2
"TNIP2",2
"NCOA2",2
"POU2F1",2
"MRE11A",2
"THOC1",2
"CEP162",2
"DHX9",2
"SNRNP70",2
"EIF4A3",2
"C1QBP",2
"POLR2B",2
"NEDD4",2
"SYNCRIP",2
"BCL6",2
"ERH",2
"PSMD9",2
"CTCF",2
"MIR9-3",2
"TP53BP1",2
"KMT2A",2
"WDR77",2
"CUL4B",2
"NCOR1",2
"KHDRBS1",2
"EIF4A1",2
"KAT2B",2
"HIST1H2BO",2
"HABP4",2
"COIL",2
"RBX1",2
"METTL3",2
"HNRNPK",2
"HNRNPUL1",2
"SNRPD1",2
"EED",2
"GRN",2
"SKP2",2
"SOX2",2
"PTCH1",2
"MIR122",2
"GP1BA",2
"ERBB2",2
"BTG2",2
"FOXK2",2
"MCRS1",2
"ID2",2
"HIST1H2BJ",2
"CAPRIN1",2
"ZBTB14",2
"KPNA6",2
"HDAC4",2
"PABPN1",2
"PCGF2",2
"SAP30",2
"GTF2A1",2
"MIR106A",2
"COPS7A",2
"MIR19B1",2
"NFKB1",2
"INO80E",2
"MIR106B",2
"TCF3",2
"DUSP23",2
"NOTCH1",2
"TNRC6A",2
"ACLY",2
"MYCN",2
"OGT",2
"HIST1H2BD",2
"MIR222",2
"RB1",2
"FOXO3",2
"POLR2I",2
"MIR92A2",2
"MIR206",2
"CERK",2
"FOS",2
"GTF2I",2
"S100A8",2
"MIR18B",2
"CREB1",2
"MLST8",2
"CEP164",2
"RPS2",2
"INO80D",2
"MAGOH",2
"EIF4B",2
"TERF2",2
"TFCP2",2
"MIR10B",2
"DNMT3L",2
"MIR128-1",2
"HIST1H2AH",2
"HIST1H2AA",2
"H2AFV",2
"AGO2",2
"RAD23A",2
"CRY2",2
"MECOM",2
"MIR16-2",2
"KMT2C",2
"FOXA1",2
"NBN",2
"ALYREF",2
"AGO4",2
"SMURF1",2
"UBAP2L",2
"VIM",2
"POLR2L",2
"CTPS1",2
"MIR29C",2
"MIR19B2",2
"MDP1",2
"SMAD1",2
"MIR200B",2
"HIST1H2BM",2
"CRKL",2
"ING3",2
"MIR29A",2
"E2F3",2
"E2F2",2
"AXIN1",2
"SKP1",2
"ACP1",2
"HIST2H2AC",2
"PRMT5",2
"MIR155",2
"WDYHV1",2
"COPS8",2
"INO80",2
"MTMR14",2
"PTPN7",2
"NFE2L2",2
"FBXL17",2
"RPS6KB2",2
"TERF1",2
"GADD45A",2
