"V1","V2"
"LYN","positive regulation of dendritic cell apoptotic process"
"LYN","positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process"
"LYN","negative regulation of intracellular signal transduction"
"LYN","phosphorylation-dependent protein binding"
"LYN","postsynaptic specialization, intracellular component"
"LYN","glutamatergic synapse"
"LYN","dendritic cell differentiation"
"LYN","regulation of platelet aggregation"
"LYN","regulation of monocyte chemotaxis"
"LYN","cellular response to retinoic acid"
"LYN","positive regulation of mast cell proliferation"
"LYN","negative regulation of mast cell proliferation"
"LYN","positive regulation of oligodendrocyte progenitor proliferation"
"LYN","negative regulation of ERK1 and ERK2 cascade"
"LYN","regulation of ERK1 and ERK2 cascade"
"LYN","positive regulation of stress-activated protein kinase signaling cascade"
"LYN","extracellular exosome"
"LYN","growth hormone receptor signaling pathway via JAK-STAT"
"LYN","positive regulation of Fc receptor mediated stimulatory signaling pathway"
"LYN","positive regulation of glial cell proliferation"
"LYN","regulation of release of sequestered calcium ion into cytosol"
"LYN","positive regulation of cellular component movement"
"LYN","phosphoprotein binding"
"LYN","leukocyte migration"
"LYN","regulation of B cell receptor signaling pathway"
"LYN","B cell receptor signaling pathway"
"LYN","negative regulation of immune response"
"LYN","regulation of inflammatory response"
"LYN","regulation of cytokine secretion"
"LYN","cytokine secretion"
"LYN","response to axon injury"
"LYN","perinuclear region of cytoplasm"
"LYN","ephrin receptor signaling pathway"
"LYN","ephrin receptor binding"
"LYN","protein autophosphorylation"
"LYN","positive regulation of Ras protein signal transduction"
"LYN","regulation of erythrocyte differentiation"
"LYN","membrane raft"
"LYN","innate immune response"
"LYN","ion channel binding"
"LYN","positive regulation of phosphatidylinositol 3-kinase activity"
"LYN","negative regulation of MAP kinase activity"
"LYN","regulation of mast cell degranulation"
"LYN","intracellular membrane-bounded organelle"
"LYN","glycosphingolipid binding"
"LYN","response to amino acid"
"LYN","gamma-tubulin binding"
"LYN","mast cell granule"
"LYN","positive regulation of tyrosine phosphorylation of STAT protein"
"LYN","response to drug"
"LYN","regulation of cell population proliferation"
"LYN","Fc-gamma receptor signaling pathway involved in phagocytosis"
"LYN","Fc-epsilon receptor signaling pathway"
"LYN","peptidyl-tyrosine autophosphorylation"
"LYN","intracellular signal transduction"
"LYN","integrin alpha2-beta1 complex"
"LYN","cellular response to heat"
"LYN","negative regulation of toll-like receptor 4 signaling pathway"
"LYN","toll-like receptor 4 signaling pathway"
"LYN","negative regulation of toll-like receptor 2 signaling pathway"
"LYN","regulation of cell adhesion mediated by integrin"
"LYN","regulation of mast cell activation"
"LYN","response to insulin"
"LYN","cellular response to extracellular stimulus"
"LYN","lipopolysaccharide-mediated signaling pathway"
"LYN","ubiquitin protein ligase binding"
"LYN","T cell costimulation"
"LYN","extrinsic component of cytoplasmic side of plasma membrane"
"LYN","neuron projection development"
"LYN","negative regulation of B cell proliferation"
"LYN","positive regulation of cell migration"
"LYN","erythrocyte differentiation"
"LYN","platelet activation"
"LYN","cell differentiation"
"LYN","mitochondrial crista"
"LYN","peptidyl-tyrosine phosphorylation"
"LYN","SH3 domain binding"
"LYN","kinase activity"
"LYN","viral process"
"LYN","response to organic cyclic compound"
"LYN","postsynaptic density"
"LYN","positive regulation of phosphatidylinositol 3-kinase signaling"
"LYN","oligodendrocyte development"
"LYN","positive regulation of neuron projection development"
"LYN","response to carbohydrate"
"LYN","response to hormone"
"LYN","response to toxic substance"
"LYN","negative regulation of cell population proliferation"
"LYN","positive regulation of cell population proliferation"
"LYN","blood coagulation"
"LYN","transmembrane receptor protein tyrosine kinase signaling pathway"
"LYN","signal transduction"
"LYN","response to sterol depletion"
"LYN","cellular response to DNA damage stimulus"
"LYN","protein phosphorylation"
"LYN","plasma membrane"
"LYN","cytosol"
"LYN","Golgi apparatus"
"LYN","mitochondrial intermembrane space"
"LYN","cytoplasm"
"LYN","nucleus"
"LYN","ATP binding"
"LYN","protein binding"
"LYN","integrin binding"
"LYN","platelet-derived growth factor receptor binding"
"LYN","signaling receptor binding"
"LYN","non-membrane spanning protein tyrosine kinase activity"
"LYN","protein tyrosine kinase activity"
"LYN","regulation of B cell apoptotic process"
"LYN","Fc receptor mediated inhibitory signaling pathway"
"LYN","immune response-regulating cell surface receptor signaling pathway"
"LYN","negative regulation of myeloid leukocyte differentiation"
"LYN","platelet degranulation"
"LYN","histamine secretion by mast cell"
"LYN","tolerance induction to self antigen"
"LYN","Fc receptor mediated stimulatory signaling pathway"
"LYN","adaptive immune response"
"LYN","stimulatory C-type lectin receptor signaling pathway"
"LYN","positive regulation of protein phosphorylation"
"LYN","negative regulation of protein phosphorylation"
"LYN","regulation of protein phosphorylation"
"LYN","regulation of cytokine production"
"LYN","B cell homeostasis"
"PDE6B","photoreceptor disc membrane"
"PDE6B","retina development in camera-type eye"
"PDE6B","regulation of cytosolic calcium ion concentration"
"PDE6B","3',5'-cyclic-GMP phosphodiesterase activity"
"PDE6B","metal ion binding"
"PDE6B","regulation of rhodopsin mediated signaling pathway"
"PDE6B","rhodopsin mediated signaling pathway"
"PDE6B","phototransduction, visible light"
"PDE6B","visual perception"
"PDE6B","Wnt signaling pathway, calcium modulating pathway"
"PDE6B","G protein-coupled receptor signaling pathway"
"PDE6B","plasma membrane"
"PDE6B","cell"
"IL10","negative regulation of endothelial cell apoptotic process"
"IL10","positive regulation of vascular smooth muscle cell proliferation"
"IL10","negative regulation of vascular smooth muscle cell proliferation"
"IL10","negative regulation of sensory perception of pain"
"IL10","positive regulation of sprouting angiogenesis"
"IL10","regulation of complement-dependent cytotoxicity"
"IL10","negative regulation of hydrogen peroxide-induced neuron death"
"IL10","regulation of response to wounding"
"IL10","positive regulation of pri-miRNA transcription by RNA polymerase II"
"IL10","liver regeneration"
"IL10","endothelial cell apoptotic process"
"IL10","negative regulation of chemokine (C-C motif) ligand 5 production"
"IL10","cellular response to estradiol stimulus"
"IL10","cellular response to lipopolysaccharide"
"IL10","branching involved in labyrinthine layer morphogenesis"
"IL10","negative regulation of cytokine activity"
"IL10","response to glucocorticoid"
"IL10","positive regulation of DNA-binding transcription factor activity"
"IL10","negative regulation of membrane protein ectodomain proteolysis"
"IL10","regulation of synapse organization"
"IL10","negative regulation of inflammatory response"
"IL10","positive regulation of cytokine secretion"
"IL10","protein dimerization activity"
"IL10","positive regulation of receptor signaling pathway via JAK-STAT"
"IL10","negative regulation of mitotic cell cycle"
"IL10","positive regulation of transcription, DNA-templated"
"IL10","positive regulation of cell cycle"
"IL10","negative regulation of interferon-alpha biosynthetic process"
"IL10","positive regulation of MHC class II biosynthetic process"
"IL10","negative regulation of MHC class II biosynthetic process"
"IL10","regulation of isotype switching"
"IL10","negative regulation of nitric oxide biosynthetic process"
"IL10","negative regulation of neuron apoptotic process"
"IL10","negative regulation of apoptotic process"
"IL10","positive regulation of macrophage activation"
"IL10","defense response to protozoan"
"IL10","defense response to bacterium"
"IL10","negative regulation of tumor necrosis factor biosynthetic process"
"IL10","negative regulation of T cell proliferation"
"IL10","B cell proliferation"
"IL10","type 2 immune response"
"IL10","cellular response to hepatocyte growth factor stimulus"
"IL10","interleukin-12-mediated signaling pathway"
"IL10","response to carbon monoxide"
"IL10","positive regulation of heterotypic cell-cell adhesion"
"IL10","negative regulation of heterotypic cell-cell adhesion"
"IL10","response to insulin"
"IL10","receptor biosynthetic process"
"IL10","negative regulation of tumor necrosis factor production"
"IL10","negative regulation of interleukin-8 production"
"IL10","negative regulation of interleukin-6 production"
"IL10","negative regulation of interleukin-18 production"
"IL10","negative regulation of interleukin-12 production"
"IL10","negative regulation of interleukin-1 production"
"IL10","negative regulation of interferon-gamma production"
"IL10","negative regulation of B cell proliferation"
"IL10","negative regulation of myeloid dendritic cell activation"
"IL10","leukocyte chemotaxis"
"IL10","B cell differentiation"
"IL10","hemopoiesis"
"IL10","cytokine-mediated signaling pathway"
"IL10","response to inactivity"
"IL10","response to activity"
"IL10","negative regulation of autophagy"
"IL10","regulation of gene expression"
"IL10","negative regulation of cell population proliferation"
"IL10","growth factor activity"
"IL10","aging"
"IL10","cytoplasmic sequestering of NF-kappaB"
"IL10","extracellular space"
"IL10","extracellular region"
"IL10","protein binding"
"IL10","interleukin-10 receptor binding"
"IL10","cytokine activity"
"IL10","positive regulation of B cell apoptotic process"
"IL10","negative regulation of chronic inflammatory response to antigenic stimulus"
"IL10","negative regulation of cytokine secretion involved in immune response"
"IL10","response to molecule of bacterial origin"
"IL10","positive regulation of endothelial cell proliferation"
"IL10","negative regulation of cytokine production"
"HDAC9","histone H4-K16 deacetylation"
"HDAC9","positive regulation of cell migration involved in sprouting angiogenesis"
"HDAC9","histone H4 deacetylation"
"HDAC9","histone H3 deacetylation"
"HDAC9","repressing transcription factor binding"
"HDAC9","regulation of striated muscle cell differentiation"
"HDAC9","negative regulation of lipoprotein lipase activity"
"HDAC9","negative regulation of cytokine secretion"
"HDAC9","regulation of skeletal muscle fiber development"
"HDAC9","metal ion binding"
"HDAC9","negative regulation of transcription, DNA-templated"
"HDAC9","histone deacetylase binding"
"HDAC9","cholesterol homeostasis"
"HDAC9","B cell activation"
"HDAC9","histone methyltransferase complex"
"HDAC9","peptidyl-lysine deacetylation"
"HDAC9","histone deacetylase activity (H4-K16 specific)"
"HDAC9","protein deacetylase activity"
"HDAC9","cellular response to insulin stimulus"
"HDAC9","NAD-dependent histone deacetylase activity (H3-K14 specific)"
"HDAC9","B cell differentiation"
"HDAC9","neuron differentiation"
"HDAC9","histone deacetylation"
"HDAC9","transcription factor binding"
"HDAC9","heart development"
"HDAC9","inflammatory response"
"HDAC9","cytoplasm"
"HDAC9","transcription factor complex"
"HDAC9","nucleoplasm"
"HDAC9","nucleus"
"HDAC9","protein binding"
"HDAC9","protein kinase C binding"
"HDAC9","histone deacetylase activity"
"HDAC9","transcription corepressor activity"
"HDAC9","response to amphetamine"
"HDAC9","negative regulation of transcription by RNA polymerase II"
"HDAC9","histone deacetylase complex"
"EBNA1BP2","ribosomal large subunit biogenesis"
"EBNA1BP2","nuclear periphery"
"EBNA1BP2","preribosome, large subunit precursor"
"EBNA1BP2","rRNA processing"
"EBNA1BP2","nucleolus"
"EBNA1BP2","protein binding"
"EBNA1BP2","RNA binding"
"WDR20","protein deubiquitination"
"WDR20","nucleoplasm"
"WDR20","protein binding"
"SUMO3","regulation of protein localization to nucleus"
"SUMO3","negative regulation of DNA binding"
"SUMO3","protein sumoylation"
"SUMO3","PML body"
"SUMO3","cytoplasm"
"SUMO3","nucleoplasm"
"SUMO3","nucleus"
"SUMO3","protein binding"
"SUMO3","kinetochore"
"TAPBP","vesicle fusion with endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane"
"TAPBP","integral component of lumenal side of endoplasmic reticulum membrane"
"TAPBP","protein-containing complex assembly"
"TAPBP","TAP complex binding"
"TAPBP","regulation of protein complex stability"
"TAPBP","unfolded protein binding"
"TAPBP","peptide antigen stabilization"
"TAPBP","TAP2 binding"
"TAPBP","TAP1 binding"
"TAPBP","MHC class I peptide loading complex"
"TAPBP","peptide antigen binding"
"TAPBP","MHC class I protein binding"
"TAPBP","endoplasmic reticulum-Golgi intermediate compartment membrane"
"TAPBP","phagocytic vesicle membrane"
"TAPBP","antigen processing and presentation of endogenous peptide antigen via MHC class I"
"TAPBP","integral component of membrane"
"TAPBP","peptide transport"
"TAPBP","ATPase-coupled peptide antigen transmembrane transporter activity"
"TAPBP","regulation of gene expression"
"TAPBP","immune response"
"TAPBP","retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum"
"TAPBP","endoplasmic reticulum membrane"
"TAPBP","endoplasmic reticulum"
"TAPBP","protein binding"
"TAPBP","antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent"
"TAPBP","antigen processing and presentation of peptide antigen via MHC class I"
"TAPBP","MHC class Ib protein complex assembly"
"TAPBP","Golgi membrane"
"BRAP","ubiquitin protein ligase activity"
"BRAP","identical protein binding"
"BRAP","nuclear membrane"
"BRAP","protein ubiquitination"
"BRAP","negative regulation of signal transduction"
"BRAP","zinc ion binding"
"BRAP","nuclear localization sequence binding"
"BRAP","Ras protein signal transduction"
"BRAP","cytosol"
"BRAP","cytoplasm"
"BRAP","protein binding"
"BRAP","ubiquitin-protein transferase activity"
"BRAP","nucleic acid binding"
"BRAP","MAPK cascade"
"BRAP","ubiquitin ligase complex"
"SATB1","reflex"
"SATB1","activated T cell proliferation"
"SATB1","CD8-positive, alpha-beta T cell differentiation"
"SATB1","CD4-positive, alpha-beta T cell differentiation"
"SATB1","PML body"
"SATB1","nuclear body"
"SATB1","histone methylation"
"SATB1","nuclear matrix"
"SATB1","viral process"
"SATB1","epidermis development"
"SATB1","regulation of transcription by RNA polymerase II"
"SATB1","chromatin remodeling"
"SATB1","chromatin organization"
"SATB1","nuclear heterochromatin"
"SATB1","nucleoplasm"
"SATB1","nucleus"
"SATB1","protein binding"
"SATB1","double-stranded DNA binding"
"SATB1","chromatin binding"
"SATB1","DNA-binding transcription repressor activity, RNA polymerase II-specific"
"SATB1","DNA-binding transcription factor activity, RNA polymerase II-specific"
"SATB1","RNA polymerase II regulatory region sequence-specific DNA binding"
"SATB1","nuclear chromatin"
"SATB1","negative regulation of transcription by RNA polymerase II"
"SATB1","SUMO3"
"TNF","negative regulation of extrinsic apoptotic signaling pathway in absence of ligand"
"TNF","negative regulation of apoptotic signaling pathway"
"TNF","positive regulation of interleukin-6 secretion"
"TNF","positive regulation of interleukin-8 secretion"
"TNF","regulation of endothelial cell apoptotic process"
"TNF","positive regulation of chemokine (C-X-C motif) ligand 2 production"
"TNF","positive regulation of blood microparticle formation"
"TNF","positive regulation of ceramide biosynthetic process"
"TNF","positive regulation of protein localization to cell surface"
"TNF","positive regulation of leukocyte adhesion to arterial endothelial cell"
"TNF","positive regulation of leukocyte adhesion to vascular endothelial cell"
"TNF","positive regulation of vascular smooth muscle cell proliferation"
"TNF","negative regulation of production of miRNAs involved in gene silencing by miRNA"
"TNF","positive regulation of I-kappaB phosphorylation"
"TNF","negative regulation of bicellular tight junction assembly"
"TNF","regulation of establishment of endothelial barrier"
"TNF","positive regulation of protein localization to plasma membrane"
"TNF","positive regulation of pri-miRNA transcription by RNA polymerase II"
"TNF","positive regulation of amyloid-beta formation"
"TNF","positive regulation of superoxide dismutase activity"
"TNF","positive regulation of synoviocyte proliferation"
"TNF","positive regulation of NIK/NF-kappaB signaling"
"TNF","negative regulation of amyloid-beta clearance"
"TNF","positive regulation of cytokine production involved in inflammatory response"
"TNF","positive regulation of neuroinflammatory response"
"TNF","necroptotic signaling pathway"
"TNF","extrinsic apoptotic signaling pathway"
"TNF","positive regulation of chemokine secretion"
"TNF","protein localization to plasma membrane"
"TNF","endothelial cell apoptotic process"
"TNF","positive regulation of podosome assembly"
"TNF","positive regulation of mononuclear cell migration"
"TNF","death-inducing signaling complex assembly"
"TNF","cellular response to organic cyclic compound"
"TNF","cellular response to nicotine"
"TNF","cellular response to amino acid stimulus"
"TNF","positive regulation of calcineurin-NFAT signaling cascade"
"TNF","positive regulation of ERK1 and ERK2 cascade"
"TNF","negative regulation of branching involved in lung morphogenesis"
"TNF","negative regulation of vascular wound healing"
"TNF","regulation of branching involved in salivary gland morphogenesis"
"TNF","epithelial cell proliferation involved in salivary gland morphogenesis"
"TNF","positive regulation of calcidiol 1-monooxygenase activity"
"TNF","positive regulation of vitamin D biosynthetic process"
"TNF","positive regulation of glial cell proliferation"
"TNF","recycling endosome"
"TNF","regulation of synaptic transmission, glutamatergic"
"TNF","positive regulation of protein kinase B signaling"
"TNF","positive regulation of hair follicle development"
"TNF","response to glucocorticoid"
"TNF","positive regulation of protein transport"
"TNF","positive regulation of nitrogen compound metabolic process"
"TNF","positive regulation of NF-kappaB transcription factor activity"
"TNF","positive regulation of DNA-binding transcription factor activity"
"TNF","positive regulation of membrane protein ectodomain proteolysis"
"TNF","regulation of immunoglobulin secretion"
"TNF","positive regulation of nitric-oxide synthase activity"
"TNF","negative regulation of lipid catabolic process"
"TNF","leukocyte tethering or rolling"
"TNF","cognition"
"TNF","defense response to Gram-positive bacterium"
"TNF","regulation of synapse organization"
"TNF","positive regulation of synaptic transmission"
"TNF","regulation of insulin secretion"
"TNF","negative regulation of neurogenesis"
"TNF","positive regulation of phagocytosis"
"TNF","positive regulation of fractalkine biosynthetic process"
"TNF","positive regulation of inflammatory response"
"TNF","positive regulation of interleukin-1 beta biosynthetic process"
"TNF","positive regulation of cytokine secretion"
"TNF","positive regulation of smooth muscle cell proliferation"
"TNF","embryonic digestive tract development"
"TNF","astrocyte activation"
"TNF","positive regulation of receptor signaling pathway via JAK-STAT"
"TNF","negative regulation of glucose import"
"TNF","positive regulation of translational initiation by iron"
"TNF","positive regulation of transcription by RNA polymerase II"
"TNF","negative regulation of mitotic cell cycle"
"TNF","positive regulation of transcription, DNA-templated"
"TNF","negative regulation of transcription, DNA-templated"
"TNF","positive regulation of protein kinase activity"
"TNF","positive regulation of cell adhesion"
"TNF","positive regulation of protein catabolic process"
"TNF","positive regulation of osteoclast differentiation"
"TNF","negative regulation of osteoblast differentiation"
"TNF","negative regulation of myoblast differentiation"
"TNF","negative regulation of fat cell differentiation"
"TNF","regulation of fat cell differentiation"
"TNF","positive regulation of nitric oxide biosynthetic process"
"TNF","positive regulation of interleukin-8 biosynthetic process"
"TNF","positive regulation of interleukin-6 biosynthetic process"
"TNF","membrane raft"
"TNF","positive regulation of chemokine biosynthetic process"
"TNF","negative regulation of viral genome replication"
"TNF","transcription regulatory region DNA binding"
"TNF","negative regulation of blood vessel endothelial cell migration"
"TNF","positive regulation of neuron apoptotic process"
"TNF","positive regulation of JUN kinase activity"
"TNF","protein kinase B signaling"
"TNF","positive regulation of MAP kinase activity"
"TNF","positive regulation of cysteine-type endopeptidase activity involved in apoptotic process"
"TNF","positive regulation of protein-containing complex disassembly"
"TNF","negative regulation of protein-containing complex disassembly"
"TNF","negative regulation of cysteine-type endopeptidase activity involved in apoptotic process"
"TNF","positive regulation of I-kappaB kinase/NF-kappaB signaling"
"TNF","regulation of I-kappaB kinase/NF-kappaB signaling"
"TNF","positive regulation of programmed cell death"
"TNF","positive regulation of apoptotic process"
"TNF","identical protein binding"
"TNF","positive regulation of tyrosine phosphorylation of STAT protein"
"TNF","negative regulation of myosin-light-chain-phosphatase activity"
"TNF","positive regulation of heterotypic cell-cell adhesion"
"TNF","tumor necrosis factor-mediated signaling pathway"
"TNF","positive regulation of peptidyl-serine phosphorylation"
"TNF","receptor biosynthetic process"
"TNF","positive regulation of interleukin-8 production"
"TNF","positive regulation of interleukin-6 production"
"TNF","positive regulation of interferon-gamma production"
"TNF","positive regulation of chemokine production"
"TNF","negative regulation of interleukin-6 production"
"TNF","lipopolysaccharide-mediated signaling pathway"
"TNF","positive regulation of fever generation"
"TNF","positive regulation of protein-containing complex assembly"
"TNF","cortical actin cytoskeleton organization"
"TNF","sequestering of triglyceride"
"TNF","osteoclast differentiation"
"TNF","extracellular matrix organization"
"TNF","cytokine-mediated signaling pathway"
"TNF","positive regulation of phosphatidylinositol 3-kinase signaling"
"TNF","negative regulation of lipid storage"
"TNF","regulation of tumor necrosis factor-mediated signaling pathway"
"TNF","negative regulation of alkaline phosphatase activity"
"TNF","negative regulation of gene expression"
"TNF","positive regulation of gene expression"
"TNF","cell surface"
"TNF","external side of plasma membrane"
"TNF","response to salt stress"
"TNF","response to virus"
"TNF","intrinsic apoptotic signaling pathway in response to DNA damage"
"TNF","extrinsic apoptotic signaling pathway via death domain receptors"
"TNF","JNK cascade"
"TNF","I-kappaB kinase/NF-kappaB signaling"
"TNF","humoral immune response"
"TNF","inflammatory response"
"TNF","activation of cysteine-type endopeptidase activity involved in apoptotic process"
"TNF","regulation of transcription by RNA polymerase II"
"TNF","glucose metabolic process"
"TNF","integral component of plasma membrane"
"TNF","plasma membrane"
"TNF","extracellular space"
"TNF","extracellular region"
"TNF","protein binding"
"TNF","tumor necrosis factor receptor binding"
"TNF","cytokine activity"
"TNF","positive regulation of humoral immune response mediated by circulating immunoglobulin"
"TNF","positive regulation of chronic inflammatory response to antigenic stimulus"
"TNF","negative regulation of cytokine secretion involved in immune response"
"TNF","chronic inflammatory response to antigenic stimulus"
"TNF","protease binding"
"TNF","negative regulation of endothelial cell proliferation"
"TNF","positive regulation of protein phosphorylation"
"TNF","phagocytic cup"
"TNF","positive regulation of cytokine production"
"TNF","microglial cell activation"
"TNF","activation of MAPK activity"
"TNF","activation of MAPKKK activity"
"TNF","MAPK cascade"
"TNF","negative regulation of transcription by RNA polymerase II"
"TNF","LYN"
"TNF","GNB2L1"
"TNF","IL10"
"GDI1","negative regulation of protein targeting to membrane"
"GDI1","response to calcium ion"
"GDI1","regulation of small GTPase mediated signal transduction"
"GDI1","negative regulation of axonogenesis"
"GDI1","positive regulation of axon extension"
"GDI1","positive regulation of GTPase activity"
"GDI1","myelin sheath"
"GDI1","neuronal cell body"
"GDI1","protein-containing complex"
"GDI1","Rab protein signal transduction"
"GDI1","midbody"
"GDI1","axon"
"GDI1","Rab GTPase binding"
"GDI1","vesicle-mediated transport"
"GDI1","protein transport"
"GDI1","signal transduction"
"GDI1","cytosol"
"GDI1","Golgi apparatus"
"GDI1","cytoplasm"
"GDI1","protein binding"
"GDI1","GTPase activator activity"
"GDI1","Rab GDP-dissociation inhibitor activity"
"GDI1","GDP-dissociation inhibitor activity"
"CREB1","cellular response to leukemia inhibitory factor"
"CREB1","arrestin family protein binding"
"CREB1","ATF4-CREB1 transcription factor complex"
"CREB1","cellular response to insulin-like growth factor stimulus"
"CREB1","cellular response to nerve growth factor stimulus"
"CREB1","response to L-glutamate"
"CREB1","negative regulation of neuron death"
"CREB1","positive regulation of long-term synaptic potentiation"
"CREB1","cellular response to fatty acid"
"CREB1","cellular response to retinoic acid"
"CREB1","cellular response to zinc ion"
"CREB1","type I pneumocyte differentiation"
"CREB1","lung saccule development"
"CREB1","regulation of glial cell proliferation"
"CREB1","positive regulation of cardiac muscle tissue development"
"CREB1","protein stabilization"
"CREB1","regulation of fibroblast proliferation"
"CREB1","positive regulation of lipid biosynthetic process"
"CREB1","positive regulation of hormone secretion"
"CREB1","positive regulation of transcription by RNA polymerase II"
"CREB1","positive regulation of RNA polymerase II transcriptional preinitiation complex assembly"
"CREB1","positive regulation of transcription, DNA-templated"
"CREB1","positive regulation of osteoclast differentiation"
"CREB1","positive regulation of fat cell differentiation"
"CREB1","positive regulation of apoptotic process"
"CREB1","identical protein binding"
"CREB1","regulation of circadian rhythm"
"CREB1","positive regulation of multicellular organism growth"
"CREB1","cellular response to platelet-derived growth factor stimulus"
"CREB1","cellular response to hepatocyte growth factor stimulus"
"CREB1","cAMP response element binding"
"CREB1","response to nicotine"
"CREB1","histone acetyltransferase binding"
"CREB1","chemotaxis to arachidonic acid"
"CREB1","response to glucagon"
"CREB1","secretory granule organization"
"CREB1","positive regulation of transforming growth factor beta3 production"
"CREB1","Hsp70 protein binding"
"CREB1","axon"
"CREB1","pituitary gland development"
"CREB1","enzyme binding"
"CREB1","viral process"
"CREB1","response to activity"
"CREB1","negative regulation of transcription by competitive promoter binding"
"CREB1","response to organic substance"
"CREB1","visual learning"
"CREB1","regulation of cell size"
"CREB1","circadian rhythm"
"CREB1","memory"
"CREB1","lactation"
"CREB1","aging"
"CREB1","axonogenesis"
"CREB1","transforming growth factor beta receptor signaling pathway"
"CREB1","signal transduction"
"CREB1","protein phosphorylation"
"CREB1","transcription by RNA polymerase II"
"CREB1","mitochondrial matrix"
"CREB1","nuclear euchromatin"
"CREB1","transcription factor complex"
"CREB1","nucleoplasm"
"CREB1","nucleus"
"CREB1","protein binding"
"CREB1","transcription coregulator activity"
"CREB1","DNA-binding transcription factor activity"
"CREB1","response to hypoxia"
"CREB1","DNA-binding transcription activator activity, RNA polymerase II-specific"
"CREB1","RNA polymerase II transcription coactivator binding"
"CREB1","RNA polymerase II activating transcription factor binding"
"CREB1","DNA-binding transcription factor activity, RNA polymerase II-specific"
"CREB1","RNA polymerase II cis-regulatory region sequence-specific DNA binding"
"CREB1","nuclear chromatin"
"CREB1","IL10"
"TCL1A","positive regulation of protein serine/threonine kinase activity"
"TCL1A","cellular response to tumor necrosis factor"
"TCL1A","protein serine/threonine kinase activator activity"
"TCL1A","negative regulation of apoptotic process"
"TCL1A","identical protein binding"
"TCL1A","positive regulation of peptidyl-serine phosphorylation"
"TCL1A","protein-containing complex"
"TCL1A","positive regulation of protein-containing complex assembly"
"TCL1A","protein kinase binding"
"TCL1A","positive regulation of mitochondrial membrane potential"
"TCL1A","positive regulation of cell population proliferation"
"TCL1A","multicellular organism development"
"TCL1A","cytosol"
"TCL1A","endoplasmic reticulum"
"TCL1A","nucleoplasm"
"TCL1A","protein binding"
"XPO1","ribonucleoprotein complex"
"XPO1","intracellular transport of virus"
"XPO1","mRNA transport"
"XPO1","regulation of protein export from nucleus"
"XPO1","host cell"
"XPO1","regulation of mRNA stability"
