"V1","V2"
"USP17L3","USP17L8"
"USP17L4","USP17L8"
"USP17L4","USP17L3"
"USP17L5","USP17L8"
"USP17L5","USP17L3"
"USP17L5","USP17L4"
"USP17L22","USP17L8"
"USP17L22","USP17L3"
"USP17L22","USP17L4"
"USP17L22","USP17L5"
"USP17L20","USP17L8"
"USP17L20","USP17L3"
"USP17L20","USP17L4"
"USP17L20","USP17L5"
"USP17L20","USP17L22"
"USP17L21","USP17L8"
"USP17L21","USP17L3"
"USP17L21","USP17L4"
"USP17L21","USP17L5"
"USP17L21","USP17L22"
"USP17L21","USP17L20"
"USP17L19","USP17L8"
"USP17L19","USP17L3"
"USP17L19","USP17L4"
"USP17L19","USP17L5"
"USP17L19","USP17L22"
"USP17L19","USP17L20"
"USP17L19","USP17L21"
"USP17L18","USP17L8"
"USP17L18","USP17L3"
"USP17L18","USP17L4"
"USP17L18","USP17L5"
"USP17L18","USP17L22"
"USP17L18","USP17L20"
"USP17L18","USP17L21"
"USP17L18","USP17L19"
"USP17L12","USP17L8"
"USP17L12","USP17L3"
"USP17L12","USP17L4"
"USP17L12","USP17L5"
"USP17L12","USP17L22"
"USP17L12","USP17L20"
"USP17L12","USP17L21"
"USP17L12","USP17L19"
"USP17L12","USP17L18"
"USP17L10","USP17L8"
"USP17L10","USP17L3"
"USP17L10","USP17L4"
"USP17L10","USP17L5"
"USP17L10","USP17L22"
"USP17L10","USP17L20"
"USP17L10","USP17L21"
"USP17L10","USP17L19"
"USP17L10","USP17L18"
"USP17L10","USP17L12"
"USP17L15","USP17L8"
"USP17L15","USP17L3"
"USP17L15","USP17L4"
"USP17L15","USP17L5"
"USP17L15","USP17L22"
"USP17L15","USP17L20"
"USP17L15","USP17L21"
"USP17L15","USP17L19"
"USP17L15","USP17L18"
"USP17L15","USP17L12"
"USP17L15","USP17L10"
"USP17L17","USP17L8"
"USP17L17","USP17L3"
"USP17L17","USP17L4"
"USP17L17","USP17L5"
"USP17L17","USP17L22"
"USP17L17","USP17L20"
"USP17L17","USP17L21"
"USP17L17","USP17L19"
"USP17L17","USP17L18"
"USP17L17","USP17L12"
"USP17L17","USP17L10"
"USP17L17","USP17L15"
"USP17L11","USP17L8"
"USP17L11","USP17L3"
"USP17L11","USP17L4"
"USP17L11","USP17L5"
"USP17L11","USP17L22"
"USP17L11","USP17L20"
"USP17L11","USP17L21"
"USP17L11","USP17L19"
"USP17L11","USP17L18"
"USP17L11","USP17L12"
"USP17L11","USP17L10"
"USP17L11","USP17L15"
"USP17L11","USP17L17"
"USP17L1P","USP17L8"
"USP17L1P","USP17L3"
"USP17L1P","USP17L4"
"USP17L1P","USP17L5"
"USP17L1P","USP17L22"
"USP17L1P","USP17L20"
"USP17L1P","USP17L21"
"USP17L1P","USP17L19"
"USP17L1P","USP17L18"
"USP17L1P","USP17L12"
"USP17L1P","USP17L10"
"USP17L1P","USP17L15"
"USP17L1P","USP17L17"
"USP17L1P","USP17L11"
"USP17L13","USP17L8"
"USP17L13","USP17L3"
"USP17L13","USP17L4"
"USP17L13","USP17L5"
"USP17L13","USP17L22"
"USP17L13","USP17L20"
"USP17L13","USP17L21"
"USP17L13","USP17L19"
"USP17L13","USP17L18"
"USP17L13","USP17L12"
"USP17L13","USP17L10"
"USP17L13","USP17L15"
"USP17L13","USP17L17"
"USP17L13","USP17L11"
"USP17L13","USP17L1P"
"TLR8","TLR7"
"RTP4","SAMD9L"
"IFNB1","TLR7"
"USP4","XIAP"
"RCE1","USP17L8"
"RCE1","USP17L3"
"RCE1","USP17L4"
"RCE1","USP17L5"
"RCE1","USP17L22"
"RCE1","USP17L20"
"RCE1","USP17L21"
"RCE1","USP17L19"
"RCE1","USP17L18"
"RCE1","USP17L12"
"RCE1","USP17L10"
"RCE1","USP17L15"
"RCE1","USP17L17"
"RCE1","USP17L11"
"RCE1","USP17L1P"
"RCE1","USP17L13"
"IFI44","SAMD9L"
"IFI44","IFI6"
"IFI44","RTP4"
"USP18","IFI6"
"USP18","RTP4"
"USP18","IFI44"
"OAS2","SAMD9L"
"OAS2","IFI6"
"OAS2","RTP4"
"OAS2","IFI44"
"OAS2","USP18"
"IL6","TLR7"
"IL6","TLR8"
"IL6","TLR10"
"IL6","TLR6"
"IL6","IFNB1"
"IL6","CSF2RA"
"IL6","TLR5"
"PYDC1","TRIM40"
"CXCL10","TLR8"
"CXCL10","IFNB1"
"CXCL10","OAS2"
"CXCL10","IL6"
"RNASEL","IFI6"
"RNASEL","OAS2"
"RIPK3","XIAP"
"RIPK3","TICAM2"
"RIPK3","NFKBIB"
"OAS1","SAMD9L"
"OAS1","IFI6"
"OAS1","RTP4"
"OAS1","IFI44"
"OAS1","USP18"
"OAS1","OAS2"
"OAS1","CXCL10"
"OAS1","RNASEL"
"TLR2","TLR6"
"TLR2","TLR5"
"TLR2","IL6"
"TLR2","CXCL10"
"USP17L2","USP17L8"
"USP17L2","USP17L3"
"USP17L2","USP17L4"
"USP17L2","USP17L5"
"USP17L2","USP17L22"
"USP17L2","USP17L20"
"USP17L2","USP17L21"
"USP17L2","USP17L19"
"USP17L2","USP17L18"
"USP17L2","USP17L12"
"USP17L2","USP17L10"
"USP17L2","USP17L15"
"USP17L2","USP17L17"
"USP17L2","USP17L11"
"USP17L2","USP17L1P"
"USP17L2","USP17L13"
"USP17L2","RCE1"
"TLR3","TLR7"
"TLR3","TLR8"
"TLR3","IFNB1"
"TLR3","IL6"
"TLR3","TICAM2"
"TLR3","CXCL10"
"TLR3","RIPK3"
"CSF2","CSF2RA"
"CSF2","IL6"
"CSF2","CXCL10"
"CSF2","TLR2"
"CSF2","TLR3"
"XAF1","SAMD9L"
"XAF1","IFI6"
"XAF1","RTP4"
"XAF1","XIAP"
"XAF1","IFI44"
"XAF1","USP18"
"XAF1","OAS2"
"XAF1","RNASEL"
"XAF1","OAS1"
"TRIM65","ARRDC4"
"TFAP2C","YEATS4"
"INS","IL6"
"INS","C19orf80"
"INS","ODC1"
"INS","NGF"
"INS","DPP4"
"STAT2","TLR7"
"STAT2","IFI6"
"STAT2","IFNB1"
"STAT2","CSF2RA"
"STAT2","USP18"
"STAT2","OAS2"
"STAT2","RNASEL"
"STAT2","OAS1"
"STAT2","CSF2"
"STAT2","XAF1"
"IFNA2","IFNB1"
"IFNA2","STAT2"
"MX2","SAMD9L"
"MX2","IFI6"
"MX2","RTP4"
"MX2","IFI44"
"MX2","USP18"
"MX2","OAS2"
"MX2","RNASEL"
"MX2","OAS1"
"MX2","XAF1"
"MX2","STAT2"
"PARP9","IFI44"
"PARP9","USP18"
"PARP9","STAT2"
"TLR4","TLR7"
"TLR4","TLR6"
"TLR4","IFNB1"
"TLR4","TLR5"
"TLR4","IL6"
"TLR4","TICAM2"
"TLR4","CXCL10"
"TLR4","RIPK3"
"TLR4","TLR2"
"TLR4","CSF2"
"TLR4","INS"
"TWIST1","USP17L2"
"IFI35","IFI6"
"IFI35","RTP4"
"IFI35","IFI44"
"IFI35","USP18"
"IFI35","OAS2"
"IFI35","RNASEL"
"IFI35","OAS1"
"IFI35","XAF1"
"IFI35","STAT2"
"IFI35","MX2"
"UBE2N","TLR7"
"UBE2N","TLR8"
"UBE2N","XIAP"
"UBE2N","TICAM2"
"UBE2N","TLR3"
"UBE2N","TLR4"
"UBE2N","PRKCQ"
"MPZL1","TRPC4AP"
"IRF9","IFI6"
"IRF9","IFNB1"
"IRF9","IFI44"
"IRF9","USP18"
"IRF9","OAS2"
"IRF9","RNASEL"
"IRF9","OAS1"
"IRF9","XAF1"
"IRF9","STAT2"
"IRF9","IFNA2"
"IRF9","MX2"
"IRF9","IFI35"
"WDR5","YEATS4"
"WDR5","TWIST1"
"PPP4R1","PPP1R15A"
"VHL","UBE2N"
"ZBP1","RTP4"
"ZBP1","NFKBIB"
"ZBP1","RIPK3"
"TNFSF10","RIPK3"
"SHH","INS"
"TMEM173","USP18"
"TMEM173","TSPAN6"
"FOXO6","YEATS4"
"FOXO6","FOXO4"
"MARK3","PRKCQ"
"OTUD7B","XIAP"
"NFKBIE","NFKBIB"
"NFKBIE","YEATS4"
"IFIT5","IFI44"
"IFIT5","USP18"
"IFIT5","OAS2"
"IFIT5","OAS1"
"IFIT5","MX2"
"TNFRSF10B","XIAP"
"TNFRSF10B","RIPK3"
"TNFRSF10B","TNFSF10"
"TSC2","TBC1D7"
"TSC2","INS"
"RNF125","UBE2N"
"NFKB2","NFKBIB"
"NFKB2","RIPK3"
"NFKB2","ZBP1"
"NFKB2","NFKBIE"
"TNFRSF10A","XIAP"
"TNFRSF10A","RIPK3"
"TNFRSF10A","TNFSF10"
"TNFRSF10A","TNFRSF10B"
"MALT1","NFKBIB"
"MALT1","PRKCQ"
"MALT1","UBE2N"
"MALT1","NFKBIE"
"PARP14","PARP9"
"TAB3","XIAP"
"TAB3","USP4"
"TAB3","TICAM2"
"TAB3","TLR3"
"TAB3","TLR4"
"TAB3","PRKCQ"
"TAB3","UBE2N"
"TAB3","OTUD7B"
"TAB3","MALT1"
"PELI3","UBE2N"
"MAP3K8","NFKB2"
"RNF135","NLRC5"
"RNF135","NFKBIB"
"RNF135","RNF125"
"RNF135","NFKB2"
"UBA52","XIAP"
"UBA52","USP4"
"UBA52","USP18"
"UBA52","TICAM2"
"UBA52","NFKBIB"
"UBA52","TLR3"
"UBA52","NGF"
"UBA52","TLR4"
"UBA52","UBE2N"
"UBA52","VHL"
"UBA52","ZBP1"
"UBA52","SHH"
"UBA52","TMEM173"
"UBA52","OTUD7B"
"UBA52","NFKBIE"
"UBA52","NFKB2"
"UBA52","TP73"
"UBA52","TAB3"
"UBA52","MAP3K8"
"PDPK1","INS"
"PDPK1","PRKCQ"
"PDPK1","UBE2N"
"PDPK1","WDR5"
"PDPK1","TSC2"
"PDPK1","MALT1"
"PDPK1","MAP3K8"
"KLHL21","UBE2N"
"KLHL21","VHL"
"KLHL21","UBA52"
"PRKCB","PRKCQ"
"PRKCB","MALT1"
"PRKCB","PDPK1"
"SRC","IL6"
"SRC","TLR2"
"SRC","TLR3"
