source,target
MAP2K4,TRIM25
MAP2K4,DDX5
MAP2K4,UBC
MAP2K4,SART1
MAP2K4,SPCS3
MAP2K4,DDX23
MAP2K4,NUDC
MAP2K4,ARL3
MAP2K4,SRRM2
MAP2K4,PIK3CA
MAP2K4,AP1M1
MAP2K4,KIAA1429
ACTN2,ZBTB25
ACTN2,RPL13A
ACTN2,FAF2
ACTN2,SOST
ACTN2,PDK1
ACTN2,TP53
ACTN2,RPS24
ACTN2,CCDC8
ACTN2,FBXO30
ACTN2,INS
ACTN2,MYO5A
ACTN2,CAPZB
ACTN2,RPS28
ACTN2,PPME1
ACTN2,ACTN2
ACTN2,ACTB
ACTN2,PLK1
ACTN2,PAPOLA
ACTN2,CFTR
ACTN2,MCM2
ACTN2,RNF138
ACTN2,KIAA1429
ACTN2,DIAPH1
ACTN2,KLHL13
ACTN2,PPP2R1A
ACTN2,POLR2B
ACTN2,RPLP0
ACTN2,PIK3CA
ACTN2,HERC3
ACTN2,CEP97
ACTN2,UBA3
ACTN2,ZNRF1
ACTN2,EMD
ACTN2,FGA
ACTN2,PDCD6
ACTN2,LPAR1
ACVR1,TAS2R16
ACVR1,IRS4
ACVR1,GAPDH
ACVR1,SCN5A
ACVR1,VNN1
ACVR1,COL7A1
ACVR1,PIK3CA
ACVR1,WDR5
ACVR1,BPIFB2
ACVR1,UBB
RPA2,ESR2
RPA2,HSP90AA1
RPA2,UBXN1
RPA2,RNF115
RPA2,NEURL2
RPA2,GSK3B
RPA2,RPL23
RPA2,HDAC9
RPA2,TYK2
RPA2,WWOX
RPA2,NTS
RPA2,UBE2C
RPA2,RPL37A
RPA2,XPO1
RPA2,LRR1
RPA2,RECQL4
RPA2,SYT1
RPA2,NECAP2
RPA2,TMEM30A
RPA2,SOCS3
RPA2,MXD1
RPA2,RLN3
RPA2,UBC
RPA2,HERC3
RPA2,DVL2
RPA2,WDR5
RPA2,PTGER3
RPA2,MMP8
RPA2,UBA7
RPA2,RAB7B
RPA2,SYK
RPA2,CXCL13
RPA2,VSIG4
RPA2,TP53
RPA2,PTPRK
RPA2,KIF3A
RPA2,PKM
RPA2,TAS2R43
RPA2,TRAF7
RPA2,ZNF746
RPA2,CCL4
RPA2,NEDD4
RPA2,PSME3
RPA2,UBA52
RPA2,AMELX
RPA2,UBB
RPA2,TRIM28
RPA2,RNF14
RPA2,STUB1
RPA2,OBSL1
RPA2,P2RY14
RPA2,RPA3
RPA2,RAD52
RPA2,RPN1
RPA2,CUL1
RPA2,RBX1
RPA2,ERG
ARF1,SFN
ARF1,DAPK1
ARF1,MYO1C
ARF1,PGRMC1
ARF1,GSK3B
ARF1,WWOX
ARF1,UBA7
ARF1,ATXN1
ARF1,USP17L19
ARF1,RPS8
ARF1,SMARCA4
ARF1,ATF4
ARF1,ERCC3
ARF1,RTP1
ARF1,EXOSC1
ARF1,ARF1
ARF1,P2RY6
ARF1,ACVR2B
ARF1,CARS
ARF1,HDAC3
ARF1,WWP1
ARF1,CD2AP
ARF1,TBL3
ARF1,C17orf70
ARF1,PRPF8
ARF1,RECQL4
ARF1,RIOK1
ARF1,PRKCA
ARF1,CTPS1
ARF1,KRAS
ARF1,ELAVL1
ARF1,RPAP2
ARF1,RAB1B
ARF1,NOP56
ARF1,TFAP2C
ARF1,RBM14
ARF1,MAPK1
ARF1,UTP15
ARF1,KIF18A
ARF1,PIK3CA
ARF1,CUL3
ARF1,WBP4
ARF1,HUWE1
ARF1,UBE2Q1
ARF1,COPS5
ARF1,TAS2R16
ARF1,SYNCRIP
ARF1,KLHL5
ARF1,TRIP13
ARF1,HIST2H2AC
ARF1,COMT
ARF1,NXF1
ARF1,CDA
ARF1,STOM
EP300,RAB3IP
EP300,MATR3
EP300,UBE2Q1
EP300,HMHA1
EP300,UBA7
EP300,CCL1
EP300,RPS28
EP300,SIRT1
EP300,TMPO
EP300,TRIM4
EP300,PRPF8
EP300,PIAS1
EP300,TNIP2
EP300,CBX1
EP300,KLHL9
EP300,HIST1H4D
EP300,EEF1G
EP300,BCL3
EP300,UBE2I
EP300,FANCD2
EP300,ITPR3
EP300,WDR5
EP300,PPP2R5E
EP300,UBE2D1
EP300,YWHAE
EP300,TUBG1
EP300,RPS6
EP300,CEP162
EP300,MCM7
EP300,MYC
EP300,SPTA1
EP300,RABEP1
EP300,ATP6V1F
EP300,NEDD4
EP300,U2AF2
EP300,MAPK1
EP300,CUL1
EP300,IGF2BP1
EP300,MOV10
EP300,RNF41
EP300,PHGDH
EP300,MRPL15
EP300,NR2C2
EP300,ZBTB25
EP300,ANLN
EP300,TRIM41
EP300,HNRNPU
EP300,WDR43
EP300,NCOR1
EP300,DYNC1I2
EP300,ESR2
EP300,FBXW7
EP300,KLC2
EP300,MID1
EP300,UBA1
EP300,KRT2
EP300,LAMP1
EP300,VCP
EP300,RPLP0
EP300,HNRNPL
EP300,SDHA
EP300,BUB1B
EP300,PPP2R1A
EP300,MIA3
EP300,POU2F2
EP300,SMAD3
EP300,CHD4
EP300,NXF1
EP300,WWP1
EP300,PCM1
EP300,TRIM25
EP300,RBM14
EP300,HIST1H3A
EP300,PSMB4
EP300,SART1
EP300,NDUFS5
EP300,POMC
EP300,DNAJC3
EP300,CASR
EP300,NCK1
EP300,RNPS1
EP300,GNG4
EP300,UBE2J1
EP300,MCM2
EP300,SFXN1
EP300,SMARCB1
EP300,RPS15A
EP300,ILF2
EP300,SNRNP27
EP300,CXCL13
EP300,PCNA
EP300,RPL29
EP300,PTTG1
EP300,RBBP8
EP300,GNG2
EP300,CFTR
EP300,APEX1
EP300,GLRX3
EP300,PSME3
EP300,CDKN1A
EP300,RPA3
EP300,LAP3
EP300,CCNA1
EP300,RBBP7
EP300,TRIP12
EP300,KPNB1
EP300,POU2F1
EP300,RPL27
EP300,RLN2
EP300,MRPL20
EP300,H2AFZ
EP300,MRPL27
EP300,SUMO1
EP300,RHOA
EP300,POLR1E
APOB,FAF2
APOB,POLR2I
APOB,FBL
APOB,ATF4
APOB,CAPN1
APOB,KIAA1429
APOB,MCM2
APOB,ITGB3
APOB,PGRMC1
APOB,CKAP4
APOB,LAMP1
APOB,GNGT1
APOB,ITGA4
APOB,VCP
APOB,RUVBL1
APOB,WDR5
APOB,RPL3
APOB,CUL1
APOB,UBB
APOB,FBXW7
APOB,MME
APOB,HERC3
APOB,CRNKL1
APOB,FBXW10
APOB,GPC3
APOB,RPL4
APOB,TRRAP
APOB,RPS27A
APOB,PIK3CA
APOB,KLHL13
APOB,PTPN11
APOB,KCTD6
APOB,NCOA2
APOB,PPBP
APOB,AGTR2
APOB,EWSR1
APOB,POU2F1
APOB,RIOK1
APOB,NDUFS5
APOB,LTBP1
APOB,MAP1B
APOB,UBA52
APOB,LTV1
APOB,PCNA
APOB,U2AF2
APOB,RAB1B
APOB,RPL15
APOB,HNRNPC
APOB,YWHAB
APOB,PTGER3
APOB,YKT6
APOB,TP53
APOB,TRIM25
APOB,RPS4X
CSF1R,HIF1A
CSF1R,WWP1
CSF1R,PAXIP1
CSF1R,KIF18A
CSF1R,MEPCE
CSF1R,ATG16L1
CSF1R,LMNB1
CSF1R,FBXL14
CSF1R,AMHR2
CSF1R,ARFGAP1
CSF1R,AGO4
CSF1R,CSF1R
CSF1R,H2AFX
CSF1R,UBB
CSF1R,CWC25
CSF1R,TRIM27
CSF1R,DYNLL1
CSF1R,MANF
CSF1R,POU5F1
CSF1R,ARHGEF2
CSF1R,XPO1
CSF1R,POLR2A
CSF1R,PLK1
CSF1R,ZFPM1
CSF1R,HNRNPL
CSF1R,RPS11
CSF1R,POLR2K
CSF1R,GNGT1
GRB2,WDR5
GRB2,SUPT5H
GRB2,NOP56
GRB2,DAPK1
GRB2,GPR18
GRB2,UBE4A
GRB2,G3BP2
GRB2,HIST2H2AC
GRB2,CDC5L
GRB2,RNF41
GRB2,FBXW7
GRB2,SPC25
GRB2,SF3B3
GRB2,NUP98
GRB2,CRNKL1
GRB2,PPP2CA
GRB2,CASR
GRB2,RPS6KA2
GRB2,MAPK8
GRB2,MRPL17
GRB2,CD2BP2
GRB2,KIF23
GRB2,SKIV2L2
GRB2,ACTC1
GRB2,CCNT2
GRB2,POLR2I
GRB2,UBB
GRB2,MOV10
GRB2,PPP1R12A
GRB2,RPL18A
GRB2,NTRK1
GRB2,HIP1
GRB2,HSPA8
GRB2,NCBP1
GRB2,WDR76
GRB2,ITPR3
GRB2,LARP7
GRB2,RPL15
GRB2,LRP2
GRB2,LMNA
GRB2,A2M
GRB2,MATR3
GRB2,RPLP0
GRB2,PPP6R3
GRB2,ASB2
GRB2,SMNDC1
GRB2,HMHA1
GRB2,ASB10
GRB2,HNRNPL
GRB2,TRIM28
GRB2,RPL4
GRB2,PHF10
GRB2,GRM1
GRB2,PTGER3
GRB2,KIAA1429
GRB2,SERBP1
GRB2,AURKA
GRB2,STUB1
GRB2,WBP11
GRB2,RPL19
GRB2,SERPINH1
GRB2,PPP1CC
GRB2,POU2F2
GRB2,KLC1
GRB2,SKP1
GRB2,RNF111
GRB2,RPL26L1
GRB2,CDC25A
GRB2,GPC3
GRB2,RECQL4
GRB2,CCDC22
GRB2,PIK3CG
GRB2,SOS2
GRB2,UBR1
GRB2,YWHAB
GRB2,RPA3
GRB2,NOL9
GRB2,TAAR8
BCL3,LAMTOR2
BCL3,HIST1H3A
BCL3,CUL3
BCL3,SYNCRIP
BCL3,CXCL8
BCL3,SUMO2
BCL3,RPL4
BCL3,POLR2K
BCL3,CDK7
BCL3,RPL9
BRCA1,F5
BRCA1,NFASC
BRCA1,RPRD1A
BRCA1,RPL19
BRCA1,CHD4
BRCA1,HRH3
BRCA1,UBC
BRCA1,LAMP1
BRCA1,CLTCL1
BRCA1,KCTD6
BRCA1,RPL32
BRCA1,GNG11
BRCA1,HNRNPL
BRCA1,DDX19B
BRCA1,RPAP2
BRCA1,NR2C2
BRCA1,HIF1A
BRCA1,GRB2
BRCA1,UBA1
BRCA1,LRRC41
BRCA1,RPL4
BRCA1,CXCL9
BRCA1,SDCBP
BRCA1,NCOA6
BRCA1,EXOSC7
BRCA1,SIRPA
BRCA1,EBNA1BP2
BRCA1,TMPO
BRCA1,RPS8
BRCA1,THOC1
BRCA1,UBTF
BRCA1,NPW
BRCA1,SMARCB1
BRCA1,POLDIP3
BRCA1,HIST1H4A
BRCA1,TRRAP
BRCA1,PRKCA
BRCA1,SMAD3
BRCA1,TRIM4
BRCA1,PLD1
BRCA1,ANAPC4
BRCA1,DDB2
BRCA1,PPP6R3
BRCA1,TRIM11
BRCA1,P4HB
BRCA1,EIF4E
BRCA1,PCNA
BRCA1,CST3
BRCA1,NEURL2
BRCA1,TUBGCP2
BRCA1,DYNLRB1
BRCA1,RPS5
BRCA1,ING2
BRCA1,JUN
BRCA1,CTDP1
BRCA1,CDC20
BRCA1,VAMP2
BRCA1,HFE2
BRCA1,PFKL
BRCA1,POLR1D
BRCA1,TRIM27
BRCA1,RPL27
BRCA1,PIK3CB
BRCA1,TRIM39
BRCA1,ERCC2
BRCA1,PSMC1
BRCA1,YWHAZ
BRCA1,RPLP0
BRCA1,HDAC1
BRCA1,NTRK1
BRCA1,SPRY2
BRCA1,TPM1
BRCA1,BCAR1
BRCA1,RAB3IP
BRCA1,TRIM14
BRCA1,CCNT2
BRCA1,CHD3
BRCA1,CENPQ
BRCA1,MYO5A
BRCA1,RGS20
BRCA1,CD2BP2
BRCA1,LPIN3
BRCA1,HUWE1
BRCA1,BACE1
BRCA1,ACTB
BRCA1,HNRNPC
BRCA1,SYNCRIP
BRCA1,CHEK2
BRCA1,OASL
BRCA1,ZUFSP
BRCA1,TKT
BRCA1,HNRNPA1
BRCA1,HIST3H2BB
BRCA1,HIST1H2AJ
BRCA1,SMG7
BRCA1,PNRC2
BRCA1,PRKAR2A
BRCA1,ZBTB38
BRCA1,ACTN4
BRCA1,RPS24
BRCA1,DVL2
BRCA1,TAS2R5
BRCA1,PTTG1
BRCA1,PTBP1
BRCA1,TRIM24
BRCA1,PTPN11
BRCA1,A2M
BRCA1,TAS2R38
BRCA1,SLC25A5
BRCA1,SRRM2
BRCA1,HK1
BRCA1,RPA3
BRCA1,EXOSC10
BRCA1,MAPK1
BRCA1,RPS6
BRCA1,USP7
BRCA1,CDK1
BRCA1,CHEK1
BRCA1,CRK
BRCA1,WDR12
BRCA1,KLC1
BRCA1,KRT1
BRCA1,EIF2AK2
BRCA1,APOA5
BRCA1,GNG13
BRCA1,EDA
BRCA1,HIST2H2AC
BRCA1,POLR2A
BRCA1,RBM14
BRCA1,ELAVL1
BRCA1,WDR5
BRCA1,ESR1
BRCA1,MRGBP
BRCA1,GNG8
BRCA1,SOCS3
BRCA1,LARS
BRCA1,CAPZB
BRCA1,PSMD1
BRCA1,TRIM25
BRCA1,MECOM
BRCA1,TK1
BRCA1,SERPINH1
BRCA1,PUM1
BRCA1,HNRNPA2B1
BRCA1,ABCE1
BRCA1,SF3B3
BRCA1,GNGT2
BRCA1,YWHAE
BRCA1,PDCD6
BRCA1,HIST3H3
BRCA1,AGO4
BRCA1,WBP4
BRCA1,EMC2
BRCA1,HSPA8
BRCA1,FANCD2
BRCA1,WBP11
BRCA1,ZNF746
BRCA1,HLA-DMB
BRCA1,PPP1CC
BRCA1,NCOA2
BRCA1,NRAS
BRCA1,GABPA
BRCA1,TOMM40
BRCA1,PSMB2
BRCA1,DUSP6
BRCA1,UBA52
BRCA1,FAU
BRCA1,CXCL2
BRCA1,WNK1
BRCA1,MTDH
BRCA1,SKIV2L2
BRCA1,EPAS1
BRCA1,DDX52
BRCA1,ANAPC10
BRCA1,ATXN3
BRCA1,PEBP1
BRCA1,ERCC3
BRCA1,UBA7
BRCA1,PHGDH
BRCA1,H2AFZ
BRCA1,PTPN14
BRCA1,TNFRSF1B
BRCA1,MRPL19
BRCA1,GNG2
BRCA1,TRAF4
BRCA1,KLHL13
BRCA1,XPO1
BRCA1,SUMO1
BRCA1,RPL23
BRCA1,SERBP1
BRCA1,HNRNPR
BRCA1,DDX21
BRCA1,TNIP2
BRCA1,RECQL4
BRCA1,NCBP2
BRCA1,MCM7
BRCA1,PAXIP1
BRCA1,ATG16L1
BRCA1,CENPU
BRCA1,MYCN
BRCA1,RCL1
CAPN1,EIF4E
CAPN1,UBE2D1
CAPN1,LARP7
CAPN1,KIAA1429
CAPN1,NEDD4
CAPN1,ALYREF
CAPN1,YWHAE
CAPN1,ELAVL2
CAPN1,HNRNPF
CAPN1,NR2C2
CAPN1,RPL36
CAPN1,PIK3CA
CAPN1,FLNB
CTNNB1,FDX1
CTNNB1,PSME2
CTNNB1,DYNLL2
CTNNB1,OFD1
CTNNB1,TRIP13
CTNNB1,VTA1
CTNNB1,LMNA
CTNNB1,YWHAE
CTNNB1,HNRNPC
CTNNB1,MIR7-1
CTNNB1,UBR1
CTNNB1,DDX39B
CTNNB1,DIEXF
CTNNB1,KCTD6
CTNNB1,POU2F1
CTNNB1,UBOX5
CTNNB1,ADCY1
CTNNB1,CLASP2
CTNNB1,PACSIN2
CTNNB1,CCR9
CTNNB1,KRAS
CTNNB1,HSP90AA1
CTNNB1,DNAJB11
CTNNB1,HIST1H4D
CTNNB1,PAXIP1
CTNNB1,EMD
CTNNB1,CXCL10
CTNNB1,CWC25
CTNNB1,ACTC1
CTNNB1,HDAC2
CTNNB1,PPP1R12A
CTNNB1,RPL29
CTNNB1,ORM1
CTNNB1,TK1
CTNNB1,ZBTB38
CTNNB1,LPAR3
CTNNB1,HRAS
CTNNB1,PHGDH
CTNNB1,HNRNPL
CTNNB1,PIK3CB
CTNNB1,TRIM39
CTNNB1,P2RY6
CTNNB1,NGF
CTNNB1,ATG16L1
CTNNB1,GRM1
CTNNB1,POLR2K
CTNNB1,ESR1
CTNNB1,HOOK3
CTNNB1,HIF1A
CTNNB1,ANAPC4
CTNNB1,DYNC1I2
CTNNB1,CCNT2
CTNNB1,HNF4A
CTNNB1,EIF2AK2
CTNNB1,PIK3CA
CTNNB1,HERC3
CTNNB1,NPY4R
CTNNB1,ITFG1
CTNNB1,ANAPC10
CTNNB1,RBM14
CTNNB1,SPC25
CTNNB1,JUP
CTNNB1,CASR
CTNNB1,RPL27
CTNNB1,NONO
CTNNB1,PTGES2
CTNNB1,PIN1
CTNNB1,KLHL5
CTNNB1,SIRT1
CTNNB1,PPP2R5E
CTNNB1,RNF14
CTNNB1,CDC23
CTNNB1,SERPINA10
CTNNB1,NECAP2
CTNNB1,MCM2
CTNNB1,HLA-DMB
CTNNB1,UBA52
CTNNB1,KDELR2
CTNNB1,SOX2
CTNNB1,CYFIP1
CTNNB1,RPL4
CTNNB1,ECD
CTNNB1,UBB
CTNNB1,POP1
CTNNB1,NFKBIA
CTNNB1,NMD3
CTNNB1,HNRNPA3
CTNNB1,RPL9
CTNNB1,RPS11
CTNNB1,SPSB4
CTNNB1,CUL2
CTNNB1,RPS20
CTNNB1,FBL
CTNNB1,CUL3
CTNNB1,RBBP7
CTNNB1,UTP11L
CTNNB1,UBE2C
CTNNB1,MAPK8
CTNNB1,WBP11
CTNNB1,PAN2
CTNNB1,GRM8
CTNNB1,ZBTB16
CTNNB1,HSPA8
CTNNB1,TRIM23
CTNNB1,HAUS4
CTNNB1,HDAC3
CTNNB1,ANXA1
CTNNB1,TRIM25
CTNNB1,PSMD1
CTNNB1,NUP50
CTNNB1,SYT11
CTNNB1,SCLT1
CTNNB1,DDX23
CTNNB1,POM121C
CTNNB1,GUF1
CTNNB1,IGF1
CTNNB1,ALYREF
CTNNB1,RHOG
CTNNB1,DYNLL1
CTNNB1,ADRB2
CTNNB1,UTP20
CTNNB1,PSMB5
CTNNB1,VHL
CTNNB1,IRS1
CTNNB1,TRIM29
CTNNB1,APLN
CTNNB1,SPCS3
CTNNB1,PTTG1
CTNNB1,ZNF574
CTNNB1,HNRNPA2B1
CTNNB1,GPR18
CTNNB1,YWHAZ
CTNNB1,PSMD3
CTNNB1,LARP7
CTNNB1,CCDC8
CTNNB1,EPS15
CTNNB1,GPRIN2
CTNNB1,RPS27A
CTNNB1,WASL
RB1,PSMD14
RB1,FPR2
RB1,TP53
RB1,PAN2
RB1,UBR4
RB1,ZNF746
RB1,GRB2
RB1,CWC25
RB1,ADRA2A
RB1,TNFRSF1A
RB1,TYK2
RB1,PAFAH1B1
RB1,TOPORS
RB1,THRB
RB1,ITPR3
RB1,RTP1
RB1,FAM162A
RB1,RPL21
RB1,CXCL8
RB1,PPIL1
RB1,PCNA
RB1,EXOSC1
RB1,RPL5
RB1,PTK2
RB1,HNRNPL
RB1,RAD51
RB1,LRR1
RB1,TRIM11
RB1,HUWE1
RB1,MUC21
RB1,POMC
RB1,NUP85
RB1,ILF2
RB1,SUMO2
RB1,WWOX
RB1,PPBP
RB1,B9D2
RB1,HNRNPC
RB1,GNGT2
RB1,SYNCRIP
RB1,SLC3A2
CDKN1A,HSPA8
CDKN1A,PTPRK
CDKN1A,KLHL3
CDKN1A,ATG16L1
CDKN1A,PDK1
CDKN1A,NPM1
CDKN1A,FBXW4
CDKN1A,ELAVL1
CDKN1A,WDR5
CDKN1A,PTBP1
CDKN1A,NGFR
CDKN1A,RPL37A
CDKN1A,PLCB3
CDKN1A,TP53
CDKN1A,CHD3
CDKN1A,LAMP1
CDKN1A,NEDD4L
CDKN1A,HSP90AA1
CDKN1A,SOD2
CDKN1A,PIK3CA
CDKN1A,RPS4X
CDKN1A,NCF1
CDKN1A,MRPL27
CDKN1A,RAD50
CDKN1A,RPS20
CDKN1A,MCM2
CDKN1A,USP14
CDKN1A,REEP1
CDKN1A,GABRE
CDKN1A,UBA52
CDKN1A,AGR2
CDKN1A,PPIL1
CDKN1A,TKT
CDKN1A,HNRNPK
CDKN1A,SKP1
CDKN1A,RIOK1
CDKN1A,FBL
CDKN1A,TRIM25
CDKN1A,HAUS1
CDKN1A,RNF14
CDKN1A,EIF3I
CDKN1A,YBX3
CDKN1A,RAB9A
CDKN1A,TK1
CDKN1A,PCNA
CDKN1A,PPP2R1A
CDKN1A,LDLRAP1
CDKN1A,ZNF574
CDKN1A,CCR3
CDKN1A,ZNF782
CDKN1A,PLK1
CDKN1A,UBE2D1
CDKN1A,FGA
CDKN1A,DYNLL1
CDKN1A,ESR1
CDKN1A,YBX1
CDKN1A,RPS10
CDKN1A,HIST1H2BA
CDKN1A,BRCA1
CDKN1A,HNRNPA2B1
CDKN1A,PAFAH1B1
CDKN1A,PTPRU
CDKN1A,EPHA2
CDKN1A,DDX31
CDKN1A,RPS28
CDKN1A,RPL18A
CDKN1A,NTRK1
CDKN1A,TDRD3
CDKN1A,HUWE1
CDKN1A,EIF3K
ORC1,UBB
