source,target
STAT3,UBA52
STAT3,NLRP3
STAT3,C4A
STAT3,PSMD3
STAT3,TAS2R46
STAT3,PRKCQ
STAT3,SMARCC1
STAT3,TMEM17
STAT3,H2AFJ
STAT3,WDR36
STAT3,TCEA2
STAT3,RAB27B
STAT3,SPTA1
STAT3,DLG4
STAT3,RPS15A
STAT3,BRCA1
STAT3,ESR2
STAT3,CDC40
STAT3,RHOT1
STAT3,UBTF
STAT3,COPS7A
STAT3,POLR2L
STAT3,UBE3A
STAT3,RPS27A
STAT3,FBXO7
STAT3,LAMTOR3
STAT3,TAOK1
STAT3,POLR2A
STAT3,ZNF408
STAT3,WDR43
STAT3,RAB7A
STAT3,ESR1
STAT3,CUL5
STAT3,CTNNB1
ARF1,LCK
ARF1,NOP56
ARF1,DCAF15
ARF1,UBL4A
ARF1,AIP
ARF1,GRB2
ARF1,PIH1D1
ARF1,POFUT2
ARF1,HNRNPF
ARF1,CASP14
ARF1,FBXL3
ARF1,YY1
ARF1,SKP1
ARF1,SOCS3
ARF1,CD59
ARF1,CTNNB1
ARF1,PSMD12
ARF1,TRIM55
ARF1,CUL2
ARF1,TUFM
ARF1,RC3H1
ARF1,TRIM25
ARF1,AGT
ARF1,FBXW8
ARF1,TAS2R20
ARF1,IRF7
ARF1,ALDH7A1
ARF1,LAMTOR2
ARF1,MTNR1A
ARF1,HEXIM1
ARF1,XAB2
ARF1,VCAM1
ARF1,POLR2J
ARF1,MSH3
ARF1,TMEM17
ARF1,NMS
ARF1,APEX1
ARF1,TP53
ARF1,PURB
ARF1,RPL38
ARF1,GRM5
ARF1,MYC
ARF1,VKORC1
ARF1,SPTAN1
ARF1,PIK3CA
ARF1,HDAC4
ARF1,LCP2
ARF1,SNRPD2
ARF1,RPS27A
ARF1,GNB1
ARF1,LRPPRC
ARF1,HECW2
ARF1,KRT40
ARF1,CSK
ARF1,COPB2
ARF1,CRY1
ARF1,AURKA
ARF1,TGOLN2
ARFIP1,XPO1
ARFIP1,MTNR1A
ARFIP1,AURKA
ARFIP1,HIST1H2BH
ARFIP1,ACTG1
ARFIP1,HSP90AA1
ARFIP1,METTL3
ARFIP1,MYC
ARFIP1,TDGF1
ARFIP1,REPS2
ARFIP1,NMS
ARFIP1,TAS2R41
ARFIP1,NTRK1
APP,NMD3
APP,P2RX1
APP,HIST1H2AD
APP,MMP9
APP,HIST1H2BJ
APP,SYNJ1
APP,RNPS1
APP,TAB2
APP,ILK
APP,C5
APP,DNAJC9
APP,TCEB2
APP,TUBA4A
APP,UHRF1
APP,RNF25
APP,EDC3
APP,UBE3A
APP,LATS2
APP,KMT2A
APP,MAPK1
APP,SPTAN1
APP,MYH9
APP,HSP90AA1
APP,WDR46
APP,CREBBP
APP,PDLIM1
APP,ASNA1
APP,S100A9
APP,SPTA1
APP,CUL3
APP,GTF2A1
APP,LGALS3BP
APP,SFRP1
APP,NPFFR2
APP,MYC
APP,AP3S1
APP,SMC1A
APP,HIST1H4A
APP,PAF1
APP,NIN
APP,HCAR1
APP,ERC1
APP,VIMP
APP,TUBB4B
APP,TPP1
APP,CCL25
APP,SOAT1
APP,HSPD1
APP,TMEM17
APP,NUDT21
APP,PIK3R2
APP,RPL19
APP,CORT
APP,RPL21
APP,PTPN6
APP,C7orf50
APP,CWC22
APP,NDUFA4
APP,PDIA3
APP,NOP56
APP,RPL13A
APP,SRSF6
APP,PLRG1
APP,RNF2
APP,NMS
APP,RNF4
APP,RPS27
APP,CDK2
APP,POLR2L
APP,EPRS
APP,COPS7A
APP,AURKA
APP,RPL14
APP,SSB
APP,KRT33B
APP,GRB14
APP,DSG1
APP,ZNRF2
APP,CHD4
APP,TUBB6
APP,CSNK2A2
APP,FIP1L1
APP,HSPA8
APP,M6PR
APP,SRRM2
APP,FGF11
APP,ZUFSP
APP,PDHB
APP,BTK
APP,EZH2
APP,RPS20
APP,GPSM1
APP,UBE2M
APP,SUZ12
APP,BLM
APP,SCG2
APP,COTL1
APP,TAS2R20
APP,CST3
APP,LAMTOR3
APP,HDAC3
APP,PTTG1
APP,COX2
APP,TRH
APP,FBXL14
APP,PTP4A2
APP,KALRN
APP,CYFIP1
APP,MYH6
APP,FBXO6
APP,IMP3
APP,HIST1H4I
APP,UBE2D2
APP,MED4
APP,MS4A2
APP,WDR77
APP,FBXO44
APP,POLR2H
APP,IRF7
APP,CCDC102B
APP,GLYCTK
APP,PAPSS1
APP,CYB5R3
APP,GNB2L1
APP,GPSM3
APP,TRIM28
APP,AR
APP,RPL9
APP,FER
APP,APLNR
APP,GNB3
APP,GOLGA2
APP,MAP3K5
APP,TAS2R46
APP,MOV10
APP,MAP2K3
APP,SMURF2
APP,RNF32
APP,CEACAM7
APP,WDR1
APP,NPY2R
APP,APP
APP,CDKN2A
APP,XPO1
APP,UQCRC1
APP,HIST1H2BM
APP,CP
APP,SNRPB2
APP,VSIG4
APP,RCC1
APP,GPSM2
APP,RAB1A
APP,PHB2
APP,HIST1H2AE
APP,HNRNPH3
APP,WWP2
APP,RPS16
APP,DYNC1H1
APP,HTR1E
APP,THOC3
APP,PSMB6
APP,RPL27
APP,XAB2
APP,SDCBP
APP,GNG5
APP,PDCD11
APP,PSMC2
APP,NCBP1
APP,MED1
APP,FBXL13
APP,HDAC6
APP,HECW2
APP,CDC7
APP,HIST1H2BD
APP,TP63
APP,CHERP
APP,TSPAN3
APP,TNF
APP,RTP1
APP,TRIM32
APP,EGLN3
APP,TCEAL1
APP,EIF4E
APP,EGFR
APP,PFDN2
APP,EIF3G
APP,SEC31A
APP,PIH1D1
APP,PLK1
APP,GRM5
APP,ZBTB16
APP,ZFAND5
APP,ESR2
APP,RPS28
APP,RAB27B
APP,UBE2H
APP,KHDRBS1
APP,GNB2
APP,SPOPL
APP,COPB1
APP,NOTCH1
APP,NEURL2
APP,NUP155
APP,DNAJA1
APP,SSU72
APP,LSM10
APP,UQCRC2
APP,NPBWR1
APP,VEGFA
APP,ARF1
APP,IMP4
APP,HNRNPL
APP,ASB13
APP,CLP1
APP,CCT7
APP,WIBG
APP,DDX23
APP,HNRNPAB
APP,LTF
APP,CDC42
APP,COPZ2
APP,HNRNPD
APP,TCEA1
APP,GNGT2
APP,WWP1
APP,GPR55
APP,NPB
APP,BTBD1
APP,FKBP4
APP,HNRNPA1
APP,SKP1
APP,ITPR3
APP,VAMP7
APP,PRKD2
APP,RPL27A
APP,SMAD3
APP,RNF213
APP,KRTAP10-8
APP,HLA-DRB1
APP,MCM10
APP,RBM19
APP,SUCLG1
APP,PRKAR1B
APP,SUN2
APP,HEXIM1
APP,SEPT5
APP,PPY
APP,LCK
APP,NCBP2
APP,YWHAH
APP,BTBD6
APP,SURF4
APP,TAS2R7
APP,PRPF40A
APP,TGFBR2
APP,RPL38
APP,BTRC
APP,RHOU
APP,NIPSNAP1
APP,TAS2R41
APP,WWOX
APP,PPP2R1A
APP,KCTD19
APP,RPS24
APP,CBX2
APP,SF3B3
APP,RNF126
APP,VCAN
APP,RPL10A
APP,PTX3
APP,EDN1
APP,RXRA
APP,MEPE
APP,UBOX5
APP,SND1
APP,PBRM1
APP,RNF14
APP,GTPBP4
APP,ICT1
APP,G3BP1
APP,CALR
APP,FBXL3
APP,NEDD8
APP,KLHL41
APP,NPY4R
APP,UBE2S
APP,SLC25A4
APP,SNAP25
APP,MRPS22
APP,DNMT3A
APP,SOS1
APP,KBTBD7
APP,PDK1
APP,DYNC1LI1
APP,APC
APP,NMBR
APP,NXF1
APP,RET
APP,DYNLL1
APP,WDR61
APP,PTGS2
APP,ARID1B
APP,TTK
APP,TUFM
APP,NR2C2
APP,EGF
APP,NHP2
APP,PSMC4
APP,NFKB1
APP,LTBP1
APP,HIST1H4F
APP,RHOQ
APP,C1orf109
APP,GNG8
APP,NMUR1
APP,MAPK11
APP,SMAD2
APP,VCP
APP,COPS4
APP,SKA3
APP,NPY1R
APP,ICAM3
APP,SOX2
APP,LYPLAL1
APP,CDC27
APP,RPTOR
APP,UBE2J2
APP,WDR12
APP,HNRNPC
APP,CHMP2A
APP,VHL
APP,YARS
APP,TGOLN2
APP,FN1
APP,RPS27A
APP,GNRH1
APP,HLA-G
APP,FAU
APP,IGF1R
APP,GTF2A2
APP,MCM2
APP,NF1
APP,FBXW11
APP,H2AFV
APP,RECQL4
APP,FTCD
APP,CHRDL1
APP,ACTA1
APP,GTF2H5
APP,PAN2
APP,SNCA
APP,PTGDR2
APP,FBXO7
APP,CCNE2
APP,SOCS1
APP,MAPK14
EP300,SYNJ1
EP300,PSMD4
EP300,APOB
EP300,SOCS1
EP300,CTNND1
EP300,MIR9-2
EP300,ESR2
EP300,SMAD2
EP300,SMG7
EP300,HSP90AA1
EP300,CHD3
EP300,H2AFJ
EP300,NFATC1
EP300,TAS2R39
EP300,PPM1A
EP300,ERC1
EP300,HSP90AB1
EP300,RTP2
EP300,HSPD1
EP300,ASNA1
EP300,ANLN
EP300,SIRT6
EP300,LTF
EP300,REPS2
EP300,MYC
EP300,PIK3R2
EP300,RAB5C
EP300,HIP1
EP300,GAK
EP300,RAPGEF3
EP300,SMC3
EP300,PAFAH1B1
EP300,CD52
EP300,FOLR1
EP300,YBX1
EP300,ERBB2
EP300,NCBP1
EP300,EZH2
EP300,NR2C2
EP300,GNG3
EP300,PHB
EP300,LYN
EP300,TRIM25
EP300,UBTF
EP300,CWC22
EP300,AURKB
EP300,PTRF
EP300,TCEA1
EP300,PRKD2
EP300,P2RY14
EP300,NUP155
EP300,HIST1H4A
EP300,ECI1
EP300,PPP2CB
EP300,KISS1R
EP300,HIST1H1E
EP300,UBR5
EP300,UBA52
EP300,NOTCH1
EP300,STX4
EP300,PSMD11
EP300,GRB2
EP300,BARD1
EP300,PRKAR2A
EP300,CREBBP
EP300,DDX56
EP300,SREBF1
EP300,PDIA3
EP300,RPS27A
EP300,ATG16L1
EP300,PIH1D1
EP300,WDR46
EP300,ITGB1
EP300,PPARD
EP300,SNRNP70
EP300,SPATA20
EP300,ACTC1
EP300,POLD2
EP300,PSMD3
EP300,PPARG
EP300,MAPK6
EP300,YWHAE
