source,target
ATF2,ELAVL1
ATF2,H2AFX
ATF2,EGFR
ATF2,KIAA1429
ATF2,POLR2E
ATF2,ATF2
ATF2,NOP56
ATF2,UPF2
ATF2,ADRA2A
ATF2,B4GALT1
EGFR,UBC
EGFR,NPSR1
EGFR,HNRNPL
EGFR,SOX2
EGFR,WDHD1
EGFR,RPL31
EGFR,PCK2
EGFR,ZNF598
EGFR,TRIM21
EGFR,RAB9A
EGFR,CUL1
EGFR,DDX5
EGFR,OPRD1
EGFR,KANK2
EGFR,HIST1H4B
EGFR,SPTAN1
EGFR,PCNT
EGFR,RAB12
EGFR,NTRK1
EGFR,NOTCH4
EGFR,TCEB2
EGFR,RPL12
EGFR,PRPF4
EGFR,PRICKLE1
EGFR,HIST1H2BJ
EGFR,VHL
EGFR,ELAVL1
EGFR,HIST1H4A
EGFR,DDX3X
EGFR,EGLN3
EGFR,NSFL1C
EGFR,RPS5
EGFR,DDX1
EGFR,LAMB2
EGFR,FBXW8
EGFR,MPHOSPH10
EGFR,CREBBP
EGFR,KIAA1429
EGFR,RPL37A
EGFR,RECQL4
CREBBP,DDX3X
CREBBP,ZNF598
CREBBP,PRKCZ
CREBBP,ESR2
CREBBP,NTRK1
CREBBP,MAPT
CREBBP,NOP56
CREBBP,SP100
CREBBP,RPS19
CREBBP,DDX5
CREBBP,VEGFA
CREBBP,PRICKLE1
CREBBP,ORMDL3
CREBBP,RAB1A
CREBBP,ELAVL1
CREBBP,H2AFX
CREBBP,TOP1
CREBBP,UBC
CREBBP,PLCD3
CREBBP,CUL3
CREBBP,TRIM25
CREBBP,PSME4
CREBBP,HDAC11
CREBBP,SSU72
CREBBP,CD40
EEF1D,EEF1D
EEF1D,S1PR2
EEF1D,KCTD7
EEF1D,EGFR
EEF1D,KIAA1429
EEF1D,NTRK1
EEF1D,KCTD15
EEF1D,TRIM25
EEF1D,TRIP12
EEF1D,PSME3
EEF1D,RPL37A
EEF1D,LDHAL6A
EEF1D,HIST1H4A
EEF1D,MYL4
TGFB1,TRAPPC1
TGFB1,TRIM25
TGFB1,CUL3
TGFB1,TUFM
TGFB1,NR2C2
TGFB1,S1PR2
TGFB1,HIST1H4A
TGFB1,TRIM27
TGFB1,PDCD11
TGFB1,ESR2
TGFB1,NSFL1C
TGFB1,HIST1H3A
TGFB1,WDHD1
TGFB1,RAB1A
C1QBP,RPS4X
C1QBP,RPS23
C1QBP,TEX10
C1QBP,RPS27A
C1QBP,CUL3
C1QBP,RPS5
C1QBP,SF3B4
C1QBP,MEF2B
C1QBP,CD79B
C1QBP,HIST1H4A
C1QBP,SUV39H1
CPSF1,VHL
CPSF1,RAP1B
CPSF1,OPRD1
CPSF1,TMEM63B
CPSF1,RAB9A
CPSF1,PRKCZ
CPSF1,TRIP12
CPSF1,RPL31
CPSF1,UBC
CPSF1,TNFRSF10A
CPSF1,ORMDL3
CPSF1,AP2A1
PTK2,H2AFX
PTK2,PTK2
PTK2,RPS27A
PTK2,PRKCZ
PTK2,HNRNPL
PTK2,HIST1H2BJ
PTK2,HSP90AA1
PTK2,TRIM27
PTK2,COPS5
PTK2,CPSF6
MAPK8,VHL
MAPK8,NOTCH4
MAPK8,UBE3A
MAPK8,SOX2
MAPK8,PSME4
MAPK8,HIST1H4A
MAPK8,KIAA1429
MAPK8,TYK2
MAPK8,FBXL4
MAPK8,S1PR2
MAPK8,SLC25A20
MAPK8,POLR2E
MAPK8,RPS27A
MAPK8,HNRNPK
NDN,UBC
NDN,CXCR2
NDN,NDN
NDN,NR2C2
NDN,DDX3X
OPRD1,DDX3X
OPRD1,OPRD1
OPRD1,KIAA1429
OPRD1,EGLN3
OPRD1,AGR2
OPRD1,ELAVL1
OPRD1,TRIM27
PRKCZ,RPS5
PRKCZ,H2AFX
PRKCZ,SPSB2
PRKCZ,NR2C2
PRKCZ,TRIM27
PRKCZ,M6PR
PRKCZ,ESR2
PRKCZ,PARK2
PRKCZ,RPS4X
PRKCZ,MIR1-2
PRKCZ,UQCRC1
PRKCZ,TRIM25
RAP1B,PARK2
RAP1B,DCTN2
RAP1B,GNG3
RAP1B,NTRK1
RAP1B,RPL31
RAP1B,MIR1-2
RAP1B,HSP90AA1
UPF2,PTEN
UPF2,CYP2E1
UPF2,UPF2
UPF2,RECQL4
UPF2,EGLN3
NTRK1,METTL14
NTRK1,TONSL
NTRK1,PF4
NTRK1,KCNAB3
NTRK1,ZNF598
NTRK1,PA2G4
NTRK1,RLN3
NTRK1,IGFBP5
NTRK1,LAMB2
NTRK1,PPP2CA
NTRK1,ESR2
NTRK1,SOX2
NTRK1,HDAC11
NTRK1,JAK1
NTRK1,UBC
NTRK1,TCEB2
NTRK1,DRD4
NTRK1,GRM7
NTRK1,NTRK1
NTRK1,IDH3A
NTRK1,DHX38
NTRK1,UBE3A
NTRK1,TRIP12
NTRK1,MAPK8
NTRK1,HDAC4
NTRK1,PARK2
NTRK1,PSME4
NTRK1,RAC2
NTRK1,PDCD11
NTRK1,SYMPK
NTRK1,TRIM25
NTRK1,HIST1H4I
NTRK1,ASB7
NTRK1,RNF144B
NTRK1,UTP23
NTRK1,PTEN
NTRK1,EIF4A3
NTRK1,CUL3
NTRK1,RPS4X
NTRK1,DDX5
NTRK1,KNG1
NTRK1,KCTD7
NTRK1,RPL31
NTRK1,UQCRC1
NTRK1,EGLN3
NTRK1,RPL37A
NTRK1,ITGA7
NTRK1,AGT
VHL,RPL37A
VHL,KIAA1429
VHL,HSP90AA1
VHL,TK2
VHL,ADCY9
VHL,WDR3
VHL,CD40
VHL,RAB7A
VHL,ELAVL1
VHL,NTRK1
VHL,UPF2
VHL,POLR2E
VHL,CREBBP
VHL,DDX3X
VHL,TUFM
CASR,DDX3X
CASR,RNF144B
CASR,MAPT
CASR,UBC
CASR,ADCY9
CASR,CUL3
CASR,UBE3A
CASR,PRICKLE1
CASR,APLNR
CASR,ANKRD28
CASR,ELAVL1
CASR,ESR2
CASR,HSPA12A
CASR,NTRK1
CASR,CREBBP
CASR,DROSHA
ID1,TRIM25
ID1,CAMK2B
SUV39H1,NTRK1
SUV39H1,CAND1
SUV39H1,TCEA1
SUV39H1,MRPS5
UBE3A,UBE3A
UBE3A,METTL14
UBE3A,C1QBP
UBE3A,VEGFA
UBE3A,DDX3X
UBE3A,RAMP1
UBE3A,RLN3
UBE3A,HNRNPA0
UBE3A,PRKCZ
RAB9A,PARK2
RAB9A,RPS4X
RAB9A,OPRD1
RAB9A,ELAVL1
RAB9A,NTRK1
RAB9A,RPS23
RAB9A,FBXO41
RAB9A,TXNRD1
RAB9A,NPSR1
RAB9A,ESR2
AP1G1,HIST1H4A
AP1G1,PF4
AP1G1,ARF6
AP1G1,FBF1
AP1G1,DDX3X
AP1G1,TRIM25
AP1G1,HLA-DQB2
AP1G1,FOXO6
AP1G1,BRAF
NR2C2,DYRK1A
NR2C2,UNC45A
NR2C2,RAC2
NR2C2,UBC
NR2C2,RLN3
NR2C2,RPS4X
