"V1","V2"
"VPS37D","ENSG00000249884"
"SGIP1","VAMP7"
"SYT2","VAMP7"
"SYT2","SGIP1"
"SLC18A3","VAMP7"
"SLC18A3","SGIP1"
"SLC18A3","SYT2"
"STON1","VAMP7"
"STON1","SGIP1"
"STON1","SYT2"
"STON1","SLC18A3"
"SYT8","VAMP7"
"SYT8","SGIP1"
"SYT8","SYT2"
"SYT8","SLC18A3"
"SYT8","STON1"
"SERPINC1","PLGLB1"
"KIAA0319","VAMP7"
"KIAA0319","SGIP1"
"KIAA0319","SYT2"
"KIAA0319","SLC18A3"
"KIAA0319","STON1"
"KIAA0319","SYT8"
"WNT5A","VAMP7"
"WNT5A","SGIP1"
"WNT5A","SYT2"
"WNT5A","SLC18A3"
"WNT5A","STON1"
"WNT5A","SYT8"
"WNT5A","KIAA0319"
"VPS36","ENSG00000249884"
"VPS36","VPS37D"
"USP4","XIAP"
"VPS37C","ENSG00000249884"
"VPS37C","VPS37D"
"VPS37C","XIAP"
"VPS37C","VPS36"
"SYNJ2","VAMP7"
"SYNJ2","SGIP1"
"SYNJ2","SYT2"
"SYNJ2","SLC18A3"
"SYNJ2","STON1"
"SYNJ2","SYT8"
"SYNJ2","KIAA0319"
"SYNJ2","WNT5A"
"WDR12","VPS36"
"FOSB","ZFP36"
"SLC2A8","VAMP7"
"SLC2A8","SGIP1"
"SLC2A8","SYT2"
"SLC2A8","SLC18A3"
"SLC2A8","STON1"
"SLC2A8","SYT8"
"SLC2A8","KIAA0319"
"SLC2A8","WNT5A"
"SLC2A8","SYNJ2"
"TIMM21","TIMMDC1"
"VPS37B","ENSG00000249884"
"VPS37B","VPS37D"
"VPS37B","VPS36"
"VPS37B","WARS"
"VPS37B","VPS37C"
"VPS37B","WDR12"
"ITIH2","SERPINC1"
"VPS4A","ENSG00000249884"
"VPS4A","VPS37D"
"VPS4A","VPS36"
"VPS4A","VPS37C"
"VPS4A","VPS37B"
"SNX9","VAMP7"
"SNX9","SGIP1"
"SNX9","SYT2"
"SNX9","SLC18A3"
"SNX9","STON1"
"SNX9","SYT8"
"SNX9","KIAA0319"
"SNX9","WNT5A"
"SNX9","SYNJ2"
"SNX9","SLC2A8"
"SH3PXD2B","ZNF764"
"VLDLR","RELN"
"LPA","SERPINC1"
"VPS37A","ENSG00000249884"
"VPS37A","VPS37D"
"VPS37A","VPS36"
"VPS37A","VPS37C"
"VPS37A","VPS37B"
"VPS37A","VPS4A"
"WASL","VAMP7"
"WASL","SGIP1"
"WASL","SYT2"
"WASL","SLC18A3"
"WASL","STON1"
"WASL","SYT8"
"WASL","KIAA0319"
"WASL","WNT5A"
"WASL","SYNJ2"
"WASL","SLC2A8"
"WASL","WIPF1"
"WASL","SNX9"
"ZNRD1","WDR12"
"REPS2","VAMP7"
"REPS2","SGIP1"
"REPS2","SYT2"
"REPS2","SLC18A3"
"REPS2","STON1"
"REPS2","SYT8"
"REPS2","KIAA0319"
"REPS2","WNT5A"
"REPS2","SYNJ2"
"REPS2","SLC2A8"
"REPS2","SNX9"
"REPS2","WASL"
"HPX","SERPINC1"
"RIPK3","XIAP"
"NPHS1","WASL"
"ORM1","SERPINC1"
"ORM1","ORM2"
"FETUB","SERPINC1"
"FETUB","ITIH2"
"PIK3CD","IGHV3-11"
"PIK3CD","SYNJ2"
"PIK3CD","TAGLN"
"PIK3CD","THRB"
"KLKB1","SERPINC1"
"VAMP4","VAMP7"
"VAMP4","SGIP1"
"VAMP4","SYT2"
"VAMP4","SLC18A3"
"VAMP4","STON1"
"VAMP4","SYT8"
"VAMP4","KIAA0319"
"VAMP4","WNT5A"
"VAMP4","SYNJ2"
"VAMP4","SLC2A8"
"VAMP4","SNX9"
"VAMP4","WASL"
"VAMP4","REPS2"
"YBX1","VPS37B"
"TNFRSF25","TNFRSF21"
"VAMP2","VAMP7"
"VAMP2","SGIP1"
"VAMP2","SYT2"
"VAMP2","SLC18A3"
"VAMP2","STON1"
"VAMP2","SYT8"
"VAMP2","KIAA0319"
"VAMP2","WNT5A"
"VAMP2","SYNJ2"
"VAMP2","SLC2A8"
"VAMP2","SNX9"
"VAMP2","WASL"
"VAMP2","REPS2"
"VAMP2","VAMP4"
"UBAP1","ENSG00000249884"
"UBAP1","VPS37D"
"UBAP1","VPS36"
"UBAP1","VPS37C"
"UBAP1","VPS37B"
"UBAP1","VPS4A"
"UBAP1","VPS37A"
"SNAP91","VAMP7"
"SNAP91","SGIP1"
"SNAP91","SYT2"
"SNAP91","SLC18A3"
"SNAP91","STON1"
"SNAP91","SYT8"
"SNAP91","KIAA0319"
"SNAP91","WNT5A"
"SNAP91","SYNJ2"
"SNAP91","SLC2A8"
"SNAP91","SNX9"
"SNAP91","WASL"
"SNAP91","REPS2"
"SNAP91","VAMP4"
"SNAP91","VAMP2"
"SYNJ1","VAMP7"
"SYNJ1","SGIP1"
"SYNJ1","SYT2"
"SYNJ1","SLC18A3"
"SYNJ1","STON1"
"SYNJ1","SYT8"
"SYNJ1","KIAA0319"
"SYNJ1","WNT5A"
"SYNJ1","SYNJ2"
"SYNJ1","SLC2A8"
"SYNJ1","SNX9"
"SYNJ1","WASL"
"SYNJ1","REPS2"
"SYNJ1","VAMP4"
"SYNJ1","VAMP2"
"SYNJ1","SNAP91"
"LDLRAP1","VAMP7"
"LDLRAP1","SGIP1"
"LDLRAP1","SYT2"
"LDLRAP1","SLC18A3"
"LDLRAP1","STON1"
"LDLRAP1","SYT8"
"LDLRAP1","KIAA0319"
"LDLRAP1","WNT5A"
"LDLRAP1","SYNJ2"
"LDLRAP1","SLC2A8"
"LDLRAP1","SNX9"
"LDLRAP1","WASL"
"LDLRAP1","REPS2"
"LDLRAP1","VAMP4"
"LDLRAP1","VAMP2"
"LDLRAP1","SNAP91"
"LDLRAP1","SYNJ1"
"SNX17","VLDLR"
"TNFSF12","TNFRSF25"
"VPS25","ENSG00000249884"
"VPS25","VPS37D"
"VPS25","VPS36"
"VPS25","VPS37C"
"VPS25","WDR12"
"VPS25","VPS37B"
"VPS25","VPS4A"
"VPS25","VPS37A"
"VPS25","UBAP1"
"PACSIN2","VAMP7"
"PACSIN2","SGIP1"
"PACSIN2","SYT2"
"PACSIN2","SLC18A3"
"PACSIN2","STON1"
"PACSIN2","SYT8"
"PACSIN2","KIAA0319"
"PACSIN2","WNT5A"
"PACSIN2","SYNJ2"
"PACSIN2","SLC2A8"
"PACSIN2","WIPF1"
"PACSIN2","SNX9"
"PACSIN2","WASL"
"PACSIN2","REPS2"
"PACSIN2","VAMP4"
"PACSIN2","VAMP2"
"PACSIN2","SNAP91"
"PACSIN2","SYNJ1"
"PACSIN2","LDLRAP1"
"APOH","SERPINC1"
"APOH","ORM2"
"APOH","ITIH2"
"APOH","LPA"
"APOH","ORM1"
"CHRM2","VAMP7"
"CHRM2","SGIP1"
"CHRM2","SYT2"
"CHRM2","SLC18A3"
"CHRM2","STON1"
"CHRM2","SYT8"
"CHRM2","KIAA0319"
"CHRM2","WNT5A"
"CHRM2","SYNJ2"
"CHRM2","SLC2A8"
"CHRM2","SNX9"
"CHRM2","WASL"
"CHRM2","REPS2"
"CHRM2","VAMP4"
"CHRM2","VAMP2"
"CHRM2","SNAP91"
"CHRM2","SYNJ1"
"CHRM2","LDLRAP1"
"CHRM2","PACSIN2"
"TACR1","VAMP7"
"TACR1","SGIP1"
"TACR1","SYT2"
"TACR1","SLC18A3"
"TACR1","STON1"
"TACR1","SYT8"
"TACR1","KIAA0319"
"TACR1","WNT5A"
"TACR1","SYNJ2"
"TACR1","SLC2A8"
"TACR1","SNX9"
"TACR1","WASL"
"TACR1","REPS2"
"TACR1","VAMP4"
"TACR1","VAMP2"
"TACR1","SNAP91"
"TACR1","SYNJ1"
"TACR1","LDLRAP1"
"TACR1","RDH14"
"TACR1","PACSIN2"
"TACR1","CHRM2"
"FNBP1L","VAMP7"
"FNBP1L","SGIP1"
"FNBP1L","SYT2"
"FNBP1L","SLC18A3"
"FNBP1L","STON1"
"FNBP1L","SYT8"
"FNBP1L","KIAA0319"
"FNBP1L","WNT5A"
"FNBP1L","SYNJ2"
"FNBP1L","SLC2A8"
"FNBP1L","WIPF1"
"FNBP1L","SNX9"
"FNBP1L","WASL"
"FNBP1L","REPS2"
"FNBP1L","VAMP4"
"FNBP1L","VAMP2"
"FNBP1L","SNAP91"
"FNBP1L","SYNJ1"
"FNBP1L","LDLRAP1"
"FNBP1L","PACSIN2"
"FNBP1L","CHRM2"
"FNBP1L","TACR1"
"SEPT6","SEPT8"
"SNX18","ZNF764"
"SNX18","VAMP7"
"SNX18","SGIP1"
"SNX18","SYT2"
"SNX18","SLC18A3"
"SNX18","STON1"
"SNX18","SYT8"
"SNX18","KIAA0319"
"SNX18","WNT5A"
"SNX18","SYNJ2"
"SNX18","SLC2A8"
"SNX18","SNX9"
"SNX18","WASL"
"SNX18","REPS2"
"SNX18","VAMP4"
"SNX18","VAMP2"
"SNX18","SNAP91"
"SNX18","SYNJ1"
"SNX18","LDLRAP1"
"SNX18","PACSIN2"
"SNX18","CHRM2"
"SNX18","TACR1"
"SNX18","FNBP1L"
"PIK3AP1","IGHV3-11"
"PIK3AP1","PIK3CD"
"DNAJC6","VAMP7"
"DNAJC6","SGIP1"
"DNAJC6","SYT2"
"DNAJC6","SLC18A3"
"DNAJC6","STON1"
"DNAJC6","SYT8"
"DNAJC6","KIAA0319"
"DNAJC6","WNT5A"
"DNAJC6","SYNJ2"
"DNAJC6","SLC2A8"
"DNAJC6","SNX9"
"DNAJC6","WASL"
"DNAJC6","REPS2"
"DNAJC6","VAMP4"
"DNAJC6","VAMP2"
"DNAJC6","SNAP91"
"DNAJC6","SYNJ1"
"DNAJC6","LDLRAP1"
"DNAJC6","PACSIN2"
"DNAJC6","CHRM2"
"DNAJC6","TACR1"
"DNAJC6","FNBP1L"
"DNAJC6","SNX18"
"STON2","VAMP7"
"STON2","SGIP1"
"STON2","SYT2"
"STON2","SLC18A3"
"STON2","STON1"
"STON2","SYT8"
"STON2","KIAA0319"
"STON2","WNT5A"
"STON2","SYNJ2"
"STON2","SLC2A8"
"STON2","SNX9"
"STON2","WASL"
"STON2","REPS2"
"STON2","VAMP4"
"STON2","VAMP2"
"STON2","SNAP91"
"STON2","SYNJ1"
"STON2","LDLRAP1"
"STON2","PACSIN2"
"STON2","CHRM2"
"STON2","TACR1"
"STON2","FNBP1L"
"STON2","SNX18"
"STON2","DNAJC6"
"IGJ","IGHV3-11"
"PLG","SERPINC1"
"PLG","ORM2"
"PLG","ORM1"
"PLG","KLKB1"
"PLG","APOH"
"SH3GL3","VAMP7"
"SH3GL3","SGIP1"
"SH3GL3","SYT2"
"SH3GL3","SLC18A3"
"SH3GL3","STON1"
"SH3GL3","SYT8"
"SH3GL3","KIAA0319"
"SH3GL3","WNT5A"
"SH3GL3","SYNJ2"
"SH3GL3","SLC2A8"
"SH3GL3","SNX9"
"SH3GL3","WASL"
"SH3GL3","REPS2"
"SH3GL3","VAMP4"
"SH3GL3","VAMP2"
"SH3GL3","SNAP91"
"SH3GL3","SYNJ1"
"SH3GL3","LDLRAP1"
"SH3GL3","PACSIN2"
"SH3GL3","SEPT8"
"SH3GL3","CHRM2"
"SH3GL3","TACR1"
"SH3GL3","FNBP1L"
"SH3GL3","SNX18"
"SH3GL3","DNAJC6"
"SH3GL3","STON2"
"PRC1","USHBP1"
"PRC1","SHCBP1"
"PTPRC","IL10"
"RAB14","VAMP2"
"SEC24D","SGIP1"
"TXN","WTAP"
"HIP1","VAMP7"
"HIP1","SGIP1"
"HIP1","SYT2"
"HIP1","SLC18A3"
"HIP1","STON1"
"HIP1","SYT8"
"HIP1","KIAA0319"
"HIP1","WNT5A"
"HIP1","SYNJ2"
"HIP1","SLC2A8"
"HIP1","SNX9"
"HIP1","WASL"
"HIP1","REPS2"
"HIP1","VAMP4"
"HIP1","VAMP2"
"HIP1","SNAP91"
"HIP1","SYNJ1"
"HIP1","LDLRAP1"
"HIP1","PACSIN2"
"HIP1","CHRM2"
"HIP1","TACR1"
"HIP1","FNBP1L"
"HIP1","SNX18"
"HIP1","DNAJC6"
"HIP1","STON2"
"HIP1","SH3GL3"
"IL1B","IL10"
"MST1","SPINT1"
"M6PR","VAMP7"
"M6PR","SGIP1"
