"node","type"
"138950.PRO_0000040086",0
"138950.PRO_0000040085",0
"138950.PRO_0000040090",0
"138950.PRO_0000040083",0
"138950.PRO_0000040088",0
"RTN2",1
"RTN1",1
"KHDRBS1",1
"HSP90AA1",1
"RTN4",1
"EIF4EBP1",1
"BECN1",1
"SYNE1",1
"RELA",1
"EIF4E",1
"IKBKB",1
"autophagosome assembly",6
"G1/S transition of mitotic cell cycle",6
"G2/M transition of mitotic cell cycle",6
"negative regulation of transcription by RNA polymerase II",6
"Golgi membrane",6
"RNA cap binding",6
"RNA 7-methylguanosine cap binding",6
"regulation of alternative mRNA splicing, via spliceosome",6
"phagophore assembly site",6
"autophagy of mitochondrion",6
"mitophagy",6
"nuclear chromatin",6
"P-body",6
"RNA polymerase II regulatory region sequence-specific DNA binding",6
"RNA polymerase II cis-regulatory region sequence-specific DNA binding",6
"RNA polymerase II core promoter sequence-specific DNA binding",6
"DNA-binding transcription factor activity, RNA polymerase II-specific",6
"RNA polymerase II transcription coactivator binding",6
"DNA-binding transcription repressor activity, RNA polymerase II-specific",6
"DNA-binding transcription activator activity, RNA polymerase II-specific",6
"behavioral fear response",6
"blastocyst formation",6
"liver development",6
"positive regulation of protein phosphorylation",6
"hair follicle development",6
"IRES-dependent translational initiation of linear mRNA",6
"stimulatory C-type lectin receptor signaling pathway",6
"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",6
"MyD88-independent toll-like receptor signaling pathway",6
"response to ischemia",6
"DNA binding",6
"chromatin binding",6
"DNA-binding transcription factor activity",6
"RNA binding",6
"translation initiation factor activity",6
"actin binding",6
"protein kinase activity",6
"protein serine/threonine kinase activity",6
"SH3/SH2 adaptor activity",6
"protein binding",6
"lamin binding",6
"ATP binding",6
"extracellular region",6
"cell",6
"nucleus",6
"nuclear envelope",6
"nuclear outer membrane",6
"nucleoplasm",6
"transcription factor complex",6
"nucleolus",6
"cytoplasm",6
"mitochondrion",6
"endosome",6
"autophagosome",6
"endoplasmic reticulum",6
"endoplasmic reticulum membrane",6
"Golgi apparatus",6
"cytosol",6
"mRNA cap binding complex",6
"cytoskeleton",6
"plasma membrane",6
"acetaldehyde metabolic process",6
"chromatin organization",6
"regulation of transcription, DNA-templated",6
"mRNA processing",6
"RNA export from nucleus",6
"mRNA export from nucleus",6
"translational initiation",6
"regulation of translation",6
"protein folding",6
"protein phosphorylation",6
"mitochondrial transport",6
"endocytosis",6
"receptor-mediated endocytosis",6
"autophagy",6
"apoptotic process",6
"inflammatory response",6
"cellular defense response",6
"response to unfolded protein",6
"cellular response to nitrogen starvation",6
"nucleus organization",6
"telomere maintenance via telomerase",6
"Golgi organization",6
"mitotic metaphase plate congression",6
"cell surface receptor signaling pathway",6
"I-kappaB kinase/NF-kappaB signaling",6
"I-kappaB phosphorylation",6
"spermatogenesis",6
"axonal fasciculation",6
"aging",6
"transcription factor binding",6
"poly(A) binding",6
"eukaryotic initiation factor 4E binding",6
"poly(U) RNA binding",6
"positive regulation of cell population proliferation",6
"insulin receptor signaling pathway",6
"IkappaB kinase activity",6
"IkappaB kinase complex",6
"response to heat",6
"response to cold",6
"response to virus",6
"animal organ morphogenesis",6
"cytoplasmic side of plasma membrane",6
"positive regulation of signal transduction",6
"cell surface",6
"endosome membrane",6
"response to organic substance",6
"response to UV-B",6
"regulation of G2/M transition of mitotic cell cycle",6
"cytoplasmic stress granule",6
"negative regulation of autophagy",6
"positive regulation of epithelial cell migration",6
"regulation of tumor necrosis factor-mediated signaling pathway",6
"positive regulation of Schwann cell differentiation",6
