source,target
MCM2,RPS15
MCM2,ACTR2
MCM2,POLR2C
MCM2,ADORA1
MCM2,VPS28
MCM2,UBE2M
MCM2,HDAC3
SMAD3,PPP2CA
SMAD3,RPS6
SMAD3,G3BP2
CREBBP,CREBBP
CREBBP,MIRLET7A3
CREBBP,MRPS28
CREBBP,HNRNPL
CREBBP,SPCS2
CREBBP,SMAD3
CREBBP,SIAH2
CREBBP,KIAA1429
CREBBP,PLOD2
CREBBP,BCL6
CREBBP,G3BP2
CREBBP,RFC4
CREBBP,SCT
CREBBP,RPSA
CREBBP,ATG16L1
UBE2I,UBE2I
UBE2I,CD47
UBE2I,G3BP2
UBE2I,POLR2C
UBE2I,ITFG1
YWHAQ,PPP2R1B
YWHAQ,G3BP2
YWHAQ,MNDA
YWHAQ,PPP2CA
CBX5,G3BP2
CBX5,RPSA
RELA,MDK
RELA,PPP2CA
RELA,RPL23
RELA,TARDBP
RELA,RELA
RELA,G3BP2
RELA,MRPS28
AP2M1,OPTN
AP2M1,HDAC3
AP2M1,ARIH2
AP2M1,G3BP2
AP2M1,MRPS28
AP2M1,CLDN3
AP2M1,FN1
AP2M1,HIST1H2BG
HNRNPL,ITFG1
HNRNPL,PPP2CA
HNRNPL,MCM2
HNRNPL,AP2M1
HNRNPL,RPS6
HNRNPL,RPL39L
HNRNPL,SIAH2
HNRNPL,FN1
HNRNPL,MCM4
HNRNPL,SPCS2
HNRNPL,PKN1
HNRNPL,YWHAQ
HNRNPL,PLOD2
HNRNPL,SMAD3
HNRNPL,PSMD10
HNRNPL,TAS2R3
HNRNPL,G3BP2
HNRNPL,HDAC3
HNRNPL,RIPK4
HNRNPL,SRPK1
HNRNPL,RELA
HNRNPL,KIF4A
HNRNPL,SNAI1
HNRNPL,SCO2
HNRNPL,WDR36
HNRNPL,CBX5
CDKN1B,MRPS28
CDKN1B,MCM2
CDKN1B,KIAA1429
F11R,G3BP2
RAC1,WDR36
RAC1,RPSA
RAC1,HNRNPL
RAC1,KIAA1429
RAC1,G3BP2
RAC1,HTR5A
RAC1,PLOD2
SIAH2,TARDBP
SIAH2,UBE2M
SIAH2,TCP1
SIAH2,SPSB2
SIAH2,G3BP2
SIAH2,MTX1
HDAC3,SRPK1
HDAC3,ACTR2
CHD8,HDAC3
GRAP2,G3BP2
GRAP2,NHLRC2
MCM4,ANAPC15
MCM4,UBE2I
MCM4,SNAI1
NCOR1,RPS15
NCOR1,RCN1
NCOR1,PSME3
NCOR1,PTGER1
NCOR1,TCP1
NCOR1,MCM2
NCOR1,RAC1
RAD54B,MNDA
MBIP,MBIP
MBIP,G3BP2
PPP2CA,RPS6
PPP2CA,NHLRC2
PPP2CA,PSME3
ARIH2,PPP2R1B
ARIH2,FBXO25
ARIH2,CREBBP
ARIH2,PSMD10
ARIH2,RPS6
