source,target
PML,VCP
PML,TAS2R1
PML,PUF60
PML,MZT2B
PML,NEDD4L
PML,SQSTM1
PML,S1PR1
PML,GNA13
PML,NFKB1
PML,RPL11
PML,NCALD
PML,KCTD7
PML,GNG13
PML,TP53
PML,MAPK6
PML,TGOLN2
PML,CXCL9
PML,MSL1
PML,DLD
PML,CEP63
PML,WDR5
PML,CCT8
PML,GNG8
PML,PHB2
PML,XCR1
PML,HEBP1
PML,CREG1
PML,RSL1D1
PML,PDPK1
PML,CDC34
PML,ELAVL1
PML,CPSF4
PML,EDNRA
PML,SEC24B
PML,PSMA5
PML,OXTR
PML,RIOK1
PML,CHGB
PML,GNGT1
PML,TERT
PML,OSCAR
PML,SRC
PML,TP73
PML,WSB1
PML,FBXO2
PML,HIST1H4I
PML,SMC1A
PML,BRD1
PML,YWHAH
PML,CWC22
STAT3,AVPR1A
STAT3,KLHL20
STAT3,PDIA6
STAT3,PARD6A
STAT3,UBA52
STAT3,ASB5
STAT3,TRIM11
STAT3,OXT
STAT3,ALG13
STAT3,CCL16
STAT3,DARS
STAT3,ATP5B
STAT3,NFASC
STAT3,SYMPK
STAT3,MYO18A
STAT3,TUBA1A
STAT3,BRCA1
STAT3,ESR2
STAT3,NECAP1
STAT3,LMF2
STAT3,POLR2L
STAT3,PELP1
STAT3,SPP1
STAT3,POLR2E
STAT3,HIST2H2BE
STAT3,RPS27A
STAT3,FBXO7
STAT3,POLR2A
STAT3,TCF7L2
STAT3,SMURF1
STAT3,HTR1B
STAT3,RAB7A
STAT3,ESR1
STAT3,SFN
STAT3,PSAP
STAT3,RNF114
STAT3,CTNNB1
ARF1,LCK
ARF1,ABCE1
ARF1,DCAF15
ARF1,UBL4A
ARF1,GRB2
ARF1,ASS1
ARF1,TUBB8
ARF1,PSMD10
ARF1,TUBB
ARF1,TLR1
ARF1,FBXL3
ARF1,SKP1
ARF1,PMCH
ARF1,CTNNB1
ARF1,CUL2
ARF1,MED6
ARF1,RC3H1
ARF1,TRIM25
ARF1,RPS4X
ARF1,AGT
ARF1,ADAR
ARF1,CRKL
ARF1,PSMA2
ARF1,XAB2
ARF1,UBE2W
ARF1,GSK3B
ARF1,PSMB8
ARF1,GDI2
ARF1,KIF22
ARF1,APEX1
ARF1,CEP131
ARF1,B9D2
ARF1,TP53
ARF1,NDUFS8
ARF1,MYC
ARF1,PIK3CA
ARF1,HDAC4
ARF1,PSMD5
ARF1,TCF7L2
ARF1,RPS27A
ARF1,HNRNPU
ARF1,GNB1
ARF1,TNRC6B
ARF1,HECW2
ARF1,DYNC1I1
ARF1,CSK
ARF1,COPB2
ARF1,U2AF2
ARF1,CRY1
ARF1,AURKA
ARF1,TGOLN2
ARF1,MNAT1
GGA3,UBC
GGA3,HIST1H4A
GGA3,TP53
GGA3,NTRK1
GGA3,ARPC1A
GGA3,NDUFA4
GGA3,PLK1
GGA3,CXCR6
GGA3,MRPL11
GGA3,TRIM25
GGA3,RPA3
GGA3,PIK3C2A
ARFIP2,ANAPC13
ARFIP2,DLD
ARFIP2,SMAD1
ARFIP2,EEF1A1
ARFIP2,SMN1
ARFIP2,TRIM25
ARFIP2,RIF1
ARFIP2,KIF11
ARFIP2,PRKCA
ARFIP2,SRC
XRN1,UBC
XRN1,UBE2V1
XRN1,RPS24
XRN1,YWHAE
XRN1,LCK
XRN1,UBE2E3
XRN1,KRT82
XRN1,TRIM25
XRN1,NSF
XRN1,NRG3
XRN1,PRNP
XRN1,NCAPH
XRN1,FAM208A
XRN1,THRAP3
XRN1,PARK2
XRN1,RNF31
XRN1,BAG3
XRN1,PCNA
ALDOA,HLA-DPA1
ALDOA,CD3D
ALDOA,SNX18
ALDOA,HECW2
ALDOA,HIST1H2BH
ALDOA,UBE2D1
ALDOA,HNRNPA2B1
ALDOA,ESR1
ALDOA,HIST1H4A
ALDOA,ZNF550
ALDOA,ARL2
ALDOA,FZD2
ALDOA,INS
ALDOA,PTGER3
ALDOA,OS9
ALDOA,ATP5H
ALDOA,EEF1G
ALDOA,ELAVL1
ALDOA,TRIM25
ALDOA,KNG1
ALDOA,ALMS1
ALDOA,KIAA1429
ALDOA,CASR
ALDOA,IQCB1
ALDOA,HIST2H2BE
ALDOA,CCNB2
ALDOA,UBC
ALDOA,SFN
ALDOA,SNAP29
ALDOA,ANAPC4
ALDOA,DCPS
ALDOA,PRKAR2B
ALDOA,ALDOA
ALDOA,CEP63
ALDOA,PSMA2
ALDOA,TSHB
ALDOA,LMF2
ALDOA,ECT2
ALDOA,TOP1
ALDOA,RPS7
ALDOA,TROAP
ALDOA,EEFSEC
APP,P2RY4
APP,FBXW2
APP,NOP58
APP,PRDX6
APP,UBQLN2
APP,HIST1H2AD
APP,MMP9
APP,SIL1
APP,VPS37C
APP,UBE2W
APP,RNPS1
APP,ILK
APP,HELZ2
APP,UBXN4
APP,NDUFV1
APP,F5
APP,TCEB2
APP,TLR4
APP,E2F1
APP,HELZ
APP,RPL23A
APP,MAPK1
APP,MYH9
APP,GOSR1
APP,HSP90AA1
APP,UBE2L6
APP,HSPA5
APP,ANAPC11
APP,RPS25
APP,TERT
APP,ATM
APP,RPA3
APP,CUL3
APP,STAG1
APP,GTF2A1
APP,MYC
APP,SMC1A
APP,CDCA4
APP,HIST1H4A
APP,SETD1A
APP,NIN
APP,HIST2H2AC
APP,HIST1H3E
APP,TUBB4B
APP,FZR1
APP,CUL7
APP,MAP7D1
APP,QARS
APP,HRH1
APP,HEBP1
APP,HCAR2
APP,DIMT1
APP,NUDT21
APP,EIF4B
APP,ARFGAP2
APP,DPF2
APP,AVPR1A
APP,CWC22
APP,NDUFB1
APP,RPL22
APP,NDUFA4
APP,MRM1
APP,KNG1
APP,UBQLN1
APP,EVL
APP,RNF2
APP,RNF4
APP,KMT2D
APP,POLR2L
APP,NAT2
APP,VIPR2
APP,AURKA
APP,PARK2
APP,SSB
APP,GRB14
APP,WDR18
APP,EIF5B
APP,FIP1L1
APP,HSPA8
APP,M6PR
APP,WDR5
APP,MIRLET7D
APP,MIA3
APP,TIMELESS
APP,TTR
APP,RPS20
APP,UBE2M
APP,RBPMS
APP,BLM
APP,PPP1R15B
APP,NDUFS3
APP,VTI1B
APP,DOCK7
APP,TUBA1A
APP,GNB4
APP,HDAC3
APP,MRPL46
APP,PTTG1
APP,PRKCZ
APP,SF3A2
APP,COX7C
APP,UBE2I
APP,PTK2
APP,CXCR6
APP,GNL2
APP,ADCY6
APP,VTN
APP,DAB2
APP,RNF130
APP,PML
APP,EPN1
APP,FBXO6
APP,SPCS3
APP,IMP3
APP,HIST1H4I
APP,FBXL8
APP,MED4
APP,AAR2
APP,KDM1A
APP,FBXO44
APP,POLR2H
APP,BUD31
APP,PAPSS1
APP,GNB2L1
APP,GADD45GIP1
APP,CUL4B
APP,LRIF1
APP,FBXL18
APP,PTMA
APP,AR
APP,GNB3
APP,LAMB2
APP,JPH1
APP,NUP37
APP,MOV10
APP,MAP2K3
APP,WAS
APP,SMURF2
APP,MAPK8
APP,GNL3
APP,TNFAIP3
APP,STX12
APP,SIPA1L1
APP,WDR1
APP,APP
APP,THOC7
APP,RBBP5
APP,NLRP2
APP,ZCCHC10
APP,CDKN2A
APP,TAGLN2
APP,XPO1
APP,NDUFB5
APP,SDC3
APP,KLHL3
APP,HIST1H2BM
APP,CALD1
APP,SNRPB2
APP,MRPS33
APP,RAB1A
APP,SEC24C
APP,PHB2
APP,MIR221
APP,TOMM7
APP,RELA
APP,SPARC
APP,COX5B
APP,ITGA2B
APP,POLR2B
APP,HNRNPH3
APP,IFT43
APP,PSMB6
APP,RPL27
APP,XAB2
APP,LYPD4
APP,GNG5
APP,PDCD11
APP,ATXN1
APP,FBXL13
APP,MRPL38
APP,HDAC6
APP,HECW2
APP,SNRPE
APP,MAPT
APP,SMAD4
APP,TRIM11
APP,EEF1A1
APP,SRSF3
APP,CHERP
APP,SRPK2
APP,HIST3H3
APP,ZC3H11A
APP,ASB4
APP,KLHL11
APP,RNF111
APP,EGLN3
APP,SSSCA1
APP,GDI2
APP,KIF5B
APP,CPSF1
APP,SEC31A
APP,MED24
APP,PLK1
APP,ZBTB16
APP,ESR2
APP,SNRPD1
APP,RPS28
APP,GSK3B
APP,UBE2H
APP,ATP5H
APP,GNB2
APP,FSTL1
APP,NOTCH1
APP,MRPS12
APP,PRKRIP1
APP,LINC01554
APP,PLAT
APP,RSL1D1
APP,PRPF4
APP,RXFP3
APP,KLHL5
APP,PRDX4
APP,TLR1
APP,CLK3
APP,SLCO4C1
APP,APRT
APP,ARF1
APP,AGRN
APP,HNRNPL
APP,LMF2
APP,UBE2O
APP,CCT7
APP,SNRPN
APP,RFC3
APP,THRAP3
APP,HNRNPD
APP,TCEA1
APP,GNGT2
APP,HSPB7
APP,WWP1
APP,GPR55
APP,UBC
APP,HNRNPA1
APP,SKP1
APP,VAMP7
APP,UBA1
APP,TRAP1
APP,VWF
APP,HTR1D
APP,HLA-DQA2
APP,VWA5A
APP,EFTUD2
APP,KRTAP10-8
APP,CNOT1
APP,RNF220
APP,RPL10L
APP,CD2BP2
APP,ITSN2
APP,TRMT6
APP,SKIV2L2
APP,REEP3
APP,LCK
APP,YWHAH
APP,STRA13
APP,NDUFA13
APP,TP73
APP,PRPF40A
APP,TRIM24
APP,TARM1
APP,SPG20
APP,NRAS
APP,RHOU
APP,UBE2A
APP,BCAT1
APP,TMEM171
APP,LPAR6
APP,PPP2R1A
APP,RPS24
APP,CBX2
APP,TERF2
APP,CENPE
APP,SF3B3
APP,RNF126
APP,DR1
APP,EDN1
APP,HIPK1
APP,UBOX5
APP,RPIA
APP,CCNA2
APP,BMPR1A
APP,FAF1
APP,CXCL3
APP,NME2
APP,FBXL3
APP,EIF3M
APP,KBTBD8
APP,DDX24
APP,HJURP
APP,ADSS
APP,DCAF5
APP,LARP7
APP,GTF2H4
APP,SNAP25
APP,ASPM
APP,CS
APP,MAD1L1
APP,KRTAP10-7
APP,LIMA1
APP,TUBA1C
APP,TCF7L2
APP,SOS1
APP,SRC
APP,RIOK1
APP,PDK1
APP,DYNC1LI1
APP,ORM1
APP,HNRNPDL
APP,NXF1
APP,SSBP3
APP,RBX1
APP,NR2C2
APP,GBP5
APP,PSMC4
APP,NFKB1
APP,LTBP1
APP,PLCD1
APP,C1orf109
APP,GNG8
APP,SF1
APP,TAS2R38
APP,VCP
APP,CRKL
APP,SYMPK
APP,MDH2
APP,NPY1R
APP,YWHAQ
APP,SOX2
APP,IFNL1
APP,FAM50A
APP,ARFIP2
APP,EIF2S3
APP,HNRNPC
APP,TGOLN2
APP,FN1
APP,RPS27A
APP,HOXB2
APP,ASAH1
APP,IAPP
APP,NCL
