source,target
MAP2K4,DYRK1A
MAP2K4,TNIP2
MAP2K4,ITGAM
MAP2K4,S1PR5
MAP2K4,UBE3D
MAP2K4,MAP2K4
MAP2K4,SNCA
MAP2K4,GNB4
MAP2K4,NF2
MAP2K4,APITD1
MAP2K4,ANKLE2
MAP2K4,KRT31
MAP2K4,LPAR4
MAP2K4,SRSF9
MAP2K4,CXCL8
MAP2K4,GLTSCR2
MAP2K4,REL
MAP2K4,COPB2
MAP2K4,PDHB
MAP2K4,EPS15
MAP2K4,RB1
MAP2K4,SKP2
MAP2K4,HDAC1
MAP2K4,RPL8
MAP2K4,RAP1A
FLNC,SETD7
FLNC,S1PR4
FLNC,REEP5
FLNC,ZNF598
FLNC,GPSM3
FLNC,QPCT
FLNC,GAN
FLNC,SIRT7
FLNC,GFM2
FLNC,LAMTOR5
FLNC,EDNRA
FLNC,OPRD1
FLNC,FMNL1
FLNC,SGOL1
FLNC,TDRD5
FLNC,SORT1
FLNC,UBE2E2
FLNC,MTNR1B
FLNC,METTL7A
FLNC,CBLB
FLNC,IQCB1
FLNC,SMC3
FLNC,STAT1
FLNC,SAA1
FLNC,TERF1
FLNC,AP2M1
FLNC,EFHC1
FLNC,RNF41
FLNC,CKAP4
FLNC,RC3H1
FLNC,TAS2R16
FLNC,FBXL4
FLNC,UBE2K
FLNC,ANAPC1
FLNC,ACTG1
FLNC,CUL2
FLNC,RNF123
FLNC,SPC25
FLNC,ANAPC5
FLNC,HIST1H2BL
FLNC,FBXO21
FLNC,ESR2
ACTN2,GPER1
ACTN2,POLR2E
ACTN2,APBB1
ACTN2,POLR2A
ACTN2,TP53BP1
ACTN2,RPS17
ACTN2,ASB8
ACTN2,RRP1B
ACTN2,CDC25C
ACTN2,RAB11A
ACTN2,RPS6KB1
ACTN2,RELA
ACTN2,KLHL5
ACTN2,EPRS
ACTN2,ESR2
ACTN2,NLE1
ACTN2,YAP1
ACTN2,LPAR2
ACTN2,DHX16
ACTN2,SH3KBP1
ACTN2,PTGER1
ACTN2,STX16
ACTN2,IL10
