source,target
FLNC,SETD7
FLNC,S1PR4
FLNC,REEP5
FLNC,CCL28
FLNC,ZNF598
FLNC,AGTR2
FLNC,QPCT
FLNC,GAN
FLNC,SIRT7
FLNC,WDR75
FLNC,DRD2
FLNC,GFM2
FLNC,TACR1
FLNC,LIN54
FLNC,RPL7L1
FLNC,MTNR1B
FLNC,CEP70
FLNC,CBLB
FLNC,IQCB1
FLNC,SMC3
FLNC,STAT1
FLNC,THOC6
FLNC,SAA1
FLNC,CSK
FLNC,TOMM40
FLNC,TERF1
FLNC,AP2M1
FLNC,CTR9
FLNC,PSME2
FLNC,CKAP4
FLNC,TUBB2B
FLNC,RC3H1
FLNC,TTN
FLNC,SEC24C
FLNC,FBXL4
FLNC,UBE2K
FLNC,ACTG1
FLNC,CUL2
FLNC,SF3B6
FLNC,RNF123
FLNC,ANAPC5
FLNC,HIST1H2BL
FLNC,FBXO21
FLNC,ESR2
ACVR1,HIST2H2BE
ACVR1,KRI1
ACVR1,IRF3
ACVR1,TAS2R30
ACVR1,ATG7
ACVR1,STAT1
ACVR1,STAT3
ACVR1,VAMP8
ACVR1,VARS
ACVR1,RPS19
ACVR1,HNRNPU
ACVR1,HNRNPH1
ACVR1,CLU
ACVR1,RAB5A
ACVR1,FBXL22
ACVR1,JAK2
ACVR1,MOV10
ACVR1,SORD
PML,U2SURP
PML,VCP
PML,UBE3A
PML,TAS2R1
PML,SNX9
PML,PUF60
PML,NDUFA8
PML,NCOR1
PML,S1PR1
PML,NUP133
PML,RPL11
PML,ENO1
PML,KCTD7
PML,GNG13
PML,TP53
PML,PYCR2
PML,MAPK6
PML,SLC25A3
PML,TGOLN2
PML,DLD
PML,TUBB2B
PML,RPL7L1
PML,RPA1
PML,DLST
PML,GNRH1
PML,ZNF574
PML,PPP5C
PML,RPL10A
PML,WDR5
PML,RPLP0
PML,H2AFX
PML,RPTOR
PML,CCT8
PML,PTEN
PML,GNG8
PML,PHB2
PML,XCR1
PML,PIK3R3
PML,ATAD5
PML,DYM
PML,MRPL22
PML,NMS
PML,CUL1
PML,PDPK1
PML,CDC34
PML,MED10
PML,HLA-DRA
PML,ELAVL1
PML,CPSF4
PML,TNFRSF1A
PML,SEC24B
PML,DSC3
PML,ATP5C1
PML,LRP2
PML,RIOK1
PML,KAT5
PML,GNGT1
PML,HECTD2
PML,FOXB1
PML,SRC
PML,PTPRC
PML,WSB1
PML,EPHB3
PML,CMTM6
PML,FBXO2
PML,OXER1
PML,TMEM67
PML,IGF1R
PML,RPL13A
PML,FOXA1
PML,MCM2
PML,YWHAH
PML,RRAGB
PML,DHX9
PML,RUNX1
PML,CWC22
PML,KIF3C
PML,PTPRB
RPA2,RPS20
RPA2,GRM6
RPA2,PTPRU
RPA2,SYMPK
RPA2,DIP2A
RPA2,PPAN
RPA2,AGXT
RPA2,TUBB4B
RPA2,FMN1
RPA2,PABPN1
RPA2,RNF7
RPA2,CYP1A1
RPA2,MTA2
RPA2,CD79A
RPA2,PTGES3
RPA2,TOP2A
RPA2,SMARCAD1
RPA2,PIH1D1
RPA2,DNTTIP2
RPA2,KCTD3
RPA2,HCAR3
RPA2,DENND5B
RPA2,RPS8
RPA2,ATPAF2
RPA2,PCNA
RPA2,VAMP4
RPA2,DDA1
RPA2,PSMA7
