"node","type"
"28875.NSP4_ROTSH",0
"28875.NSP6_ROTSH",0
"28875.NSP1_ROTSH",0
"CANX",1
"SPECC1",1
"PIK3CA",1
"PIK3CB",1
"PIK3CG",1
"PIK3CD",1
"activation of MAPK activity",6
"angiogenesis",6
"fibrillar center",6
"natural killer cell differentiation",6
"cytokine production",6
"liver development",6
"vasculature development",6
"regulation of cell-matrix adhesion",6
"adaptive immune response",6
"dendritic cell chemotaxis",6
"antigen processing and presentation of peptide antigen via MHC class I",6
"mast cell chemotaxis",6
"positive regulation of acute inflammatory response",6
"respiratory burst involved in defense response",6
"RNA binding",6
"protein kinase activity",6
"protein serine/threonine kinase activity",6
"calcium ion binding",6
"protein binding",6
"ATP binding",6
"cell",6
"nucleoplasm",6
"nucleolus",6
"cytoplasm",6
"endoplasmic reticulum",6
"endoplasmic reticulum lumen",6
"endoplasmic reticulum membrane",6
"smooth endoplasmic reticulum",6
"rough endoplasmic reticulum",6
"microtubule organizing center",6
"cytosol",6
"ribosome",6
"plasma membrane",6
"phosphatidylinositol 3-kinase complex",6
"phosphatidylinositol 3-kinase complex, class IA",6
"phosphatidylinositol 3-kinase complex, class IB",6
"glucose metabolic process",6
"protein folding",6
"protein phosphorylation",6
"phosphatidylinositol biosynthetic process",6
"endocytosis",6
"autophagy",6
"chemotaxis",6
"inflammatory response",6
"signal transduction",6
"transmembrane receptor protein tyrosine kinase signaling pathway",6
"epidermal growth factor receptor signaling pathway",6
"G protein-coupled receptor signaling pathway",6
"positive regulation of cytosolic calcium ion concentration",6
"axon guidance",6
"aging",6
"protein secretion",6
"regulation of gene expression",6
"positive regulation of autophagy",6
"positive regulation of gene expression",6
"negative regulation of gene expression",6
"T cell chemotaxis",6
"negative regulation of triglyceride catabolic process",6
"phosphatidylinositol 3-kinase signaling",6
"positive regulation of phosphatidylinositol 3-kinase signaling",6
"membrane",6
"viral process",6
"negative regulation of macroautophagy",6
"kinase activity",6
"1-phosphatidylinositol-3-kinase activity",6
"phosphorylation",6
"cell migration",6
"cytokine-mediated signaling pathway",6
"antigen processing and presentation of exogenous peptide antigen via MHC class II",6
"lamellipodium",6
"actin cytoskeleton organization",6
"natural killer cell activation",6
"platelet activation",6
"T cell differentiation",6
"carbohydrate binding",6
"protein kinase activator activity",6
"positive regulation of cell migration",6
"axon",6
"midbody",6
"neutrophil chemotaxis",6
"endoplasmic reticulum unfolded protein response",6
"T cell costimulation",6
"filamentous actin",6
"positive regulation of TOR signaling",6
"activation of protein kinase activity",6
"secretory granule localization",6
"dendrite cytoplasm",6
"protein-containing complex",6
"positive regulation of neutrophil apoptotic process",6
"positive regulation of peptidyl-serine phosphorylation",6
"regulation of cell adhesion mediated by integrin",6
"apolipoprotein binding",6
"protein folding in endoplasmic reticulum",6
"phosphatidylinositol 3-kinase activity",6
"1-phosphatidylinositol-4-phosphate 3-kinase activity",6
"ionotropic glutamate receptor binding",6
"natural killer cell chemotaxis",6
"B cell chemotaxis",6
"phosphatidylinositol-3-phosphate biosynthetic process",6
"insulin receptor signaling pathway via phosphatidylinositol 3-kinase",6
"Fc-epsilon receptor signaling pathway",6
"Fc-gamma receptor signaling pathway involved in phagocytosis",6
"ERBB2 signaling pathway",6
"regulation of multicellular organism growth",6
"T cell proliferation",6
"T cell activation",6
"B cell activation",6
"melanosome",6
"mast cell granule",6
"identical protein binding",6
"neuronal cell body",6
"dendritic spine",6
"intracellular membrane-bounded organelle",6
"anoikis",6
"mast cell degranulation",6
"positive regulation of MAP kinase activity",6
"regulation of cellular respiration",6
"protein kinase B signaling",6
"negative regulation of neuron apoptotic process",6
"endothelial cell migration",6
"insulin receptor substrate binding",6
"hypomethylation of CpG island",6
"mitochondria-associated endoplasmic reticulum membrane",6
"endoplasmic reticulum quality control compartment",6
"innate immune response",6
"phosphatidylinositol phosphorylation",6
"ephrin receptor binding",6
"phosphatidylinositol-4,5-bisphosphate 3-kinase activity",6
"vascular endothelial growth factor receptor signaling pathway",6
"phosphatidylinositol-mediated signaling",6
"synaptic vesicle endocytosis",6
"T cell receptor signaling pathway",6
"B cell receptor signaling pathway",6
"leukocyte migration",6
"unfolded protein binding",6
"positive regulation of protein kinase B signaling",6
"phosphatidylinositol kinase activity",6
"phosphatidylinositol-3,4-bisphosphate 5-kinase activity",6
"negative regulation of cardiac muscle contraction",6
"cardiac muscle contraction",6
"mast cell differentiation",6
"adipose tissue development",6
"extracellular exosome",6
"interleukin-27-mediated signaling pathway",6
"platelet aggregation",6
"interleukin-35-mediated signaling pathway",6
"cellular response to cAMP",6
"cellular response to glucose stimulus",6
"integral component of lumenal side of endoplasmic reticulum membrane",6
"clathrin-dependent endocytosis",6
"neutrophil extravasation",6
"energy homeostasis",6
"hepatocyte apoptotic process",6
"glutamatergic synapse",6
"integral component of postsynaptic membrane",6
"integral component of presynaptic active zone membrane",6
"regulation of calcium ion transmembrane transport",6
"negative regulation of fibroblast apoptotic process",6
"regulation of clathrin-dependent endocytosis",6
"regulation of genetic imprinting",6
"negative regulation of anoikis",6
