"node","type"
"37296.ORF45_HHV8P",0
"37296.VGPCR_HHV8P",0
"37296.VIRF1_HHV8P",0
"37296.VCYCL_HHV8P",0
"37296.ORF50_HHV8P",0
"37296.ICP27_HHV8P",0
"37296.PAP_HHV8P",0
"37296.MIR2_HHV8P",0
"37296.K1_HHV8P",0
"37296.VFLIP_HHV8P",0
"37296.GB_HHV8P",0
"37296.ORF36_HHV8P",0
"37296.KBZIP_HHV8P",0
"37296.VIRF3_HHV8P",0
"37296.K7_HHV8P",0
"37296.UL37_HHV8P",0
"37296.K42_HHV8P",0
"37296.OX2V_HHV8P",0
"37296.VIL6_HHV8P",0
"37296.ORF4_HHV8P",0
"37296.ORF73_HHV8P",0
"37296.VIRF4_HHV8P",0
"37296.ORF49_HHV8P",0
"MAPK1",1
"HMOX1",1
"TSC2",1
"SERPINE1",1
"CDKN1B",1
"ZNF225",1
"DDX39A",1
"EFNB2",1
"IRF1",1
"DLL4",1
"KRT1",1
"BST2",1
"TAF4",1
"DNAJB1",1
"JAG1",1
"CDK4",1
"STX6",1
"CDK17",1
"MYO5C",1
"MCM4",1
"SMAD2",1
"YY1",1
"CREBBP",1
"MCM6",1
"CDK6",1
"CDK2",1
"CDH2",1
"TAF4B",1
"TP53",1
"EIF4A3",1
"CDK16",1
"ATM",1
"ATG3",1
"MYO5B",1
"CXCL16",1
"HPGDS",1
"KIAA0226",1
"CAMLG",1
"NOD2",1
"AXL",1
"ANGPTL4",1
"BCR",1
"MZB1",1
"PCBP1",1
"ALCAM",1
"HCRTR2",1
"ANGPT2",1
"WASH4P",1
"GSK3B",1
"SRSF7",1
"YBEY",1
"SMAD3",1
"HSP90AA1",1
"NLRP3",1
"HEY1",1
"PTPN11",1
"USP7",1
"CDH5",1
"H1F0",1
"RBPJ",1
"NFYA",1
"PRKAA1",1
"FAS",1
"IRF5",1
"DNMT1",1
"PARP1",1
"PTGS2",1
"IL6R",1
"SPEN",1
"JUN",1
"MMP9",1
"SRSF3",1
"TLR4",1
"ID1",1
"RPS6KA3",1
"TRIM5",1
"SQSTM1",1
"BCL2L11",1
"CDK1",1
"DDX39B",1
"MYO5A",1
"RELA",1
"MECP2",1
"TEN1-CDK3",1
"KLC1",1
"C4B",1
"CDK5",1
"PDE6B",1
"CDK18",1
"IKBKB",1
"RPS6KA1",1
"autophagosome assembly",6
"DNA damage checkpoint",6
"regulation of cyclin-dependent protein serine/threonine kinase activity",6
"G1/S transition of mitotic cell cycle",6
"G2/M transition of mitotic cell cycle",6
"negative regulation of transcription by RNA polymerase II",6
"histone acetyltransferase complex",6
"Golgi membrane",6
"microfilament motor activity",6
"SNARE binding",6
"cytoplasmic ubiquitin ligase complex",6
"MAPK cascade",6
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",6
"activation of MAPKK activity",6
"activation of MAPK activity",6
"microtubule cytoskeleton organization",6
"nuclear chromosome",6
"spliceosomal complex assembly",6
"magnesium ion binding",6
