source,target
ACTN2,POLR2E
ACTN2,RPF2
ACTN2,USP14
ACTN2,GNG8
ACTN2,POLE4
ACTN2,ASB8
ACTN2,INO80D
ACTN2,RELA
ACTN2,PIN1
ACTN2,SRPR
ACTN2,CSF2RA
ACTN2,RBBP4
ACTN2,EPRS
ACTN2,SNAI1
ACTN2,ESR2
ACTN2,NLE1
ACTN2,SH3KBP1
ACTN2,HSPA1L
ACTN2,HNRNPD
ACTN2,RBX1
ACTN2,MYC
ACTN2,RNPS1
ACTN2,LRMP
ACTN2,SRGN
ACTN2,KRAS
ACTN2,TRIM25
ACTN2,NDC80
ACTN2,CHRM2
ACTN2,OGT
ACTN2,RPL4
ACTN2,YBX1
ACTN2,UPF3B
ACTN2,XRCC6
ACTN2,TCTN3
ACTN2,RNF4
ACTN2,MOV10
ACTN2,RNF2
ACTN2,SH3RF1
ACTN2,HNRNPK
ACTN2,SLC25A12
ACTN2,KIF23
ACTN2,PDHB
FNTA,UBE2G2
FNTA,CNTRL
FNTA,UBE3C
FNTA,PRKD2
FNTA,MDC1
FNTA,EFTUD2
PML,U2SURP
PML,VCP
PML,UBE3A
PML,MANBA
PML,ELAC2
PML,NCOR1
PML,S1PR1
PML,GNA13
PML,NFKB1
PML,NUP133
PML,ENO1
PML,GNG13
PML,TP53
PML,LZTR1
PML,DLD
PML,RPL7L1
PML,CEP63
PML,RPA1
PML,DLST
PML,GNRH1
PML,PPP5C
PML,RPL10A
PML,ARID4B
PML,WDR5
PML,POR
PML,H2AFX
PML,CCT8
PML,TGFBR2
PML,PTEN
PML,GNG8
PML,XCR1
PML,PIK3R3
PML,RNF20
PML,KRT31
PML,CUL1
PML,CDC34
PML,ELAVL1
PML,ABHD12
PML,TNFRSF1A
PML,MBP
PML,PSMA5
PML,OXTR
PML,RIOK1
PML,KAT5
PML,GNGT1
PML,FOXB1
PML,SRC
PML,TP73
PML,RPL15
PML,FBXO2
PML,RPL13A
PML,SMC1A
PML,MCM2
STAT3,HSD17B10
STAT3,PDIA6
STAT3,GRIA1
STAT3,PARD6A
STAT3,UBA52
STAT3,ILF2
STAT3,PSMD3
STAT3,PPP2CA
STAT3,TAS2R46
STAT3,TRIM11
STAT3,OXT
STAT3,PRKCQ
STAT3,H2AFJ
STAT3,TNFRSF1A
STAT3,DARS
STAT3,HOXA3
STAT3,S1PR4
STAT3,PPP5C
STAT3,RPS15A
STAT3,BRCA1
STAT3,ESR2
STAT3,KIF26B
STAT3,ITPR2
STAT3,HEBP2
STAT3,UBA5
STAT3,CDC40
STAT3,HNRNPK
STAT3,ERLIN2
STAT3,RAB14
STAT3,CYB5D2
STAT3,POLR2L
STAT3,UBE3A
STAT3,AMELX
STAT3,SEC11C
STAT3,PRPF40B
STAT3,POLR2E
STAT3,RPS27A
STAT3,FBXO7
STAT3,PSMC5
STAT3,GAL
STAT3,PROSC
STAT3,SMURF1
STAT3,RPS13
STAT3,SMAP2
STAT3,SMARCAD1
STAT3,P4HA2
STAT3,TINF2
STAT3,ALDH3B2
STAT3,MRPL12
STAT3,CTNNB1
STAT3,LUC7L2
STAT3,GNAT3
APP,S100A7
APP,P2RY4
APP,FBXW2
APP,FNTB
APP,HIST1H2AJ
APP,MRPL3
APP,AGR2
APP,MAK16
APP,HIST1H2BJ
APP,SYNJ1
APP,DEDD
APP,KIF1C
APP,TRIM5
APP,COPS2
APP,NNMT
APP,UBE2W
APP,RNPS1
APP,HELZ2
APP,UBE2E1
APP,HGF
APP,TCEB2
APP,E2F1
APP,HNRNPUL1
APP,RPL23A
APP,UHRF1
APP,KIF2C
APP,SNX2
APP,ZDHHC17
APP,UBE3A
APP,UNC119
APP,SPTAN1
APP,RPGRIP1L
APP,S1PR4
APP,ANAPC11
APP,RPS25
APP,PDLIM1
APP,MRPS27
APP,RPA3
APP,CUL3
APP,STAG1
APP,EXOC6
APP,GTF2A1
APP,DSC2
APP,FUS
APP,MYC
APP,AP3S1
APP,TNFRSF1A
APP,SMC1A
APP,HMMR
APP,HIST1H4A
APP,INO80E
APP,MRPL32
APP,PSMA1
APP,RPS13
APP,HIST2H2AC
APP,NFU1
APP,NAPA
APP,RPS11
APP,WHSC1
APP,FZR1
APP,SH3RF1
APP,TRIM14
APP,FH
APP,CUL7
APP,RFC2
APP,BGN
APP,ARNT2
APP,CDK5
APP,ANXA1
APP,NUDT21
APP,PPP2R2A
APP,KLB
APP,ATP6V1G1
APP,HK1
APP,RPL19
APP,ARFGAP2
APP,NDUFA4
APP,TMEM97
APP,KNG1
APP,PEX7
APP,FBXO5
APP,UBQLN1
APP,RPL13A
APP,PLRG1
APP,NDUFS4
APP,IARS
APP,RNF2
APP,RNF4
APP,SNX5
APP,RPS27
APP,UQCRB
APP,POLR2L
APP,EPRS
APP,AURKA
APP,RPL14
APP,ZNRF2
APP,CHD4
APP,CSNK2A2
APP,FN3KRP
APP,GDPD5
APP,NPL
APP,EIF5B
APP,GALNT11
APP,HSPA8
APP,HIST1H4H
APP,ZUFSP
APP,WDR5
APP,USP39
APP,PDHB
APP,ITGB5
APP,XRCC6
APP,RPS20
APP,UBE2M
APP,CNTROB
APP,RBPMS
APP,SNAPIN
APP,ISLR
APP,PKM
APP,FBXL14
APP,PRKACA
APP,EIF4A1
APP,UBE2I
APP,EME1
APP,TNFRSF14
APP,ATP1A3
APP,SH3KBP1
APP,GNL2
APP,ADCY6
APP,DAB2
APP,PML
APP,HRAS
APP,FBXO6
APP,SORBS3
APP,UNC93B1
APP,AAR2
APP,FBXO44
APP,POLR2H
APP,IRF7
APP,ARID4B
APP,GPSM3
APP,CUL4B
APP,TRIM28
APP,TMEM30A
APP,RPL9
APP,STAT1
APP,IPO9
APP,GOLGA2
APP,TAS2R46
APP,MOV10
APP,MAPK8
APP,ASB18
APP,U2SURP
APP,MDM2
APP,WDR1
APP,APP
APP,UTP15
APP,XPO1
APP,SCARNA22
APP,NANOG
APP,SDC3
APP,UTS2
APP,VSIG4
APP,RCC1
APP,GNAT3
APP,GPSM2
APP,RAB1A
APP,SEC24C
APP,DCUN1D1
APP,SYT2
APP,TOMM7
APP,RELA
APP,COX5B
APP,PDYN
APP,SMC5
APP,RPP30
APP,GPR65
APP,WWP2
APP,RPS16
APP,HSD17B10
APP,DYNC1H1
APP,SRSF8
APP,CUL1
APP,ILF2
APP,LMNB1
APP,SUPT5H
APP,FGFR3
APP,NMNAT1
APP,TXNDC17
APP,ROPN1L
APP,ECSIT
APP,MED1
APP,ATXN1
APP,MRPL38
APP,HECW2
APP,FADD
APP,GBP2
APP,HEBP2
APP,SUCNR1
APP,NCF4
APP,TRIM11
APP,SRSF3
APP,CEP290
APP,ASB4
APP,C8orf33
APP,SMAD9
APP,EGLN3
APP,GDI2
APP,TINF2
APP,TCEAL1
APP,EIF4E
APP,EGFR
APP,CPSF6
APP,BICD1
APP,PLCG1
APP,CPSF1
APP,CORO1C
APP,PLK1
APP,TARSL2
APP,ESR2
APP,ITGA4
APP,PNP
APP,RPF2
APP,GNB2
APP,CCNT1
APP,ARHGAP21
APP,TAS2R19
APP,NOTCH1
APP,MRPS12
APP,BUB1B
APP,PRPF4
APP,RUVBL2
APP,RPL7L1
APP,UQCRC2
APP,FOLR3
APP,APRT
APP,VEGFA
APP,CTNNBL1
APP,OGT
APP,ASB13
APP,UBE2O
APP,GDNF
APP,YWHAG
APP,ESPL1
APP,RPN2
APP,CDC42
APP,RFC3
APP,PRKCD
APP,POLR3B
APP,THRAP3
APP,HNRNPD
APP,GNGT2
APP,DDX28
APP,WWP1
APP,GPR31
APP,CWC15
APP,GPR55
APP,TAAR9
APP,UBC
APP,RPL32
APP,PRKD2
APP,RPL27A
APP,MRPS24
APP,UBA1
APP,BRIX1
APP,TMEM41B
APP,NCAM1
APP,EFTUD2
APP,RNF220
APP,RPL10L
APP,SUCLG1
APP,PRMT1
APP,CYP26A1
APP,UTP18
APP,SKIV2L2
APP,REEP3
APP,KLHL13
APP,HEXIM1
APP,ZXDC
APP,KTN1
APP,MPI
APP,ITPR2
APP,GPR27
APP,TP73
APP,PENK
APP,TGFBR2
APP,SHMT2
APP,SRP54
APP,UBE2A
APP,TAS2R40
APP,ZNF217
APP,MRGBP
APP,WWOX
APP,PPP2R1A
APP,TXNDC5
APP,NDC80
APP,RNF126
APP,KMT2E
APP,RAC3
APP,TAS2R9
APP,REEP5
APP,RPL10A
APP,TRHR
APP,RAD51B
APP,RALGAPA2
APP,BMPR1A
APP,GTPBP4
APP,RGS20
APP,ASB8
APP,G3BP1
APP,PPP5C
APP,CALR
APP,CXCL3
APP,RPS3A
APP,FBXL3
APP,UFL1
APP,TIMM10
APP,NPY4R
APP,HSPA1A
APP,UBE2S
APP,DDX24
APP,UNK
APP,CXCL16
APP,FRK
APP,MGST1
APP,PPP1CA
APP,UBA5
APP,LARP7
APP,GTF2H4
APP,MRPS22
APP,TUBA1C
APP,LRRK2
APP,TMEM63A
APP,KBTBD7
APP,SRC
APP,RIOK1
APP,PDK1
APP,DYNC1LI1
APP,EAF1
APP,NXF1
APP,RBX1
APP,RASGRP3
APP,TUBGCP5
APP,SPRR2D
APP,SQRDL
APP,VAMP8
APP,VPS35
APP,NR2C2
APP,NFKB1
APP,YTHDF3
APP,ECHS1
APP,GNG8
APP,SF1
APP,MAPK11
APP,SMAD2
APP,TIMP2
APP,VCP
APP,YWHAQ
APP,LSM6
APP,CDC27
APP,TIPRL
APP,MDM4
APP,RPA1
APP,RNASE3
APP,UBB
APP,PSMC5
APP,WDR12
APP,NT5C3A
APP,SLU7
APP,EIF2S3
APP,HNRNPC
APP,YARS
APP,RNMT
APP,RAB33A
APP,FN1
APP,ACTL6A
APP,RPS27A
APP,GNRH1
APP,HLA-G
APP,TUBB4A
APP,MCM2
APP,ADAMTS9
APP,RB1
APP,GNA12
APP,MALSU1
APP,RPS9
APP,CENPH
APP,RETSAT
APP,SERPINB6
APP,PTGDR2
APP,COL18A1
APP,HINT1
APP,FBXO7
APP,TRIM37
APP,PSMD5
EP300,SYNJ1
EP300,GALNT11
EP300,ESR2
EP300,SMAD2
EP300,USP49
EP300,H2AFJ
EP300,NFATC1
EP300,TAS2R39
EP300,ADRA2C
EP300,DLST
EP300,EPB41L3
EP300,SIRT6
EP300,CCNB2
EP300,MYC
EP300,FBXO21
EP300,GAK
EP300,YBX3
EP300,TIMP2
EP300,ANAPC11
EP300,YBX1
EP300,MRPL12
EP300,NR2C2
EP300,PCBD1
EP300,BGN
EP300,PHB
EP300,ATP5O
EP300,VIP
EP300,COPS8
EP300,LYN
EP300,TRIM25
EP300,RPF2
EP300,RPL7L1
EP300,AURKB
EP300,GDI2
EP300,PRKD2
EP300,UBB
EP300,SMARCA5
EP300,HIST1H4A
EP300,TRIM14
EP300,SMAD7
EP300,RPL12
EP300,UBR5
EP300,RPL32
EP300,UBA52
EP300,RGS20
EP300,OGDH
EP300,NOTCH1
EP300,GSPT1
EP300,PTEN
EP300,FBN1
EP300,PSMD11
EP300,MRPS12
EP300,FOXK1
EP300,CLN3
EP300,ASB18
EP300,UBE2Z
EP300,BARD1
EP300,UBE2I
EP300,ALYREF
EP300,RPS27A
EP300,NANOG
EP300,ATG16L1
EP300,FCHO1
EP300,SNRNP70
EP300,DCTN1
EP300,ACTC1
EP300,CTNNA1
EP300,POLD2
EP300,PSMD3
EP300,SUMO3
EP300,FGF6
EP300,YWHAE
EP300,TNFSF11
EP300,EIF4A1
EP300,P2RY11
EP300,LPAR3
EP300,ELAVL1
EP300,APP
EP300,CCR4
EP300,INS
EP300,DENND6A
EP300,RNF126
EP300,TRAIP
