source,target
MAP2K4,TRIM25
MAP2K4,MAPK9
MAP2K4,MAPK10
MAP2K4,NBR1
MAP2K4,MAP2K7
MAP2K4,UBC
MAP2K4,MAP3K7
MAP2K4,MAPK14
MAP2K4,MAP3K4
MAP2K4,MAP2K4
MAP2K4,MAPK1
MAP2K4,MAP3K1
MAP2K4,RBBP8
MAP2K4,MAPK8
MAP2K4,MAP3K5
MAP2K4,PML
MAP2K4,MAPK13
MAP2K4,MAPK12
MAP2K4,NFKB1
MAP2K4,MAPK8IP1
MAP2K4,TRAF2
MAP2K4,RPS27A
MAP2K4,UBB
MAP2K4,UBE2N
MAP2K4,TNIP2
MAP2K4,MAPK11
MAP2K4,MINK1
MAP2K4,UBA52
MAP2K4,TNF
MAP2K4,PRKCA
MAP2K4,TRAF6
ACVR1,SMAD7
ACVR1,ATM
ACVR1,ARV1
ACVR1,ACVR1
ACVR1,RNF4
ACVR1,SMAD5
ACVR1,KIAA1429
ACVR1,TGFB3
ACVR1,BMP4
ACVR1,SMAD2
ACVR1,SMAD3
ACVR1,SMAD4
GATA2,HDAC3
GATA2,JUN
GATA2,TNIP2
GATA2,MED1
GATA2,HIST1H4A
GATA2,NR2C2
GATA2,POU1F1
GATA2,SPI1
GATA2,PML
GATA2,SMAD4
GATA2,HDAC5
GATA2,PSMA3
GATA2,MNAT1
GATA2,PIAS4
GATA2,NOTCH1
GATA2,RUNX1
GATA2,GATA3
GATA2,MYC
PML,USP7
PML,SUMO1
PML,RNF4
PML,TOPBP1
PML,SUMO2
PML,RUNX2
PML,TRIM22
PML,RAD51
PML,UBE2I
PML,TP53
PML,WRN
PML,SIRT1
PML,TGIF1
PML,RPL11
PML,RUNX1
PML,SPI1
PML,TCTN3
PML,SP1
PML,RB1
PML,VDAC3
PML,ZMYM2
PML,TCF7L2
PML,POLR2E
PML,TERT
PML,TRIM25
PML,TP53BP1
PML,ZNF451
PML,SRF
PML,SUZ12
PML,YAP1
PML,STAT1
PML,STAT3
PML,WDR5
PML,SH3GL1
PML,RFC4
PML,UBE3A
PML,SMARCA4
PML,SATB1
PML,RELA
PML,PML
PML,PSMA3
PML,SQSTM1
PML,PPARGC1A
PML,SMAD3
PML,RPL5
PML,RNF123
PML,RNF111
PML,PPARG
PML,SMAD2
PML,SKI
PML,TGFB1
PML,TGFB3
PML,TRIM21
PML,SMAD7
PML,TNRC6B
PML,TRIM29
PML,TRIM5
PML,UBC
PML,RBBP4
PML,UBA52
PML,PTEN
PML,UBB
PML,TNRC6C
PML,TP73
PML,RPS27A
PML,TNRC6A
PML,RBBP7
RPA2,RPL15
RPA2,RPLP1
RPA2,SEC22B
RPA2,RPLP0
RPA2,VCP
RPA2,STAT3
RPA2,RPL6
RPA2,WRN
RPA2,RPL19
RPA2,UBC
RPA2,RPL7
RPA2,TOP2A
RPA2,TIPIN
RPA2,SMC1A
RPA2,SMARCAL1
RPA2,SNAI1
RPA2,TOP3A
RPA2,TERF2
RPA2,SMC3
RPA2,RPS8
RPA2,TCF7L2
RPA2,XPC
RPA2,SMARCC2
RPA2,SSRP1
RPA2,TP53BP1
RPA2,RTEL1
RPA2,TRIM28
RPA2,RPL10L
RPA2,RPA3
RPA2,XRCC1
RPA2,RPL18
RPA2,RPS9
RPA2,YAP1
RPA2,RPL9
RPA2,USP7
RPA2,TUBA1C
RPA2,TPD52L2
RPA2,TP53
RPA2,XRCC6
RPA2,YWHAE
RPA2,SH3GLB1
RPA2,RPS5
RPA2,RPS7
RPA2,XRCC5
RPA2,XPA
RPA2,SUPT16H
RPA2,SMARCA5
RPA2,RPL18A
RPA2,RPS3A
RPA2,TFRC
RPA2,RPL13A
RPA2,UBE2M
RPA2,TARDBP
RPA2,RRM2B
RPA2,TEX15
RPA2,TOPBP1
RPA2,RPS27A
RPA2,UBB
RPA2,UBE2N
RPA2,TRIM25
RPA2,XRCC2
RPA2,SPO11
RPA2,SUMO2
RPA2,SUMO1
RPA2,TIMELESS
RPA2,UBE2V2
RPA2,UBA52
RPA2,TCEA1
RPA2,XRCC3
STAT3,TRAF6
STAT3,TRIM28
STAT3,STAT6
STAT3,TSHR
STAT3,ZNF557
STAT3,STAT5B
STAT3,TRPV5
STAT3,TRIM25
STAT3,TRIM11
STAT3,STAT3
STAT3,SYK
STAT3,VEGFA
STAT3,TBX21
STAT3,TGFB1
STAT3,TNF
STAT3,TLR9
STAT3,SUZ12
STAT3,TNFRSF1B
STAT3,VIM
STAT3,STAT4
STAT3,TP53
STAT3,ZMYM2
STAT3,STAT5A
STAT3,TLR4
STAT3,ZEB1
STAT3,TCP1
APP,HIST1H2BM
APP,TIPIN
APP,WDR5
APP,GTF2E2
APP,SLX4
APP,RBM39
APP,KAT5
APP,INS
APP,HSPA4
APP,CDKN1A
APP,UBE3C
APP,TPD52L2
APP,ATXN3
APP,HSP90AA1
APP,RPS26
APP,KPNA2
APP,ARPC1B
APP,RPL30
APP,MYC
APP,MAP2K4
APP,VCP
APP,LRP1
APP,CA9
APP,HIST2H2AC
APP,RPL37
APP,CHEK2
APP,RAD51AP1
APP,TCEA1
APP,WHSC1
APP,CUL7
APP,QARS
APP,NELFA
APP,CASP3
APP,IL7
APP,CDK5
APP,MAB21L2
APP,PPP1CC
APP,TPT1
APP,RPS14
APP,CSNK1D
APP,NOLC1
APP,EIF2B2
APP,NDUFA4
APP,HMGA1
APP,FGFR2
APP,ATP5C1
APP,RAD51C
APP,STAT5B
APP,ORC6
APP,RNF2
APP,COPS5
APP,ENO3
APP,CTBP2
APP,NAT2
APP,PARK2
APP,TOP1
APP,FGB
APP,ETV5
APP,LCP2
APP,MITF
APP,HSPA8
APP,RPL12
APP,KAT7
APP,CANX
APP,C9orf142
APP,PDHB
APP,BTK
APP,POLH
APP,OLFM1
APP,PTGDR
APP,UBE2M
APP,RPA2
APP,POLE3
APP,BCL2L11
APP,NDUFS3
APP,LNX1
APP,MEF2D
APP,FANCM
APP,ZNF92
APP,EME1
APP,CD74
APP,CDK5R1
APP,GTPBP1
APP,MS4A2
APP,COX4I1
APP,RPS19
APP,TAP2
APP,SYK
APP,HIST1H2BB
APP,MAP3K5
APP,DYRK2
APP,RPS11
APP,LIG3
APP,OBFC1
APP,SOD2
APP,MDM2
APP,XRCC3
APP,APP
APP,BDNF
APP,MAPK8IP1
APP,RPS27A
APP,H2AFY
APP,RPL36
APP,RPS6KA5
APP,RPL23
APP,HYPK
APP,CAMKMT
APP,PNKP
APP,IDO1
APP,ARHGDIB
APP,PDYN
APP,PAXIP1
APP,HDGF
APP,CTNNB1
APP,SUPT4H1
APP,HIST2H2AA3
APP,EEF1D
APP,FANCI
APP,SRSF8
APP,MAPK11
APP,EIF1AX
APP,RPS16
APP,EIF2S2
APP,RPS20
APP,UGCG
APP,SMYD3
APP,POGZ
APP,PPARG
APP,ASPH
APP,CCT8
APP,RANBP9
APP,ERG
APP,RPL11
APP,HBZ
APP,GSPT2
APP,IRS1
APP,RPS10
APP,EIF4E
APP,EIF3G
APP,NRIP1
APP,KRAS
APP,DDX1
APP,PLK1
APP,USP6
APP,POMC
APP,SMARCB1
APP,NR1H3
APP,ESR2
APP,GSK3B
APP,VIM
APP,CDK4
APP,RBPJ
APP,TNIP2
APP,SH3GLB1
APP,PIK3R2
APP,ZNF35
APP,RING1
APP,PPP2R4
APP,MAPK7
APP,VHL
APP,ETV4
APP,INPP5B
APP,EIF1
APP,HAUS6
APP,EIF3F
APP,FEN1
APP,CDC25A
APP,WIBG
APP,POLR2K
APP,POLD3
APP,EIF2A
APP,RPL3L
APP,ETS1
APP,ELK1
APP,GAPDH
APP,UBE3A
APP,LPL
APP,DYRK1A
APP,SMAD3
APP,RPS12
APP,CASP4
APP,P4HA1
APP,PSMA7
APP,POLR2F
APP,POU2F1
APP,SOCS3
APP,JUN
APP,CAMK1D
APP,TRIM25
APP,MAPK10
APP,KLF6
APP,SHC1
APP,CDKN2D
APP,CHEK1
APP,NRAS
APP,UBE2I
APP,NCR1
APP,HAVCR2
APP,NTM
APP,ARID3B
APP,IL15
APP,GRIN2B
APP,CALR
APP,LPAR3
APP,C1orf131
APP,CDK7
APP,ATF4
APP,RPS18
APP,EGFR
APP,PLP1
APP,GTF2E1
APP,KIAA1429
APP,NOTCH1
APP,RPL31
APP,PCBD1
APP,MND1
APP,PPP5C
APP,EIF3M
APP,RPS6KA6
APP,SIRT7
APP,AURKB
APP,CCT7
APP,PIM1
APP,MCM2
APP,CBX6
APP,HBS1L
APP,ATF6
APP,RIOK1
APP,RPL34
APP,TRAF6
APP,SNRNP70
APP,E2F6
APP,PDIA3
APP,STK11
APP,PTGS2
APP,RPS21
APP,PLAT
APP,EIF5
APP,EIF2B5
APP,YY1
APP,UBXN7
APP,RPS25
APP,TARDBP
APP,FHL2
APP,SNAI2
APP,MDM4
APP,MAPK13
APP,TGFB2
APP,ATF2
APP,IARS
APP,IRF2
APP,CAMK1
APP,FOS
APP,NOS3
APP,TGFB1
APP,PRKCG
APP,MAPK8
APP,TGIF1
APP,GSG2
APP,H2AFV
APP,ERCC1
APP,PTPRO
APP,LMAN1
APP,NUAK1
APP,RPS9
APP,ZAP70
APP,PPP2R5C
APP,CSNK2A1
APP,PSMA5
APP,HIST1H2BA
APP,POR
APP,IL1B
APP,HNRNPL
APP,MAPT
APP,RFX5
APP,RPL37A
APP,RPS6KB1
APP,NFYA
APP,SRC
APP,NDUFS2
APP,UQCRC2
APP,MLLT6
APP,UBB
APP,SUB1
APP,RCN1
APP,GNA11
APP,MAPK1
APP,NFKB1
APP,TGFB3
APP,BMP4
APP,CCR7
APP,THBS1
APP,VWF
APP,PIK3R3
APP,MAPK3
APP,PIK3CA
APP,EGF
APP,TP53
APP,OLA1
APP,P4HB
APP,CALU
APP,HMGB1
APP,TNF
APP,CASP8
APP,CCL5
APP,PRL
APP,NPY4R
APP,CHRM1
APP,F5
APP,S100B
APP,MTNR1A
APP,CCR5
APP,CXCL2
APP,P2RY6
APP,CXCL10
APP,MAPK9
APP,FAM20C
APP,GCG
APP,GRB2
