"node","type"
"12110.PRO_5000058677",0
"12110.PRO_5000058676",0
"IFIH1",2
"MYCN",2
"IKBKB",2
"CYLD",2
"HDAC5",2
"MYC",2
"SIRT1",2
"NTRK1",2
"ISG15",2
"DNMT1",2
"CSNK2B",2
"EP400",2
"EZH2",2
"CUL1",2
"APP",2
"FADD",2
"BRCA1",2
"CHUK",2
"HIF1A",2
"CDC37",2
"PPIA",2
"GRSF1",2
"RNF123",2
"PPARG",2
"ITCH",2
"HNRNPU",2
"CDC34",2
"IKBKG",2
"AURKA",2
"GNB2L1",2
"TRIM27",2
"CSNK2A1",2
"EIF2AK2",2
"FBXW11",2
"RNF31",2
"JUN",2
"MAP3K7",2
"UBC",2
"AKT3",2
"POU5F1",2
"MTOR",2
"TP53",2
"SIKE1",2
"COPS3",2
"COPS5",2
"NONO",2
"MDM2",2
"LRPPRC",2
"NCL",2
"BCL10",2
"SUZ12",2
"TRAF1",2
"HSP90AA1",2
"TNFRSF1A",2
"EGLN3",2
"PRKDC",2
"CLTC",2
"BTRC",2
"E2F4",2
"CUL3",2
"COPS4",2
"NEDD4L",2
"AKT1",2
"FOXO1",2
"FAF1",2
"HDAC2",2
"PPM1B",2
"CTNNB1",2
"MAP3K11",2
"CREBBP",2
"PPP2CA",2
"CDC25A",2
"RPTOR",2
"KDM1A",2
"DTX3L",2
"IFI16",2
"HUWE1",2
"HSP90AB1",2
"CLU",2
"CASP8",2
"HERC5",2
"SMN1",2
"BCL2",2
"CSNK1E",2
"MAX",2
"PPP1CA",2
"PTEN",2
"MAVS",2
"RELA",2
"TRRAP",2
"IRS1",2
"FBXW7",2
"NOD1",2
"KEAP1",2
"NFKBIA",2
"TRAF2",2
"LATS2",2
"MUC1",2
"TRIM25",2
"CDKN2A",2
"NCOA3",2
"G3BP1",2
"PELI2",2
"UBE2D1",2
"IRS4",2
"GLI1",2
"USP11",2
"IRAK1",2
"TNIP2",2
"CDKN1A",2
"HERC6",2
"CXCL8",2
"CUEDC2",2
"HSPB1",2
"MAPK14",2
"NEDD4",2
"BIRC2",2
"MAP3K1",2
"PMAIP1",2
"MEOX2",2
"UBE2D2",2
"FKBP4",2
"RNF8",2
"ATG12",2
"TRIM32",2
"TNFAIP3",2
"GRK5",2
"KDM5B",2
"AKT2",2
"PCBP2",2
"SHARPIN",2
"IKBKE",2
"HTT",2
"GBP1",2
"RNF216",2
"SKP2",2
"BIRC3",2
"PEBP1",2
"NOD2",2
"SOX2",2
"IFIT1",2
"RPS27A",2
"DOT1L",2
"IFI44L",2
"OAS3",2
"TAB2",2
"DAK",2
"TRAF6",2
"FLNC",2
"REL",2
"IRS2",2
"EPAS1",2
"COPS7A",2
"NFKB1",2
"ATG5",2
"TSC1",2
"MAP4K4",2
"PPP4R2",2
"RB1",2
"TIRAP",2
"FOXO3",2
"MTDH",2
"RICTOR",2
"IKBKAP",2
"TRADD",2
"UBE2V1",2
"PPP4C",2
"USP3",2
"LIN28B",2
"FANCA",2
"PYGL",2
"FLNA",2
"USP7",2
"TRIM21",2
"TRAF5",2
"DDX60",2
"HOMER3",2
"COMMD7",2
"CASP10",2
"IDE",2
"PRKCI",2
"TBK1",2
"SLC25A13",2
"MX1",2
"IRAK4",2
"UBE2K",2
"CD40",2
"PRKCZ",2
"FKBP5",2
"NMI",2
"TAB1",2
"MYD88",2
"DNMT3A",2
"PRKCA",2
"E2F2",2
"RAN",2
"DDX58",2
"FOXR1",2
"SKP1",2
"PRKCD",2
