"V1","V2"
"IFNB1","positive regulation of apoptotic signaling pathway"
"IFNB1","negative regulation of T-helper 2 cell cytokine production"
"IFNB1","cellular response to exogenous dsRNA"
"IFNB1","type I interferon signaling pathway"
"IFNB1","defense response to virus"
"IFNB1","positive regulation of transcription by RNA polymerase II"
"IFNB1","negative regulation of T cell differentiation"
"IFNB1","regulation of MHC class I biosynthetic process"
"IFNB1","positive regulation of innate immune response"
"IFNB1","negative regulation of viral genome replication"
"IFNB1","response to exogenous dsRNA"
"IFNB1","B cell proliferation"
"IFNB1","cellular response to interferon-beta"
"IFNB1","positive regulation of peptidyl-serine phosphorylation of STAT protein"
"IFNB1","B cell differentiation"
"IFNB1","natural killer cell activation"
"IFNB1","cytokine-mediated signaling pathway"
"IFNB1","response to virus"
"IFNB1","chloramphenicol O-acetyltransferase activity"
"IFNB1","blood coagulation"
"IFNB1","cell surface receptor signaling pathway"
"IFNB1","humoral immune response"
"IFNB1","extracellular space"
"IFNB1","extracellular region"
"IFNB1","type I interferon receptor binding"
"IFNB1","cytokine activity"
"IFNB1","natural killer cell activation involved in immune response"
"IFNB1","B cell activation involved in immune response"
"IFNB1","T cell activation involved in immune response"
"IFNB1","adaptive immune response"
"11588.NSS_RVFVZ","IFNB1"
"11588.NSS_RVFVZ","IFNB1"
