"node","type"
"11520.PB2_INBLE",0
"11520.NRAM_INBLE",0
"11520.NS1_INBLE",0
"KRT23",1
"SFXN3",1
"DNAJB6",1
"SFXN5",1
"DNAJB7",1
"SFXN1",1
"SFXN4",1
"SFXN2",1
"ISG15",1
"ATPase activator activity",6
"DNA binding",6
"integrin binding",6
"structural molecule activity",6
"protein binding",6
"extracellular region",6
"nucleus",6
"nucleoplasm",6
"cytoplasm",6
"mitochondrion",6
"cytosol",6
"intermediate filament",6
"protein folding",6
"one-carbon metabolic process",6
"iron ion transport",6
"amino acid transport",6
"integrin-mediated signaling pathway",6
"ion transmembrane transporter activity",6
"citrate transmembrane transporter activity",6
"L-serine transmembrane transporter activity",6
"citrate transport",6
"L-serine transport",6
"membrane",6
"viral process",6
"protein ubiquitination",6
"modification-dependent protein catabolic process",6
"translesion synthesis",6
"transmembrane transporter activity",6
"serine transmembrane transporter activity",6
"Z disc",6
"actin cytoskeleton organization",6
"extracellular matrix organization",6
"erythrocyte differentiation",6
"positive regulation of bone mineralization",6
"heat shock protein binding",6
"integral component of mitochondrial inner membrane",6
"protein tag",6
"negative regulation of protein ubiquitination",6
"keratinization",6
"ubiquitin protein ligase binding",6
"ISG15-protein conjugation",6
"negative regulation of type I interferon production",6
"regulation of interferon-gamma production",6
"positive regulation of ATPase activity",6
"regulation of protein localization",6
"ion transmembrane transport",6
"response to type I interferon",6
"protein localization to nucleus",6
"defense response to bacterium",6
"D-serine transport",6
"D-serine transmembrane transporter activity",6
"negative regulation of cysteine-type endopeptidase activity involved in apoptotic process",6
"negative regulation of viral genome replication",6
"intermediate filament organization",6
"positive regulation of erythrocyte differentiation",6
"negative regulation of transcription, DNA-templated",6
"perinuclear region of cytoplasm",6
"unfolded protein binding",6
"chaperone binding",6
"defense response to virus",6
"type I interferon signaling pathway",6
"chorio-allantoic fusion",6
"syncytiotrophoblast cell differentiation involved in labyrinthine layer development",6
"chorion development",6
"cornification",6
"interleukin-10 secretion",6
"interferon-gamma secretion",6
"negative regulation of inclusion body assembly",6
"serine import into mitochondrion",6
"regulation of cellular response to heat",6
"mitochondrial transmembrane transport",6
