source,target
STAT3,KIAA1429
STAT3,RNF123
STAT3,GSK3A
STAT3,POLR2K
STAT3,RPL6
STAT3,ELAVL1
STAT3,FANCA
ARRB2,RPS19
ARRB2,RUNX1
ARRB2,RPS27A
ARRB2,GCC1
ARRB2,NOS1AP
ARRB2,EGFR
ARRB2,ZNF746
ARRB2,UBE2V1
ARRB2,SOAT1
ARRB2,TRIM39
ARRB2,RFC1
ARRB2,ELAVL1
ARRB2,CREBBP
ARRB2,HDAC1
ARRB2,OPRM1
ARRB2,TRAF6
ARRB2,ESR2
ARRB2,RPL13
ARRB2,RPS9
ARRB2,USP11
CDC25A,USP11
CDC25A,HMGA1
CDC25A,STAT3
CDC25A,RPL6
CDC25A,CASC3
CDC25A,POLR2K
CDC25A,LIN28A
CDC25A,MCM10
CDC25A,RHOQ
CDC25A,NR2C2
CDC25A,HDAC1
CDC25A,GATAD2A
EGFR,STAT3
EGFR,RPL6
EGFR,HERC1
EGFR,INS
EGFR,SOAT1
EGFR,PRKACA
EGFR,PROKR2
EGFR,MCM10
EGFR,FBXL7
EGFR,COX5B
EGFR,RPLP1
EGFR,RAB31
EGFR,EIF3A
EGFR,HNRNPA3
EGFR,GNG2
EGFR,DCAF7
EGFR,ELAVL1
EGFR,MUC16
EGFR,MATR3
EGFR,HIST1H4A
EGFR,RNASET2
EGFR,GNAI3
EGFR,UTP11L
EGFR,TPM2
EGFR,PLK1
EGFR,SRSF11
EGFR,TMEM216
EGFR,NMUR2
EGFR,VCAM1
EGFR,CREBBP
EGFR,KIAA1429
CREBBP,RAB5C
CREBBP,ESR2
CREBBP,VCAM1
CREBBP,UBB
CREBBP,GCC1
CREBBP,RPS19
CREBBP,GNB4
CREBBP,HERC5
CREBBP,EIF3A
CREBBP,COX5B
CREBBP,GALNS
CREBBP,ELAVL1
CREBBP,INS
CREBBP,SPACA1
CREBBP,RPS18
CREBBP,GSK3A
EPB41,EIF3A
EEF1A1,MAPK9
EEF1A1,GTF2I
EEF1A1,KIAA1429
EEF1A1,EIF3A
EEF1A1,CCNT1
EEF1A1,RAMP2
EEF1A1,SEC61A1
EEF1A1,EGFR
EEF1A1,EEF1A1
EEF1A1,CDC37
EEF1A1,ESR2
