"V1","V2"
"IFNB1","positive regulation of apoptotic signaling pathway"
"IFNB1","negative regulation of T-helper 2 cell cytokine production"
"IFNB1","cellular response to exogenous dsRNA"
"IFNB1","type I interferon signaling pathway"
"IFNB1","defense response to virus"
"IFNB1","positive regulation of transcription by RNA polymerase II"
"IFNB1","negative regulation of T cell differentiation"
"IFNB1","regulation of MHC class I biosynthetic process"
"IFNB1","positive regulation of innate immune response"
"IFNB1","negative regulation of viral genome replication"
"IFNB1","response to exogenous dsRNA"
"IFNB1","B cell proliferation"
"IFNB1","cellular response to interferon-beta"
"IFNB1","positive regulation of peptidyl-serine phosphorylation of STAT protein"
"IFNB1","B cell differentiation"
"IFNB1","natural killer cell activation"
"IFNB1","cytokine-mediated signaling pathway"
"IFNB1","response to virus"
"IFNB1","chloramphenicol O-acetyltransferase activity"
"IFNB1","blood coagulation"
"IFNB1","cell surface receptor signaling pathway"
"IFNB1","humoral immune response"
"IFNB1","extracellular space"
"IFNB1","extracellular region"
"IFNB1","type I interferon receptor binding"
"IFNB1","cytokine activity"
"IFNB1","natural killer cell activation involved in immune response"
"IFNB1","B cell activation involved in immune response"
"IFNB1","T cell activation involved in immune response"
"IFNB1","adaptive immune response"
"IRAK3","response to interleukin-1"
"IRAK3","interleukin-1-mediated signaling pathway"
"IRAK3","positive regulation of NF-kappaB transcription factor activity"
"IRAK3","protein heterodimerization activity"
"IRAK3","protein autophosphorylation"
"IRAK3","negative regulation of innate immune response"
"IRAK3","negative regulation of MAP kinase activity"
"IRAK3","response to exogenous dsRNA"
"IRAK3","regulation of protein-containing complex disassembly"
"IRAK3","negative regulation of protein-containing complex disassembly"
"IRAK3","protein homodimerization activity"
"IRAK3","negative regulation of protein catabolic process"
"IRAK3","intracellular signal transduction"
"IRAK3","negative regulation of toll-like receptor signaling pathway"
"IRAK3","negative regulation of tumor necrosis factor production"
"IRAK3","negative regulation of interleukin-6 production"
"IRAK3","negative regulation of interleukin-12 production"
"IRAK3","response to lipopolysaccharide"
"IRAK3","response to peptidoglycan"
"IRAK3","negative regulation of NF-kappaB transcription factor activity"
"IRAK3","cytokine-mediated signaling pathway"
"IRAK3","negative regulation of macrophage cytokine production"
"IRAK3","positive regulation of macrophage tolerance induction"
"IRAK3","response to virus"
"IRAK3","protein phosphorylation"
"IRAK3","plasma membrane"
"IRAK3","cytoplasm"
"IRAK3","nucleus"
"IRAK3","ATP binding"
"IRAK3","protein serine/threonine kinase activity"
"IRAK3","MyD88-dependent toll-like receptor signaling pathway"
"IRAK3","negative regulation of cytokine-mediated signaling pathway"
"IRAK3","magnesium ion binding"
"11069.PRO_0000308295","IFNB1"
"11069.PRO_0000308295","IFNB1"
"11069.PRO_0000037989","IRAK3"
"11069.PRO_0000037989","IRAK3"
