source,target
PML,SP100
PML,SUMO1
PML,RNF4
PML,SUMO3
PML,SUMO2
PML,UBE2I
PML,TP53
PML,SIRT1
PML,RUNX1
PML,SENP1
PML,TRIM25
PML,TP63
PML,PML
PML,SMAD3
PML,SIAH2
PML,SMAD2
PML,SKI
PML,SIAH1
PML,TP73
EP300,HIST2H2BE
EP300,SMAD2
EP300,SMAD3
EP300,TP63
EP300,PIAS1
EP300,SMAD1
EP300,MDM2
EP300,RUNX1
EP300,HIPK2
EP300,TP73
EP300,PAX6
EP300,PIN1
EP300,SIRT1
EP300,GATA4
EP300,UBE2I
EP300,KIAA1429
EP300,EP300
EP300,SIAH2
EP300,TRIM25
EP300,MYB
EP300,PARP1
EP300,FBXO3
EP300,MDM4
EP300,MYBL2
EP300,HNRNPL
EP300,TP53
EP300,SUMO2
EP300,SUMO1
EP300,HSPA1A
EP300,MYBL1
EP300,PML
SMAD3,STUB1
SMAD3,TRIM25
SMAD3,TP53
SMAD3,SMAD3
CREBBP,NLK
CREBBP,NKX2-1
CREBBP,HIST2H2BE
CREBBP,CREBBP
CREBBP,MYBL2
CREBBP,MKNK1
CREBBP,DAXX
CREBBP,PARP1
CREBBP,CTBP1
CREBBP,TRIM25
CREBBP,EP300
CREBBP,PIAS1
CREBBP,SP100
CREBBP,HIPK2
CREBBP,TP53
CREBBP,RUNX1
CREBBP,TP73
CREBBP,MYB
CREBBP,SMAD1
CREBBP,SUMO1
CREBBP,HNRNPL
CREBBP,DYRK1B
CREBBP,PML
CREBBP,HMGA1
CREBBP,MDM2
CREBBP,SMAD2
CREBBP,SMAD3
CREBBP,DYRK1A
CREBBP,UBE2I
CREBBP,MYBL1
CREBBP,KIAA1429
CREBBP,XAF1
CREBBP,SIRT1
CREBBP,PAX6
CREBBP,HSPA1A
CREBBP,CUL1
SUMO1,TP63
SUMO1,TP73
SUMO1,UBE2I
SUMO1,TP53
SUMO1,SUMO1
SUMO1,SUMO3
SUMO1,SUMO2
DAXX,STUB1
DAXX,SUMO2
DAXX,TP63
DAXX,PML
DAXX,PARP1
DAXX,RNF4
DAXX,HIPK2
DAXX,TP73
DAXX,UBE2I
DAXX,MDM2
DAXX,DAXX
DAXX,SENP2
DAXX,SUMO1
DAXX,TP53
DAXX,SUMO3
DAXX,PIN1
