"V1","V2"
"EIF4E","regulation of translation at postsynapse, modulating synaptic transmission"
"EIF4E","postsynaptic cytosol"
"EIF4E","glutamatergic synapse"
"EIF4E","cellular response to dexamethasone stimulus"
"EIF4E","repressing transcription factor binding"
"EIF4E","extracellular exosome"
"EIF4E","perinuclear region of cytoplasm"
"EIF4E","positive regulation of mitotic cell cycle"
"EIF4E","negative regulation of neuron differentiation"
"EIF4E","cytoplasmic ribonucleoprotein granule"
"EIF4E","chromatoid body"
"EIF4E","eukaryotic initiation factor 4G binding"
"EIF4E","lung development"
"EIF4E","enzyme binding"
"EIF4E","stem cell population maintenance"
"EIF4E","negative regulation of translation"
"EIF4E","RISC complex"
"EIF4E","eukaryotic translation initiation factor 4F complex"
"EIF4E","viral process"
"EIF4E","negative regulation of autophagy"
"EIF4E","cytoplasmic stress granule"
"EIF4E","regulation of translation"
"EIF4E","translational initiation"
"EIF4E","mRNA export from nucleus"
"EIF4E","RNA export from nucleus"
"EIF4E","mRNA cap binding complex"
"EIF4E","cytosol"
"EIF4E","cytoplasm"
"EIF4E","protein binding"
"EIF4E","translation initiation factor activity"
"EIF4E","RNA binding"
"EIF4E","behavioral fear response"
"EIF4E","P-body"
"EIF4E","RNA 7-methylguanosine cap binding"
"EIF4E","RNA cap binding"
"EIF4E","G1/S transition of mitotic cell cycle"
"PPIA","ficolin-1-rich granule lumen"
"PPIA","establishment of integrated proviral latency"
"PPIA","extracellular exosome"
"PPIA","unfolded protein binding"
"PPIA","leukocyte migration"
"PPIA","positive regulation of protein secretion"
"PPIA","virion binding"
"PPIA","positive regulation of viral genome replication"
"PPIA","regulation of viral genome replication"
"PPIA","neutrophil degranulation"
"PPIA","protein refolding"
"PPIA","interleukin-12-mediated signaling pathway"
"PPIA","secretory granule lumen"
"PPIA","lipid droplet organization"
"PPIA","protein-containing complex"
"PPIA","vesicle"
"PPIA","viral release from host cell"
"PPIA","virion assembly"
"PPIA","fusion of virus membrane with host plasma membrane"
"PPIA","uncoating of virus"
"PPIA","viral life cycle"
"PPIA","membrane"
"PPIA","cyclosporin A binding"
"PPIA","protein folding"
"PPIA","RNA-dependent DNA biosynthetic process"
"PPIA","focal adhesion"
"PPIA","cytosol"
"PPIA","nucleus"
"PPIA","extracellular space"
"PPIA","extracellular region"
"PPIA","protein binding"
"PPIA","peptidyl-prolyl cis-trans isomerase activity"
"PPIA","RNA binding"
"PPIA","protein peptidyl-prolyl isomerization"
"C4B","positive regulation of apoptotic cell clearance"
"C4B","blood microparticle"
"C4B","extracellular exosome"
"C4B","synapse"
"C4B","innate immune response"
"C4B","other organism cell"
"C4B","detection of molecule of bacterial origin"
"C4B","regulation of complement activation"
"C4B","dendrite"
"C4B","axon"
"C4B","carbohydrate binding"
"C4B","negative regulation of endopeptidase activity"
"C4B","opsonization"
"C4B","complement activation, classical pathway"
"C4B","complement activation"
"C4B","inflammatory response"
"C4B","plasma membrane"
"C4B","extracellular space"
"C4B","extracellular region"
"C4B","endopeptidase inhibitor activity"
"C4B","complement binding"
"RHOA","positive regulation of T cell migration"
"RHOA","regulation of neural precursor cell proliferation"
"RHOA","regulation of cell motility"
"RHOA","cellular response to chemokine"
"RHOA","regulation of modification of postsynaptic actin cytoskeleton"
"RHOA","positive regulation of leukocyte adhesion to vascular endothelial cell"
"RHOA","positive regulation of vascular smooth muscle contraction"
"RHOA","mitotic cleavage furrow formation"
"RHOA","negative regulation of reactive oxygen species biosynthetic process"
"RHOA","skeletal muscle satellite cell migration"
"RHOA","positive regulation of NIK/NF-kappaB signaling"
"RHOA","ficolin-1-rich granule membrane"
"RHOA","glutamatergic synapse"
"RHOA","postsynapse"
"RHOA","endothelial tube lumen extension"
"RHOA","negative regulation of oxidative phosphorylation"
"RHOA","mitotic spindle assembly"
"RHOA","negative regulation of cell migration involved in sprouting angiogenesis"
"RHOA","cell periphery"
"RHOA","positive regulation of protein serine/threonine kinase activity"
"RHOA","positive regulation of podosome assembly"
"RHOA","cellular response to cytokine stimulus"
"RHOA","cellular response to lipopolysaccharide"
"RHOA","regulation of microtubule cytoskeleton organization"
"RHOA","extracellular exosome"
"RHOA","trabecula morphogenesis"
"RHOA","positive regulation of lipase activity"
"RHOA","Wnt signaling pathway, planar cell polarity pathway"
"RHOA","regulation of calcium ion transport"
"RHOA","regulation of focal adhesion assembly"
"RHOA","positive regulation of stress fiber assembly"
"RHOA","response to glucocorticoid"
"RHOA","regulation of small GTPase mediated signal transduction"
"RHOA","Rho GDP-dissociation inhibitor binding"
"RHOA","actin filament bundle assembly"
"RHOA","negative chemotaxis"
"RHOA","regulation of dendrite development"
"RHOA","positive regulation of axonogenesis"
"RHOA","negative regulation of axonogenesis"
"RHOA","neuron projection morphogenesis"
"RHOA","phosphatidylinositol-mediated signaling"
"RHOA","ephrin receptor signaling pathway"
"RHOA","vascular endothelial growth factor receptor signaling pathway"
"RHOA","positive regulation of alpha-beta T cell differentiation"
"RHOA","GTP metabolic process"
"RHOA","negative regulation of cell size"
"RHOA","positive regulation of translation"
"RHOA","positive regulation of neuron differentiation"
"RHOA","response to ethanol"
"RHOA","establishment of epithelial cell apical/basal polarity"
"RHOA","wound healing, spreading of cells"
"RHOA","ossification involved in bone maturation"
"RHOA","endothelial cell migration"
"RHOA","positive regulation of neuron apoptotic process"
"RHOA","negative regulation of neuron apoptotic process"
"RHOA","beta selection"
"RHOA","neutrophil degranulation"
"RHOA","apical junction assembly"
"RHOA","apical junction complex"
"RHOA","positive regulation of cysteine-type endopeptidase activity involved in apoptotic process"
"RHOA","intracellular membrane-bounded organelle"
"RHOA","response to amino acid"
"RHOA","dendritic spine"
"RHOA","stress fiber assembly"
"RHOA","negative regulation of I-kappaB kinase/NF-kappaB signaling"
"RHOA","positive regulation of I-kappaB kinase/NF-kappaB signaling"
"RHOA","neuron projection"
"RHOA","odontogenesis"
"RHOA","apolipoprotein A-I-mediated signaling pathway"
"RHOA","cleavage furrow formation"
"RHOA","Roundabout signaling pathway"
"RHOA","cell junction assembly"
"RHOA","regulation of osteoblast proliferation"
"RHOA","negative regulation of intracellular steroid hormone receptor signaling pathway"
"RHOA","regulation of actin cytoskeleton organization"
"RHOA","ruffle membrane"
"RHOA","positive regulation of cytokinesis"
"RHOA","cleavage furrow"
"RHOA","cell division site"
"RHOA","vesicle"
"RHOA","actin cytoskeleton reorganization"
"RHOA","cytoplasmic vesicle"
"RHOA","extrinsic component of cytoplasmic side of plasma membrane"
"RHOA","stress-activated protein kinase signaling cascade"
"RHOA","establishment or maintenance of actin cytoskeleton polarity"
"RHOA","positive regulation of actin filament polymerization"
"RHOA","secretory granule membrane"
"RHOA","androgen receptor signaling pathway"
"RHOA","midbody"
"RHOA","axon"
"RHOA","regulation of cell migration"
