source,target
BRCA1,RPRD1A
BRCA1,UBC
BRCA1,CTDP1
BRCA1,RPLP0
BRCA1,TPM1
BRCA1,HUWE1
BRCA1,SMG7
BRCA1,RPA3
BRCA1,MAPK1
BRCA1,POLR2A
BRCA1,LARS
BRCA1,PDCD6
BRCA1,GABPA
BRCA1,NCBP2
RPA3,UBC
RPA3,ACTC1
RPA3,SMARCA4
RPA3,HSP90AA1
RPA3,LARP7
RPA3,KPNB1
RPA3,RIOK1
RPA3,MAPK1
RPA3,MAPK6
RPA3,SPRY1
EIF3K,IFNB1
EIF3K,KIAA1429
EIF3K,U2AF2
EIF3K,ACO2
EIF3K,HCAR1
SMARCA4,TAZ
SMARCA4,PSMB5
SMARCA4,EGLN3
SMARCA4,COG7
SMARCA4,RPLP0
SMARCA4,GNAQ
SFN,FNBP1L
SFN,IFNB1
SFN,SPDL1
SFN,H2AFV
SFN,CRNKL1
YBX1,SVIP
YBX1,IFNB1
MAPK1,PTPRK
MAPK1,YBX1
MAPK1,LARP7
MAPK1,SMG7
MAPK1,PSMB5
MAPK1,GNAQ
MAPK1,IFNB1
MAPK1,TGFB1I1
MAPK1,OBSL1
MAPK1,NEDD4
RAP1A,GIPR
RAP1A,MAPK6
RAP1A,LPAR3
RAP1A,GLB1
RAP1A,HSP90AA1
RAP1A,PSG1
GABPA,IRAK3
PSMB5,U2AF2
PSMB5,RPA3
PSMB5,H2AFV
PSMB5,POLR2B
PSMB5,YBX1
NCBP2,RAB11A
NCBP2,POLR2A
NCBP2,KIAA1429
NCBP2,U2AF2
NCBP2,GNB4
NCBP2,CRNKL1
NCBP2,EGLN3
NEDD4,SPDL1
NEDD4,MAPK6
NEDD4,REEP4
NEDD4,UBC
NEDD4,EGLN3
NEDD4,DYNC1I2
NEDD4,SVIP
NEDD4,RIOK1
NEDD4,IFNB1
NEDD4,KIAA1429
AP1M1,ATP6V1B2
AP1M1,IRAK3
UBOX5,HCAR1
UBOX5,SMARCA4
UBOX5,KIAA1429
UBOX5,RPRD1A
RAB11A,LARS
PRC1,HSP90AA1
PRC1,UBE4A
PRC1,ENAM
PRC1,TGFB2
PDCD6,KIAA1429
PDCD6,RPA3
U2AF2,RPRD1A
U2AF2,MAPK1
U2AF2,INS
