source,target
RPA2,SYMPK
RPA2,SFPQ
RPA2,SNRPB
RPA2,THOC6
RPA2,THOC1
RPA2,SPTBN1
RPA2,TOP2A
RPA2,ZNF638
RPA2,SNAI1
RPA2,TAF15
RPA2,THOC2
RPA2,SPTAN1
RPA2,TPM2
RPA2,TERF2
RPA2,WDR33
RPA2,RPS8
RPA2,TPX2
RPA2,TCF7L2
RPA2,THOC7
RPA2,SKIV2L2
RPA2,RPA3
RPA2,SNRNP40
RPA2,SF3B3
RPA2,XRN2
RPA2,TMPO
RPA2,YAP1
RPA2,TCERG1
RPA2,SF3B1
RPA2,TP53
RPA2,XRCC6
RPA2,YWHAE
RPA2,SNRNP200
RPA2,UBQLN2
RPA2,U2SURP
RPA2,SF3A1
RPA2,TARDBP
RPA2,SF3B2
RPA2,TOPBP1
RPA2,RPS27A
RPA2,TRIM25
RPA2,XAB2
RPA2,ZNF830
RPA2,YWHAZ
RPA2,TCEA1
RPA2,XRCC3
APP,RAB8B
APP,LSM6
APP,RBM39
APP,INS
APP,CSTF2
APP,HSPA4
APP,SCYL1
APP,ENTHD2
APP,KIF2C
APP,ATXN3
APP,HSP90AA1
APP,SRSF3
APP,ARPC1B
APP,CUL3
APP,EXOC6
APP,FCGR3A
APP,MYC
APP,RBM8A
APP,CHEK2
APP,SF3B2
APP,TCEA1
APP,TFPI
APP,CUL7
APP,EIF4E2
APP,QARS
APP,HP1BP3
APP,CDK5
APP,PPP1CC
APP,ATP6V1G1
APP,SRSF6
APP,RNF2
APP,COPS5
APP,SF3B6
APP,CTBP2
APP,LRPPRC
APP,DCLK1
APP,FAM160B2
APP,FIP1L1
APP,HSPA8
APP,RAB13
APP,PCBP1
APP,SMURF1
APP,RAB10
APP,FBXW11
APP,RPA2
APP,AURKA
APP,PPP6R2
APP,CDC20
APP,MAD2L1
APP,PRPF38A
APP,HDAC4
APP,LARP7
APP,PLRG1
APP,CDK5R1
APP,PLS3
APP,BUD31
APP,PRPF4
APP,NDEL1
APP,CUL4B
APP,MCM10
APP,MDM2
APP,XRCC3
APP,APP
APP,HSPD1
APP,NUSAP1
APP,RPS27A
APP,HIST1H1A
APP,IK
APP,PTBP1
APP,RAB14
APP,PAXIP1
APP,HDGF
APP,HGS
APP,CTNNB1
APP,DDX42
APP,CDC37
APP,NAV1
APP,ERG
APP,TMOD4
APP,GPKOW
APP,C8orf33
APP,USP39
APP,CHTOP
APP,KRAS
APP,PLK1
APP,ESR2
APP,COIL
APP,SRRM2
APP,CDK4
APP,TNIP2
APP,COPB1
APP,ERH
APP,CDC25A
APP,RAB27A
APP,POLR2K
APP,SART1
APP,OBSL1
APP,SNRNP35
APP,CWC15
APP,HNRNPA1
APP,DYRK1A
APP,HSPBP1
APP,POLR2F
APP,NUP50
APP,DYNLT1
APP,SCO2
APP,TRIM25
APP,CLP1
APP,SHC1
APP,CHEK1
APP,EXOC3
APP,RBM11
APP,EGFR
APP,DLGAP5
APP,NOL12
APP,KIAA1429
APP,YWHAG
APP,YWHAB
APP,SF3A3
APP,SIRT7
APP,AURKB
APP,SYF2
APP,PDCD7
APP,LIMA1
APP,BRWD1
APP,FAM64A
APP,DNAJC8
APP,SRSF9
APP,CEP250
APP,TMOD2
APP,RIOK1
APP,LUC7L2
APP,SNRNP70
APP,SRPK1
APP,STAU1
APP,TTK
APP,RNPC3
APP,RBM42
APP,DHX16
APP,KIF4A
APP,SRPK2
APP,TARDBP
APP,SKA3
APP,FHL2
APP,PDPK1
APP,NF1
APP,SRRT
APP,ZRSR2
APP,DAB2
APP,CSNK2A1
APP,FAM27E3
APP,ASPSCR1
APP,CCNE2
APP,SRSF1
APP,RTKN
APP,PQBP1
APP,HNRNPL
APP,CLK3
APP,RAB3A
APP,RAB11B
APP,YWHAZ
APP,SNRNP40
APP,STIP1
APP,MAPK1
APP,MAPK3
APP,CAPZA1
APP,TP53
APP,FMR1
APP,TNF
APP,MAPK9
APP,CAPZA2
APP,NTRK1
APP,NHLRC2
APP,CXCR2
APP,RELA
ARRB2,HTATSF1
ARRB2,MAPK9
ARRB2,PTBP1
ARRB2,CAPZA2
ARRB2,SPTBN1
ARRB2,RPS27A
ARRB2,CAMK2D
ARRB2,MYH9
ARRB2,CTTN
ARRB2,CENPF
ARRB2,HNRNPM
ARRB2,HNRNPA1
ARRB2,CSNK2A2
ARRB2,SPTAN1
ARRB2,HSPA8
ARRB2,RPA1
ARRB2,RPL35
ARRB2,PPP2R1A
ARRB2,SNRPD1
ARRB2,CLTB
ARRB2,MDM2
ARRB2,WEE1
ARRB2,YWHAH
ARRB2,HIST1H1A
ARRB2,YWHAB
ARRB2,THRAP3
ARRB2,HNRNPC
ARRB2,ERH
ARRB2,PPP1R12A
ARRB2,TMPO
ARRB2,SNRPD2
ARRB2,MAPK3
ARRB2,SIRT1
ARRB2,HNRNPU
ARRB2,SRPK2
ARRB2,MAPK1
ARRB2,CDK4
ARRB2,ZRANB2
ARRB2,CUL5
ARRB2,LEO1
ARRB2,CAPZA1
ARRB2,PRPF4
ARRB2,YWHAE
ARRB2,YWHAQ
ARRB2,FLNA
ARRB2,HNRNPA2B1
ARRB2,HGS
ARRB2,XRCC6
ARRB2,EFTUD2
ARRB2,SF3B3
ARRB2,RPS8
ARRB2,MYO1C
ARRB2,RBM10
ARRB2,HNRNPK
ARRB2,CLIC1
ARRB2,EGFR
ARRB2,CSNK2A1
ARRB2,HNRNPF
ARRB2,MYC
ARRB2,YBX1
ARRB2,C1QBP
ARRB2,HNRNPD
ARRB2,POLR2E
ARRB2,SF3B2
ARRB2,TMOD3
ARRB2,HNRNPR
ARRB2,HNRNPA0
ARRB2,CUL3
ARRB2,HNRNPH2
ARRB2,YWHAG
ARRB2,DBN1
ARRB2,DHX15
ARRB2,S100A9
ARRB2,NEDD4
ARRB2,HNRNPL
ARRB2,XPO1
ARRB2,DDX5
ARRB2,SRRM2
ARRB2,LIMA1
ARRB2,SFPQ
ARRB2,CALM3
ARRB2,HNRNPH1
ARRB2,SF3B1
ARRB2,POLR1C
ARRB2,CFTR
ARRB2,MAPK14
ARRB2,KRAS
ARRB2,RAB11A
ARRB2,IQGAP1
ARRB2,DAB2
ARRB2,VAMP2
ARRB2,CXCR2
ARRB2,PPP2R2A
ARRB2,TRIM24
ARRB2,UBQLN2
ARRB2,RAC1
ARRB2,SUFU
ARRB2,ROR2
ARRB2,PPP2R3B
ARRB2,SH3KBP1
ARRB2,KSR1
ARRB2,RELA
ARRB2,PPP2R2D
ARRB2,MARK3
ARRB2,KIAA1549
ARRB2,CD3G
BARD1,MAPK1
BARD1,SNRPC
BARD1,FEZ1
BARD1,YWHAZ
BARD1,TP53
BARD1,CCNK
BARD1,SRSF9
BARD1,SRSF4
BARD1,EWSR1
BARD1,POLR2H
BARD1,HIST1H4A
BARD1,CSTF2
BARD1,POLR2A
BARD1,WDR33
BARD1,KRAS
BARD1,SNRPB
BARD1,HSPA4
BARD1,RELA
BARD1,MSH2
BARD1,PPP1CC
BARD1,SPAG5
BARD1,GTF3C1
BARD1,YBX1
BARD1,PCBP2
BARD1,LUC7L2
BARD1,TOPBP1
BARD1,SRRM2
BARD1,SRSF7
BARD1,TERF2
BARD1,CCAR1
BARD1,HNRNPC
BARD1,TULP2
BARD1,CSTF1
BARD1,TRA2A
BARD1,ESR1
BARD1,DDX39B
BARD1,DYRK1A
BARD1,HNRNPDL
BARD1,PUF60
BARD1,SRSF6
BARD1,THRAP3
BARD1,U2AF2
BARD1,SRPK2
BARD1,SRPK1
BARD1,NCBP1
BARD1,MOV10
BARD1,WDR61
BARD1,EXOC5
BARD1,HERC2
BARD1,SNRNP200
BARD1,SNRNP70
BARD1,U2AF1
BARD1,LUC7L3
BARD1,RBM25
BARD1,CHD3
BARD1,PRPF40A
BARD1,TCERG1
BARD1,XRCC6
BARD1,SRRM1
BARD1,HP1BP3
BARD1,CDK9
BARD1,SRSF10
BARD1,CPSF2
BARD1,SRSF1
BARD1,MFAP1
BARD1,BRCA1
BARD1,BARD1
BARD1,GTSE1
BARD1,LARP7
BARD1,RBM22
BARD1,HNRNPL
BARD1,U2SURP
BARD1,SRSF2
BARD1,CDK2
BARD1,RBM39
BARD1,SRSF5
BARD1,POLR2B
BARD1,HNRNPUL1
BARD1,TRA2B
BARD1,CDK1
BARD1,ELAVL1
BARD1,POLR2E
BARD1,CPSF3
BARD1,MEPCE
BARD1,RBM17
BARD1,RPA3
BARD1,RPA1
BARD1,CCNA1
BARD1,PAXIP1
BARD1,CDC16
BARD1,CUL7
BARD1,CCNA2
BARD1,EXO1
BARD1,CHEK1
BARD1,CCNE1
BARD1,RPA2
BARD1,BUB1B
BARD1,BLM
BARD1,XRCC3
BARD1,RPS27A
BARD1,UBE2C
BARD1,PCNA
BARD1,RNF2
BARD1,CHEK2
BRCA1,PRPF6
BRCA1,KIAA1804
BRCA1,SFPQ
BRCA1,CSTF1
BRCA1,POLR2H
BRCA1,DHX38
BRCA1,MAPK3
BRCA1,TP53
BRCA1,KIF11
BRCA1,CDC5L
BRCA1,SNRNP200
BRCA1,HERC2
BRCA1,PPP1CA
BRCA1,TARDBP
BRCA1,DYRK1A
BRCA1,DHX15
BRCA1,HNRNPL
BRCA1,HNRNPDL
BRCA1,MOV10
BRCA1,NUP160
BRCA1,CDC16
BRCA1,NUP214
BRCA1,HNRNPU
BRCA1,TOPBP1
BRCA1,HIF1A
BRCA1,CDC25C
BRCA1,NUP93
BRCA1,EIF3I
BRCA1,ZC3H11A
BRCA1,WWOX
BRCA1,CCNB1
BRCA1,SPTAN1
BRCA1,ENO1
BRCA1,SEPT7
BRCA1,SRSF1
BRCA1,VARS
