source,target
FLNC,RNF4
FLNC,SPDL1
FLNC,MTDH
FLNC,MCM5
FLNC,NCAPD2
FLNC,OBSL1
FLNC,MYC
FLNC,TNFAIP1
FLNC,MCM2
FLNC,MECOM
FLNC,PHB
FLNC,NUP88
FLNC,FN1
FLNC,RPS6KA2
FLNC,NPM1
FLNC,NUP133
FLNC,PSMD13
FLNC,PRKCZ
FLNC,WDR77
FLNC,SYNPO2
FLNC,OTUD1
FLNC,TP63
FLNC,HSPB7
FLNC,WNK1
FLNC,PSMD3
FLNC,PSMD12
FLNC,SIRT7
FLNC,PSMC4
FLNC,MDP1
FLNC,PRKAB2
FLNC,IKBKB
FLNC,KCND2
FLNC,MYOT
FLNC,VASP
FLNC,ITGA1
FLNC,ITGA2
FLNC,LDB3
FLNC,ITGB1
FLNC,MYBPC1
ACVR1,SMAD7
ACVR1,ATM
ACVR1,TSC22D1
ACVR1,ACVR1
ACVR1,OTUB1
ACVR1,RNF4
ACVR1,USP15
ACVR1,FBXO7
ACVR1,SMAD1
ACVR1,FKBP1A
ACVR1,KIAA1429
ACVR1,TNFRSF10A
ACVR1,SMURF1
ACVR1,ACVR1C
ACVR1,SMAD2
ACVR1,SMAD3
ACVR1,SMAD4
PML,TRIM24
PML,RANBP2
PML,SP100
PML,USP7
PML,TDG
PML,SUMO1
PML,RNF4
PML,SUMO3
PML,TOPBP1
PML,SUMO2
PML,RUNX2
PML,RBX1
PML,RAD51
PML,UBE2I
PML,TP53
PML,WRN
PML,PSME3
PML,SIRT1
PML,RPL11
PML,RUNX3
PML,SPI1
PML,SENP1
PML,TRIM69
PML,SKIL
PML,RBL2
PML,SP1
PML,PYCARD
PML,ZBTB16
PML,RB1
PML,SETDB1
PML,UHRF1
PML,POLR2E
PML,TERT
PML,SIN3A
PML,TOPORS
PML,TRIM25
PML,TP53BP1
PML,SKP1
PML,TP63
PML,SUZ12
PML,YAP1
PML,STAT1
PML,STAT3
PML,WDR5
PML,RNF125
PML,RFC4
PML,UBE3A
PML,SMARCA4
PML,RELA
PML,PML
PML,TOP2B
PML,PSMA3
PML,SQSTM1
PML,TRIM27
PML,PPARGC1A
PML,SMAD3
PML,RPL5
PML,RNF123
PML,USP11
PML,STAT2
PML,PPARG
PML,SP3
PML,SMAD2
PML,SKI
PML,RBCK1
PML,TGFB1
PML,TRIM45
PML,SMAD7
PML,RPTOR
PML,TNRC6B
PML,TRIM29
PML,RAE1
PML,SMURF1
PML,POM121
PML,TPR
PML,UBC
PML,RBBP4
PML,TRIM8
PML,POM121C
PML,UBA52
PML,PTAFR
PML,TFAP2B
PML,PTEN
PML,UBB
PML,TNRC6C
PML,TP73
PML,PRAM1
PML,RPS27A
PML,TNRC6A
PML,TRIM14
PML,RBBP7
RPA2,RPL15
RPA2,RPLP0
RPA2,TUBA4A
RPA2,SMC2
RPA2,VCP
RPA2,TUBB4B
RPA2,STAT3
RPA2,RPL6
RPA2,TPRKB
RPA2,THOC1
RPA2,WRN
RPA2,UBE2A
RPA2,RPL19
RPA2,UBC
RPA2,TUBB
RPA2,RPL7
RPA2,TOP2A
RPA2,TIPIN
RPA2,SMC1A
RPA2,WDR82
RPA2,SMARCAL1
RPA2,SNAI1
RPA2,TOP3A
RPA2,TAF15
RPA2,TERF2
RPA2,WDR33
RPA2,SMC3
RPA2,RPS8
RPA2,TPX2
RPA2,XPC
RPA2,YTHDF1
RPA2,SMARCC2
RPA2,SSRP1
RPA2,TP53BP1
RPA2,RTEL1
RPA2,TRIM28
RPA2,RPL10L
RPA2,RPA3
RPA2,RUVBL2
RPA2,XRCC1
RPA2,TUBB2A
RPA2,RPL18
RPA2,RPS9
RPA2,TMPO
RPA2,YAP1
RPA2,SCAMP3
RPA2,USP7
RPA2,SF3B1
RPA2,TUBA1C
RPA2,TP53
RPA2,XRCC6
RPA2,YWHAE
RPA2,TOP2B
RPA2,UBQLN2
RPA2,WAPAL
RPA2,RPS7
RPA2,XRCC5
RPA2,XPA
RPA2,RPRD1B
RPA2,SUPT16H
RPA2,UTP14A
RPA2,SMARCA5
RPA2,SMC4
RPA2,RPL18A
RPA2,RPS3A
RPA2,TFRC
RPA2,UBE2M
RPA2,SF3B2
RPA2,RRM2B
RPA2,TEX15
RPA2,TOPBP1
RPA2,UFD1L
RPA2,UBE2B
RPA2,RPS27A
RPA2,USP43
RPA2,UBE2L6
RPA2,UBB
RPA2,WDR48
RPA2,TYMS
RPA2,UBE2N
RPA2,TRIM25
RPA2,UBA7
RPA2,USP1
RPA2,XRCC2
RPA2,RRM2
RPA2,UBE2T
RPA2,SPO11
RPA2,SUMO3
RPA2,YWHAZ
RPA2,SUMO2
RPA2,SUMO1
RPA2,TIMELESS
RPA2,UBE2V2
RPA2,USP10
RPA2,UBA52
RPA2,TCEA1
RPA2,XRCC3
STAT3,TRAF6
STAT3,TRIM24
STAT3,TRIM28
STAT3,WDFY3
STAT3,TRIM59
STAT3,STAT6
STAT3,STAT5B
STAT3,TRIM25
STAT3,TDG
STAT3,STMN1
STAT3,TCEAL1
STAT3,STAT3
STAT3,USP28
STAT3,ZC3H7A
STAT3,VEGFA
STAT3,TWIST1
STAT3,TNFRSF1A
STAT3,TBX21
STAT3,TIMP1
STAT3,TGFB1
STAT3,TLR2
STAT3,TNF
STAT3,TLR9
STAT3,TSLP
STAT3,TYK2
STAT3,SUZ12
STAT3,TNFRSF1B
STAT3,VIM
STAT3,STAT4
STAT3,TP53
STAT3,STAT5A
STAT3,TLR4
STAT3,ZEB1
STAT3,TCP1
APP,ING2
APP,HIST1H2BM
APP,ICK
APP,TIPIN
APP,MRPL24
APP,ITGA2
APP,SMG5
APP,WDR5
APP,HAGH
APP,CRYAB
APP,PGM3
APP,SLX4
APP,NDP
APP,RBM39
APP,KAT5
APP,INS
APP,HSPA4
APP,CDKN1A
APP,PKM
APP,ZDHHC23
APP,SPC24
APP,KIF2C
APP,CAT
APP,ATXN3
APP,GRAMD4
APP,MYOT
APP,HSP90AA1
APP,RPS26
APP,ETHE1
APP,GGA1
APP,KPNA2
APP,ATP5A1
APP,STUB1
APP,HBG1
APP,CUL3
APP,BEGAIN
APP,RPL30
APP,MYC
APP,C3orf62
APP,ITGB3BP
APP,VCP
APP,TSLP
APP,PSAT1
APP,PAK4
APP,LRP1
APP,TBPL1
APP,CA9
APP,PSMD11
APP,HIST2H2AC
APP,DECR1
APP,CHEK2
APP,RAD51AP1
APP,SF3B2
APP,THAP1
APP,TCEA1
APP,FGF13
APP,CCNG1
APP,WHSC1
APP,CRIP2
APP,CUL7
APP,NUMB
APP,EIF4E2
APP,RFWD3
APP,NELFA
APP,CASP3
APP,DIMT1
APP,ECI2
APP,IL7
APP,SLC2A2
APP,CDK5
APP,PPP1CC
APP,CNOT7
APP,TPT1
APP,RPS14
APP,CSNK1D
APP,NOLC1
APP,CDK17
APP,NFKBIB
APP,HMGA1
APP,SRSF6
APP,PLK2
APP,RAD51C
APP,STAT5B
APP,LAMC1
APP,RNF2
APP,COPS5
APP,SAE1
APP,STARD10
APP,CENPI
APP,LRPPRC
APP,NAT2
APP,MORF4L1
APP,DPCD
APP,PPAN
APP,PARK2
APP,TOP1
APP,UTP14A
APP,PDS5B
APP,SYVN1
APP,BACE1
APP,OTUB2
APP,CRACR2B
APP,PSMD4
APP,CSNK1E
APP,FBLN1
APP,HSPA8
APP,GALK1
APP,UBL4A
APP,RPL12
APP,DNAJB6
APP,KAT7
APP,COPZ1
APP,C9orf142
APP,HS2ST1
APP,POLH
APP,PCBP1
APP,SMURF1
APP,SET
APP,PAIP2
APP,PTGDR
APP,FBXW11
APP,IFI16
APP,UBE2M
APP,G3BP1
APP,RPA2
APP,POLE3
APP,BCL2L11
APP,AURKA
APP,ETV3
APP,MYBBP1A
APP,CDC20
APP,CYP20A1
APP,MAD2L1
APP,TRIM69
APP,FANCM
APP,SENP1
APP,DCAF7
APP,EME1
APP,GORASP2
APP,ARID3A
APP,FKBP1A
APP,TUBG1
APP,LARP7
APP,TCEA2
APP,RASL11B
APP,ZWINT
APP,CDK5R1
APP,GSTO1
APP,NDEL1
APP,CUL4B
APP,RPS19
APP,NOC2L
APP,SLC7A1
APP,CDKN2B
APP,HIST1H2BB
APP,MAP3K5
APP,XAF1
APP,DYRK2
APP,SIVA1
APP,MAP2K3
APP,LIG3
APP,TAF1B
APP,OBFC1
APP,RAP1B
APP,SOD2
APP,TUBB
APP,MCM10
APP,STK40
APP,MDM2
APP,MED30
APP,HINT3
APP,XRCC3
APP,APP
APP,CSNK1G1
APP,BDNF
APP,NUSAP1
APP,RPS27A
APP,HIST1H1A
APP,PSME1
APP,EPHA2
APP,TIMP3
APP,PRKCD
APP,RPL23
APP,HYPK
APP,PNKP
APP,IDO1
APP,PAXIP1
APP,CTNNB1
APP,PRKAB1
APP,SUPT4H1
APP,HIST2H2AA3
APP,KDR
APP,FANCI
APP,CENPQ
APP,PLSCR1
APP,SRSF8
APP,MAPK11
APP,MCM7
APP,RPS16
APP,EIF2S2
APP,BCL2A1
APP,SMYD3
APP,PPARG
APP,CAV1
APP,MMP12
APP,KLF4
APP,SPINT2
APP,SNCA
APP,PSEN1
APP,CCT8
APP,RANBP9
APP,NOL11
APP,RPL11
APP,HBZ
APP,MRPL11
APP,HS3ST1
APP,RPS10
APP,TAF6
APP,SERPINB2
APP,GPKOW
APP,USP39
APP,EIF3G
APP,FGA
APP,KRAS
APP,DDX1
APP,PLK1
APP,SMARCB1
APP,ESR2
APP,FLCN
APP,PRAM1
APP,GSK3B
APP,VIM
APP,PHYH
APP,MCM5
APP,CDK4
APP,ZW10
APP,RBPJ
APP,FBXL7
APP,INIP
APP,CCDC106
APP,RING1
APP,H1F0
APP,MED8
APP,PPP2R4
APP,TAF7L
APP,UBXN6
APP,MAPK7
APP,TK1
APP,PPIA
APP,HSPA2
APP,VHL
APP,PURG
APP,SRP19
APP,TAF11
APP,CASP6
APP,EIF3F
APP,FEN1
APP,PES1
APP,ERH
APP,CDC25A
APP,CCND3
APP,POLR2K
APP,POLD3
APP,SART1
APP,PTGIS
APP,TGM2
APP,ETS1
APP,OBSL1
APP,DGCR8
APP,HSPB7
APP,RUVBL2
APP,KPNA4
APP,C12orf5
APP,GAPDH
APP,HNRNPA1
APP,UBE3A
APP,KIFC1
