"V1","V2"
"DDX3X","negative regulation of intrinsic apoptotic signaling pathway"
"DDX3X","ficolin-1-rich granule lumen"
"DDX3X","protein localization to cytoplasmic stress granule"
"DDX3X","positive regulation of protein K63-linked ubiquitination"
"DDX3X","negative regulation of extrinsic apoptotic signaling pathway via death domain receptors"
"DDX3X","positive regulation of protein acetylation"
"DDX3X","positive regulation of NIK/NF-kappaB signaling"
"DDX3X","negative regulation of NIK/NF-kappaB signaling"
"DDX3X","positive regulation of NLRP3 inflammasome complex assembly"
"DDX3X","positive regulation of G1/S transition of mitotic cell cycle"
"DDX3X","intrinsic apoptotic signaling pathway"
"DDX3X","positive regulation of canonical Wnt signaling pathway"
"DDX3X","NLRP3 inflammasome complex"
"DDX3X","positive regulation of protein serine/threonine kinase activity"
"DDX3X","positive regulation of chemokine (C-C motif) ligand 5 production"
"DDX3X","cellular response to osmotic stress"
"DDX3X","cellular response to arsenic-containing substance"
"DDX3X","extracellular exosome"
"DDX3X","lipid homeostasis"
"DDX3X","mRNA 5'-UTR binding"
"DDX3X","positive regulation of translational initiation"
"DDX3X","positive regulation of transcription by RNA polymerase II"
"DDX3X","positive regulation of translation"
"DDX3X","cadherin binding"
"DDX3X","innate immune response"
"DDX3X","positive regulation of viral genome replication"
"DDX3X","protein serine/threonine kinase activator activity"
"DDX3X","neutrophil degranulation"
"DDX3X","positive regulation of cysteine-type endopeptidase activity involved in apoptotic process"
"DDX3X","CTPase activity"
"DDX3X","P granule"
"DDX3X","negative regulation of cysteine-type endopeptidase activity involved in apoptotic process"
"DDX3X","negative regulation of apoptotic process"
"DDX3X","positive regulation of apoptotic process"
"DDX3X","ribosomal small subunit binding"
"DDX3X","gamma-tubulin binding"
"DDX3X","mature ribosome assembly"
"DDX3X","positive regulation of translation in response to endoplasmic reticulum stress"
"DDX3X","RNA stem-loop binding"
"DDX3X","intracellular signal transduction"
"DDX3X","secretory granule lumen"
"DDX3X","positive regulation of toll-like receptor 8 signaling pathway"
"DDX3X","positive regulation of toll-like receptor 7 signaling pathway"
"DDX3X","stress granule assembly"
"DDX3X","RNA strand annealing activity"
"DDX3X","positive regulation of interferon-beta production"
"DDX3X","positive regulation of interferon-alpha production"
"DDX3X","DNA duplex unwinding"
"DDX3X","positive regulation of protein autophosphorylation"
"DDX3X","translation initiation factor binding"
"DDX3X","negative regulation of protein-containing complex assembly"
"DDX3X","cell leading edge"
"DDX3X","negative regulation of cell growth"
"DDX3X","positive regulation of cell growth"
"DDX3X","cell differentiation"
"DDX3X","lamellipodium"
"DDX3X","cytosolic small ribosomal subunit"
"DDX3X","negative regulation of translation"
"DDX3X","nucleoside-triphosphatase activity"
"DDX3X","ATPase activity"
"DDX3X","Wnt signaling pathway"
"DDX3X","viral process"
"DDX3X","positive regulation of gene expression"
"DDX3X","RNA secondary structure unwinding"
"DDX3X","cytoplasmic stress granule"
"DDX3X","response to virus"
"DDX3X","extrinsic apoptotic signaling pathway via death domain receptors"
"DDX3X","eukaryotic initiation factor 4E binding"
"DDX3X","poly(A) binding"
"DDX3X","transcription factor binding"
"DDX3X","gamete generation"
"DDX3X","chromosome segregation"
"DDX3X","translational initiation"
"DDX3X","plasma membrane"
"DDX3X","eukaryotic translation initiation factor 3 complex"
"DDX3X","cytosol"
"DDX3X","centrosome"
"DDX3X","cytoplasm"
"DDX3X","nucleoplasm"
"DDX3X","nucleus"
"DDX3X","extracellular region"
"DDX3X","ATP binding"
"DDX3X","protein binding"
"DDX3X","GTPase activity"
"DDX3X","mRNA binding"
"DDX3X","RNA helicase activity"
"DDX3X","RNA binding"
"DDX3X","DNA helicase activity"
"DDX3X","DNA binding"
"129951.CAP8_ADE02","DDX3X"
"129951.CAP8_ADE02","DDX3X"
