source,target
ARF3,ESR1
ARF3,UBL4A
ARF3,SKP1
ARF3,RPS16
ARF3,S1PR2
ARF3,STAT1
ARF3,FN1
ARF3,TRIM21
ARF3,BTBD1
ITPR1,CD1A
ITPR1,SKP1
ITPR1,SNX9
ITPR1,GNGT1
MCM2,PRPF38A
MCM2,FGFR4
MCM2,MYC
MCM2,STIP1
MCM2,TMEM17
MCM2,U2AF2
MCM2,SPTAN1
MCM2,IL10
MCM2,SKP1
MCM2,WDR31
MCM2,IRAK1
MCM2,NEURL2
MCM2,TNIP2
MCM2,KLHL20
MCM2,PNPT1
MCM2,UBQLN4
MCM2,RC3H2
MCM2,NPB
MCM2,RAB11A
MCM2,TRIM25
MCM2,UBASH3B
MCM2,UBE2I
MCM2,CRACR2A
MCM2,RLN3
MCM2,KNG1
MCM2,SF3B4
MCM2,SRSF4
MCM2,OBSL1
MCM2,ZNRF1
MCM2,RADIL
MCM2,NDUFS1
MCM2,ARF3
MCM2,RPL31
MCM2,RPS5
MCM2,CUL1
MCM2,PSMC4
MCM2,SUZ12
CDC7,MCM2
CDC7,SUN2
CDC7,COX7C
CDC7,REEP5
CDC7,HERC2
CDC7,STAT1
CDC7,TRIM25
CLTC,PNPT1
CLTC,MCM2
CLTC,PPP2CB
CLTC,DYNC1I2
CLTC,TMEM17
CLTC,RPL13A
CLTC,PRPF31
CLTC,UBE3A
CLTC,RRAS
CLTC,POLR2A
CLTC,KRAS
CLTC,KEAP1
CLTC,HNRNPA0
CLTC,MRPL27
CLTC,STAT1
CLTC,HLA-B
EXOSC4,VHL
EXOSC4,STAT1
EXOSC4,UBA52
EXOSC4,EXOSC4
EXOSC4,BUB3
EXOSC4,CDK8
EXOSC4,KRAS
EXOSC4,KLHL21
ESR1,MYC
ESR1,H2AFB1
ESR1,RPL13A
ESR1,ESR2
ESR1,CSNK2B
ESR1,TMEM17
ESR1,HEXIM1
ESR1,NAA10
ESR1,FPR2
ESR1,JUP
ESR1,RPS26
ESR1,MCM2
ESR1,REEP5
ESR1,PDCL
ESR1,RAD18
ESR1,STAT1
ESR1,HOOK1
ESR1,FBXL8
ESR1,EIF4E
ESR1,SKP1
ESR1,OGDH
ESR1,UBE2I
ESR1,GSPT2
ESR1,FOXL1
ESR1,HNRNPH2
ESR1,MIR206
ESR1,ENSG00000275464
ESR1,MOV10
ESR1,KLHL20
ESR1,HIST1H2BJ
ESR1,COMMD1
ESR1,UBB
UBE2I,HTR5A
UBE2I,RLN3
UBE2I,KRAS
UBE2I,JUP
UBE2I,UBE2E2
UBE2I,XPC
UBE2I,TROAP
UBE2I,CDCA8
UBE2I,RPL18
UBE2I,TRIM25
UBE2I,RPS2
UBE2I,OBSL1
UBE2I,NR2C2
UBE2I,THOC5
UBE2I,ESR2
UBE2I,KLHL20
UBE2I,LMNA
C1QBP,KIAA0753
C1QBP,SKP2
C1QBP,CUL3
C1QBP,POLR1C
C1QBP,RPS5
C1QBP,U2AF2
C1QBP,TMEM17
C1QBP,RRP9
C1QBP,SF3B4
C1QBP,RPL18
C1QBP,STAT1
C1QBP,SMAD9
MAPK8,DCUN1D4
MAPK8,VHL
MAPK8,KLHL20
MAPK8,UBE3A
MAPK8,GSPT2
MAPK8,CCL4
MAPK8,STAT1
MAPK8,AHNAK
MAPK8,S1PR2
LMNA,UBB
LMNA,ANAPC5
LMNA,OBSL1
LMNA,ADCY2
LMNA,SMURF1
LMNA,LYZ
LMNA,EIF3C
LMNA,SMARCA2
LMNA,ASB4
LMNA,UBE2D2
LMNA,H2AFB1
LMNA,AGR2
LMNA,ARMC8
LMNA,CCDC22
LMNA,PRPF38A
LMNA,NR2C2
LMNA,TMEM17
LMNA,ERH
LMNA,DDX42
LMNA,OGDH
LMNA,CUL1
LMNA,USP28
LMNA,ESR1
LMNA,CCL1
LMNA,RHOB
LSM7,CUL1
LSM7,RPS26
LSM7,THOC5
LSM7,FBXO32
LSM7,GPSM2
LSM7,TUBB3
LSM7,HTR1E
LSM7,KIAA0753
LSM7,STAT1
LSM7,IRF2
LSM7,NOP58
LSM7,RGS9BP
LSM7,TOMM20
RHOB,NR2C2
RHOB,SPTAN1
RHOB,KIF2B
RHOB,LYZ
RHOB,CENPH
RHOB,GPR37L1
TGFBR2,CUL3
TGFBR2,TRIM25
TGFBR2,GCLM
TGFBR2,ISG20
KRAS,RXFP1
KRAS,NOB1
KRAS,RIOK1
KRAS,SKP2
KRAS,TRIM3
KRAS,CUL1
KRAS,MYC
KRAS,CCAR1
KRAS,HIST1H2BB
KRAS,RPS5
KRAS,NEDD8
KRAS,TRIM25
KRAS,HIST1H2BN
KRAS,SUZ12
KRAS,CHERP
KRAS,EPN2
KRAS,SPTAN1
KRAS,H2AFB1
KRAS,PAK1
KRAS,CCL1
KRAS,HERC2
KRAS,RETN
KRAS,CENPE
KRAS,SMURF1
KRAS,RAC1
KRAS,AGR2
KRAS,TGFBR2
KRAS,TROAP
KRAS,TRMT61A
KRAS,RNF168
KRAS,RPL31
KRAS,DDX42
KRAS,KCNJ11
KRAS,HLA-B
KRAS,TUBB3
KRAS,TRIM21
KRAS,ADCY2
KRAS,MCM2
KRAS,OGDH
KRAS,CEP164
KRAS,FN1
KRAS,RPL18A
KRAS,PHB2
KRAS,HNRNPU
KRAS,TCTN3
KRAS,NEURL2
KRAS,HEXIM1
KRAS,UBA2
KRAS,PIK3R2
KRAS,RPS26
KRAS,SF3B4
KRAS,RPS13
KRAS,JUP
KRAS,ASB4
KRAS,SOS2
KRAS,PPP2CB
KRAS,UBB
KRAS,CDK8
KRAS,SPOP
TNNT1,STAT1
TNNT1,FN1
TNNT1,REEP5
GATA1,SKP2
GATA1,NEDD8
GATA1,UBA52
GATA1,ANAPC5
GATA1,TCTN3
GATA1,UBB
GATA1,STAT1
GATA1,KNG1
VHL,CSNK2B
VHL,ZNRF1
VHL,STAT1
VHL,UBA52
VHL,MRPL36
VHL,HIST1H2BO
VHL,DCTN3
VHL,NDUFS1
VHL,CEP192
VHL,DBNL
LIG3,STAT1
LIG3,FPR2
LIG3,TRIM13
LIG3,UBA52
LIG3,UBB
XPC,OBSL1
XPC,UNC45A
XPC,PAK1
XPC,STAT1
XPC,IL10
XPC,RNF144B
AGTR2,SF3B4
AGTR2,TNIP2
AGTR2,UBA2
AGTR2,MOV10
AGTR2,CDCA8
AGTR2,ATG16L1
AGTR2,MYC
AGTR2,NR2C2
AGTR2,CSNK2B
AGTR2,HERC2
AGTR2,IRF2
AGTR2,CUL3
AGTR2,IDH3A
AGTR2,COMMD1
AGTR2,UBE3A
AGTR2,RPS29
AGTR2,STAT1
AGTR2,U2AF2
AGTR2,MRPL14
AGTR2,HIST1H2BB
AGTR2,TCTN3
DLG3,SH3KBP1
DLG3,ESR2
DLG3,TNIP2
DLG3,STAT1
UBE3A,MRPS12
UBE3A,PHB2
UBE3A,SCARNA22
UBE3A,RC3H2
UBE3A,UBE3A
UBE3A,STAT1
UBE3A,LMNA
UBE3A,TNIP2
UBE3A,C1QBP
UBE3A,YWHAB
UBE3A,RAC1
UBE3A,U2AF2
UBE3A,CASC5
UBE3A,FBXO32
UBE3A,LTV1
UBE3A,RLN3
UBE3A,HNRNPA0
UBE3A,TCF12
UBE3A,SKA2
UBE3A,STIP1
UBE3A,GAPDHS
UBE3A,CIRH1A
SH3KBP1,RPL13A
SH3KBP1,TRIM25
SH3KBP1,GNGT1
SH3KBP1,NOP58
SH3KBP1,RPS2
SH3KBP1,FBXL19
SH3KBP1,SMARCA2
SH3KBP1,NOP9
SH3KBP1,UBB
SH3KBP1,RIOK1
SH3KBP1,STAT1
SH3KBP1,VHL
NR2C2,SKP1
NR2C2,UNC45A
NR2C2,FBXO6
NR2C2,RLN3
NR2C2,HSPA2
NR2C2,XPC
NR2C2,ARPC1A
NR2C2,PPP2CB
NR2C2,OBSL1
NR2C2,TOMM20
NR2C2,STAT1
NR2C2,CUL1
NR2C2,UBE2D2
NR2C2,YWHAB
NR2C2,DCTN3
NR2C2,UBE3A
NR2C2,RPS2
NR2C2,STIP1
NR2C2,WDHD1
NR2C2,UBE2E2
NR2C2,RPS13
NR2C2,MYC
NR2C2,FBXO32
NR2C2,MAPK14
NR2C2,KRAS
NR2C2,H2AFB1
NR2C2,SRSF4
NR2C2,ISG20
NR2C2,NEDD8
NR2C2,PIK3R2
NR2C2,RAD18
NR2C2,COMMD1
NR2C2,FBXL14
NR2C2,RPL18A
NR2C2,HIST1H2BJ
NR2C2,LDLRAP1
NR2C2,TRIM25
NR2C2,GLP2R
MAPK14,GTPBP4
MAPK14,SMURF1
MAPK14,KIF2B
MAPK14,GRM4
MAPK14,TRIM25
MAPK14,MAPK14
MAPK14,PAK1
MAPK14,PSMC4
MAPK14,YWHAB
MAPK14,RHOB
MAPK14,MOV10
MAPK14,STAT1
MAPK14,JUP
MAPK14,POLR1C
MAPK14,UBE2E2
MAPK14,MCM2
MAPK14,CDK8
MAPK14,NEDD8
MAPK14,CENPE
TCF12,U2AF2
TCF12,GAPDHS
TCF12,TCF12
TCF12,STAT1
TCF12,PJA1
TCF12,UBA52
EIF2AK3,STAT1
EIF2AK3,CUL1
EIF2AK3,SKP1
STAT1,PDCL
STAT1,RGS20
STAT1,POLR1C
STAT1,KEAP1
STAT1,HTR5A
STAT1,RADIL
STAT1,HDAC9
STAT1,TRIM41
STAT1,TRMT61A
STAT1,PSMC4
STAT1,CASC5
STAT1,CEP76
STAT1,NSL1
STAT1,SMARCD3
STAT1,KRAS
STAT1,CSNK2B
STAT1,GMPS
STAT1,KDM6A
STAT1,FBXO6
STAT1,LPCAT2
STAT1,MRPL36
STAT1,TXNDC12
STAT1,RUNX3
STAT1,VPS29
STAT1,DPP8
