"V1","V2"
"FBXL2","modulation by host of viral RNA genome replication"
"FBXL2","phosphatidylinositol 3-kinase regulatory subunit binding"
"FBXL2","SCF-dependent proteasomal ubiquitin-dependent protein catabolic process"
"FBXL2","protein phosphatase binding"
"FBXL2","SCF ubiquitin ligase complex"
"FBXL2","protein ubiquitination"
"FBXL2","viral process"
"FBXL2","membrane"
"FBXL2","regulation of phosphatidylinositol 3-kinase signaling"
"FBXL2","regulation of autophagy"
"FBXL2","protein monoubiquitination"
"FBXL2","ubiquitin-dependent protein catabolic process"
"FBXL2","proteolysis"
"FBXL2","cellular protein modification process"
"FBXL2","cytoplasm"
"FBXL2","calmodulin binding"
"FBXL2","protein binding"
"FBXL2","ubiquitin-protein transferase activity"
"GBF1","regulation of protein localization to cell surface"
"GBF1","protein localization to endoplasmic reticulum tubular network"
"GBF1","reactive oxygen species biosynthetic process"
"GBF1","cellular response to virus"
"GBF1","endoplasmic reticulum-Golgi intermediate compartment organization"
"GBF1","Golgi disassembly"
"GBF1","phosphatidylinositol-3,5-bisphosphate binding"
"GBF1","protein localization to endoplasmic reticulum exit site"
"GBF1","establishment of monopolar cell polarity"
"GBF1","COPI coating of Golgi vesicle"
"GBF1","retrograde transport, endosome to Golgi"
"GBF1","protein localization to Golgi apparatus"
"GBF1","regulation of ARF protein signal transduction"
"GBF1","cell leading edge"
"GBF1","neutrophil chemotaxis"
"GBF1","viral process"
"GBF1","membrane"
"GBF1","protein transport"
"GBF1","regulation of mitotic cell cycle"
"GBF1","Golgi organization"
"GBF1","Golgi to endosome transport"
"GBF1","post-Golgi vesicle-mediated transport"
"GBF1","retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum"
"GBF1","endoplasmic reticulum to Golgi vesicle-mediated transport"
"GBF1","cytosol"
"GBF1","lipid droplet"
"GBF1","trans-Golgi network"
"GBF1","cis-Golgi network"
"GBF1","Golgi stack"
"GBF1","Golgi apparatus"
"GBF1","endoplasmic reticulum-Golgi intermediate compartment"
"GBF1","endoplasmic reticulum lumen"
"GBF1","peroxisome"
"GBF1","mitochondrion"
"GBF1","phosphatidylinositol-3,4,5-trisphosphate binding"
"GBF1","protein binding"
"GBF1","ARF guanyl-nucleotide exchange factor activity"
"GBF1","guanyl-nucleotide exchange factor activity"
"GBF1","cell activation involved in immune response"
"GBF1","Golgi membrane"
"PTGS2","response to angiotensin"
"PTGS2","negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress"
"PTGS2","regulation of neuroinflammatory response"
"PTGS2","cellular oxidant detoxification"
"PTGS2","negative regulation of blood vessel diameter"
"PTGS2","positive regulation of platelet-derived growth factor production"
"PTGS2","positive regulation of brown fat cell differentiation"
"PTGS2","positive regulation of fibroblast growth factor production"
"PTGS2","positive regulation of cell migration involved in sprouting angiogenesis"
"PTGS2","positive regulation of transforming growth factor beta production"
"PTGS2","cellular response to fluid shear stress"
"PTGS2","cellular response to non-ionic osmotic stress"
"PTGS2","cellular response to hypoxia"
"PTGS2","cellular response to ATP"
"PTGS2","cellular response to lead ion"
"PTGS2","cellular response to mechanical stimulus"
"PTGS2","response to fatty acid"
"PTGS2","oxidation-reduction process"
"PTGS2","positive regulation of synaptic transmission, glutamatergic"
"PTGS2","negative regulation of calcium ion transport"
"PTGS2","response to glucocorticoid"
"PTGS2","brown fat cell differentiation"
"PTGS2","regulation of inflammatory response"
"PTGS2","positive regulation of smooth muscle cell proliferation"
"PTGS2","metal ion binding"
"PTGS2","decidualization"
"PTGS2","positive regulation of smooth muscle contraction"
"PTGS2","negative regulation of smooth muscle contraction"
"PTGS2","positive regulation of vasoconstriction"
"PTGS2","negative regulation of cell cycle"
"PTGS2","positive regulation of nitric oxide biosynthetic process"
"PTGS2","negative regulation of cysteine-type endopeptidase activity involved in apoptotic process"
"PTGS2","positive regulation of apoptotic process"
"PTGS2","neuron projection"
"PTGS2","protein homodimerization activity"
"PTGS2","long-chain fatty acid biosynthetic process"
"PTGS2","hair cycle"
"PTGS2","positive regulation of protein import into nucleus"
"PTGS2","maintenance of permeability of blood-brain barrier"
"PTGS2","cellular response to UV"
"PTGS2","response to tumor necrosis factor"
"PTGS2","cellular response to heat"
"PTGS2","NAD biosynthesis via nicotinamide riboside salvage pathway"
"PTGS2","response to vitamin D"
"PTGS2","positive regulation of peptidyl-serine phosphorylation"
"PTGS2","protein-containing complex"
"PTGS2","response to lipopolysaccharide"
"PTGS2","response to estradiol"
"PTGS2","negative regulation of synaptic transmission, dopaminergic"
"PTGS2","positive regulation of synaptic plasticity"
"PTGS2","positive regulation of fever generation"
"PTGS2","positive regulation of prostaglandin biosynthetic process"
"PTGS2","ovulation"
"PTGS2","bone mineralization"
"PTGS2","heme binding"
"PTGS2","enzyme binding"
"PTGS2","lipoxygenase pathway"
"PTGS2","cyclooxygenase pathway"
"PTGS2","sensory perception of pain"
"PTGS2","cytokine-mediated signaling pathway"
"PTGS2","transferase activity"
"PTGS2","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen"
"PTGS2","positive regulation of vascular endothelial growth factor production"
"PTGS2","response to lithium ion"
"PTGS2","response to manganese ion"
"PTGS2","response to fructose"
"PTGS2","negative regulation of cell population proliferation"
"PTGS2","regulation of blood pressure"
"PTGS2","memory"
"PTGS2","learning"
"PTGS2","aging"
"PTGS2","embryo implantation"
"PTGS2","response to oxidative stress"
"PTGS2","inflammatory response"
"PTGS2","caveola"
"PTGS2","endoplasmic reticulum membrane"
"PTGS2","endoplasmic reticulum lumen"
"PTGS2","endoplasmic reticulum"
"PTGS2","cytoplasm"
"PTGS2","nuclear outer membrane"
"PTGS2","nuclear inner membrane"
"PTGS2","protein binding"
"PTGS2","prostaglandin-endoperoxide synthase activity"
"PTGS2","peroxidase activity"
"PTGS2","angiogenesis"
"PTGS2","prostaglandin biosynthetic process"
"SMAD3","negative regulation of cardiac muscle hypertrophy in response to stress"
"SMAD3","positive regulation of pri-miRNA transcription by RNA polymerase II"
"SMAD3","positive regulation of extracellular matrix assembly"
"SMAD3","activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway"
"SMAD3","extrinsic apoptotic signaling pathway"
"SMAD3","positive regulation of canonical Wnt signaling pathway"
"SMAD3","cellular response to transforming growth factor beta stimulus"
"SMAD3","cellular response to cytokine stimulus"
"SMAD3","heteromeric SMAD protein complex"
"SMAD3","SMAD protein complex"
"SMAD3","primary miRNA binding"
"SMAD3","R-SMAD binding"
"SMAD3","co-SMAD binding"
"SMAD3","lens fiber cell differentiation"
"SMAD3","negative regulation of lung blood pressure"
"SMAD3","negative regulation of wound healing"
"SMAD3","SMAD protein signal transduction"
"SMAD3","transdifferentiation"
"SMAD3","pericardium development"
"SMAD3","positive regulation of focal adhesion assembly"
"SMAD3","positive regulation of stress fiber assembly"
"SMAD3","negative regulation of cytosolic calcium ion concentration"
"SMAD3","regulation of binding"
"SMAD3","positive regulation of DNA-binding transcription factor activity"
"SMAD3","positive regulation of positive chemotaxis"
"SMAD3","protein stabilization"
"SMAD3","regulation of immune response"
"SMAD3","negative regulation of inflammatory response"
"SMAD3","regulation of epithelial cell proliferation"
"SMAD3","embryonic cranial skeleton morphogenesis"
"SMAD3","embryonic foregut morphogenesis"
"SMAD3","developmental growth"
"SMAD3","paraxial mesoderm morphogenesis"
"SMAD3","positive regulation of transcription by RNA polymerase II"
"SMAD3","negative regulation of mitotic cell cycle"
"SMAD3","positive regulation of transcription, DNA-templated"
"SMAD3","negative regulation of osteoblast differentiation"
"SMAD3","negative regulation of fat cell differentiation"
"SMAD3","positive regulation of nitric oxide biosynthetic process"
"SMAD3","cell-cell junction organization"
"SMAD3","transcription regulatory region DNA binding"
"SMAD3","sequence-specific DNA binding"
"SMAD3","bHLH transcription factor binding"
"SMAD3","receptor complex"
"SMAD3","ubiquitin binding"
"SMAD3","negative regulation of apoptotic process"
"SMAD3","protein homodimerization activity"
"SMAD3","identical protein binding"
"SMAD3","positive regulation of protein import into nucleus"
"SMAD3","negative regulation of protein catabolic process"
"SMAD3","T cell activation"
"SMAD3","wound healing"
"SMAD3","nodal signaling pathway"
"SMAD3","cis-regulatory region binding"
"SMAD3","glucocorticoid receptor binding"
"SMAD3","negative regulation of osteoblast proliferation"
"SMAD3","activin receptor signaling pathway"
"SMAD3","positive regulation of transforming growth factor beta3 production"
"SMAD3","regulation of transforming growth factor beta2 production"
"SMAD3","positive regulation of interleukin-1 beta production"
"SMAD3","positive regulation of chondrocyte differentiation"
"SMAD3","mineralocorticoid receptor binding"
"SMAD3","ubiquitin protein ligase binding"
"SMAD3","chromatin DNA binding"
"SMAD3","primary miRNA processing"
"SMAD3","thyroid gland development"
"SMAD3","transforming growth factor beta receptor, pathway-specific cytoplasmic mediator activity"
"SMAD3","negative regulation of transforming growth factor beta receptor signaling pathway"
"SMAD3","positive regulation of bone mineralization"
