"node","type"
"11103.PRO_0000037576",0
"11103.PRO_0000037570",0
"11103.PRO_0000037567",0
"11103.PRO_0000037577",0
"11103.PRO_0000037573",0
"11103.PRO_0000037574",0
"11103.F_HCVH",0
"11103.PRO_0000037575",0
"FKBP4",1
"MAPK1",1
"PCK2",1
"CSNK2A3",1
"MMP2",1
"TGFB1",1
"PLIN3",1
"CAV2",1
"C1QBP",1
"DDX5",1
"NANOG",1
"HBEGF",1
"APOB",1
"IRF1",1
"CANX",1
"TRAP",1
"RNASE3",1
"APOE",1
"VPS4A",1
"KRAS",1
"HNF1A",1
"PSMB7",1
"IPO5",1
"SCARB1",1
"CDH1",1
"SRCAP",1
"GAB1",1
"CD81",1
"OSBP",1
"PIK3CA",1
"STAT3",1
"FBXL20",1
"CHKA",1
"SRI",1
"TP53",1
"RAB5A",1
"CSF1R",1
"PIK3CB",1
"BAX",1
"HPGDS",1
"T",1
"PPIB",1
"PLK1",1
"BIRC5",1
"UBTF",1
"HSPA4",1
"FASN",1
"CXCL8",1
"MAP3K11",1
"FUT1",1
"CD209",1
"BIN1",1
"NCL",1
"HSPH1",1
"HSPA5",1
"SOCS3",1
"HSP90AA1",1
"JAK1",1
"CTNNB1",1
"VAPA",1
"TBC1D20",1
"SLK",1
"SREBF1",1
"AMPH",1
"PIK3CG",1
"STAT1",1
"ASPM",1
"ATF6",1
"TNFAIP8L2",1
"CTSS",1
"MCL1",1
"PKN2",1
"GADD45A",1
"TEP1",1
"TLR4",1
"PSMB8",1
"HSPA1B",1
"CDSN",1
"PIK3CD",1
"GPS2",1
"CD274",1
"RSAD2",1
"CHEK2",1
"MOB1A",1
"DDX3X",1
"PSTPIP2",1
"CREB1",1
"GDI1",1
"C4B",1
"TNF",1
"MYD88",1
"VAPB",1
"FBXL2",1
"PPIA",1
"CSNK1A1",1
"DDX41",1
"APOC4",1
"mitotic sister chromatid segregation",6
"DNA damage checkpoint",6
"regulation of cyclin-dependent protein serine/threonine kinase activity",6
"G2/M transition of mitotic cell cycle",6
"negative regulation of transcription by RNA polymerase II",6
"establishment of mitotic spindle orientation",6
"Golgi membrane",6
"MAPK cascade",6
"activation of MAPKKK activity",6
"activation of MAPKK activity",6
"activation of MAPK activity",6
"inactivation of MAPK activity",6
"protein polyubiquitination",6
"nuclear chromosome",6
"mitotic cell cycle",6
"mitotic cytokinesis",6
"magnesium ion binding",6
"response to reactive oxygen species",6
"alternative mRNA splicing, via spliceosome",6
"regulation of alternative mRNA splicing, via spliceosome",6
"mRNA splicing, via spliceosome",6
"protein peptidyl-prolyl isomerization",6
"proteasome complex",6
"embryonic axis specification",6
"telomere maintenance via recombination",6
"DNA strand renaturation",6
"adenyl-nucleotide exchange factor activity",6
"chromosome, centromeric region",6
"kinetochore",6
"condensed chromosome kinetochore",6
"chromosome, telomeric region",6
"chromatin",6
"nuclear chromatin",6
"synaptonemal complex",6
"Swr1 complex",6
"cell morphogenesis",6
"cell morphogenesis involved in differentiation",6
"actomyosin contractile ring contraction",6
"spindle pole",6
"condensed nuclear chromosome outer kinetochore",6
"nuclear-transcribed mRNA catabolic process",6
"transcription regulatory region sequence-specific DNA binding",6
"RNA polymerase II regulatory region sequence-specific DNA binding",6
"RNA polymerase II cis-regulatory region sequence-specific DNA binding",6
"RNA polymerase II core promoter sequence-specific DNA binding",6
"DNA-binding transcription factor activity, RNA polymerase II-specific",6
"core promoter sequence-specific DNA binding",6
"RNA polymerase II transcription factor binding",6
"TFIID-class transcription factor complex binding",6
"RNA polymerase II activating transcription factor binding",6
"RNA polymerase II repressing transcription factor binding",6
"RNA polymerase I core promoter sequence-specific DNA binding",6
"RNA polymerase I cis-regulatory region sequence-specific DNA binding",6
