source,target
MAP2K4,MAP2K6
MAP2K4,TRIM25
MAP2K4,MAPK9
MAP2K4,MAPK10
MAP2K4,MAP2K7
MAP2K4,UBC
MAP2K4,MAP3K7
MAP2K4,MAPK14
MAP2K4,SPAG9
MAP2K4,MAP2K4
MAP2K4,MAPK1
MAP2K4,MAP3K1
MAP2K4,RBBP8
MAP2K4,VASP
MAP2K4,MAPK8
MAP2K4,MAP3K5
MAP2K4,PML
MAP2K4,TNFRSF1A
MAP2K4,MAPK13
MAP2K4,MAPK12
MAP2K4,TAB1
MAP2K4,RIPK2
MAP2K4,NOD1
MAP2K4,NFKB1
MAP2K4,MAPK8IP1
MAP2K4,TRAF2
MAP2K4,RAC2
MAP2K4,RIPK1
MAP2K4,RPS27A
MAP2K4,PAK1
MAP2K4,NOD2
MAP2K4,RAC3
MAP2K4,UBB
MAP2K4,UBE2N
MAP2K4,ROCK2
MAP2K4,TNIP2
MAP2K4,MAPK11
MAP2K4,UBE2V1
MAP2K4,TRADD
MAP2K4,RAC1
MAP2K4,TAB2
MAP2K4,TXN
MAP2K4,TAB3
MAP2K4,PRKCD
MAP2K4,ROCK1
MAP2K4,UBA52
MAP2K4,TNF
MAP2K4,PRKCA
MAP2K4,TRAF6
MAP2K4,PPP2R5D
FLNC,VCAM1
FLNC,RNF4
FLNC,MAP2K4
FLNC,MCM5
FLNC,OBSL1
FLNC,MYC
FLNC,XIRP1
FLNC,TNFAIP1
FLNC,MCM2
FLNC,MECOM
FLNC,INPPL1
FLNC,PHB
FLNC,NUP88
FLNC,IQCB1
FLNC,FN1
FLNC,RPS6KA2
FLNC,NPM1
FLNC,NUP133
FLNC,PSMD13
FLNC,PRKCZ
FLNC,USP25
FLNC,WDR77
FLNC,SYNPO2
FLNC,SF3A3
FLNC,OTUD1
FLNC,TP63
FLNC,PSMD3
FLNC,PSMD12
FLNC,RNF31
FLNC,SIRT7
FLNC,TRIM63
FLNC,KCTD13
FLNC,PIP5K1A
FLNC,IGSF8
FLNC,FRYL
FLNC,PSMC4
FLNC,PRKAB2
FLNC,SIAH2
FLNC,GNG3
FLNC,HSPB2
FLNC,SRSF9
FLNC,IKBKB
FLNC,TES
FLNC,USP14
FLNC,MYOT
FLNC,ITGA3
FLNC,VASP
