source,target
MAP2K4,MAP2K6
MAP2K4,MAP3K3
MAP2K4,MAP2K7
MAP2K4,UBC
MAP2K4,MAP3K7
MAP2K4,MAPK14
MAP2K4,MAP2K4
MAP2K4,MAPK1
MAP2K4,MAP3K1
MAP2K4,MAPK8
MAP2K4,MAP3K5
MAP2K4,MAP4K2
MAP2K4,TNFRSF1A
MAP2K4,TAB1
MAP2K4,NFKB1
MAP2K4,TRAF2
MAP2K4,RIPK1
MAP2K4,RPS27A
MAP2K4,NOD2
MAP2K4,UBB
MAP2K4,UBE2N
MAP2K4,TNIP2
MAP2K4,MAPK11
MAP2K4,TRADD
MAP2K4,MAP4K4
MAP2K4,RAC1
MAP2K4,TAB2
MAP2K4,TXN
MAP2K4,TAB3
MAP2K4,UBA52
MAP2K4,TNF
MAP2K4,TNIK
MAP2K4,TRAF6
STAT3,TRAF6
STAT3,STAT3
STAT3,VEGFA
STAT3,TNFRSF1A
STAT3,TBX21
STAT3,TGFB1
STAT3,TLR2
STAT3,TNF
STAT3,TLR9
STAT3,TSLP
STAT3,TNFRSF1B
STAT3,VCAM1
STAT3,TP53
STAT3,TLR4
STAT3,TNFSF11
APP,TAB2
APP,INS
APP,PKM
APP,TANK
APP,RPS26
APP,LRRC59
APP,SRSF3
APP,MYC
APP,MAP2K4
APP,TSLP
APP,PSMD11
APP,DECR1
APP,ZFP36
APP,USP2
APP,CASP3
APP,IL7
APP,CLU
APP,NDUFA4
APP,ATP5C1
APP,SRSF6
APP,PSMD4
APP,SYNCRIP
APP,IER3
APP,RPL12
APP,FBXW11
APP,TNFRSF14
APP,CRADD
APP,SPATA2
APP,RPS19
APP,MAP3K5
APP,MAP2K3
APP,PRKCI
APP,SOD2
APP,CLEC3B
APP,APP
APP,BDNF
APP,RPS27A
APP,PSME1
APP,RPL23
APP,IDO1
APP,KDR
APP,MAPK11
APP,RPS20
APP,PPARG
APP,CAV1
APP,MMP12
APP,RPL11
APP,RPS10
APP,TNFSF14
APP,DDX19B
APP,TNIP2
APP,GAPDH
APP,HNRNPA1
APP,RPS12
APP,BDH1
APP,PSMA7
APP,LACTB
APP,POU2F1
APP,BGN
APP,SOCS3
APP,JUN
APP,VDAC2
APP,TWF1
APP,SERBP1
APP,HAVCR2
APP,IL15
APP,PSMB4
APP,RPS18
APP,TBK1
APP,HIST1H1C
APP,EGFR
APP,NOTCH1
APP,PSMC1
APP,RPL34
APP,TRAF6
APP,PSMA1
APP,NPM1
APP,MAPKAPK3
APP,LIMCH1
APP,PTGS2
APP,TUFM
APP,RPS25
APP,FOS
APP,NOS3
APP,TGFB1
APP,RBCK1
APP,MAPK8
