source,target
STAT3,KIAA1429
STAT3,RNF123
STAT3,CCR7
STAT3,GSK3A
STAT3,FBXO27
STAT3,UBC
STAT3,POLR2K
STAT3,TUBB
STAT3,XPO1
STAT3,RPL6
STAT3,SDHA
STAT3,PHOSPHO1
STAT3,ELAVL1
STAT3,ATP6AP2
STAT3,FANCA
STAT3,CEP57
XRN1,NSA2
XRN1,VCAM1
ARRB2,RPS19
ARRB2,RUNX1
ARRB2,GPR18
ARRB2,RPS27A
ARRB2,HIST1H3E
ARRB2,PHF1
ARRB2,GCC1
ARRB2,NOS1AP
ARRB2,EGFR
ARRB2,HNRNPA1
ARRB2,MAPK3
ARRB2,UBC
ARRB2,REST
ARRB2,PPP1CB
ARRB2,SRC
ARRB2,ZNF746
ARRB2,UBE2V1
ARRB2,SOAT1
ARRB2,PAXIP1
ARRB2,TRIM39
ARRB2,MAGI1
ARRB2,RFC1
ARRB2,ELAVL1
ARRB2,CREBBP
ARRB2,HDAC1
ARRB2,HIST1H2AD
ARRB2,MTA2
ARRB2,PPP1R12A
ARRB2,OPRM1
ARRB2,HJURP
ARRB2,RNF19B
ARRB2,TRAF6
ARRB2,RNF4
ARRB2,UBE2D2
ARRB2,TRIM4
ARRB2,ESR2
ARRB2,KBTBD7
ARRB2,RPL13
ARRB2,PPAP2B
ARRB2,XPO1
ARRB2,RPS9
ARRB2,USP11
ARRB2,OGT
ARRB2,KRT31
ARRB2,VHL
BRCA1,KBTBD13
BRCA1,TMEM216
BRCA1,UBC
BRCA1,TTR
BRCA1,MIR19B1
BRCA1,GSK3A
BRCA1,NR2C2
BRCA1,MIR106A
BRCA1,RPL6
BRCA1,THOC1
BRCA1,UTS2R
BRCA1,STAG3
BRCA1,HIST1H4A
BRCA1,TJP1
BRCA1,TRIM4
BRCA1,SERPINC1
BRCA1,ADAM10
BRCA1,EIF4E
BRCA1,CST3
BRCA1,SRC
BRCA1,CYLD
BRCA1,GNAI3
BRCA1,PSMB7
BRCA1,TRIM39
BRCA1,HDAC1
BRCA1,FBXL7
BRCA1,ENSG00000267618
BRCA1,FBXO6
BRCA1,RAB5C
BRCA1,ERCC1
BRCA1,COG3
BRCA1,ZDHHC17
BRCA1,CASC3
