source,target
RPA2,YAP1
RPA2,MSH6
RPA2,MAPK9
RPA2,PTGS2
RPA2,TNF
RPA2,ZNF598
RPA2,EGLN3
RPA2,SUMO2
RPA2,TP53
RPA2,PHC3
RPA2,RPL9
RPA2,RPL13
RPA2,WDR4
APP,NOP58
APP,AGR2
APP,TRPM8
APP,LIN28A
APP,IFIT3
APP,RNF25
APP,HSP90AA1
APP,HSPA5
APP,POU5F1
APP,SPTA1
APP,CUL3
APP,STAG1
APP,HIST1H4A
APP,PSMA1
APP,DECR1
APP,HSPD1
APP,RFC2
APP,CASP3
APP,PIK3R2
APP,PTPN6
APP,DPF2
APP,C7orf50
APP,STAM2
APP,KNG1
APP,PLRG1
APP,IARS
APP,RNF2
APP,RNF4
APP,PPP3CC
APP,EPRS
APP,UTP14A
APP,PA2G4
APP,RPL28
APP,PHC3
APP,ZUFSP
APP,RAB29
APP,EZH2
APP,IFI16
APP,SUZ12
APP,ORM2
APP,TAS2R20
APP,TAS1R3
APP,COX2
APP,UBQLN4
APP,MSH6
APP,TCF4
APP,RNF130
APP,REEP4
APP,FBXL8
APP,IRF7
APP,FKBP1A
APP,CYB5R3
APP,RPL9
APP,GOLGA2
APP,MAP3K5
APP,HSP90B1
APP,MDM2
APP,APP
APP,XPO1
APP,SCARNA22
APP,PSME4
APP,METTL17
APP,SNRPB2
APP,PHB2
APP,POLR2B
APP,XAB2
APP,PNO1
APP,CISD3
APP,RABEP1
APP,HGS
APP,DKKL1
APP,KAT2A
APP,SDC4
APP,HIST3H3
APP,TNF
APP,C8orf33
APP,EGLN3
APP,TNFSF14
APP,EGFR
APP,MYO19
APP,MED24
APP,CCNT1
APP,SEPT6
APP,RXFP3
APP,NPBWR1
APP,SCGB1D1
APP,VEGFA
APP,CTNNBL1
APP,HNRNPL
APP,UBE2O
APP,UNKL
APP,CLP1
APP,GDNF
APP,CDC42
APP,SPSB1
APP,GPER1
APP,HNRNPD
APP,WWP1
APP,GPR31
APP,HNRNPA1
APP,RPL32
APP,ITPR3
APP,SEC61G
APP,NTSR1
APP,VWF
APP,HTR1D
APP,ZNF598
APP,HLA-DRB1
APP,UFD1L
APP,TRMT6
APP,PPY
APP,KTN1
APP,NCBP2
APP,TRIM24
APP,B4GALT1
APP,NRAS
APP,RACGAP1
APP,ACO2
APP,REEP5
APP,RPL10A
APP,EDN1
APP,ASB8
APP,G3BP1
APP,FBXL3
APP,KDM2A
APP,RBPJ
APP,POLA2
APP,UFL1
APP,SDC1
APP,CXCL16
APP,KRTAP10-7
APP,SRSF9
APP,SRC
APP,TOR3A
APP,RBX1
APP,DYNLL1
APP,PTGS2
APP,NEK9
APP,SNRPA
APP,TTK
APP,VAMP8
APP,TUFM
APP,HNRNPM
APP,SEC16A
APP,GNG8
APP,MDM4
APP,PCF11
APP,MCM2
APP,B2M
APP,PAN2
APP,SOCS1
APP,WASF2
BCL3,TNF
BCL3,FBXL7
BCL3,OXT
BCL3,GOLGA2
BRCA1,PSMD1
BRCA1,SDC1
BRCA1,RACGAP1
BRCA1,HNF4A
BRCA1,TP53
BRCA1,IRF1
BRCA1,MAPK9
BRCA1,TCF4
BRCA1,HSPA5
BRCA1,SSTR2
BRCA1,NCBP2
BRCA1,SYF2
BRCA1,GNG12
BRCA1,SOCS1
BRCA1,VWF
BRCA1,SUZ12
BRCA1,NEDD4
BRCA1,NUP88
BRCA1,DLD
BRCA1,PARK7
BRCA1,RPS19
BRCA1,HSPD1
BRCA1,VAMP8
BRCA1,GNAI2
BRCA1,HSP90AA1
BRCA1,SNRNP70
BRCA1,PHIP
BRCA1,MCM2
BRCA1,RTCA
BRCA1,REEP5
BRCA1,NPM1
BRCA1,APP
BRCA1,INO80B
BRCA1,SHC1
BRCA1,YWHAE
BRCA1,RPL12
BRCA1,RPL32
BRCA1,RNF2
BRCA1,SIRT1
BRCA1,CTNNB1
BRCA1,KAT2A
BRCA1,PPP1R15A
BRCA1,EXOSC2
BRCA1,RPL17
BRCA1,ANAPC4
BRCA1,TUFM
BRCA1,GART
BRCA1,GNG8
BRCA1,HSP90B1
BRCA1,FKBP1A
BRCA1,MCM7
BRCA1,UBE2N
BRCA1,HIST3H3
BRCA1,HIST1H2BB
BRCA1,EED
BRCA1,GNAI3
BRCA1,PA2G4
BRCA1,NTRK1
BRCA1,SPON2
BRCA1,VEGFA
BRCA1,PPY
BRCA1,HNRNPM
BRCA1,UBE2D1
BRCA1,PTRF
BRCA1,RC3H1
BRCA1,SDC4
BRCA1,EWSR1
BRCA1,RPS6
BRCA1,RLIM
BRCA1,WWP1
BRCA1,HIST1H3A
BRCA1,EGLN3
BRCA1,POU5F1
BRCA1,XPO1
BRCA1,CELF1
BRCA1,PSMA1
BRCA1,ZNF827
BRCA1,HNRNPL
MSH6,MED24
MSH6,CASP3
MSH6,GNG12
MSH6,MCM2
MSH6,EZH2
MSH6,PTGDR
MSH6,UIMC1
MSH6,SRC
MSH6,TNF
MSH6,HNRNPA1
MSH6,RPS3
MSH6,EDN1
MSH6,PPY
MSH6,RPS6
CTNNB1,UFL1
CTNNB1,FBXL7
CTNNB1,NPM1
CTNNB1,EZH2
CTNNB1,HNRNPD
CTNNB1,TP53
CTNNB1,GNG8
CTNNB1,NRAS
CTNNB1,CREG1
CTNNB1,DECR1
CTNNB1,PLRG1
CTNNB1,GOLGA2
CTNNB1,AGR2
CTNNB1,CDH1
CTNNB1,DYNLL1
CTNNB1,IL7R
CTNNB1,RPLP0
CTNNB1,HLA-DRB1
CTNNB1,XPO1
CTNNB1,ITGB1
CTNNB1,REEP4
CTNNB1,HSP90AA1
CTNNB1,ERBB2
CTNNB1,SUZ12
CTNNB1,LYPD3
CTNNB1,GNB1
CTNNB1,PNO1
CTNNB1,RPL13
CTNNB1,HIST1H4A
CTNNB1,MRPL19
CTNNB1,PTGS2
CTNNB1,EGFR
CTNNB1,KIF22
CTNNB1,HIST1H2BO
CTNNB1,RC3H1
CTNNB1,CXCL16
CTNNB1,RLIM
CTNNB1,KRTAP4-11
CTNNB1,PA2G4
CTNNB1,NDUFA7
CTNNB1,HNRNPA1
CTNNB1,MANSC1
CTNNB1,JUN
CTNNB1,MIR107
CTNNB1,HNRNPL
