source,target
STAT3,ILF2
STAT3,HIST2H2BE
STAT3,PSAP
APP,SYNJ1
APP,TCEB2
APP,CUL7
APP,RPL19
APP,RPS20
APP,FBXL14
APP,RNF130
APP,SUCLA2
APP,APP
APP,IRAK3
APP,ILF2
APP,SUPT5H
APP,SDCBP
APP,ATXN1
APP,SMAD4
APP,SRPK2
APP,EGFR
APP,RPS28
APP,ATP5H
APP,CTNNBL1
APP,CDC42
APP,PRMT1
APP,PSMB4
APP,RPL10A
APP,TBC1D25
APP,SRC
APP,PTPRB
APP,ADAMTS9
ARRB2,KIAA1429
ARRB2,ST3GAL1
ARRB2,APP
ARRB2,ATP5H
ARRB2,IFNB1
ARRB2,MRPS5
ARRB2,PRMT1
CDC42,SDCBP
CDC42,RPL19
CDC42,DVL1
CDC42,SYNJ1
CDC42,PSAP
CDC42,IRAK3
CDC42,CUL7
CDC42,KIAA1429
CDC42,PRMT1
CDC42,EGFR
CDC42,ATXN1
SMAD4,KIAA1429
SMAD4,PIK3R1
DCN,TBC1D25
EGFR,SIRPA
EGFR,STAT3
EGFR,ADCY7
EGFR,RPL36AL
EGFR,PPP1CB
EGFR,ADAMTS9
EGFR,EXT2
EGFR,RPS20
EGFR,SYNJ1
EGFR,CDC26
EGFR,DTNBP1
EGFR,PSMA6
EGFR,CXCR3
EGFR,SRC
EGFR,KIAA1429
EGFR,PIK3R1
EGFR,TCEB3
EGFR,PRMT1
EGFR,RPL19
EGFR,AIMP1
EGFR,TRAF6
SMARCA4,SMARCA4
SMARCA4,RPS28
SMARCA4,ILF2
SDCBP,FBXO15
SDCBP,CTNNBL1
PPP4C,ARRB2
PPP4C,KIAA1429
PTPRB,RTP3
PTPRB,IRAK3
RAB5A,RAB5A
RAB5A,IFNB1
RAB5A,ATXN10
RAB5A,KIAA1429
RAB5A,CEP44
SRC,RAB5A
SRC,KIAA1429
SRC,TCEB2
SRC,PSMA6
SRC,UBBP4
SRC,RPL19
SRC,IRAK3
SRC,SIN3B
PXN,TMED6
PXN,IFNB1
PXN,RPL10A
PXN,HSPA9
PXN,SRC
PXN,SMARCA4
PXN,FBXL14
PDE4DIP,CCT5
DVL1,KIAA1429
DVL1,NPHP4
DVL1,PIK3R1
DVL1,RTP4
ATXN1,ARRB2
ATXN1,TCEB3
ATXN1,RTP4
ATXN1,KIAA1429
ATXN1,PSAP
ATXN1,IFNB1
NUBP1,SDCBP
CSTF1,HIST2H2BE
CSTF1,PHF5A
