"V1","V2"
"EIF4E","regulation of translation at postsynapse, modulating synaptic transmission"
"EIF4E","postsynaptic cytosol"
"EIF4E","glutamatergic synapse"
"EIF4E","cellular response to dexamethasone stimulus"
"EIF4E","repressing transcription factor binding"
"EIF4E","extracellular exosome"
"EIF4E","perinuclear region of cytoplasm"
"EIF4E","positive regulation of mitotic cell cycle"
"EIF4E","negative regulation of neuron differentiation"
"EIF4E","cytoplasmic ribonucleoprotein granule"
"EIF4E","chromatoid body"
"EIF4E","eukaryotic initiation factor 4G binding"
"EIF4E","lung development"
"EIF4E","enzyme binding"
"EIF4E","stem cell population maintenance"
"EIF4E","negative regulation of translation"
"EIF4E","RISC complex"
"EIF4E","eukaryotic translation initiation factor 4F complex"
"EIF4E","viral process"
"EIF4E","negative regulation of autophagy"
"EIF4E","cytoplasmic stress granule"
"EIF4E","regulation of translation"
"EIF4E","translational initiation"
"EIF4E","mRNA export from nucleus"
"EIF4E","RNA export from nucleus"
"EIF4E","mRNA cap binding complex"
"EIF4E","cytosol"
"EIF4E","cytoplasm"
"EIF4E","protein binding"
"EIF4E","translation initiation factor activity"
"EIF4E","RNA binding"
"EIF4E","behavioral fear response"
"EIF4E","P-body"
"EIF4E","RNA 7-methylguanosine cap binding"
"EIF4E","RNA cap binding"
"EIF4E","G1/S transition of mitotic cell cycle"
"VAPA","COPII-coated vesicle budding"
"VAPA","protein localization to endoplasmic reticulum"
"VAPA","endoplasmic reticulum exit site"
"VAPA","membrane fusion"
"VAPA","perinuclear region of cytoplasm"
"VAPA","protein heterodimerization activity"
"VAPA","cadherin binding"
"VAPA","positive regulation by host of viral genome replication"
"VAPA","negative regulation by host of viral genome replication"
"VAPA","positive regulation by host of viral release from host cell"
"VAPA","neutrophil degranulation"
"VAPA","positive regulation of I-kappaB kinase/NF-kappaB signaling"
"VAPA","azurophil granule membrane"
"VAPA","protein folding in endoplasmic reticulum"
"VAPA","FFAT motif binding"
"VAPA","vesicle"
"VAPA","nuclear membrane"
"VAPA","neuron projection development"
"VAPA","sphingolipid biosynthetic process"
"VAPA","protein domain specific binding"
"VAPA","viral process"
"VAPA","integral component of membrane"
"VAPA","microtubule cytoskeleton"
"VAPA","cell death"
"VAPA","microtubule binding"
"VAPA","endoplasmic reticulum organization"
"VAPA","endoplasmic reticulum to Golgi vesicle-mediated transport"
"VAPA","bicellular tight junction"
"VAPA","plasma membrane"
"VAPA","endoplasmic reticulum membrane"
"VAPA","endoplasmic reticulum"
"VAPA","protein binding"
"VAPA","Golgi membrane"
"HSP90AA1","protein tyrosine kinase binding"
"HSP90AA1","telomerase holoenzyme complex assembly"
"HSP90AA1","ficolin-1-rich granule lumen"
"HSP90AA1","regulation of cellular protein localization"
"HSP90AA1","positive regulation of cellular protein catabolic process"
"HSP90AA1","positive regulation of tau-protein kinase activity"
"HSP90AA1","regulation of cellular response to heat"
"HSP90AA1","disordered domain specific binding"
"HSP90AA1","ciliary basal body-plasma membrane docking"
"HSP90AA1","scaffold protein binding"
"HSP90AA1","endocytic vesicle lumen"
"HSP90AA1","DNA polymerase binding"
"HSP90AA1","extracellular exosome"
"HSP90AA1","chaperone-mediated autophagy"
"HSP90AA1","positive regulation of telomerase activity"
"HSP90AA1","positive regulation of protein kinase B signaling"
"HSP90AA1","cofactor metabolic process"
"HSP90AA1","chaperone-mediated protein complex assembly"
"HSP90AA1","unfolded protein binding"
"HSP90AA1","GTPase binding"
"HSP90AA1","regulation of nitric-oxide synthase activity"
"HSP90AA1","protein stabilization"
"HSP90AA1","axon extension"
"HSP90AA1","perinuclear region of cytoplasm"
"HSP90AA1","tau protein binding"
"HSP90AA1","vascular endothelial growth factor receptor signaling pathway"
"HSP90AA1","response to antibiotic"
"HSP90AA1","positive regulation of nitric oxide biosynthetic process"
"HSP90AA1","protein insertion into mitochondrial outer membrane"
"HSP90AA1","axonal growth cone"
"HSP90AA1","dendritic growth cone"
"HSP90AA1","protein unfolding"
"HSP90AA1","neutrophil degranulation"
"HSP90AA1","regulation of protein-containing complex assembly"
"HSP90AA1","myelin sheath"
"HSP90AA1","lysosomal lumen"
"HSP90AA1","neuronal cell body"
"HSP90AA1","histone deacetylase binding"
"HSP90AA1","protein homodimerization activity"
"HSP90AA1","identical protein binding"
"HSP90AA1","melanosome"
"HSP90AA1","protein refolding"
"HSP90AA1","ERBB2 signaling pathway"
"HSP90AA1","Fc-gamma receptor signaling pathway involved in phagocytosis"
"HSP90AA1","secretory granule lumen"
"HSP90AA1","cellular response to heat"
"HSP90AA1","positive regulation of peptidyl-serine phosphorylation"
"HSP90AA1","protein-containing complex"
"HSP90AA1","positive regulation of protein polymerization"
"HSP90AA1","ubiquitin protein ligase binding"
"HSP90AA1","regulation of protein ubiquitination"
"HSP90AA1","TPR domain binding"
"HSP90AA1","nitric-oxide synthase regulator activity"
"HSP90AA1","establishment of cell polarity"
"HSP90AA1","MHC class II protein complex binding"
"HSP90AA1","central nervous system neuron axonogenesis"
"HSP90AA1","cytokine-mediated signaling pathway"
"HSP90AA1","ATPase activity"
"HSP90AA1","viral process"
"HSP90AA1","membrane"
"HSP90AA1","regulation of G2/M transition of mitotic cell cycle"
"HSP90AA1","cell surface"
"HSP90AA1","response to cold"
"HSP90AA1","response to heat"
"HSP90AA1","telomere maintenance via telomerase"
"HSP90AA1","response to unfolded protein"
"HSP90AA1","receptor-mediated endocytosis"
"HSP90AA1","mitochondrial transport"
"HSP90AA1","protein folding"
"HSP90AA1","plasma membrane"
"HSP90AA1","cytosol"
"HSP90AA1","cytoplasm"
"HSP90AA1","nucleoplasm"
"HSP90AA1","nucleus"
"HSP90AA1","extracellular region"
"HSP90AA1","ATP binding"
"HSP90AA1","protein binding"
"HSP90AA1","RNA binding"
"HSP90AA1","positive regulation of protein phosphorylation"
"HSP90AA1","G2/M transition of mitotic cell cycle"
"11983.PRO_0000341621","EIF4E"
"11983.PRO_0000341621","EIF4E"
"11983.PRO_0000341618","VAPA"
"11983.PRO_0000341618","VAPA"
"11983.CAPSD_NVN68","HSP90AA1"
"11983.CAPSD_NVN68","HSP90AA1"
