source,target
STAT3,TMEM63A
STAT3,NTRK1
STAT3,RHOA
STAT3,PPP2CA
STAT3,FZR1
STAT3,UIMC1
STAT3,KIAA1429
STAT3,PROS1
STAT3,TPD52
STAT3,RPS13
STAT3,RAB37
STAT3,PPBP
STAT3,UBR5
STAT3,SMC6
STAT3,TAS1R2
STAT3,MED30
STAT3,GSK3A
STAT3,PPP1CC
STAT3,ANXA1
STAT3,MARS
STAT3,FCER1G
STAT3,XPO1
STAT3,TAS2R39
STAT3,ZNF645
STAT3,PDGFRB
STAT3,TOR1AIP1
STAT3,LMNA
APP,HIST1H2BM
APP,HSPA8
APP,MRPL24
APP,HERC2
APP,PGAM5
APP,AP2B1
APP,OSBP
APP,UBE2D2
APP,KRTAP10-3
APP,ZNF645
APP,EDN3
APP,HIST1H2AC
APP,EFTUD2
APP,GPR83
APP,ATP6V1D
APP,CUL7
APP,CUX1
APP,NTRK1
APP,HLA-DQB1
APP,CSK
APP,TGFBR2
APP,RIOK1
APP,RPS16
APP,IFNG
APP,TPD52
APP,PIK3R1
APP,RBM4
APP,SEC61A1
APP,RAMP1
APP,VPS29
APP,PTBP1
APP,SH3KBP1
APP,SSR4
APP,SORT1
APP,RPL23A
APP,COLEC12
APP,RPS24
APP,AP2M1
APP,PTPRC
APP,TAF5
APP,PDHB
APP,SMCR8
APP,CPSF3
APP,HTR2C
APP,AURKA
APP,PLAUR
APP,RPS4X
APP,NOTCH1
APP,GABBR1
APP,RPL9
APP,DDX39B
APP,TAS2R39
APP,XPO1
APP,RTP1
APP,GNB2L1
APP,RPS25
APP,SNRPN
APP,CDK5R1
APP,POLR1E
APP,YBX1
APP,STAT3
APP,TAS1R2
APP,GNB5
APP,PLK1
APP,MAP2K3
APP,CDC34
APP,PRKCI
APP,BRCA1
APP,ADCY1
APP,CASR
APP,FBXO2
APP,APP
APP,ECT2
APP,PAN2
APP,CEP120
APP,NRAS
APP,RPS27A
APP,TEX10
APP,RABL6
APP,HDAC1
APP,PAXIP1
APP,CTNNB1
APP,RANBP2
APP,EEF1D
APP,TRMT61B
APP,INS
APP,RNF31
APP,AKAP9
APP,NR3C1
APP,EDN1
APP,KIF3A
APP,SNRPE
APP,PPP2CA
APP,CCL21
APP,C5AR1
APP,SDC1
APP,SMARCA5
APP,NOTCH2NL
APP,GTF3C2
APP,PSMA7
APP,GRIN2A
APP,SNAPC2
APP,UBE2D1
APP,SPP1
APP,TAF1A
APP,UBB
APP,PRPF6
APP,LPAR1
APP,RNF8
APP,COMMD4
APP,RPL3L
APP,BSG
APP,ZNF426
APP,ZBTB21
APP,MAP3K7
APP,PPP2R1B
APP,SMURF1
APP,DNM2
APP,RNF4
APP,UBE3D
APP,JUN
APP,DSC3
APP,RNF41
APP,VWA1
APP,HIST1H3A
APP,KBTBD7
APP,GTF2E2
APP,RPS3A
APP,C3AR1
APP,NEURL2
APP,PPP1CC
APP,MED1
APP,KIAA1429
APP,DVL2
APP,TCP1
APP,SSX2IP
APP,RAD52
APP,GLUD1
APP,MAPK12
APP,HIST1H2BB
APP,RPS13
APP,CACNA1A
APP,UBA1
APP,ESR1
APP,YES1
APP,RHOA
APP,POLR2G
APP,POLR2E
APP,ANAPC11
APP,CD40
APP,NR2C2
APP,NMBR
APP,TRIM37
APP,RPL32
APP,XRCC6
APP,HIST1H4A
APP,CUL4B
APP,SKP2
APP,METTL14
APP,FUBP3
APP,TMED2
APP,MAPK13
APP,PTK2
APP,FOS
APP,PRMT5
APP,DBNL
APP,MGST3
APP,TRIM36
APP,CD4
APP,CDK2
BARD1,TRA2B
BARD1,MRPS12
BARD1,CSK
BARD1,DYNC1I1
BARD1,TAS2R8
BARD1,XPO1
BARD1,BMI1
BARD1,ARIH2
BARD1,AGRN
BARD1,KBTBD7
BARD1,HIST1H3B
BARD1,RPL11
BARD1,GCGR
BARD1,DHX15
BARD1,TMED2
BARD1,RHOA
BARD1,CXCL3
BARD1,NOTCH1
BARD1,JUN
BARD1,VCP
BARD1,RNF41
BARD1,ANAPC11
BARD1,DYNC1LI1
BARD1,UQCRH
BARD1,CYHR1
BARD1,CAND1
BARD1,HIST1H2BB
BARD1,SKP2
BARD1,TAF3
BARD1,DNM2
BARD1,SLC9A3R2
BARD1,RPS13
BARD1,DHX37
BARD1,HEATR2
BARD1,CDK2
BARD1,CTSC
BARD1,BARD1
BARD1,SNRPD2
BARD1,LOR
BARD1,GAPDH
BARD1,NPY
BRCA1,SPP1
BRCA1,PLAUR
BRCA1,CHD4
BRCA1,RPL32
BRCA1,GNB1
BRCA1,HERC2
BRCA1,GSK3A
BRCA1,POLR2G
BRCA1,HNRNPL
BRCA1,RPAP2
BRCA1,NR2C2
BRCA1,EFTUD2
BRCA1,UBA1
BRCA1,MIR106A
BRCA1,RPL4
BRCA1,SNAI1
BRCA1,TRAP1
BRCA1,DPF2
BRCA1,PRPF6
BRCA1,HIST1H4A
BRCA1,MED1
BRCA1,TNKS
BRCA1,TRIM4
BRCA1,HTT
BRCA1,CAMK2B
BRCA1,NEURL2
BRCA1,JUN
BRCA1,SRC
BRCA1,HNRNPM
BRCA1,YWHAZ
BRCA1,RPLP0
BRCA1,HDAC1
BRCA1,NTRK1
BRCA1,CEBPA
BRCA1,CUL4B
BRCA1,DHX15
BRCA1,PPP2R1B
BRCA1,PIK3R1
BRCA1,ATP9A
BRCA1,CASC3
BRCA1,PUS1
BRCA1,POLR2C
BRCA1,SMAD1
BRCA1,RPS24
BRCA1,DVL2
BRCA1,PTBP1
BRCA1,CENPO
BRCA1,SRRM2
BRCA1,SH3GL1
BRCA1,CORO1C
BRCA1,DBT
BRCA1,MAP2K3
BRCA1,MRPL33
BRCA1,EIF2AK2
BRCA1,GNG13
BRCA1,PSMC5
BRCA1,GRM5
BRCA1,ESR1
BRCA1,LARS
BRCA1,GNB2L1
BRCA1,CXCR3
BRCA1,TOP2A
BRCA1,RAC1
BRCA1,SHMT2
BRCA1,SLC25A24
BRCA1,EGFR
BRCA1,PTPRB
BRCA1,HSPA8
BRCA1,WBP11
BRCA1,PPP1CC
BRCA1,NRAS
BRCA1,STAT3
BRCA1,CDK6
BRCA1,KIAA0101
BRCA1,AURKB
BRCA1,PSMA7
BRCA1,H2AFZ
BRCA1,DPY30
BRCA1,XPO1
BRCA1,RPL23
BRCA1,DDX21
BRCA1,PAXIP1
BRCA1,HAUS6
BRCA1,MYCN
BRCA1,SMARCA5
BRCA1,CXCL3
CTNNB1,SQLE
CTNNB1,NOTCH1
CTNNB1,LMNA
CTNNB1,RNF220
CTNNB1,DDX39B
CTNNB1,DVL1
CTNNB1,SKP2
CTNNB1,MT-ND6
CTNNB1,KRT40
CTNNB1,HIST1H2BB
CTNNB1,ADCY1
CTNNB1,CLASP2
CTNNB1,KRAS
CTNNB1,SNRPD2
CTNNB1,PAXIP1
CTNNB1,PTPRB
CTNNB1,ACTC1
CTNNB1,BRCC3
CTNNB1,AGRN
CTNNB1,RPL3L
CTNNB1,LPAR3
CTNNB1,PRMT5
CTNNB1,TUBA1A
CTNNB1,HNRNPL
CTNNB1,CD3G
CTNNB1,PLCG1
CTNNB1,ESR1
CTNNB1,EIF2AK2
CTNNB1,TPD52
CTNNB1,PIK3CA
CTNNB1,SHMT2
CTNNB1,CD4
CTNNB1,CASR
CTNNB1,RPL31
CTNNB1,EGFR
CTNNB1,CD19
CTNNB1,PSMC5
CTNNB1,PPP2R5E
CTNNB1,PRPF19
CTNNB1,RPL4
CTNNB1,UBB
CTNNB1,RPL9
CTNNB1,GNRHR
CTNNB1,UBE2V1
CTNNB1,CUL2
CTNNB1,FBL
CTNNB1,UTP11L
CTNNB1,XRCC6
CTNNB1,ATP6V0A2
CTNNB1,WBP11
CTNNB1,PAN2
CTNNB1,HSPA8
CTNNB1,ANXA1
CTNNB1,CSK
CTNNB1,SNRPE
CTNNB1,SCLT1
CTNNB1,POM121C
CTNNB1,NRXN3
CTNNB1,CCL27
CTNNB1,MRPS12
CTNNB1,MED4
CTNNB1,ILF3
CTNNB1,ADRB2
CTNNB1,CENPI
CTNNB1,MAPK12
CTNNB1,APLN
CTNNB1,GCGR
CTNNB1,YWHAZ
CTNNB1,TAF1A
CTNNB1,RPS27A
CTNNB1,MNAT1
CUX1,MARS
CUX1,JUN
CUX1,RTP3
CUX1,RPS27A
CUX1,VAPA
CUX1,APEX1
RPA1,GNB1
RPA1,NMUR2
RPA1,VPRBP
RPA1,HEXIM1
RPA1,RPS25
RPA1,RRS1
RPA1,YBX1
RPA1,POM121C
RPA1,PDHB
RPA1,CD4
RPA1,TRIM37
RPA1,NUP35
RPA1,GNG13
RPA1,BRCC3
RPA1,MED4
RPA1,KPNB1
RPA1,CRTAP
RPA1,LSM14A
RPA1,C3AR1
RPA1,POLR3F
RPA1,PRPF19
RPA1,BDKRB2
RPA1,GTF2F2
RPA1,TMED2
RPA1,DPY30
RPA1,HIST1H4A
RPA1,MAP2K2
RPA1,HIST1H2BN
RPA1,CASP9
RPA1,CXCR5
YWHAZ,CXCR3
YWHAZ,YWHAZ
YWHAZ,NCBP1
YWHAZ,RNF4
YWHAZ,P2RY1
YWHAZ,RAB11A
YWHAZ,TMEM63A
YWHAZ,THOC2
YWHAZ,KPNB1
YWHAZ,YBX1
YWHAZ,TUBA1A
YWHAZ,STAT3
YWHAZ,RAMP1
YWHAZ,NDUFAF4
YWHAZ,NOTCH2NL
YWHAZ,RTP3
YWHAZ,TAS2R16
YWHAZ,FGFR3
YWHAZ,ARIH2
CDC42,UBE2L3
CDC42,RPLP0
CDC42,RPS25
CDC42,RPS15A
CDC42,MARS
CDC42,BSG
CDC42,KRT36
CDC42,TRAF2
CDC42,PPP1CC
CDC42,CDC42
CDC42,RNF41
CDC42,TNFSF11
CDC42,RPL4
CDC42,MYC
CDC42,PTBP1
CDC42,GTPBP4
CDC42,UBE2V1
CDC42,APP
CDC42,CPSF3
CDC42,KIAA1429
CDC42,XPO1
CDC42,PUS1
CDC42,RTP1
CDC42,SRC
CDC42,RNF4
CDC42,GCGR
CDC42,ESR1
CDC42,RPL31
CDC42,PLCB3
CDC42,PRKCI
CDC42,HSPA8
CDC42,NTRK1
CDC42,B2M
CDC42,GAPDH
CDC42,GTF2E2
CDC42,RPL23A
CDC42,HIST1H3A
CDC42,TRIM63
CDC42,UBE2D1
CDC42,PLK1
CDC42,PRPF38B
CDC42,SDAD1
CDC42,PSMA7
CDC42,NRXN3
CDC42,HIST1H2BB
CDC42,TRA2B
CDC42,RHOT1
CDC42,YES1
CDC42,PPT1
CDK2,CAND1
CDK2,SQLE
CDK2,NR2C2
CDK2,C5AR1
CDK2,KRTAP10-3
CDK2,POLR2C
CDK2,ILF3
CDK2,HIST1H2BB
CDK2,GEMIN5
CDK2,VPRBP
CDK2,RPS13
CDK2,CHRM5
CDK2,NOTCH1
CDK2,TRIM4
CDK2,TRIM36
