source,target
RPA2,UBC
RPA2,TAF15
RPA2,XPC
RPA2,SSRP1
RPA2,TP53BP1
RPA2,RPA3
RPA2,XRCC1
RPA2,USP7
RPA2,TP53
RPA2,XPA
RPA2,SUPT16H
RPA2,RPS27A
RPA2,UBB
RPA2,UBE2N
RPA2,TRIM25
RPA2,XAB2
RPA2,ZNF830
RPA2,SUMO3
RPA2,SUMO2
RPA2,UVSSA
RPA2,SUMO1
RPA2,UBE2V2
RPA2,UBA52
RPA2,TCEA1
EP300,TP53BP1
EP300,PIAS1
EP300,KLF1
EP300,MYC
EP300,ESR1
EP300,POLR2A
EP300,TAF1B
EP300,UBE2I
EP300,ESR2
EP300,PCNA
EP300,UBTF
EP300,FEN1
EP300,POLD2
EP300,MDC1
EP300,EP300
EP300,TRIM25
EP300,RB1
EP300,PARP1
EP300,XPA
EP300,PIAS3
EP300,TBP
EP300,HMGN1
EP300,GTF2B
EP300,ERCC8
EP300,TP53
EP300,SUMO2
EP300,UBC
EP300,ERCC1
EP300,RFC2
EP300,RBX1
EP300,POLE2
EP300,POLR2C
EP300,POLR2I
EP300,TWISTNB
EP300,RPA3
EP300,PRPF19
EP300,POLK
EP300,RPA1
EP300,GTF2H4
EP300,MNAT1
EP300,XRCC1
EP300,GTF2F1
EP300,TAF1C
EP300,POLR1B
EP300,POLR1A
EP300,POLR2J
EP300,ZNRD1
EP300,POLE
EP300,RXRB
EP300,SUMO1
EP300,USP7
EP300,ERCC2
EP300,MED14
EP300,POLD4
EP300,POLR1E
EP300,LIG3
EP300,POLE4
EP300,POLR2H
EP300,LIG1
EP300,RFC5
EP300,GTF2A2
EP300,POLR2E
EP300,RFC4
EP300,POLR2B
EP300,RPA2
EP300,UBA52
EP300,XAB2
EP300,TCEA1
EP300,GTF2H5
EP300,ERCC4
EP300,POLR1D
EP300,TAF1A
EP300,POLR2G
EP300,ERCC5
EP300,PPIE
EP300,POLD3
EP300,UVSSA
EP300,POLR2L
EP300,POLR2D
EP300,UBB
EP300,TAF1
EP300,GTF2H2
EP300,RPS27A
EP300,TAF1D
EP300,GTF2A1
EP300,ZNF830
EP300,GTF2H1
EP300,POLE3
EP300,POLD1
EP300,POLR2F
EP300,POLR2K
EP300,GTF2H3
EP300,RFC1
EP300,ERCC3
EP300,POLR1C
EP300,RFC3
EP300,GTF2E1
BRCA1,POLR2H
BRCA1,TP53
BRCA1,RNGTT
BRCA1,RNMT
BRCA1,MDC1
BRCA1,FUBP1
BRCA1,PIAS1
BRCA1,UBC
BRCA1,CDK9
BRCA1,RPL35
BRCA1,PARP1
BRCA1,POLR1A
BRCA1,RPA1
BRCA1,RFC4
BRCA1,PSMC2
BRCA1,PRPF19
BRCA1,MNAT1
BRCA1,RAD51
BRCA1,ERCC1
BRCA1,SUPT6H
BRCA1,MYC
BRCA1,ERCC5
BRCA1,NUDC
BRCA1,KPNA3
BRCA1,POLE
BRCA1,FANCD2
BRCA1,RAD23B
BRCA1,BRCA1
BRCA1,POLR2A
BRCA1,POLD1
BRCA1,EP300
BRCA1,USP7
BRCA1,CHEK1
BRCA1,UBE2N
BRCA1,TAF1B
BRCA1,GNL3L
BRCA1,ESR2
BRCA1,GTF2H4
BRCA1,SUPT5H
BRCA1,POLR2C
BRCA1,TRIM25
BRCA1,RFC1
BRCA1,PCNA
BRCA1,SUPT16H
BRCA1,E2F1
BRCA1,CCNH
BRCA1,UBE2I
BRCA1,RFC2
BRCA1,CDK7
BRCA1,DDB1
BRCA1,RB1
BRCA1,NELFB
BRCA1,POLR2G
BRCA1,SUMO1
BRCA1,ESR1
BRCA1,ERCC4
BRCA1,TP53BP1
BRCA1,POLR2E
BRCA1,SUMO2
BRCA1,TAF15
BRCA1,POLR2J
BRCA1,POLR2D
BRCA1,POLR2I
BRCA1,TCEB3
BRCA1,RPA2
BRCA1,RPA3
BRCA1,SSRP1
BRCA1,FANCI
BRCA1,UBTF
BRCA1,GTF2F1
BRCA1,GTF2E1
BRCA1,POLE2
BRCA1,SUPT4H1
BRCA1,POLK
BRCA1,PARP2
BRCA1,CCNT1
BRCA1,TCEB2
BRCA1,ELL
BRCA1,XRCC1
BRCA1,POLD3
BRCA1,CCNT2
BRCA1,GTF2H1
BRCA1,RPS27A
BRCA1,ERCC3
BRCA1,UBB
BRCA1,POLD4
BRCA1,POLR2L
BRCA1,TCEB3C
BRCA1,GTF2H2
BRCA1,TCEB3B
BRCA1,GTF2F2
BRCA1,POLR2K
BRCA1,POLE3
BRCA1,NELFE
BRCA1,RFC3
BRCA1,POLR2B
BRCA1,NELFA
BRCA1,CCNK
BRCA1,ERCC2
BRCA1,UBA52
BRCA1,CDK12
BRCA1,POLR2F
BRCA1,RFC5
BRCA1,SUMO3
BRCA1,CTDP1
BRCA1,POLD2
BRCA1,POLE4
BRCA1,TCEB1
BRCA1,UBE2V2
BRCA1,TCEA1
BRCA1,GTF2H5
