"node","type"
"129951.CAP8_ADE02",0
"DDX3X",1
"DNA binding",6
"DNA helicase activity",6
"RNA binding",6
"RNA helicase activity",6
"mRNA binding",6
"GTPase activity",6
"protein binding",6
"ATP binding",6
"extracellular region",6
"nucleus",6
"nucleoplasm",6
"cytoplasm",6
"centrosome",6
"cytosol",6
"eukaryotic translation initiation factor 3 complex",6
"plasma membrane",6
"translational initiation",6
"chromosome segregation",6
"gamete generation",6
"transcription factor binding",6
"poly(A) binding",6
"eukaryotic initiation factor 4E binding",6
"extrinsic apoptotic signaling pathway via death domain receptors",6
"response to virus",6
"cytoplasmic stress granule",6
"RNA secondary structure unwinding",6
"positive regulation of gene expression",6
"viral process",6
"Wnt signaling pathway",6
"ATPase activity",6
"nucleoside-triphosphatase activity",6
"negative regulation of translation",6
"cytosolic small ribosomal subunit",6
"lamellipodium",6
"cell differentiation",6
"positive regulation of cell growth",6
"negative regulation of cell growth",6
"cell leading edge",6
"negative regulation of protein-containing complex assembly",6
"translation initiation factor binding",6
"positive regulation of protein autophosphorylation",6
"DNA duplex unwinding",6
"positive regulation of interferon-alpha production",6
"positive regulation of interferon-beta production",6
"RNA strand annealing activity",6
"stress granule assembly",6
"positive regulation of toll-like receptor 7 signaling pathway",6
"positive regulation of toll-like receptor 8 signaling pathway",6
"secretory granule lumen",6
"intracellular signal transduction",6
"RNA stem-loop binding",6
"positive regulation of translation in response to endoplasmic reticulum stress",6
"mature ribosome assembly",6
"gamma-tubulin binding",6
"ribosomal small subunit binding",6
"positive regulation of apoptotic process",6
"negative regulation of apoptotic process",6
"negative regulation of cysteine-type endopeptidase activity involved in apoptotic process",6
"P granule",6
"CTPase activity",6
"positive regulation of cysteine-type endopeptidase activity involved in apoptotic process",6
"neutrophil degranulation",6
"protein serine/threonine kinase activator activity",6
"positive regulation of viral genome replication",6
"innate immune response",6
"cadherin binding",6
"positive regulation of translation",6
"positive regulation of transcription by RNA polymerase II",6
"positive regulation of translational initiation",6
"mRNA 5'-UTR binding",6
"lipid homeostasis",6
"extracellular exosome",6
"cellular response to arsenic-containing substance",6
"cellular response to osmotic stress",6
"positive regulation of chemokine (C-C motif) ligand 5 production",6
"positive regulation of protein serine/threonine kinase activity",6
"NLRP3 inflammasome complex",6
"positive regulation of canonical Wnt signaling pathway",6
"intrinsic apoptotic signaling pathway",6
"positive regulation of G1/S transition of mitotic cell cycle",6
"positive regulation of NLRP3 inflammasome complex assembly",6
"negative regulation of NIK/NF-kappaB signaling",6
"positive regulation of NIK/NF-kappaB signaling",6
"positive regulation of protein acetylation",6
"negative regulation of extrinsic apoptotic signaling pathway via death domain receptors",6
"positive regulation of protein K63-linked ubiquitination",6
"protein localization to cytoplasmic stress granule",6
"ficolin-1-rich granule lumen",6
"negative regulation of intrinsic apoptotic signaling pathway",6
